TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,34000,34200,34000,34200,3
2023-01-04,34400,36400,34400,36400,12
2023-01-05,35200,36200,35200,35800,4
2023-01-06,36400,36600,35800,36400,29
2023-01-09,36800,36800,36400,36400,10
2023-01-10,36600,36800,36000,36000,7
2023-01-11,36600,36600,35200,35800,3
2023-01-12,36600,36600,36200,36400,4
2023-01-13,36800,36800,36400,36600,3
2023-01-16,36800,36800,36000,36000,7
2023-01-17,36400,37000,36200,36600,12
2023-01-18,36400,36800,36000,36200,11
2023-01-20,36400,36600,36400,36600,4
2023-01-23,36800,37000,36400,36400,24
2023-01-24,36200,38800,36200,37200,15
2023-01-25,36800,36800,36000,36000,36
2023-01-26,35400,36800,35400,36000,26
2023-01-27,35800,36400,32200,35400,209
2023-01-30,35200,35800,34400,35200,98
2023-01-31,34600,36000,34600,36000,19
2023-02-01,36000,37200,36000,36600,40
2023-02-02,36200,36200,36200,36200,1
2023-02-03,36000,36400,35800,36400,5
2023-02-06,35800,36400,35800,36000,5
2023-02-07,36400,36800,36400,36600,8
2023-02-08,36800,37000,35800,35800,18
2023-02-09,36600,38000,36600,37000,60
2023-02-10,36800,38000,36400,37800,39
2023-02-13,37800,38400,37800,38400,19
2023-02-14,37600,38200,37400,38200,11
2023-02-15,37600,37600,36600,37200,7
2023-02-16,36800,36800,35800,36600,21
2023-02-17,36000,36600,36000,36400,4
2023-02-20,36200,36200,34600,34800,61
2023-02-21,34800,36400,34200,35600,63
2023-02-22,36000,36000,35000,35200,13
2023-02-24,35200,36200,30200,30600,253
2023-02-27,30600,31400,29200,30800,211
2023-02-28,31400,32400,31200,32200,119
2023-03-01,32800,33000,32000,32400,82
2023-03-02,32200,32400,31400,32200,38
2023-03-03,31800,32400,31600,32200,53
2023-03-06,31800,32400,31600,32400,25
2023-03-07,32400,33400,32200,32400,30
2023-03-09,32400,32800,32200,32400,23
2023-03-10,32200,32400,31600,32400,21
2023-03-13,32200,33000,31800,32600,61
2023-03-14,32600,32800,32400,32800,8
2023-03-15,32800,32800,32400,32600,21
2023-03-16,32600,32600,32200,32600,24
2023-03-17,32600,32600,32200,32200,14
2023-03-20,35400,36200,33000,34000,223
2023-03-21,34200,35200,34200,34800,107
2023-03-22,34800,35000,34400,35000,29
2023-03-23,35000,35200,34600,34800,33
2023-03-24,35200,36800,35000,36800,106
2023-03-27,36800,37400,36400,36800,104
2023-03-28,36400,36600,36000,36600,22
2023-03-29,36600,36800,36000,36200,36
2023-03-30,36200,36600,36200,36400,18
2023-03-31,36200,36400,36000,36000,36
2023-04-03,36600,36800,36200,36200,34
2023-04-04,36600,36800,36000,36600,51
2023-04-05,36200,36600,36200,36600,14
2023-04-06,36600,36600,36400,36600,31
2023-04-07,36800,36800,36400,36400,20
2023-04-10,36400,37000,36000,36600,61
2023-04-11,36600,36800,36200,36400,53
2023-04-12,36200,36800,36200,36800,37
2023-04-13,36600,38400,36200,37800,210
2023-04-14,37800,38600,37800,38600,69
2023-04-17,39600,42200,38600,41400,169
2023-04-18,41800,42200,41400,41600,210
2023-04-19,41600,42200,41400,41800,30
2023-04-20,41400,41600,40000,41600,55
2023-04-21,41000,41600,41000,41200,23
2023-04-24,41600,43000,41600,42400,109
2023-04-25,43800,53400,42400,49800,823
2023-04-26,50200,53200,49800,51000,253
2023-04-27,51000,51600,44000,44000,479
2023-04-28,44000,44000,39000,39800,412
2023-05-02,39800,39800,37400,37600,73
2023-05-03,37000,42000,37000,38800,200
2023-05-04,38800,39600,37400,38200,90
2023-05-05,37800,38200,37400,37400,11
2023-05-08,37200,38000,37000,37000,18
2023-05-10,36800,38200,36400,38200,37
2023-05-11,38400,39400,37400,38000,63
2023-05-12,38200,38200,37400,38000,23
2023-05-15,38000,38800,37400,37800,32
2023-05-16,37600,37800,37400,37800,22
2023-05-17,37600,37800,37400,37800,13
2023-05-18,37800,41200,37600,37600,103
2023-05-19,37600,38000,37400,37400,16
2023-05-22,37400,38000,37400,37800,16
2023-05-23,38000,38400,37600,38200,24
2023-05-24,38400,38600,37800,38200,24
2023-05-25,38000,38200,37800,37800,6
2023-05-26,37800,38000,37600,38000,8
2023-05-29,37800,37800,37400,37400,35
2023-05-30,37600,37600,37200,37400,13
2023-05-31,37600,37600,36200,36800,28
2023-06-01,36600,36800,36400,36400,22
2023-06-02,36600,36600,36000,36400,24
2023-06-05,36400,36600,36200,36600,14
2023-06-06,36400,37400,36400,36400,10
2023-06-07,36400,37200,36400,37200,20
2023-06-08,37000,38600,37000,37800,78
2023-06-09,38000,39200,37800,38800,172
2023-06-13,39200,39800,38200,38800,32
2023-06-14,39000,39000,38400,38800,14
2023-06-15,38400,38400,38000,38400,22
2023-06-16,38600,38600,38000,38000,9
2023-06-19,38200,38400,38200,38200,18
2023-06-20,38000,38000,37200,38000,21
2023-06-21,38000,38000,37600,37600,6
2023-06-22,37800,37800,37400,37400,23
2023-06-23,37400,37400,36000,37000,58
2023-06-26,37200,37200,36800,37000,8
2023-06-27,36200,37400,34200,37000,35
2023-06-28,36600,37000,36600,36800,8
2023-06-29,37000,37200,37000,37200,3
2023-06-30,37200,37200,36600,36800,10
2023-07-03,37200,37200,36400,36400,19
2023-07-04,36400,36800,36400,36800,17
2023-07-05,36400,36800,35800,36600,36
2023-07-06,36800,36800,36400,36800,9
2023-07-07,36400,36800,36400,36800,6
2023-07-10,36800,36800,36400,36800,19
2023-07-11,36400,36800,36400,36600,12
2023-07-12,36800,37000,36600,36600,23
2023-07-13,36800,37200,36600,36600,16
2023-07-14,37000,37000,36600,36600,11
2023-07-17,37000,37000,36600,36600,21
2023-07-18,37000,38200,37000,38000,52
2023-07-19,38000,38600,37400,38200,36
2023-07-20,37800,38200,37000,37400,51
2023-07-21,37600,37800,37600,37800,7
2023-07-24,38000,38200,37600,37800,25
2023-07-25,38200,38400,38000,38200,19
2023-07-26,38200,38600,37800,38000,18
2023-07-27,38200,39200,38000,38000,67
2023-07-28,38000,38800,38000,38200,8
2023-07-31,38200,38800,38200,38400,21
2023-08-01,39400,39400,38600,38800,27
2023-08-02,39200,39200,38600,39000,28
2023-08-03,39200,39400,38800,39200,44
2023-08-04,39400,39800,38200,38200,80
2023-08-07,38600,40000,38200,38400,70
2023-08-08,38800,39600,38200,38800,33
2023-08-09,39200,39400,38800,39000,15
2023-08-10,39200,39800,38200,39200,45
2023-08-11,39000,40000,39000,39800,31
2023-08-14,40600,40600,38600,38800,35
2023-08-15,40000,40000,38800,39200,14
2023-08-16,39200,39800,38200,38600,25
2023-08-17,38800,39600,38800,39200,16
2023-08-18,39200,39400,39000,39200,8
2023-08-21,39000,39400,39000,39400,5
2023-08-22,39400,40400,39400,40000,44
2023-08-23,40200,40200,39400,39800,12
2023-08-24,39800,42400,39800,41000,85
2023-08-25,41600,41800,40200,40600,17
2023-08-28,40800,40800,40600,40600,7
2023-08-29,40400,40800,40400,40600,9
2023-08-30,40200,40200,39800,40000,24
2023-08-31,39600,40200,39600,39800,19
2023-09-01,40000,41800,39800,41200,68
2023-09-04,41200,41600,40600,41200,35
2023-09-05,41200,42200,40600,41800,80
2023-09-06,42000,42200,41000,41400,36
2023-09-07,41800,41800,38800,39800,70
2023-09-08,40600,41000,40000,40200,20
2023-09-11,40000,40800,40000,40000,15
2023-09-12,40200,41600,40000,40800,63
2023-09-13,40200,41400,40200,40400,25
2023-09-14,41000,50000,40200,43000,699
2023-09-15,44000,45800,42000,43400,168
2023-09-18,43000,49000,43000,45200,209
2023-09-19,45800,46600,43800,44400,45
2023-09-20,43600,43600,39800,40600,211
2023-09-21,41000,41200,40200,40400,30
2023-09-22,40800,41600,40200,40800,52
2023-09-25,42000,43000,40800,41000,38
2023-09-26,41600,41600,40000,40400,90
2023-09-27,40400,40800,40200,40400,14
2023-09-28,40400,41000,39400,40000,43
2023-09-29,40400,40800,40000,40200,49
2023-10-02,40000,40200,39600,40200,39
2023-10-03,40400,41800,40000,40200,29
2023-10-04,40200,40200,39800,40000,19
2023-10-05,40000,40200,39800,39800,11
2023-10-06,40200,40200,39800,39800,9
2023-10-09,40000,40200,39600,39600,16
