TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,228.75,232.0,227.0,231.25,280060
2023-01-04,231.25,232.05,228.5,230.25,156910
2023-01-05,231.25,231.25,229.2,229.85,92220
2023-01-06,230.55,231.65,225.85,226.25,283360
2023-01-09,225.9,227.25,223.9,224.8,303310
2023-01-10,224.8,225.65,223.0,224.7,195300
2023-01-11,224.0,227.4,223.5,226.85,250190
2023-01-12,228.7,232.9,227.05,231.6,575740
2023-01-13,232.35,234.0,230.0,230.95,403820
2023-01-16,232.6,238.75,231.2,238.2,701960
2023-01-17,239.0,249.8,238.8,246.2,2399970
2023-01-18,246.7,246.8,240.65,242.5,779950
2023-01-19,242.5,242.55,234.85,241.0,808010
2023-01-20,241.0,245.0,236.8,241.8,449200
2023-01-23,243.0,245.45,241.05,243.25,376470
2023-01-24,243.7,245.7,240.5,242.15,369420
2023-01-25,241.0,242.9,239.0,240.85,248730
2023-01-26,242.0,246.8,241.0,245.3,647840
2023-01-27,245.35,255.4,245.35,253.9,2286210
2023-01-30,255.1,258.85,241.3,251.0,1477990
2023-01-31,250.6,253.75,248.4,250.35,530950
2023-02-01,251.0,253.95,250.0,251.7,418980
2023-02-02,252.1,256.0,251.8,254.0,530610
2023-02-03,254.85,254.85,250.05,251.75,446210
2023-02-06,251.75,266.8,250.55,266.0,1647190
2023-02-07,266.0,270.65,260.0,263.35,1283950
2023-02-08,264.4,267.45,258.95,260.45,764990
2023-02-09,261.0,264.4,256.95,259.5,464400
2023-02-10,259.5,261.8,257.7,261.0,315830
2023-02-13,262.0,266.4,261.2,262.5,637130
2023-02-14,263.15,263.15,251.0,254.25,879730
2023-02-15,254.25,254.25,241.0,242.4,897230
2023-02-16,243.05,247.85,242.0,243.65,588830
2023-02-17,243.65,245.95,241.5,242.7,277260
2023-02-20,244.0,244.45,236.0,242.55,546590
2023-02-21,244.4,249.4,241.35,246.25,698770
2023-02-22,247.0,247.15,243.5,245.05,269850
2023-02-24,245.9,252.2,245.0,248.35,570620
2023-02-27,249.15,255.95,248.0,255.85,828080
2023-02-28,255.9,262.85,255.8,262.45,1224450
2023-03-01,264.0,266.5,263.1,265.2,1020530
2023-03-02,265.85,265.9,255.85,259.55,1061660
