TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2.598,2.63,2.578,2.594,33600
2023-01-04,2.592,2.63,2.57,2.592,142900
2023-01-05,2.592,2.62,2.576,2.592,97200
2023-01-06,2.596,2.612,2.58,2.586,55300
2023-01-09,2.596,2.808,2.588,2.65,602000
2023-01-10,2.658,3.144,2.61,2.926,2923700
2023-01-11,2.97,2.998,2.748,2.85,729400
2023-01-12,2.82,2.9,2.74,2.856,210100
2023-01-13,2.84,2.894,2.802,2.822,102400
2023-01-16,2.816,3.25,2.802,2.922,1962400
2023-01-17,2.94,3.026,2.786,2.83,1092500
2023-01-18,2.832,2.848,2.752,2.83,389200
2023-01-19,2.828,2.828,2.758,2.78,350600
2023-01-20,2.788,2.826,2.766,2.806,84600
2023-01-23,2.806,2.832,2.768,2.814,162500
2023-01-24,2.822,2.886,2.794,2.832,211300
2023-01-25,2.816,2.98,2.816,2.862,480700
2023-01-26,2.98,3.002,2.9,2.922,776200
2023-01-27,2.978,2.978,2.808,2.858,307200
2023-01-30,2.966,2.966,2.864,2.898,181000
2023-01-31,2.9,2.944,2.824,2.886,240400
2023-02-01,2.87,2.96,2.83,2.932,326700
2023-02-02,2.942,2.986,2.926,2.932,60700
2023-02-03,2.932,2.98,2.904,2.95,125100
2023-02-06,2.946,3.44,2.9,3.002,3900600
2023-02-07,3.002,3.088,2.87,2.986,1103400
2023-02-08,2.96,3.25,2.96,3.054,1959100
2023-02-09,3.05,3.45,3.024,3.196,1985900
2023-02-10,3.2,3.28,3.136,3.182,242500
2023-02-13,3.2,3.35,3.122,3.218,358400
2023-02-14,3.246,3.298,3.022,3.076,376900
2023-02-15,3.084,3.084,2.872,2.942,570400
2023-02-16,2.948,3.11,2.874,2.956,632700
2023-02-17,2.97,3.008,2.97,3.0,138300
2023-02-20,2.984,3.01,2.88,2.966,198500
2023-02-21,2.97,3.076,2.88,3.03,401500
2023-02-22,3.03,3.056,2.92,2.996,216000
2023-02-24,2.994,3.18,2.902,2.964,798600
2023-02-27,2.97,2.99,2.958,2.978,66100
2023-02-28,2.994,3.0,2.944,2.984,99400
2023-03-01,2.99,3.096,2.98,3.068,371000
2023-03-02,3.072,3.092,3.02,3.022,122500
2023-03-03,3.024,3.22,2.994,3.074,947500
2023-03-06,3.074,3.194,3.0,3.16,501400
2023-03-07,3.174,3.29,3.11,3.158,430800
2023-03-09,3.16,4.23,3.152,3.752,36452700
2023-03-10,3.74,3.84,3.53,3.584,6705200
2023-03-13,3.57,3.78,3.398,3.452,4248800
2023-03-14,3.47,3.888,3.378,3.55,7989300
2023-03-15,3.56,4.098,3.55,3.768,11574900
2023-03-16,3.768,4.02,3.62,3.732,7349400
2023-03-17,3.732,3.85,3.658,3.674,3012000
2023-03-20,3.738,3.738,3.552,3.654,1448400
2023-03-21,3.654,3.688,3.56,3.632,599100
2023-03-22,3.668,3.798,3.574,3.624,1526400
2023-03-23,3.684,3.698,3.592,3.644,706400
2023-03-24,3.648,3.736,3.548,3.67,1489100
2023-03-27,3.648,3.78,3.622,3.694,1036800
2023-03-28,3.674,3.734,3.634,3.662,495300
2023-03-29,3.67,3.706,3.62,3.626,437900
2023-03-30,3.628,3.648,3.602,3.622,313600
2023-03-31,3.614,3.658,3.59,3.59,915600
