TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,50.26,50.26,49.5,50.0,34870
2023-01-04,50.08,50.2,49.8,49.9,17160
2023-01-05,50.7,50.7,49.86,50.06,38230
2023-01-06,50.4,50.4,49.92,50.14,13290
2023-01-09,50.16,53.96,50.16,51.14,463180
2023-01-10,51.2,52.2,51.08,51.82,178600
2023-01-11,51.92,52.92,51.82,52.44,115830
2023-01-12,52.9,52.9,51.9,52.2,40680
2023-01-13,52.02,52.4,51.16,52.06,67390
2023-01-16,52.32,52.52,51.08,52.1,78350
2023-01-17,52.26,52.9,51.52,52.16,71410
2023-01-18,52.0,52.46,51.62,52.02,30730
2023-01-19,52.02,52.48,51.52,51.72,27060
2023-01-20,51.74,51.76,50.54,51.12,49060
2023-01-23,51.98,51.98,50.7,51.68,32460
2023-01-24,51.32,51.98,51.32,51.78,28820
2023-01-25,51.9,51.9,50.04,51.16,75530
2023-01-26,51.2,52.74,50.16,52.6,264940
2023-01-27,53.2,63.36,52.8,54.02,3997980
2023-01-30,54.0,54.92,52.8,53.5,290350
2023-01-31,53.32,55.84,52.76,54.62,395510
2023-02-01,55.0,55.64,53.48,53.56,148190
2023-02-02,54.76,55.06,53.66,54.58,235460
2023-02-03,55.06,55.12,53.68,54.76,203970
2023-02-06,55.3,58.98,54.42,56.28,1204090
2023-02-07,56.54,56.78,55.0,55.82,495650
2023-02-08,56.5,57.48,55.44,55.56,371190
2023-02-09,55.56,56.2,53.78,55.06,225200
2023-02-10,55.14,55.58,54.9,55.08,102790
2023-02-13,55.08,56.3,54.74,55.72,187820
2023-02-14,55.84,55.84,54.12,54.16,125550
2023-02-15,54.0,54.26,51.2,51.42,246380
2023-02-16,52.34,54.16,51.6,52.42,134390
2023-02-17,52.58,52.58,51.84,52.18,68660
2023-02-20,52.04,52.64,51.1,52.12,123990
2023-02-21,52.88,53.32,52.04,52.78,124410
2023-02-22,52.54,54.88,52.54,54.02,480140
2023-02-24,54.34,54.88,53.6,54.2,100430
2023-02-27,54.1,54.82,52.54,54.2,135310
2023-02-28,53.52,55.48,53.4,53.98,281720
2023-03-01,54.54,54.72,53.9,54.16,102040
2023-03-02,54.48,54.48,52.68,53.56,138110
2023-03-03,53.12,53.82,53.12,53.5,50140
2023-03-06,53.86,54.96,53.62,54.4,145380
2023-03-07,54.94,54.94,53.52,54.5,77220
2023-03-09,54.56,55.8,54.22,55.36,152720
2023-03-10,55.02,55.3,54.32,54.74,49370
2023-03-13,54.96,54.98,53.86,54.6,117690
2023-03-14,54.6,54.6,54.0,54.3,31010
2023-03-15,54.4,54.58,53.9,54.0,60890
2023-03-16,54.12,54.12,52.94,53.22,66010
2023-03-17,53.22,54.48,53.02,53.98,59920
2023-03-20,53.56,54.28,53.56,54.14,57060
2023-03-21,54.6,57.48,54.0,55.84,810920
2023-03-22,56.4,56.88,54.2,54.5,398670
2023-03-23,54.5,55.18,53.6,54.2,245820
2023-03-24,54.36,54.9,53.2,53.82,350710
2023-03-27,53.9,54.7,53.5,54.2,933730
2023-03-28,54.4,54.6,53.22,53.66,295610
2023-03-29,53.94,55.9,53.7,54.5,2523460
2023-03-30,54.98,55.5,54.22,54.6,600770
2023-03-31,55.16,58.28,54.68,57.38,2946670
2023-04-03,57.94,61.0,56.82,59.94,2040530
2023-04-04,60.66,60.66,56.08,57.64,1724800
2023-04-05,57.58,57.64,56.32,57.56,368330
2023-04-06,58.18,60.0,57.6,58.84,1182890
2023-04-07,59.7,59.96,57.0,59.44,886540
2023-04-10,59.4,64.86,58.86,63.22,2682930
2023-04-11,65.1,69.0,62.22,65.66,5653510
2023-04-12,65.5,68.24,64.12,64.7,1336290
2023-04-13,64.8,65.94,62.52,64.82,969600
2023-04-14,65.0,65.72,63.62,64.98,399020
2023-04-17,65.14,66.9,64.72,65.76,537710
2023-04-18,66.0,66.0,63.9,65.26,508410
2023-04-19,65.26,68.86,64.92,67.04,1844120
2023-04-20,67.04,67.48,64.92,66.14,756350
2023-04-21,66.9,66.94,65.32,65.38,252690
2023-04-24,65.02,65.52,63.2,65.46,635550
2023-04-25,65.46,66.68,65.1,66.12,467870
2023-04-26,66.12,66.46,65.0,65.4,307580
2023-04-27,65.8,65.84,64.5,64.8,221710
2023-04-28,64.98,65.16,63.82,63.98,247250
2023-05-02,63.98,70.14,59.0,63.42,2307400
2023-05-03,62.08,63.4,60.44,62.04,472650
2023-05-04,62.02,62.74,60.9,60.9,206710
2023-05-05,62.0,64.34,61.08,64.3,559340
2023-05-08,63.2,64.0,62.7,62.92,82790
2023-05-10,63.14,64.1,62.76,63.66,220480
2023-05-11,63.96,66.22,63.86,65.48,851080
2023-05-12,65.48,65.68,64.06,64.44,175390
2023-05-15,65.0,66.0,64.5,64.98,261020
2023-05-16,65.5,65.5,64.3,64.46,122700
2023-05-17,64.26,64.76,64.08,64.4,107860
2023-05-18,64.4,68.48,64.08,67.14,1581240
2023-05-19,67.14,69.76,67.12,68.24,944540
2023-05-22,69.0,71.46,66.98,70.12,1556940
2023-05-23,71.5,71.5,65.62,68.84,1032190
2023-05-24,70.32,70.9,68.52,68.76,416610
2023-05-25,69.28,69.34,65.26,67.16,488480
2023-05-26,67.62,70.18,65.8,68.0,1161370
2023-05-29,67.8,68.7,65.86,67.44,549920
2023-05-30,67.0,67.92,66.1,66.64,341700
2023-05-31,67.0,68.12,66.12,68.1,253710
2023-06-01,68.5,72.38,68.3,69.94,2947620
2023-06-02,70.76,70.96,69.02,70.72,365170
2023-06-05,69.32,70.46,68.52,68.76,413280
2023-06-06,68.7,72.12,67.0,70.5,1229730
2023-06-07,70.72,72.98,70.5,71.54,658060
2023-06-08,71.54,73.2,70.9,71.1,480390
2023-06-09,72.02,72.02,70.74,70.92,229660
2023-06-13,72.0,72.0,70.74,71.36,207750
2023-06-14,71.36,72.22,70.58,71.5,271120
2023-06-15,71.68,73.06,71.1,72.64,292520
2023-06-16,73.48,73.5,71.5,73.4,245510
2023-06-19,73.4,73.4,71.7,72.06,307840
2023-06-20,72.3,72.86,71.08,71.9,287390
2023-06-21,71.8,72.06,71.3,71.6,181860
2023-06-22,71.4,72.04,71.28,71.5,125850
2023-06-23,71.42,72.32,68.8,69.24,775950
2023-06-26,69.5,71.36,67.58,70.34,354990
2023-06-27,70.34,74.0,68.8,71.7,912150
2023-06-28,73.02,80.0,71.76,79.86,3530600
2023-06-29,79.24,81.58,75.74,78.54,1901860
2023-06-30,79.0,79.5,77.28,78.94,322440
2023-07-03,79.76,84.2,76.9,82.68,2714070
2023-07-04,83.38,89.6,81.34,87.98,4157430
2023-07-05,88.32,92.0,86.22,88.32,2635300
2023-07-06,89.48,92.8,86.0,88.0,1473900
2023-07-07,88.7,89.6,80.88,84.5,3062980
2023-07-10,87.0,87.0,84.26,85.34,592420
2023-07-11,85.32,85.6,84.26,84.92,230470
2023-07-12,84.98,86.22,82.38,84.72,818210
2023-07-13,85.08,86.8,82.0,85.24,1125890
2023-07-14,85.5,87.5,83.8,86.68,932790
2023-07-17,86.6,90.98,84.12,90.98,1727490
2023-07-18,92.0,93.46,89.0,90.06,1350460
2023-07-19,91.0,91.14,87.22,89.0,817840
2023-07-20,88.0,89.56,86.1,87.8,453100
2023-07-21,88.5,88.5,85.8,86.94,414910
2023-07-24,88.46,88.46,87.0,87.68,335480
2023-07-25,88.0,90.52,87.78,89.7,787020
2023-07-26,90.3,90.48,87.9,90.14,450330
2023-07-27,94.0,98.0,92.1,93.64,3390510
2023-07-28,94.5,95.2,92.48,93.92,556950
2023-07-31,95.0,95.0,93.0,93.88,430190
2023-08-01,94.48,94.64,93.02,93.7,332270
2023-08-02,93.9,94.04,93.02,93.58,309920
2023-08-03,94.2,97.0,93.5,94.96,576630
2023-08-04,95.0,96.5,87.5,92.26,926850
2023-08-07,92.22,93.7,90.8,91.2,406460
2023-08-08,91.98,96.5,86.62,93.04,1148440
2023-08-09,93.1,96.36,92.56,94.8,840700
2023-08-10,96.4,96.4,93.0,94.66,512290
2023-08-11,95.54,95.64,94.12,94.88,171090
2023-08-14,95.24,98.0,93.0,93.96,883150
2023-08-15,93.18,96.0,91.06,94.72,548400
2023-08-16,94.76,95.78,89.0,92.84,1069980
2023-08-17,93.86,95.58,92.18,95.4,272650
2023-08-18,97.82,107.0,96.0,105.0,4475710
2023-08-21,106.0,118.88,105.5,118.5,5008830
2023-08-22,125.0,125.0,112.8,118.94,5346770
2023-08-23,119.2,119.82,113.6,116.2,1429220
2023-08-24,115.98,119.6,112.2,113.26,1228800
2023-08-25,115.4,120.5,113.2,113.28,3501670
2023-08-28,114.88,117.9,112.9,113.52,1939580
2023-08-29,113.74,114.88,110.08,110.5,1449720
2023-08-30,111.04,114.2,111.0,112.98,1691930
2023-08-31,114.1,114.64,111.56,112.36,654450
2023-09-01,113.3,113.42,111.1,113.18,801240
2023-09-04,114.5,114.9,112.9,112.92,1532170
2023-09-05,114.0,114.8,112.1,112.9,1560970
2023-09-06,112.9,113.5,111.0,112.96,1158800
2023-09-07,112.98,114.2,106.5,112.0,1960210
2023-09-08,112.0,112.42,107.0,111.02,964380
2023-09-11,111.34,111.42,109.0,109.32,654100
2023-09-12,110.9,110.98,107.0,109.68,521840
2023-09-13,110.5,123.76,110.02,113.46,11835780
2023-09-14,113.5,114.3,96.0,108.8,3550810
2023-09-15,108.8,111.0,105.5,110.34,1388890
2023-09-18,111.52,113.6,109.0,109.7,1434740
2023-09-19,110.22,110.5,106.06,108.34,938670
2023-09-20,108.66,109.0,104.02,106.6,852990
2023-09-21,106.7,106.8,100.8,101.28,1086290
2023-09-22,101.28,107.98,99.04,105.4,1804140
2023-09-25,105.72,108.5,105.0,108.32,1796620
2023-09-26,109.1,111.9,107.0,108.0,2646590
2023-09-27,108.02,110.0,108.02,109.0,1353070
2023-09-28,109.98,109.98,108.7,109.18,946100
2023-09-29,109.98,113.14,108.64,109.2,3393850
2023-10-02,109.5,112.5,107.66,109.22,2111520
2023-10-03,110.84,110.88,108.1,109.14,969030
2023-10-04,109.3,109.7,107.66,108.28,949710
2023-10-05,108.88,108.88,104.08,107.06,1524830
2023-10-06,107.0,107.76,106.06,106.8,999950
2023-10-09,107.0,109.4,105.52,106.86,4690970
2023-10-10,97.62,102.0,97.0,100.12,6760310
2023-10-11,100.0,101.0,98.5,98.84,1408460
2023-10-12,98.0,98.48,92.0,97.16,1215820
2023-10-13,97.3,97.48,94.22,95.74,1199380
2023-10-16,97.0,100.0,95.72,98.5,1729780
2023-10-17,99.1,101.08,98.0,101.08,2180060
2023-10-18,101.06,101.92,99.3,101.92,1289160
2023-10-19,101.56,102.0,99.52,101.3,1202230
2023-10-20,101.3,101.92,99.84,99.88,600420
2023-10-23,100.72,100.72,99.16,99.46,386020
2023-10-24,99.1,99.26,98.32,98.72,426050
2023-10-25,98.72,98.94,97.56,97.8,516870
2023-10-26,98.08,98.08,96.06,97.3,701500
2023-10-27,96.12,96.9,95.02,95.6,595890
2023-10-30,95.86,95.86,94.36,95.32,544790
2023-10-31,95.36,95.86,93.0,94.98,710320
2023-11-01,94.98,99.3,94.24,98.2,1939580
2023-11-02,98.5,99.2,95.84,96.5,985070
2023-11-03,96.8,97.06,94.16,96.0,369560
2023-11-06,96.0,96.4,94.66,96.2,184060
2023-11-07,96.2,97.4,95.4,95.74,386940
2023-11-08,95.74,97.0,93.3,96.92,557880
2023-11-09,96.92,97.88,96.3,96.72,638540
2023-11-10,97.64,97.64,96.0,96.3,455690
2023-11-13,96.3,96.96,95.2,96.0,488190
2023-11-14,95.7,97.9,93.04,97.0,1658800
2023-11-15,97.0,97.3,95.56,96.46,1007980
2023-11-16,97.0,101.26,96.36,100.7,2460770
2023-11-17,99.2,100.96,96.46,97.66,2217490
2023-11-20,97.42,99.66,96.5,98.1,1073630
2023-11-21,97.76,98.58,96.82,97.38,550660
2023-11-22,98.06,98.06,96.68,96.68,639340
2023-11-23,96.72,99.96,94.24,96.12,1633800
2023-11-24,96.12,98.96,95.74,97.0,624350
2023-11-27,97.0,97.0,93.2,95.78,1015550
2023-11-28,95.78,95.92,90.2,93.0,2522740
2023-11-29,93.02,93.52,90.7,93.52,826750
2023-11-30,93.16,93.28,90.6,91.0,593200
2023-12-01,91.48,91.48,88.44,89.62,683000
2023-12-04,89.34,89.34,84.44,86.7,1040310
2023-12-05,85.9,90.0,84.54,90.0,526620
2023-12-06,90.88,90.88,86.88,89.68,504410
2023-12-07,89.68,89.68,86.22,89.0,297400
2023-12-08,89.0,90.38,88.1,89.02,355810
2023-12-11,88.72,89.88,85.54,86.0,697130
2023-12-12,86.18,86.18,82.9,85.5,640600
2023-12-13,85.38,85.52,83.5,85.5,379700
2023-12-14,85.5,85.78,84.0,85.78,320630
2023-12-15,84.2,86.82,83.82,86.0,500000
2023-12-18,86.58,91.2,86.1,91.2,637190
2023-12-19,91.0,91.0,89.0,90.68,415440
2023-12-20,90.34,91.14,89.2,91.14,587200
2023-12-21,91.04,91.06,88.4,90.5,625820
2023-12-22,89.62,93.78,89.2,93.78,1135850
2023-12-25,93.96,95.6,91.54,94.4,1125730
2023-12-26,93.8,96.92,93.4,96.92,681820
2023-12-27,96.94,99.28,95.72,98.7,900990
2023-12-28,98.04,98.28,95.6,96.78,533690
2023-12-29,96.56,96.56,94.0,94.0,505010
2024-01-03,93.0,95.48,92.2,94.0,294460
2024-01-04,94.36,96.46,94.0,96.46,343640
2024-01-05,96.44,96.9,94.76,95.62,314480
2024-01-08,95.62,96.82,95.62,96.46,275730
2024-01-09,96.46,97.3,94.8,95.0,297320
2024-01-10,95.5,95.82,93.4,94.5,508240
2024-01-11,94.8,96.46,93.84,95.1,1036850
2024-01-12,95.8,96.6,95.0,95.02,514120
2024-01-15,95.34,98.9,94.6,98.36,1727000
2024-01-16,98.48,98.48,96.04,96.44,622860
2024-01-17,96.44,97.3,95.5,97.12,372520
2024-01-18,97.48,99.24,95.2,95.68,1629780
2024-01-19,95.72,95.98,94.12,94.4,406490
2024-01-22,94.56,97.0,94.54,96.96,889140
2024-01-23,97.0,97.0,95.1,95.54,364950
2024-01-24,96.04,96.88,95.32,96.16,350290
2024-01-25,96.46,100.46,95.62,100.46,2392250
2024-01-26,100.3,101.9,98.52,99.12,3397360
2024-01-29,99.88,100.48,97.12,99.0,1084080
2024-01-30,99.0,99.46,97.02,97.48,917340
2024-01-31,98.0,98.5,96.22,98.3,1507230
2024-02-01,98.6,99.1,96.64,97.0,1200320
2024-02-02,97.48,97.48,95.72,97.0,836530
2024-02-05,97.2,97.32,95.0,95.0,1492850
2024-02-06,95.2,97.02,95.12,96.02,896040
2024-02-07,96.0,100.0,96.0,98.44,2971330
2024-02-08,99.5,100.7,97.2,98.16,2134430
2024-02-09,98.0,98.0,96.86,97.06,473940
2024-02-12,97.08,99.8,97.06,98.36,984190
2024-02-13,98.4,98.9,97.08,97.9,634080
2024-02-14,98.36,99.42,98.04,99.42,885810
2024-02-15,99.5,103.34,99.5,102.56,4354860
2024-02-16,102.62,103.42,99.2,100.1,1605540
2024-02-19,100.54,102.76,100.12,101.88,1356140
2024-02-20,102.44,103.2,100.12,101.98,1211160
2024-02-21,99.6,100.98,96.08,98.84,2162500
2024-02-22,98.84,100.16,98.32,99.0,750820
2024-02-26,100.62,102.8,100.62,102.5,1510690
2024-02-27,103.0,104.0,101.2,103.0,1238530
2024-02-28,103.74,103.82,101.3,101.6,1166960
2024-02-29,102.5,102.5,101.6,101.8,539290
2024-03-01,104.28,104.92,101.8,102.34,1813790
2024-03-04,102.94,103.42,101.66,102.0,1040610
2024-03-05,102.38,105.0,101.9,103.5,2078890
2024-03-06,103.96,105.5,103.5,105.0,1238380
2024-03-07,105.26,106.74,104.24,105.64,1566160
2024-03-11,106.8,107.4,105.68,105.9,1427600
2024-03-12,106.2,107.0,101.72,103.66,4513340
2024-03-13,103.78,103.86,101.18,101.3,2196520
2024-03-14,101.28,101.58,98.5,99.5,1835910
2024-03-15,99.62,100.64,98.96,100.38,908430
2024-03-18,100.62,103.3,100.18,102.22,3111410
2024-03-19,102.88,102.9,99.94,100.76,1029020
2024-03-20,100.78,100.86,99.24,100.5,802950
2024-03-21,100.48,101.58,99.94,101.0,1309000
2024-03-22,101.7,101.74,99.74,99.88,814930
2024-03-25,99.88,99.88,97.18,99.86,1466500
2024-03-26,99.38,101.66,99.38,100.14,995680
2024-03-27,100.96,100.98,99.82,100.42,401800
2024-03-28,101.2,101.2,100.0,100.1,586740
2024-03-29,100.3,100.78,99.92,100.24,605260
2024-04-01,101.18,102.36,100.82,102.28,1010160
2024-04-02,102.6,103.2,101.3,102.0,708810
2024-04-03,102.0,105.42,100.9,103.86,2116240
2024-04-04,103.88,104.94,102.5,102.58,819820
2024-04-05,102.58,102.92,101.18,101.64,516260
2024-04-08,102.46,102.46,101.5,101.78,551130
2024-04-09,101.78,102.16,100.0,100.22,926990
2024-04-10,100.3,101.78,99.18,101.58,2635410
2024-04-11,101.6,102.0,99.96,101.24,749630
2024-04-12,101.24,101.4,100.4,101.0,511260
2024-04-15,101.98,103.8,101.0,103.78,1803300
2024-04-16,103.7,106.22,102.58,105.92,2172190
2024-04-17,105.92,106.36,104.2,105.56,886060
2024-04-18,105.92,105.92,103.56,105.7,3540720
2024-04-19,105.7,108.98,105.16,107.1,2040710
2024-04-22,107.6,108.6,106.0,106.0,953740
2024-04-23,106.62,107.1,104.18,104.62,924540
2024-04-24,104.64,105.68,103.7,104.0,591960
2024-04-25,104.3,107.88,103.62,107.36,1434610
2024-04-26,107.36,108.0,105.62,105.7,704150
2024-04-27,107.3,107.3,105.7,107.14,346090
2024-04-29,107.18,107.36,106.3,107.04,179260
2024-04-30,107.18,110.4,106.92,108.06,969330
2024-05-02,108.7,109.7,107.3,108.5,878680
2024-05-03,108.5,109.0,105.92,109.0,704670
2024-05-06,108.62,108.72,106.18,106.34,486340
2024-05-07,106.96,107.7,105.98,107.52,468230
2024-05-08,107.5,108.14,107.16,107.46,268770
2024-05-10,107.16,107.46,106.24,106.24,211070
2024-05-13,106.94,107.2,106.04,106.78,422150
2024-05-14,106.8,108.4,106.4,108.3,544070
2024-05-15,108.6,109.14,107.14,108.0,600820
2024-05-16,108.28,109.9,107.7,109.88,892540
2024-05-17,109.88,111.14,109.2,111.12,883920
2024-05-20,112.0,112.98,109.3,112.96,2196640
2024-05-21,112.98,113.32,109.52,112.0,1043250
2024-05-22,112.0,112.0,110.42,110.76,534170
2024-05-23,110.76,110.76,108.54,109.0,459280
2024-05-24,109.0,110.02,104.94,106.2,3186330
2024-05-27,106.22,106.66,102.0,104.02,5643740
2024-05-28,104.0,106.0,102.8,104.16,882780
2024-05-29,104.16,104.58,102.8,104.32,506360
2024-05-30,104.38,106.32,103.04,103.94,863370
2024-05-31,103.92,103.92,99.9,100.32,1428600
2024-06-03,100.04,102.0,95.8,97.92,1280550
2024-06-04,99.12,103.0,98.12,102.38,1168310
2024-06-05,102.4,104.3,102.14,103.78,1036830
2024-06-06,103.78,104.04,101.06,102.34,686580
2024-06-07,103.1,105.9,102.36,105.68,1307610
2024-06-10,106.1,107.24,101.4,102.0,762510
2024-06-11,102.5,102.62,100.0,101.36,517580
2024-06-13,98.3,102.36,95.5,101.46,694450
2024-06-14,100.22,104.4,100.22,104.0,492900
2024-06-17,104.0,105.72,103.0,103.04,427740
2024-06-18,103.9,103.9,99.74,99.8,493680
2024-06-19,99.84,101.66,97.48,99.52,668370
2024-06-20,99.52,102.12,98.1,99.54,544600
2024-06-21,100.9,101.0,98.5,99.74,334020
2024-06-24,99.7,99.7,96.46,96.46,695210
2024-06-25,96.46,96.78,94.4,94.4,996740
2024-06-26,95.38,100.34,94.56,99.0,1517170
2024-06-27,99.02,99.78,97.0,97.1,438440
2024-06-28,97.48,98.6,97.26,98.16,317730
2024-07-01,98.18,98.88,97.2,97.5,239460
2024-07-02,98.24,99.7,96.76,98.12,1060640
2024-07-03,98.7,99.24,97.42,97.42,549800
2024-07-04,97.42,98.26,95.1,96.96,572930
2024-07-05,95.0,95.56,93.56,94.54,545020
2024-07-08,94.44,94.76,91.7,92.18,455920
2024-07-09,92.2,93.78,89.22,89.86,1213400
2024-07-10,89.5,89.52,83.5,86.0,1101930
2024-07-11,85.7,88.84,85.36,88.22,662060
2024-07-12,88.82,92.9,87.66,92.14,887910
2024-07-15,92.7,92.76,89.22,90.0,319470
2024-07-16,89.8,89.8,86.68,87.56,525390
2024-07-17,87.98,90.08,87.64,87.9,376560
2024-07-18,87.9,90.8,86.94,89.86,318270
2024-07-19,90.0,92.58,89.98,92.58,225120
2024-07-22,92.6,93.3,90.0,91.1,801490
2024-07-23,91.7,91.7,90.14,91.3,190460
2024-07-24,91.5,91.9,90.74,91.42,176780
2024-07-25,91.42,91.64,89.92,90.0,331740
2024-07-26,90.42,92.3,88.54,88.78,809450
2024-07-29,88.54,88.64,85.0,85.0,529800
2024-07-30,85.5,86.74,84.52,86.0,887250
2024-07-31,86.76,90.52,86.76,88.9,1383100
2024-08-01,88.9,91.28,88.6,90.06,708270
2024-08-02,90.06,90.08,87.2,87.5,662790
2024-08-05,87.0,87.02,84.48,85.56,496940
2024-08-06,87.2,89.78,86.06,89.0,886620
2024-08-07,89.2,95.26,89.08,94.06,1774930
2024-08-08,94.26,94.46,90.84,92.6,1183160
2024-08-09,91.7,94.94,91.7,92.96,431170
2024-08-12,91.46,93.0,90.92,92.76,324050
2024-08-13,92.76,94.5,92.3,94.5,291320
2024-08-14,94.5,96.7,92.54,94.66,490460
2024-08-15,95.08,95.9,93.22,94.5,965420
2024-08-16,94.1,95.9,93.0,95.5,325920
2024-08-19,94.48,95.7,93.22,94.34,365720
2024-08-20,94.0,96.58,93.9,96.26,490440
2024-08-21,96.44,97.92,95.7,95.7,1314360
