TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.1798,0.19,0.1784,0.1828,10022000
2023-01-04,0.1828,0.188,0.1782,0.179,10035000
2023-01-05,0.1808,0.1818,0.1704,0.179,18955000
2023-01-06,0.1796,0.181,0.1746,0.1772,7487000
2023-01-09,0.1754,0.1844,0.175,0.179,10160000
2023-01-10,0.1788,0.1836,0.177,0.182,15505000
2023-01-11,0.1814,0.1844,0.1784,0.1826,10693000
2023-01-12,0.183,0.185,0.1786,0.181,13281000
2023-01-13,0.1804,0.1848,0.1794,0.1806,12814000
2023-01-16,0.1824,0.1842,0.1796,0.1806,10578000
2023-01-17,0.1828,0.1828,0.1692,0.174,36467000
2023-01-18,0.1746,0.1766,0.1708,0.1748,12474000
2023-01-19,0.1744,0.177,0.1716,0.1726,3979000
2023-01-20,0.1748,0.1756,0.1716,0.1748,4747000
2023-01-23,0.1748,0.1768,0.1728,0.174,6321000
2023-01-24,0.176,0.1774,0.1722,0.1748,5858000
2023-01-25,0.174,0.175,0.1726,0.1726,4165000
2023-01-26,0.173,0.1882,0.173,0.1768,31535000
2023-01-27,0.1756,0.1908,0.175,0.1796,31628000
2023-01-30,0.1796,0.184,0.1774,0.18,6022000
2023-01-31,0.18,0.182,0.177,0.1778,9452000
2023-02-01,0.1786,0.1834,0.177,0.1796,10502000
2023-02-02,0.1798,0.1804,0.1766,0.1796,7378000
2023-02-03,0.1798,0.1802,0.1772,0.1792,4975000
2023-02-06,0.18,0.1838,0.1778,0.1816,6113000
2023-02-07,0.1824,0.1948,0.1802,0.1854,58587000
2023-02-08,0.1872,0.1948,0.1814,0.1892,27739000
2023-02-09,0.1944,0.2056,0.1892,0.2032,51802000
2023-02-10,0.204,0.209,0.19,0.1952,24520000
2023-02-13,0.1994,0.2028,0.1902,0.192,10752000
2023-02-14,0.192,0.197,0.179,0.182,39685000
2023-02-15,0.1832,0.1834,0.175,0.1788,13444000
2023-02-16,0.1776,0.1828,0.175,0.1798,13131000
2023-02-17,0.179,0.182,0.1774,0.1784,4174000
2023-02-20,0.1798,0.1798,0.1704,0.1748,15267000
2023-02-21,0.176,0.1832,0.1702,0.1792,14591000
