TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,6040,6080,5910,5980,39
2023-01-04,6010,6200,5870,6000,605
2023-01-05,6150,6940,6030,6150,3663
2023-01-06,6220,6250,6050,6080,238
2023-01-09,6090,6180,6000,6120,405
2023-01-10,6150,6530,6070,6260,1084
2023-01-11,6280,6400,6170,6340,214
2023-01-12,6340,6390,6250,6250,156
2023-01-13,6270,6440,6170,6250,259
2023-01-16,6240,6440,6240,6340,362
2023-01-17,6370,7400,6270,6620,8304
2023-01-18,6740,9220,6550,9220,41120
2023-01-19,9100,9780,7570,7840,11761
2023-01-20,7800,9280,7670,8310,25030
2023-01-23,8400,11500,8400,10630,46339
2023-01-24,10500,14520,10200,14520,49535
2023-01-25,14400,15960,14100,15960,19502
2023-01-26,16600,17540,16290,17540,10032
2023-01-27,18850,19270,14450,16110,29199
2023-01-30,16180,17700,14340,15150,11070
2023-01-31,15270,15970,13600,13930,5872
2023-02-01,14250,14250,12910,13320,3373
2023-02-02,13280,14640,12800,14640,10200
2023-02-03,15360,16090,14700,15140,13799
2023-02-06,15500,16220,14240,14850,5040
2023-02-07,14850,14850,13800,14420,3868
2023-02-08,15860,15860,14700,14900,9577
2023-02-09,15160,15250,14200,14480,2003
2023-02-10,14420,14420,14000,14070,808
2023-02-13,14000,15100,14000,14270,4855
2023-02-14,14270,14680,14000,14290,2054
2023-02-15,14300,14300,13020,13230,1505
2023-02-16,13230,15070,13000,13440,4568
2023-02-17,13700,13800,13310,13380,972
2023-02-20,13340,14680,13050,13550,5807
2023-02-21,13560,14520,13560,14400,3134
2023-02-22,14800,14810,14000,14220,1396
2023-02-24,14200,14640,14200,14240,1038
2023-02-27,14250,14480,14210,14240,488
2023-02-28,14450,14740,13280,14390,2448
2023-03-01,14350,14700,14330,14700,1192
2023-03-02,14780,14800,14000,14270,1322
2023-03-03,14410,14470,14010,14240,543
2023-03-06,14270,14490,14100,14280,514
2023-03-07,14390,14490,14210,14230,492
2023-03-09,14210,14340,14160,14210,301
2023-03-10,14170,14250,14010,14100,350
2023-03-13,14300,14300,13980,14030,380
2023-03-14,14100,14120,13900,14000,422
2023-03-15,14000,14290,13980,14050,757
2023-03-16,13920,14180,13500,13910,596
2023-03-17,14000,14000,13630,13870,304
2023-03-20,14000,14000,13740,13760,296
2023-03-21,13980,14900,13800,14620,8460
2023-03-22,14630,14790,14220,14390,1194
2023-03-23,14390,14550,14230,14310,640
2023-03-24,14480,16000,14420,14610,9928
2023-03-27,14600,15550,14470,14980,3692
2023-03-28,15240,15350,14700,14810,1345
2023-03-29,14880,15150,14470,14680,1218
2023-03-30,14760,14860,14320,14550,1053
2023-03-31,14550,14570,14100,14190,1841
2023-04-03,14270,14430,14100,14280,1045
2023-04-04,14430,14520,14110,14370,1364
2023-04-05,14380,14430,14120,14290,796
2023-04-06,14380,15750,14270,15350,8685
2023-04-07,15360,15730,14540,14900,3564
2023-04-10,15010,17900,14740,17300,37750
2023-04-11,17500,17700,15510,16440,7624
2023-04-12,16790,19480,16780,18770,58320
2023-04-13,18770,18970,17500,17510,5983
2023-04-14,17580,17830,16910,17060,2242
2023-04-17,17520,17520,17010,17170,1423
2023-04-18,17200,17290,17000,17130,724
2023-04-19,17130,17980,17040,17210,3005
2023-04-20,17390,17490,16950,17020,1144
2023-04-21,17220,17340,16520,16980,1014
2023-04-24,17060,17550,16360,16570,5563
2023-04-25,16570,16590,16230,16340,665
2023-04-26,16360,16660,16360,16600,509
2023-04-27,16640,16640,16210,16260,584
2023-04-28,16510,16510,15780,15980,1861
2023-05-02,15980,15980,14100,14710,3378
2023-05-03,14710,14890,13710,14060,1457
2023-05-04,14320,14600,13820,14070,951
2023-05-05,14140,14400,14130,14190,206
2023-05-08,14160,14300,13900,14000,340
2023-05-10,14250,14550,14070,14290,433
2023-05-11,14360,15650,14340,15590,3717
2023-05-12,15290,15380,14800,15090,1282
2023-05-15,15120,15300,15040,15110,273
2023-05-16,15180,15370,14370,14950,821
2023-05-17,15000,15000,14580,14800,299
2023-05-18,14890,15160,14800,14900,917
2023-05-19,14950,14990,14470,14570,462
2023-05-22,14810,15550,14410,14870,2798
2023-05-23,14980,15380,14840,15000,837
2023-05-24,15020,15130,14900,14980,322
2023-05-25,14830,15010,14600,14730,427
2023-05-26,14700,14980,14500,14590,574
2023-05-29,14550,14870,13900,14580,915
2023-05-30,14580,14700,14200,14280,966
2023-05-31,14200,14580,14190,14430,356
2023-06-01,14430,14450,14200,14330,262
2023-06-02,14390,14550,14260,14300,436
2023-06-05,14300,14530,14210,14210,221
2023-06-06,14220,14350,13900,14220,316
2023-06-07,14170,14490,14010,14180,362
2023-06-08,14190,15000,14070,14110,1216
2023-06-09,14110,14290,14090,14110,357
2023-06-13,14210,14430,14100,14240,279
2023-06-14,14250,14500,14230,14430,368
2023-06-15,14510,14700,14390,14450,453
2023-06-16,14490,14510,14320,14330,250
2023-06-19,14310,14460,14000,14290,372
2023-06-20,14320,14820,14290,14450,1106
2023-06-21,14310,14650,14300,14620,497
2023-06-22,14620,16280,14620,15400,13471
2023-06-23,15350,15410,14790,14940,1188
2023-06-26,15200,15200,14630,14680,647
2023-06-27,14850,15200,14560,14770,724
2023-06-28,14710,14820,14620,14720,208
2023-06-29,14860,15490,14670,14770,1405
2023-06-30,14870,14870,14610,14640,335
2023-07-03,14660,15050,14640,14690,329
2023-07-04,14710,14880,14300,14640,561
2023-07-05,14680,15000,14520,14680,318
2023-07-06,14690,14690,14510,14510,213
2023-07-07,14520,14560,14420,14500,170
2023-07-10,14660,14900,14550,14620,307
2023-07-11,14620,14680,14570,14640,135
2023-07-12,14660,15470,14550,15050,2782
2023-07-13,14790,15180,14780,14800,521
2023-07-14,15060,15140,14820,14900,842
2023-07-17,15040,15060,14870,14900,275
2023-07-18,15030,15240,14820,15120,1163
2023-07-19,15280,16890,15180,15990,12018
2023-07-20,16050,16300,15310,15630,1453
2023-07-21,15640,15750,15330,15530,564
2023-07-24,15550,16550,15530,16500,3378
2023-07-25,16530,16990,16200,16670,2238
2023-07-26,16680,16880,16210,16350,911
2023-07-27,16590,16600,15720,16090,1634
2023-07-28,16250,16300,15700,16090,761
2023-07-31,16270,16500,16010,16380,1357
2023-08-01,16440,16560,16260,16400,477
2023-08-02,16480,19350,16300,19290,27264
2023-08-03,19300,20930,18230,19810,29158
2023-08-04,19800,19800,17570,18500,4552
2023-08-07,18610,19300,18580,18800,1510
2023-08-08,18800,18820,17860,18140,1025
2023-08-09,18140,20210,18060,19610,4345
2023-08-10,19800,20500,19210,19980,3494
2023-08-11,21970,23950,21050,23380,23704
2023-08-14,24000,28010,23500,28010,23612
2023-08-15,28210,33590,25560,33590,23296
2023-08-16,36940,40280,36940,40280,3283
2023-08-17,44270,44270,44270,44270,1565
2023-08-18,48590,48590,36390,39850,26235
2023-08-21,35870,35870,31720,31720,4372
2023-08-22,28550,34150,25500,32890,23780
2023-08-23,34300,35480,32240,33170,8883
2023-08-24,33090,33300,31070,31860,2377
2023-08-25,32000,33390,30440,33310,4542
2023-08-28,33860,34500,32110,32950,3744
2023-08-29,32950,33490,32100,32390,2809
2023-08-30,32410,32410,31530,31810,975
2023-08-31,31810,31850,30900,31300,1042
2023-09-01,31000,33200,30960,32200,4707
2023-09-04,32920,34410,30950,33200,5936
2023-09-05,33420,33500,31840,32600,1694
2023-09-06,32680,33410,32000,32250,923
2023-09-07,32600,33800,29420,31400,2857
2023-09-08,31590,32000,29480,30410,901
2023-09-11,30990,32600,30110,30960,2382
2023-09-12,30960,31770,30620,31340,711
2023-09-13,32750,37580,32130,37580,24974
2023-09-14,38000,42690,30050,33800,28148
2023-09-15,36000,37130,31560,36620,10700
2023-09-18,37000,37990,33710,34570,5101
2023-09-19,34590,34650,32400,32800,1942
2023-09-20,32600,32720,30500,31620,1307
2023-09-21,31500,31790,30500,30500,800
2023-09-22,30500,33500,30390,31350,3918
2023-09-25,31000,33000,31000,32120,1241
2023-09-26,32130,32420,31690,32070,412
2023-09-27,32070,32850,31900,31980,1049
2023-09-28,32400,33980,31900,32100,2704
2023-09-29,31900,32270,31500,31610,629
2023-10-02,31620,32700,31500,31610,982
2023-10-03,31410,31630,30500,30750,1001
2023-10-04,30780,32000,30610,30910,660
2023-10-05,30510,31080,30510,30770,273
2023-10-06,30670,33200,30650,31010,3912
2023-10-09,31250,31840,30600,30940,846
2023-10-10,30940,31300,30900,31020,315
2023-10-11,31010,32230,30650,31860,1702
2023-10-12,31120,31750,30650,31080,1028
2023-10-13,31090,31540,30810,30810,484
2023-10-16,30860,31190,30860,31010,446
2023-10-17,30870,31120,30870,31120,462
2023-10-18,30910,31440,30780,30790,989
2023-10-19,30750,30870,30000,30600,962
2023-10-20,30660,30770,30030,30150,399
2023-10-23,30150,30370,30000,30010,432
2023-10-24,30020,30920,29120,30100,1037
2023-10-25,30150,30400,28050,28410,2871
2023-10-26,28480,29060,28160,28550,1298
2023-10-27,29650,32250,28200,28580,10295
2023-10-30,28310,28790,28010,28120,798
2023-10-31,28200,28200,26320,26620,1729
2023-11-01,27000,27900,26410,26970,1451
2023-11-02,27150,27150,26660,26690,353
2023-11-03,26920,26920,26210,26330,420
2023-11-06,26330,26400,25700,25870,639
2023-11-07,26040,26040,25300,25380,515
2023-11-08,25380,25470,24210,24330,2277
2023-11-09,24230,24230,23050,23360,1410
2023-11-10,22640,23500,21760,21870,1663
2023-11-13,21880,21880,20000,20020,1924
2023-11-14,20000,20000,18020,19100,1630
2023-11-15,19030,22380,18750,21670,4437
2023-11-16,21790,26280,20870,25810,10179
2023-11-17,25890,27700,23600,24910,7918
2023-11-20,24910,26390,23800,24030,2193
2023-11-21,23700,25450,22650,24350,2563
2023-11-22,24940,25600,24000,24500,1769
2023-11-23,24870,25100,21890,22290,1169
2023-11-24,22980,24320,22490,22970,1779
2023-11-27,23420,24000,22600,22600,732
2023-11-28,23080,23150,22110,22500,748
2023-11-29,22700,23990,22600,23700,2142
2023-11-30,24000,24470,22700,23100,949
2023-12-01,23400,23400,22700,22700,358
2023-12-04,22950,24890,20600,23990,5888
2023-12-05,23990,23990,21860,23410,1937
2023-12-06,24000,24000,22200,22220,685
2023-12-07,23110,24300,22700,23430,2222
2023-12-08,23720,23720,22800,22890,498
2023-12-11,22890,23160,22220,22660,486
2023-12-12,22410,22740,21270,21600,796
2023-12-13,21600,23900,21600,22600,3107
2023-12-14,23300,23440,22300,22300,618
2023-12-15,22900,22900,22110,22410,411
2023-12-18,22650,23500,22600,22950,851
2023-12-19,23090,25550,23090,23840,4691
2023-12-20,24500,25610,23800,24730,3274
2023-12-21,25090,25200,23800,24390,1477
2023-12-22,24380,25140,23930,24310,2051
2023-12-25,24640,26700,24550,25110,5184
2023-12-26,25300,26200,24820,25310,1812
2023-12-27,25500,26100,25080,25800,2805
2023-12-28,25810,26500,25080,25270,1544
2023-12-29,25200,25650,23970,24360,1266
2024-01-03,24460,25150,24010,24890,685
2024-01-04,24840,26800,24840,26800,3288
2024-01-05,27020,27390,26130,27010,4276
2024-01-08,27260,28600,26900,27100,3288
2024-01-09,27390,27390,25900,26590,1718
2024-01-10,26770,27520,26100,26560,1735
2024-01-11,26510,27580,26030,27090,3999
2024-01-12,27180,28680,26830,27520,6092
2024-01-15,27520,28450,27400,27500,2519
2024-01-16,27660,27660,27110,27540,655
2024-01-17,27540,28110,27400,27500,1133
2024-01-18,27800,27800,27200,27220,506
2024-01-19,27550,27550,26210,27020,848
2024-01-22,27540,27980,26370,27380,1319
2024-01-23,27280,27500,26600,27080,1018
2024-01-24,27200,28080,26850,27000,2733
2024-01-25,27200,27270,26310,26840,657
2024-01-26,26840,27020,26200,26720,879
2024-01-29,26720,26960,26200,26480,552
2024-01-30,26640,26760,26040,26150,804
2024-01-31,26150,26960,26150,26870,1021
2024-02-01,27000,27000,26300,26340,470
2024-02-02,26360,26540,26150,26150,273
2024-02-05,26090,26490,25250,26170,780
2024-02-06,26480,26480,26030,26280,225
2024-02-07,26260,26360,26100,26290,397
2024-02-08,26210,26330,25970,26010,343
2024-02-09,26280,26280,25820,25820,289
2024-02-12,25820,26130,25040,25470,420
2024-02-13,25450,26120,25450,25900,317
2024-02-14,26250,26250,25860,25970,240
2024-02-15,26170,26170,25520,25660,346
2024-02-16,25660,25870,25440,25520,217
2024-02-19,25520,25520,24730,24800,799
2024-02-20,24780,24800,24200,24200,395
2024-02-21,24020,24050,22440,23210,666
2024-02-22,23210,26160,23210,24810,2285
2024-02-26,24850,25700,24520,25540,1058
2024-02-27,25940,25940,24640,25050,479
2024-02-28,25340,25340,24680,24760,278
2024-02-29,25000,25500,24630,24800,885
2024-03-01,24900,25300,24700,24710,336
2024-03-04,24700,24950,24500,24510,339
2024-03-05,24660,24670,24020,24260,437
2024-03-06,24260,24450,23810,24040,347
2024-03-07,24040,24120,23520,23910,402
2024-03-11,23950,24300,23510,24070,477
2024-03-12,24240,24260,23900,23970,187
2024-03-13,24140,24500,24000,24050,539
2024-03-14,24270,24270,23620,23760,649
2024-03-15,23880,23930,23420,23640,308
2024-03-18,23650,25160,23650,24040,1097
2024-03-19,24040,24460,23730,24070,383
2024-03-20,24180,24180,23560,23800,324
2024-03-21,23810,24990,23800,24180,868
2024-03-22,24200,24270,23700,23960,478
2024-03-25,23970,24150,23800,23910,350
2024-03-26,23910,24050,23890,24010,266
2024-03-27,24010,24350,23820,24350,472
2024-03-28,24500,25400,24360,24900,1530
2024-03-29,25280,26040,24670,25600,1946
2024-04-01,26000,27480,25740,27290,3087
2024-04-02,27040,27200,26520,26850,1185
2024-04-03,26800,26870,26210,26650,890
2024-04-04,26400,26790,26100,26430,601
2024-04-05,26670,32190,26350,32190,35088
2024-04-08,33230,35340,31130,31600,31128
2024-04-09,31720,34500,30360,32150,17067
2024-04-10,32980,35330,31320,35330,25318
2024-04-11,36000,38090,32520,33180,29655
2024-04-12,33500,34100,31300,31420,8969
2024-04-15,31780,32370,29800,30000,4602
2024-04-16,30250,30250,28730,28930,3181
2024-04-17,29280,29280,27880,28400,2421
2024-04-18,28450,29370,28160,28630,1586
2024-04-19,28630,28880,28170,28290,998
2024-04-22,28720,28830,28380,28660,705
2024-04-23,28770,30390,28670,29440,2740
2024-04-24,29310,29880,28490,28680,1033
2024-04-25,28670,28700,28060,28110,538
2024-04-26,28120,28580,27790,28290,489
2024-04-27,28340,28480,28060,28180,302
2024-04-29,28110,28130,27840,27840,288
2024-04-30,27750,28000,27460,27500,418
2024-05-02,27780,28460,27630,27880,817
2024-05-03,28260,28260,27450,27510,525
2024-05-06,27570,27730,27180,27330,461
2024-05-07,27540,28720,27200,28140,1976
2024-05-08,28230,28490,27440,27470,694
2024-05-10,27410,27640,27410,27500,104
2024-05-13,27540,28900,27540,27690,898
2024-05-14,27890,28050,27280,27440,733
2024-05-15,27870,28160,27420,27470,351
2024-05-16,27510,27690,27460,27500,224
2024-05-17,27890,27890,27370,27480,336
2024-05-20,27480,27800,27400,27460,320
2024-05-21,27520,27520,26240,26510,627
2024-05-22,26570,27170,26510,26820,176
2024-05-23,26870,27010,26150,26200,449
2024-05-24,26200,26460,25200,25310,493
2024-05-27,25160,25350,23390,23800,691
2024-05-28,23800,26610,23010,25090,1882
2024-05-29,25320,26510,24150,24500,877
