TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,24500,24500,23400,23600,7
2023-01-04,24400,24600,23600,23600,7
2023-01-05,23600,23600,23600,23600,1
2023-01-06,23500,29500,23500,24200,126
2023-01-09,24300,24600,23500,24200,29
2023-01-10,24200,24200,23600,23800,5
2023-01-11,24100,24700,23900,23900,7
2023-01-12,26700,26700,23800,23800,12
2023-01-13,24300,25000,24300,24500,6
2023-01-16,24700,24900,24600,24900,4
2023-01-17,24700,24700,23200,24200,12
2023-01-18,24300,24300,24300,24300,1
2023-01-19,23700,24000,23700,24000,22
2023-01-20,24100,24400,23800,24300,19
2023-01-23,24000,24000,24000,24000,2
2023-01-24,23700,24000,23700,24000,2
2023-01-25,24000,24000,24000,24000,1
2023-01-26,24100,24100,24100,24100,3
2023-01-27,24100,24200,23800,23900,9
2023-01-30,23800,24000,23200,23700,24
2023-01-31,23400,24000,23400,23800,11
2023-02-01,24100,25000,24100,24700,27
2023-02-02,24900,24900,24400,24400,8
2023-02-03,24400,24600,23800,24600,12
2023-02-06,24700,25500,24100,24100,20
2023-02-07,24300,25400,24300,25000,14
2023-02-08,24600,24900,24000,24900,11
2023-02-09,24800,25000,24000,24600,20
2023-02-10,24200,25100,24200,24800,12
2023-02-13,24700,25200,24500,24700,8
2023-02-14,24800,25100,24800,25000,9
2023-02-15,24900,25200,24300,24400,13
2023-02-16,24700,24800,24200,24200,9
2023-02-17,24600,24600,24100,24600,4
2023-02-20,24200,25400,24200,24300,8
2023-02-21,25000,25700,25000,25600,31
2023-02-22,25600,25600,25100,25100,4
2023-02-24,25200,25600,25200,25500,7
2023-02-27,25200,26500,25200,26200,88
2023-02-28,26200,26800,25000,25900,61
2023-03-01,26100,26500,26100,26500,10
2023-03-02,26200,26500,25600,25600,18
2023-03-03,25900,26200,25800,26100,4
2023-03-06,26100,26200,25900,25900,3
2023-03-07,26300,36200,26300,29300,738
2023-03-09,29300,37000,29300,33400,1163
2023-03-10,32100,37200,31600,34400,341
2023-03-13,33300,34400,32300,33700,123
2023-03-14,32900,34100,32900,33400,33
2023-03-15,33100,33300,32000,33300,25
2023-03-16,32800,32800,32200,32500,26
2023-03-17,32500,33000,31600,32200,51
2023-03-20,32200,32400,31800,32300,31
2023-03-21,32100,32200,31800,31900,7
2023-03-22,31800,32300,31500,31900,24
2023-03-23,31900,33000,31100,31700,27
2023-03-24,31600,32200,31600,32200,8
2023-03-27,32200,32200,31800,32200,8
2023-03-28,32100,32300,31900,32200,14
2023-03-29,32200,32200,32200,32200,1
2023-03-30,32100,32100,31800,31900,10
2023-03-31,31900,31900,31500,31600,10
