TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.597,0.625,0.59,0.621,246000
2023-01-04,0.616,0.656,0.587,0.589,2263000
2023-01-05,0.6,0.6,0.563,0.577,780000
2023-01-06,0.58,0.584,0.572,0.58,143000
2023-01-09,0.58,0.58,0.564,0.577,795000
2023-01-10,0.574,0.574,0.569,0.574,199000
2023-01-11,0.574,0.606,0.574,0.602,870000
2023-01-12,0.602,0.63,0.594,0.603,393000
2023-01-13,0.616,0.618,0.583,0.591,402000
2023-01-16,0.602,0.609,0.594,0.599,113000
2023-01-17,0.599,0.6,0.56,0.593,315000
2023-01-18,0.591,0.599,0.59,0.596,189000
2023-01-19,0.597,0.597,0.579,0.592,31000
2023-01-20,0.596,0.597,0.566,0.588,132000
2023-01-23,0.588,0.592,0.576,0.59,92000
2023-01-24,0.597,0.597,0.588,0.59,37000
2023-01-25,0.594,0.611,0.594,0.597,279000
2023-01-26,0.597,0.603,0.597,0.6,44000
2023-01-27,0.599,0.599,0.56,0.587,416000
2023-01-30,0.587,0.592,0.587,0.592,52000
2023-01-31,0.591,0.598,0.591,0.593,44000
2023-02-01,0.593,0.595,0.588,0.593,50000
2023-02-02,0.597,0.608,0.587,0.598,738000
2023-02-03,0.599,0.599,0.59,0.592,40000
2023-02-06,0.591,0.603,0.589,0.6,337000
2023-02-07,0.605,0.605,0.594,0.598,91000
2023-02-08,0.6,0.603,0.595,0.596,443000
2023-02-09,0.599,0.604,0.599,0.601,294000
2023-02-10,0.602,0.602,0.599,0.602,77000
2023-02-13,0.606,0.65,0.587,0.611,2586000
2023-02-14,0.634,0.85,0.619,0.68,26025000
2023-02-15,0.689,0.697,0.609,0.609,2968000
2023-02-16,0.619,0.738,0.619,0.628,6177000
2023-02-17,0.63,0.638,0.592,0.626,2297000
2023-02-20,0.614,0.633,0.613,0.619,1092000
2023-02-21,0.628,0.648,0.622,0.637,499000
2023-02-22,0.635,0.64,0.627,0.631,105000
2023-02-24,0.633,0.633,0.625,0.625,71000
2023-02-27,0.626,0.648,0.623,0.642,268000
2023-02-28,0.64,0.777,0.605,0.661,9724000
2023-03-01,0.671,0.695,0.652,0.688,939000
2023-03-02,0.696,0.698,0.653,0.668,855000
2023-03-03,0.668,0.675,0.656,0.671,214000
2023-03-06,0.68,0.684,0.67,0.678,364000
2023-03-07,0.678,0.681,0.665,0.674,370000
