TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.594,0.602,0.59,0.598,242000
2023-01-04,0.6,0.62,0.592,0.612,1200000
2023-01-05,0.612,0.63,0.606,0.61,292000
2023-01-06,0.61,0.61,0.6,0.6,73000
2023-01-09,0.604,0.61,0.6,0.61,39000
2023-01-10,0.606,0.608,0.598,0.608,73000
2023-01-11,0.608,0.626,0.602,0.624,259000
2023-01-12,0.628,0.66,0.612,0.616,1224000
2023-01-13,0.618,0.636,0.616,0.62,164000
2023-01-16,0.618,0.624,0.598,0.612,264000
2023-01-17,0.612,0.63,0.606,0.63,256000
2023-01-18,0.632,0.662,0.632,0.642,402000
2023-01-19,0.646,0.66,0.638,0.65,127000
2023-01-20,0.648,0.648,0.632,0.64,77000
2023-01-23,0.636,0.648,0.632,0.636,81000
2023-01-24,0.636,0.648,0.634,0.634,125000
2023-01-25,0.636,0.636,0.622,0.628,158000
2023-01-26,0.632,0.65,0.626,0.63,83000
2023-01-27,0.628,0.632,0.622,0.63,54000
2023-01-30,0.63,0.63,0.616,0.624,189000
2023-01-31,0.622,0.628,0.616,0.628,75000
2023-02-01,0.626,0.63,0.622,0.626,70000
2023-02-02,0.632,0.632,0.62,0.62,46000
2023-02-03,0.62,0.622,0.62,0.62,10000
2023-02-06,0.62,0.624,0.618,0.622,30000
2023-02-07,0.624,0.628,0.616,0.62,33000
2023-02-08,0.624,0.65,0.614,0.638,374000
2023-02-09,0.622,0.634,0.608,0.624,655000
2023-02-10,0.624,0.628,0.622,0.628,21000
2023-02-13,0.634,0.642,0.616,0.618,1120000
2023-02-14,0.624,0.842,0.618,0.704,14452000
2023-02-15,0.72,0.724,0.646,0.66,1395000
2023-02-16,0.66,0.83,0.632,0.674,8420000
2023-02-17,0.686,0.686,0.63,0.642,570000
2023-02-20,0.65,0.67,0.632,0.632,556000
2023-02-21,0.658,0.68,0.648,0.67,421000
2023-02-22,0.664,0.716,0.644,0.674,489000
2023-02-24,0.662,0.67,0.64,0.644,486000
2023-02-27,0.65,0.68,0.65,0.676,611000
2023-02-28,0.68,0.78,0.666,0.72,3686000
2023-03-01,0.7,0.734,0.7,0.734,1139000
2023-03-02,0.736,0.75,0.7,0.71,544000
2023-03-03,0.714,0.714,0.702,0.71,519000
2023-03-06,0.71,0.722,0.698,0.722,430000
2023-03-07,0.712,0.74,0.712,0.736,263000
2023-03-09,0.74,0.74,0.71,0.734,266000
2023-03-10,0.736,0.75,0.718,0.738,817000
2023-03-13,0.732,0.736,0.722,0.726,218000
2023-03-14,0.742,0.786,0.728,0.728,1375000
2023-03-15,0.74,0.748,0.732,0.734,764000
2023-03-16,0.734,0.734,0.714,0.722,381000
2023-03-17,0.726,0.726,0.708,0.716,418000
2023-03-20,0.714,0.72,0.714,0.718,100000
2023-03-21,0.712,0.732,0.712,0.718,411000
2023-03-22,0.718,0.724,0.69,0.716,540000
2023-03-23,0.722,0.73,0.72,0.72,82000
2023-03-24,0.724,0.724,0.72,0.72,11000
2023-03-27,0.714,0.728,0.714,0.728,125000
2023-03-28,0.728,0.74,0.718,0.722,50000
2023-03-29,0.728,0.73,0.718,0.72,198000
2023-03-30,0.726,0.726,0.716,0.72,81000
2023-03-31,0.72,0.72,0.714,0.72,95000
2023-04-03,0.728,0.728,0.716,0.722,160000
2023-04-04,0.724,0.726,0.718,0.726,341000
2023-04-05,0.726,0.768,0.726,0.756,1068000
2023-04-06,0.764,1.068,0.764,1.068,14415000
2023-04-07,1.172,1.494,1.01,1.07,24625000
2023-04-10,1.07,1.178,1.01,1.074,6322000
2023-04-11,1.07,1.076,1.034,1.046,1207000
2023-04-12,1.044,1.076,1.04,1.074,832000
2023-04-13,1.1,1.15,1.07,1.086,2022000
2023-04-14,1.088,1.088,1.044,1.076,999000
2023-04-17,1.08,1.1,1.044,1.098,658000
2023-04-18,1.076,1.11,1.066,1.072,429000
2023-04-19,1.078,1.098,1.076,1.096,503000
