TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,40.26,41.07,40.13,40.9,4050220
2023-01-04,41.0,41.0,40.5,40.82,2624690
2023-01-05,40.7,40.845,40.38,40.565,1935030
2023-01-06,40.665,40.8,40.4,40.62,1350330
2023-01-09,40.73,40.88,40.55,40.695,4068350
2023-01-10,40.72,40.72,40.01,40.545,3874820
2023-01-11,40.655,41.11,40.445,40.87,5848700
2023-01-12,40.99,40.99,40.465,40.72,3339280
2023-01-13,40.735,40.855,40.475,40.77,3792050
2023-01-16,41.19,41.505,40.82,41.47,9400800
2023-01-17,41.6,41.9,41.05,41.26,15151500
2023-01-18,41.26,41.7,40.63,41.285,9806800
2023-01-19,41.285,41.38,40.0,40.26,13321790
2023-01-20,40.105,40.99,40.045,40.895,5946380
2023-01-23,40.61,41.145,40.435,41.07,9339860
2023-01-24,41.18,41.4,40.83,41.18,13730140
2023-01-25,41.05,41.325,40.655,41.27,6906270
2023-01-26,41.16,41.48,40.905,41.37,6415860
2023-01-27,41.235,42.35,41.235,42.115,18179470
2023-01-30,42.4,42.695,41.54,41.99,10219860
2023-01-31,42.005,42.545,41.745,42.5,8848600
2023-02-01,42.5,43.0,42.1,42.65,12743050
2023-02-02,43.095,43.095,42.395,42.565,9647830
2023-02-03,42.565,42.565,41.42,42.235,9050210
2023-02-06,42.2,42.7,40.495,41.455,43384450
2023-02-07,41.405,41.43,40.45,41.015,28497590
2023-02-08,41.1,41.79,40.61,41.31,31317370
2023-02-09,41.43,41.8,41.29,41.415,9710490
2023-02-10,41.43,41.645,41.31,41.43,4613560
2023-02-13,41.4,41.47,40.925,41.12,6058650
2023-02-14,41.12,41.125,40.005,40.27,8322930
2023-02-15,40.27,40.27,37.025,38.23,26333070
2023-02-16,38.885,39.555,38.1,39.025,12380510
2023-02-17,38.79,39.155,37.815,38.71,13753320
2023-02-20,38.5,39.695,38.02,39.54,16854550
2023-02-21,39.855,40.375,39.315,39.795,13431800
2023-02-22,39.875,40.195,39.3,40.05,8266760
2023-02-24,40.175,40.23,39.1,39.38,10974210
2023-02-27,38.9,39.64,38.375,39.635,10211910
2023-02-28,39.69,39.97,39.355,39.765,7507640
2023-03-01,39.91,41.2,39.835,41.17,15511120
2023-03-02,41.18,41.195,40.53,40.725,13546400
2023-03-03,40.725,41.4,40.65,41.295,6761960
2023-03-06,41.3,41.695,41.115,41.345,4929590
2023-03-07,41.2,41.475,41.0,41.42,4355630
2023-03-09,41.39,41.67,40.965,41.31,5407570
2023-03-10,41.15,41.485,40.97,41.35,3871110
2023-03-13,41.395,41.935,40.525,41.095,11529590
2023-03-14,41.09,41.345,40.605,41.01,3987090
2023-03-15,41.095,41.205,39.82,40.12,8648500
2023-03-16,40.275,40.275,39.55,39.88,8752250
2023-03-17,39.85,40.25,39.625,40.03,8280390
2023-03-20,40.14,41.095,39.83,40.91,10889280
2023-03-21,41.0,41.08,40.3,40.57,8048730
2023-03-22,40.57,40.955,40.145,40.665,4665470
2023-03-23,40.505,41.5,40.505,41.27,10156020
2023-03-24,41.28,41.475,41.07,41.4,4883710
2023-03-27,41.4,41.86,41.27,41.395,8216250
2023-03-28,41.4,41.485,40.6,41.115,10553210
2023-03-29,41.175,41.27,40.725,41.03,6185580
2023-03-30,41.125,41.28,40.8,40.94,7545870
2023-03-31,40.93,40.995,40.155,40.4,12407650
2023-04-03,40.6,40.6,40.1,40.33,11179580
2023-04-04,40.43,40.82,40.2,40.415,10749440
2023-04-05,40.415,40.47,40.05,40.31,9636560
2023-04-06,40.395,41.46,40.27,41.155,33431690
2023-04-07,41.3,41.635,40.59,41.1,16932700
2023-04-10,41.13,42.325,41.12,41.99,34001460
2023-04-11,42.2,42.995,41.355,42.0,41035600
2023-04-12,42.08,42.335,41.61,42.045,7895230
2023-04-13,42.175,42.655,41.705,42.035,11305800
2023-04-14,42.03,42.56,41.795,42.37,8879000
2023-04-17,42.7,42.765,42.1,42.525,11536270
2023-04-18,42.7,44.0,42.025,43.89,28745340
2023-04-19,43.91,44.4,42.83,43.16,24838820
2023-04-20,43.175,43.325,42.23,42.975,18714400
2023-04-21,42.91,43.4,42.59,43.06,8929920
2023-04-24,42.88,43.42,42.7,43.055,7441800
2023-04-25,43.105,43.175,41.82,42.09,12345250
2023-04-26,42.1,42.595,41.6,41.64,11120520
2023-04-27,41.81,41.81,40.8,41.485,16767860
2023-04-28,41.65,41.65,40.7,40.865,15440180
2023-05-02,40.83,41.225,39.795,40.14,17230230
2023-05-03,40.255,40.455,39.22,39.825,18674520
2023-05-04,39.83,40.305,39.83,40.2,7241490
2023-05-05,40.25,40.455,39.875,40.085,5530820
2023-05-08,40.195,40.27,39.61,39.75,4132730
2023-05-10,39.76,40.935,39.76,40.745,8542250
2023-05-11,40.83,41.26,40.2,40.56,13520900
2023-05-12,40.79,40.79,40.12,40.39,4975070
2023-05-15,40.51,41.24,40.44,41.21,7071520
2023-05-16,41.25,41.45,40.8,41.14,7554890
2023-05-17,41.13,41.165,40.555,41.04,6306970
2023-05-18,41.04,41.325,40.72,41.08,9137220
2023-05-19,40.9,40.94,39.22,40.23,14697570
2023-05-22,40.21,40.625,39.9,40.025,6936940
2023-05-23,40.12,40.6,39.45,40.09,16505520
2023-05-24,40.155,40.335,39.5,39.725,13358510
2023-05-25,39.7,39.88,38.805,39.17,18647140
2023-05-26,39.05,39.475,39.01,39.31,6612740
2023-05-29,39.495,39.83,39.25,39.635,10976030
2023-05-30,39.45,39.69,38.12,39.285,10389290
2023-05-31,39.27,39.305,38.82,39.095,12923930
2023-06-01,39.02,39.59,39.02,39.28,7908600
2023-06-02,39.355,39.57,39.15,39.485,5886750
2023-06-05,39.62,40.18,38.32,39.155,24737320
2023-06-06,38.77,39.235,38.14,38.695,19498360
2023-06-07,38.87,38.87,38.255,38.37,10929180
2023-06-08,38.285,38.69,38.285,38.54,7724660
2023-06-09,38.47,38.83,38.47,38.55,5183340
2023-06-13,38.83,38.97,38.505,38.82,12796250
2023-06-14,38.9,38.98,38.4,38.61,15007460
2023-06-15,38.73,39.87,38.6,39.855,23736420
2023-06-16,39.975,40.985,39.675,40.59,34532630
2023-06-19,40.72,40.89,40.12,40.705,17618450
2023-06-20,40.83,40.98,40.13,40.505,13808910
2023-06-21,40.73,40.85,40.3,40.49,15265930
2023-06-22,40.55,40.55,39.76,39.9,17159030
2023-06-23,39.705,39.825,38.82,39.075,21754020
2023-06-26,39.2,39.5,38.4,38.915,19281930
2023-06-27,39.095,39.34,38.47,39.09,13070870
2023-06-28,39.265,39.95,39.09,39.485,23147780
2023-06-29,39.6,39.69,39.1,39.32,9920870
2023-06-30,39.4,39.445,39.0,39.23,7542790
2023-07-03,39.25,39.905,39.25,39.625,15583310
2023-07-04,39.685,40.35,39.42,40.0,17771570
2023-07-05,40.16,41.43,40.08,41.28,40435670
2023-07-06,41.46,41.99,40.805,41.4,40803600
2023-07-07,41.51,41.725,41.0,41.145,15147960
2023-07-10,41.41,41.6,41.15,41.345,14613020
2023-07-11,41.34,41.395,40.61,41.005,19019560
2023-07-12,41.1,41.7,41.0,41.5,14716900
2023-07-13,41.68,41.69,40.965,41.16,12828280
2023-07-14,41.265,42.2,40.995,41.97,32936600
2023-07-17,41.97,42.9,41.88,42.86,32501090
2023-07-18,42.895,43.05,42.4,42.68,28555850
2023-07-19,42.7,42.875,41.92,42.375,17913960
2023-07-20,42.46,42.485,41.41,41.485,16871480
2023-07-21,41.485,41.8,41.105,41.55,18402090
2023-07-24,41.87,43.55,41.55,43.21,35515370
2023-07-25,43.29,43.78,42.905,43.4,30238640
2023-07-26,43.47,43.6,42.6,43.115,16905370
2023-07-27,43.2,43.6,42.57,43.015,25094390
2023-07-28,42.935,43.345,42.68,42.975,14614430
2023-07-31,43.2,44.23,43.15,44.18,36470620
2023-08-01,44.495,44.85,43.455,44.07,39981480
2023-08-02,44.03,44.49,43.8,43.95,19355750
2023-08-03,44.0,44.115,43.5,44.015,19601650
2023-08-04,44.095,44.9,42.09,42.765,52203070
2023-08-07,42.99,43.74,42.5,43.135,25807110
2023-08-08,43.0,43.065,42.08,42.845,14021080
2023-08-09,42.85,43.37,42.62,43.15,10568310
2023-08-10,43.0,43.495,42.905,43.4,17989970
2023-08-11,43.1,43.34,42.65,43.05,19238270
2023-08-14,43.25,44.8,42.555,42.85,52787760
2023-08-15,42.26,43.43,41.965,42.535,26441240
2023-08-16,42.555,42.875,40.6,41.145,30552790
2023-08-17,41.2,41.73,40.605,41.18,21891680
2023-08-18,41.295,41.36,40.7,41.215,20279300
2023-08-21,41.775,42.445,41.5,42.19,22314380
2023-08-22,42.335,42.335,41.7,42.005,13337860
2023-08-23,42.005,42.09,40.845,40.915,21401950
2023-08-24,40.98,41.375,40.85,41.275,11856680
2023-08-25,41.385,41.385,40.92,41.16,11251090
2023-08-28,41.185,41.94,41.16,41.8,17633500
2023-08-29,41.8,41.915,41.245,41.5,18594410
2023-08-30,41.595,41.67,41.0,41.31,13408280
2023-08-31,41.35,42.1,41.31,42.0,21794710
2023-09-01,42.15,42.2,41.735,41.93,12483070
2023-09-04,42.0,44.155,42.0,44.045,77055910
2023-09-05,44.05,44.09,43.21,43.42,25947610
2023-09-06,43.205,43.34,42.505,42.94,25819390
2023-09-07,43.1,44.1,42.16,42.53,42316590
2023-09-08,42.53,42.85,41.405,42.255,24023010
2023-09-11,42.25,42.6,41.745,42.025,13167110
2023-09-12,42.13,43.2,42.13,42.9,16350620
2023-09-13,43.0,43.0,42.25,42.455,8085190
2023-09-14,42.455,42.585,41.63,42.175,13636770
2023-09-15,42.4,42.69,41.905,42.5,10028230
2023-09-18,42.78,43.35,42.41,42.53,10749630
2023-09-19,42.5,42.51,40.69,40.895,22905830
2023-09-20,40.755,41.62,40.32,40.92,21366170
2023-09-21,40.795,42.1,40.2,41.5,22662920
2023-09-22,41.395,41.48,40.3,40.685,24724720
2023-09-25,40.74,40.74,39.995,40.075,12934620
2023-09-26,40.065,40.1,39.125,39.7,20652230
2023-09-27,39.975,40.575,39.6,40.11,15406290
2023-09-28,40.11,41.36,39.97,41.01,13028140
2023-09-29,41.01,41.7,40.705,41.285,16228190
2023-10-02,41.68,41.97,40.35,40.565,20524490
2023-10-03,40.55,40.915,39.91,40.54,9660230
2023-10-04,40.54,40.675,40.005,40.095,7247220
2023-10-05,40.095,40.165,39.8,40.09,7423440
2023-10-06,40.11,40.195,39.84,40.08,7404470
2023-10-09,40.15,40.44,39.995,40.07,8684810
2023-10-10,40.07,40.74,39.995,40.46,9487830
2023-10-11,40.3,40.57,39.535,39.635,15984800
2023-10-12,39.61,39.88,39.45,39.705,11659190
2023-10-13,39.89,39.89,39.5,39.61,9714640
2023-10-16,39.61,40.635,39.56,40.42,19132400
2023-10-17,40.495,40.605,40.025,40.195,8673960
2023-10-18,40.15,40.42,39.885,39.995,8057230
2023-10-19,39.995,40.16,39.715,39.915,7794940
2023-10-20,39.92,41.12,39.82,40.685,32728500
2023-10-23,40.7,40.875,40.305,40.54,8423260
2023-10-24,40.9,40.97,40.545,40.665,10085250
2023-10-25,40.795,40.855,40.12,40.275,11027160
2023-10-26,40.24,40.495,39.85,39.87,14189650
