TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,18.66,19.06,18.66,19.04,19700
2023-01-04,19.06,19.28,19.0,19.22,14900
2023-01-05,19.04,19.8,19.04,19.62,57600
2023-01-06,19.78,19.8,19.0,19.2,74100
2023-01-09,19.12,19.58,18.98,19.54,46700
2023-01-10,19.46,19.52,19.1,19.38,14600
2023-01-11,19.38,19.8,19.38,19.78,32600
2023-01-12,19.76,20.0,19.44,19.74,30100
2023-01-13,19.6,20.44,19.6,20.04,30600
2023-01-16,20.2,20.2,19.84,20.1,15900
2023-01-17,20.08,20.1,19.62,19.62,23800
2023-01-18,19.8,20.0,19.62,19.66,33400
2023-01-19,19.74,19.94,19.52,19.8,19300
2023-01-20,19.84,20.12,19.64,20.02,27700
2023-01-23,20.16,20.44,20.1,20.3,22200
2023-01-24,20.26,20.32,20.14,20.2,24700
2023-01-25,20.22,20.22,20.08,20.08,8700
2023-01-26,20.12,20.16,19.96,20.0,12000
2023-01-27,20.1,20.1,19.92,20.08,12800
2023-01-30,19.94,20.26,19.94,20.22,18800
2023-01-31,20.86,20.96,20.28,20.28,29800
2023-02-01,20.54,20.54,20.24,20.3,25000
2023-02-02,20.5,20.5,20.0,20.0,21200
2023-02-03,20.42,20.44,20.1,20.4,9100
2023-02-06,20.04,20.52,19.9,20.34,42600
2023-02-07,20.46,20.46,20.2,20.38,9200
2023-02-08,20.32,20.42,20.14,20.2,10700
2023-02-09,20.4,20.96,20.14,20.3,54800
2023-02-10,20.44,21.38,19.2,20.72,127000
2023-02-13,20.72,20.86,20.3,20.42,27800
2023-02-14,20.52,23.48,20.3,21.42,747800
2023-02-15,21.62,21.62,19.5,20.66,165700
2023-02-16,20.44,21.3,20.4,21.2,60600
2023-02-17,20.94,21.64,20.5,21.06,90500
2023-02-20,21.02,22.48,20.64,21.1,276000
2023-02-21,22.3,23.0,21.22,22.22,149100
2023-02-22,21.78,22.06,21.42,21.66,100900
2023-02-24,21.58,22.32,21.56,22.0,28300
2023-02-27,21.68,23.16,21.68,22.08,154100
2023-02-28,22.18,22.32,21.9,22.1,50800
2023-03-01,22.22,22.34,22.1,22.12,29200
2023-03-02,22.38,22.4,21.98,22.06,75900
2023-03-03,22.26,22.52,22.12,22.14,29700
2023-03-06,22.66,23.0,22.14,22.84,56300
2023-03-07,22.96,23.2,22.78,22.98,65700
2023-03-09,22.94,23.46,22.52,22.88,56700
2023-03-10,23.18,23.8,23.02,23.8,91400
2023-03-13,23.22,26.26,23.22,25.32,592100
2023-03-14,24.66,25.8,24.66,25.66,82200
2023-03-15,25.92,25.92,24.82,25.22,94100
2023-03-16,25.24,25.54,25.0,25.2,95400
2023-03-17,25.5,25.52,24.5,24.94,81000
2023-03-20,24.8,25.6,24.8,25.04,100000
2023-03-21,24.9,25.32,24.9,25.2,51000
2023-03-22,25.4,25.48,24.92,25.14,37000
2023-03-23,25.26,26.0,25.14,25.68,40000
2023-03-24,25.66,26.18,25.62,25.8,72700
2023-03-27,25.88,27.0,25.86,26.76,142900
2023-03-28,26.84,27.58,26.3,27.18,27700
2023-03-29,27.22,29.0,26.22,27.6,76600
2023-03-30,28.0,28.02,27.14,27.4,52100
2023-03-31,27.62,28.36,27.42,28.14,53300
2023-04-03,28.36,29.0,27.78,28.6,88000
2023-04-04,28.78,30.0,28.6,29.06,125200
2023-04-05,29.28,30.2,28.88,29.88,143100
2023-04-06,29.48,30.82,29.22,30.44,68800
2023-04-07,30.58,32.74,30.4,32.42,186700
2023-04-10,32.1,34.2,31.8,34.1,186500
2023-04-11,34.3,34.9,31.68,32.28,272300
2023-04-12,32.62,33.98,31.68,32.46,98600
2023-04-13,32.46,35.0,30.8,31.92,231000
2023-04-14,32.78,34.8,30.9,32.26,1227800
2023-04-17,32.54,32.56,31.8,32.4,224800
2023-04-18,32.5,32.5,32.0,32.4,132600
2023-04-19,32.5,33.48,32.16,33.0,213800
2023-04-20,33.36,33.96,32.82,33.64,266500
2023-04-21,33.54,34.0,33.2,33.46,125600
2023-04-24,33.5,34.08,33.32,33.58,131400
2023-04-25,33.6,34.5,33.44,34.48,226300
2023-04-26,34.6,38.0,34.52,36.28,527200
2023-04-27,36.9,37.74,35.5,36.36,320400
2023-04-28,37.02,37.9,36.42,37.44,183000
2023-05-02,37.74,37.96,35.4,37.18,268300
2023-05-03,37.18,37.46,35.8,36.12,188500
2023-05-04,36.08,36.74,33.6,34.38,337600
2023-05-05,34.5,35.16,34.02,34.8,110900
2023-05-08,34.94,35.8,34.52,35.26,104400
2023-05-10,35.54,37.0,35.14,36.8,266200
2023-05-11,36.8,37.74,36.64,37.66,135800
2023-05-12,37.7,37.8,36.8,37.58,146300
2023-05-15,39.0,39.2,37.52,38.92,382400
2023-05-16,39.12,39.42,38.0,38.78,336100
2023-05-17,38.96,40.12,38.84,39.68,324200
2023-05-18,39.8,40.1,39.62,39.74,193900
2023-05-19,39.98,39.98,38.0,39.3,216300
2023-05-22,39.96,42.24,38.2,40.06,686000
2023-05-23,40.4,41.5,37.98,39.88,455600
2023-05-24,40.26,40.96,39.92,40.6,291800
2023-05-25,40.42,40.62,40.0,40.02,210100
2023-05-26,39.82,40.48,39.4,39.94,267400
2023-05-29,40.96,42.42,40.06,41.26,1191900
2023-05-30,40.86,45.58,40.22,42.5,1655100
2023-05-31,38.26,38.54,34.04,35.5,1645600
2023-06-01,35.78,35.78,33.8,33.8,532900
2023-06-02,33.7,33.8,33.1,33.6,179400
