TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.1094,0.11,0.1082,0.1094,500000
2023-01-04,0.11,0.11,0.1092,0.1092,130000
2023-01-05,0.1062,0.1118,0.1062,0.1098,2360000
2023-01-06,0.1078,0.1166,0.1072,0.1114,6230000
2023-01-09,0.1214,0.1214,0.1118,0.1148,5500000
2023-01-10,0.1158,0.116,0.1132,0.1134,620000
2023-01-11,0.1144,0.1154,0.1102,0.1146,4830000
2023-01-12,0.114,0.117,0.1134,0.1144,1990000
2023-01-13,0.115,0.1154,0.1136,0.115,530000
2023-01-16,0.116,0.116,0.111,0.1136,5190000
2023-01-17,0.1132,0.1132,0.1118,0.1128,1030000
2023-01-18,0.1136,0.1136,0.1126,0.1126,180000
2023-01-19,0.1136,0.115,0.1126,0.1144,1490000
2023-01-20,0.1134,0.114,0.1132,0.1134,190000
2023-01-23,0.114,0.1146,0.114,0.114,700000
2023-01-24,0.1144,0.1152,0.1144,0.1148,310000
2023-01-25,0.115,0.1186,0.1148,0.1158,1580000
2023-01-26,0.115,0.1196,0.115,0.1168,3420000
2023-01-27,0.1174,0.119,0.1152,0.119,1470000
2023-01-30,0.119,0.1192,0.1154,0.118,2050000
2023-01-31,0.119,0.12,0.118,0.1188,3620000
2023-02-01,0.1184,0.1198,0.1182,0.1182,870000
2023-02-02,0.1198,0.1198,0.1114,0.1154,5080000
2023-02-03,0.1166,0.1178,0.115,0.1158,1060000
2023-02-06,0.1152,0.118,0.1152,0.118,1140000
2023-02-07,0.118,0.118,0.1166,0.1166,1230000
2023-02-08,0.1168,0.1168,0.115,0.1164,2440000
2023-02-09,0.1162,0.1178,0.1146,0.1176,1490000
2023-02-10,0.1178,0.1212,0.116,0.1176,11940000
2023-02-13,0.1192,0.1198,0.117,0.1188,2020000
2023-02-14,0.1198,0.128,0.117,0.123,21810000
2023-02-15,0.1216,0.128,0.119,0.1202,6200000
2023-02-16,0.1208,0.123,0.12,0.12,1000000
2023-02-17,0.12,0.1214,0.1198,0.1202,480000
2023-02-20,0.12,0.123,0.12,0.1206,3670000
2023-02-21,0.1202,0.1216,0.119,0.1202,2210000
2023-02-22,0.1192,0.1216,0.1174,0.1204,1390000
2023-02-24,0.1206,0.1228,0.1206,0.1214,730000
2023-02-27,0.1222,0.1222,0.1208,0.1208,310000
2023-02-28,0.121,0.122,0.1206,0.122,1110000
2023-03-01,0.1214,0.1218,0.1194,0.1218,1910000
2023-03-02,0.1218,0.123,0.1206,0.121,1690000
2023-03-03,0.1202,0.1268,0.12,0.1264,8550000
2023-03-06,0.1268,0.133,0.1252,0.127,5400000
2023-03-07,0.1308,0.131,0.128,0.1282,1010000
2023-03-09,0.1276,0.132,0.1276,0.128,2100000
2023-03-10,0.1262,0.128,0.1262,0.1266,740000
2023-03-13,0.1262,0.1296,0.1262,0.1272,1990000
2023-03-14,0.1264,0.1298,0.1222,0.1264,5350000
2023-03-15,0.127,0.1292,0.1264,0.1264,1860000
2023-03-16,0.124,0.1282,0.124,0.1264,700000
2023-03-17,0.1276,0.1276,0.1258,0.127,120000
2023-03-20,0.1264,0.1286,0.125,0.1278,3780000
2023-03-21,0.1256,0.1278,0.1256,0.1276,1270000
2023-03-22,0.1268,0.1296,0.1268,0.127,2430000
2023-03-23,0.1264,0.1288,0.1264,0.128,930000
