TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,518.4,525.0,489.0,514.4,2200
2023-01-04,519.8,520.0,501.4,509.4,820
2023-01-05,506.2,511.6,506.0,506.2,250
2023-01-06,510.0,511.2,506.2,507.8,420
2023-01-09,511.2,512.4,506.0,508.8,1750
2023-01-10,506.2,506.2,501.0,502.6,680
2023-01-11,505.8,511.4,503.8,508.0,2630
2023-01-12,503.4,508.6,503.2,506.6,810
2023-01-13,511.4,537.6,485.6,499.4,43410
2023-01-16,499.8,503.0,488.2,498.4,4320
2023-01-17,498.2,502.4,492.2,492.2,3330
2023-01-18,495.8,500.0,492.2,494.6,1810
2023-01-19,495.0,496.0,491.2,493.2,1250
2023-01-20,491.0,519.8,486.2,488.2,25230
2023-01-23,493.8,617.6,488.4,511.6,214120
2023-01-24,529.0,529.0,500.4,506.4,28090
2023-01-25,506.4,512.2,494.8,499.6,14650
2023-01-26,507.0,510.4,496.0,499.0,7120
2023-01-27,496.2,528.0,494.4,499.6,77550
2023-01-30,500.0,521.0,500.0,506.6,33430
2023-01-31,506.8,513.4,502.6,505.8,16270
2023-02-01,505.8,506.8,500.2,502.6,7100
2023-02-02,504.8,521.2,499.6,502.0,36040
2023-02-03,502.2,523.6,502.2,507.6,80550
2023-02-06,516.2,522.8,509.4,521.6,25940
2023-02-07,529.0,530.0,513.0,522.0,27120
2023-02-08,525.4,530.0,513.2,517.8,21010
2023-02-09,527.8,527.8,513.4,521.6,11640
2023-02-10,528.6,528.6,507.8,517.0,8650
2023-02-13,519.4,522.8,511.0,514.2,6810
2023-02-14,511.8,515.8,489.2,502.6,13980
2023-02-15,493.4,512.0,490.2,493.8,20130
2023-02-16,490.0,503.2,486.2,493.0,8200
2023-02-17,505.0,505.0,494.0,494.4,1940
2023-02-20,491.0,499.8,483.2,493.6,5530
2023-02-21,502.6,502.6,489.0,498.8,6860
2023-02-22,499.0,500.6,491.2,493.6,1870
2023-02-24,499.6,499.6,492.6,497.4,1580
2023-02-27,494.4,500.0,493.0,497.4,3220
2023-02-28,501.4,504.4,497.4,498.0,2090
2023-03-01,504.6,504.6,497.0,500.0,2380
2023-03-02,499.2,504.6,494.0,499.6,6230
2023-03-03,500.0,504.2,495.0,495.0,6390
2023-03-06,501.6,519.0,500.0,517.0,17570
2023-03-07,518.0,532.0,513.6,529.0,50550
2023-03-09,529.0,531.8,517.0,517.8,10900
2023-03-10,517.8,519.8,509.0,511.0,9390
2023-03-13,516.2,539.0,511.0,515.8,55300
2023-03-14,520.0,522.4,506.4,508.8,12360
2023-03-15,508.2,522.0,499.0,501.2,15790
2023-03-16,504.4,506.4,499.8,501.0,5220
2023-03-17,505.4,506.0,501.6,504.4,4050
2023-03-20,510.6,518.0,501.2,504.0,10020
2023-03-21,505.6,507.0,498.8,502.6,8580
2023-03-22,504.6,510.6,500.2,510.6,13980
2023-03-23,510.4,519.0,499.0,508.8,31970
2023-03-24,509.4,512.6,503.8,504.4,5010
2023-03-27,504.6,527.0,502.0,507.4,71070
2023-03-28,507.6,512.2,506.8,508.2,5600
