TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,456.25,459.9,455.95,456.9,439519
2023-01-04,457.4,457.55,455.1,456.2,426749
2023-01-05,456.2,456.8,454.3,455.0,235328
2023-01-06,455.0,455.65,453.1,454.55,137264
2023-01-09,454.05,456.9,453.25,454.65,288919
2023-01-10,454.8,455.9,453.4,454.5,200839
2023-01-11,453.65,455.95,453.6,455.45,275689
2023-01-12,454.8,458.85,453.65,453.65,324259
2023-01-13,454.2,455.5,450.25,452.6,341190
2023-01-16,451.5,454.25,447.35,452.05,510801
2023-01-17,451.0,451.4,446.5,446.5,339687
2023-01-18,446.0,450.45,444.05,446.85,394734
2023-01-19,448.45,448.95,442.5,442.55,216007
2023-01-20,442.55,444.1,435.25,436.0,633365
2023-01-23,438.05,446.6,436.0,445.5,505027
2023-01-24,447.55,449.95,441.6,441.6,410324
2023-01-25,441.6,445.95,437.1,444.3,260960
2023-01-26,445.4,448.75,442.8,448.5,474960
2023-01-27,448.5,450.0,446.1,447.0,181481
2023-01-30,448.4,451.15,443.35,444.75,272983
2023-01-31,443.8,445.8,440.25,441.0,312860
2023-02-01,440.95,443.95,440.0,442.0,334099
2023-02-02,442.85,445.9,441.5,442.9,302484
2023-02-03,442.8,442.8,434.0,440.55,778626
2023-02-06,437.65,446.0,435.5,440.9,633747
2023-02-07,442.5,445.15,441.05,442.75,322691
2023-02-08,444.9,450.0,442.05,442.65,806046
2023-02-09,444.4,444.85,438.0,438.5,591769
2023-02-10,438.0,438.0,429.1,430.6,1065143
2023-02-13,434.2,435.55,430.0,431.05,501712
2023-02-14,430.5,432.5,417.5,417.5,647972
2023-02-15,417.6,426.95,410.1,415.0,888121
2023-02-16,415.3,425.45,415.0,415.0,336360
2023-02-17,415.05,421.5,413.3,421.2,366227
2023-02-20,424.1,424.7,414.35,419.3,449478
2023-02-21,421.5,427.2,418.0,420.9,634607
2023-02-22,421.0,421.7,411.25,413.5,956043
2023-02-24,414.5,414.5,408.2,409.2,721768
2023-02-27,408.4,417.2,407.9,416.7,652509
2023-02-28,420.8,428.8,417.45,425.85,921552
2023-03-01,429.5,435.0,426.85,432.4,839926
2023-03-02,433.9,436.5,417.6,422.7,1032819
2023-03-03,420.2,429.6,420.2,429.0,415439
2023-03-06,433.25,438.75,431.8,434.5,597356
2023-03-07,435.0,441.8,434.7,437.55,724775
2023-03-09,439.95,442.1,426.0,439.7,733416
2023-03-10,437.45,442.65,435.25,441.3,430845
2023-03-13,442.35,444.85,437.1,438.9,509573
2023-03-14,437.6,443.5,432.6,439.55,598472
2023-03-15,440.0,443.3,435.5,437.65,342948
2023-03-16,438.8,444.15,434.8,444.0,476979
2023-03-17,445.0,453.0,443.6,453.0,869513
2023-03-20,456.9,463.1,451.55,460.35,953844
2023-03-21,463.8,464.6,451.7,455.4,698554
2023-03-22,455.0,457.0,447.0,450.85,474368
2023-03-23,450.6,458.3,449.2,456.85,374675
2023-03-24,455.55,462.5,455.2,459.85,284358
2023-03-27,461.45,469.0,460.1,468.15,590487
2023-03-28,469.2,469.6,463.3,467.0,407039
2023-03-29,466.0,473.2,463.25,470.65,529828
2023-03-30,470.65,477.7,468.55,477.0,415205
2023-03-31,478.0,478.05,469.5,475.15,518904
2023-04-03,482.95,492.35,480.0,488.15,1388445
2023-04-04,488.05,490.4,479.25,481.15,887909
2023-04-05,482.5,486.6,476.3,485.65,414059
2023-04-06,486.7,488.5,471.05,482.0,558426
2023-04-07,482.0,488.35,472.7,486.6,649582
2023-04-10,487.7,490.2,484.3,489.2,341103
2023-04-11,490.2,491.45,480.5,482.9,480038
2023-04-12,485.0,489.6,482.0,486.3,264317
