TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,3.05,3.095,3.02,3.06,62000
2023-01-04,3.03,3.07,3.03,3.045,34200
2023-01-05,3.04,3.04,3.005,3.035,67000
2023-01-06,3.035,3.04,3.0,3.03,101000
2023-01-09,3.03,3.12,3.03,3.065,107200
2023-01-10,3.065,3.155,3.03,3.125,405700
2023-01-11,3.145,3.25,3.05,3.18,665600
2023-01-12,3.185,3.77,3.15,3.26,3632000
2023-01-13,3.28,3.345,3.1,3.15,643100
2023-01-16,3.18,3.33,3.18,3.215,319800
2023-01-17,3.18,3.36,3.17,3.21,298900
2023-01-18,3.26,3.295,3.2,3.245,125900
2023-01-19,3.25,3.29,3.165,3.21,123900
2023-01-20,3.275,3.28,3.205,3.24,64400
2023-01-23,3.22,3.31,3.18,3.23,299900
2023-01-24,3.205,3.225,3.12,3.16,699400
2023-01-25,3.165,3.335,3.105,3.155,658000
2023-01-26,3.16,3.24,3.16,3.175,90800
2023-01-27,3.185,3.185,3.07,3.1,506500
2023-01-30,3.2,3.215,3.08,3.15,575800
2023-01-31,3.17,3.17,3.08,3.16,215100
2023-02-01,3.17,3.345,3.12,3.34,738800
2023-02-02,3.445,3.55,3.295,3.295,606600
2023-02-03,3.365,3.4,3.185,3.255,223800
2023-02-06,3.265,3.885,3.265,3.47,3368200
2023-02-07,3.475,3.515,3.27,3.41,1102700
2023-02-08,3.41,3.45,3.3,3.38,468700
2023-02-09,3.365,3.44,3.2,3.375,741200
2023-02-10,3.4,3.405,3.31,3.37,173500
2023-02-13,3.39,3.41,3.335,3.405,224200
2023-02-14,3.405,3.42,3.25,3.305,580400
2023-02-15,3.285,3.78,3.2,3.405,3440900
2023-02-16,3.46,3.7,3.45,3.515,1527000
2023-02-17,3.595,3.605,3.395,3.5,268200
2023-02-20,3.5,3.5,3.3,3.33,410300
2023-02-21,3.335,3.445,3.26,3.36,439300
2023-02-22,3.35,3.37,3.24,3.345,347900
2023-02-24,3.355,3.395,3.265,3.355,126200
2023-02-27,3.385,3.405,3.29,3.4,408200
2023-02-28,3.4,3.4,3.36,3.395,132800
2023-03-01,3.4,3.49,3.35,3.415,386300
2023-03-02,3.43,3.43,3.35,3.375,249100
2023-03-03,3.375,3.44,3.35,3.44,621100
2023-03-06,3.45,3.525,3.35,3.485,646300
2023-03-07,3.485,3.495,3.4,3.415,210800
2023-03-09,3.46,3.525,3.425,3.485,251200
2023-03-10,3.485,3.54,3.455,3.54,411100
2023-03-13,3.54,3.55,3.475,3.495,136000
2023-03-14,3.495,3.545,3.42,3.46,120500
2023-03-15,3.465,3.53,3.465,3.495,126100
2023-03-16,3.475,3.5,3.4,3.425,82300
2023-03-17,3.435,3.495,3.325,3.385,311000
2023-03-20,3.38,3.44,3.38,3.43,145400
2023-03-21,3.435,3.45,3.4,3.425,90300
2023-03-22,3.415,3.42,3.39,3.395,83600
2023-03-23,3.39,3.465,3.375,3.42,285600
2023-03-24,3.425,3.43,3.385,3.41,257700
2023-03-27,3.415,3.46,3.41,3.445,508600
2023-03-28,3.465,3.48,3.38,3.42,277800
2023-03-29,3.415,3.67,3.415,3.545,1218400
2023-03-30,3.545,3.595,3.455,3.48,521400
2023-03-31,3.5,3.5,3.42,3.47,230800
2023-04-03,3.475,3.555,3.445,3.535,365400
2023-04-04,3.555,3.66,3.4,3.48,958600
2023-04-05,3.485,3.645,3.45,3.525,509000
2023-04-06,3.52,3.69,3.505,3.61,1495400
2023-04-07,3.63,3.95,3.54,3.8,2545500
2023-04-10,3.84,3.85,3.675,3.78,692200
2023-04-11,3.745,3.97,3.65,3.7,1208500
2023-04-12,3.715,3.95,3.655,3.85,1572400
2023-04-13,3.85,3.99,3.77,3.895,1544400
2023-04-14,3.895,3.965,3.8,3.855,447100
2023-04-17,3.855,3.98,3.82,3.88,453400
2023-04-18,3.915,4.105,3.76,3.85,1365800
2023-04-19,3.87,3.98,3.75,3.78,857800
2023-04-20,3.83,3.92,3.79,3.83,504200
2023-04-21,3.85,4.05,3.84,3.96,1655400
2023-04-24,3.97,4.35,3.87,4.155,3495400
2023-04-25,4.24,4.38,4.03,4.13,1684400
2023-04-26,4.165,4.48,4.115,4.345,2735400
2023-04-27,4.3,4.495,4.24,4.24,794700
2023-04-28,4.335,4.335,4.065,4.095,969100
2023-05-02,4.17,4.17,3.64,3.825,1426800
2023-05-03,3.92,3.935,3.655,3.755,586500
2023-05-04,3.735,3.88,3.735,3.775,122600
2023-05-05,3.74,3.785,3.6,3.725,157000
2023-05-08,3.78,3.795,3.75,3.785,81200
2023-05-10,3.765,3.84,3.68,3.835,515700
2023-05-11,3.805,3.92,3.76,3.885,428300
2023-05-12,3.885,3.92,3.77,3.865,272100
2023-05-15,3.925,3.925,3.79,3.88,286200
2023-05-16,3.85,4.1,3.85,3.965,679700
2023-05-17,3.95,4.18,3.82,4.01,928400
2023-05-18,4.04,4.355,3.95,4.115,2460200
2023-05-19,4.13,4.385,3.95,4.065,2079300
2023-05-22,4.16,4.165,3.97,4.02,574000
2023-05-23,4.03,4.045,3.93,4.01,95100
2023-05-24,3.985,3.995,3.895,3.96,265100
2023-05-25,3.93,3.98,3.805,3.925,372400
2023-05-26,3.895,4.045,3.815,3.965,615100
2023-05-29,3.97,4.29,3.9,4.185,2128500
2023-05-30,4.15,4.195,4.0,4.035,831800
2023-05-31,4.045,4.135,4.0,4.105,381700
2023-06-01,4.11,4.12,3.97,4.04,327000
2023-06-02,4.05,4.25,4.01,4.105,1336700
2023-06-05,4.27,4.275,4.105,4.19,382400
2023-06-06,4.2,4.2,3.955,4.1,508200
2023-06-07,4.1,4.2,4.045,4.135,681800
2023-06-08,4.135,4.165,4.025,4.085,815600
2023-06-09,4.085,4.17,4.075,4.105,428400
2023-06-13,4.12,4.21,4.05,4.17,810600
2023-06-14,4.16,4.26,4.12,4.26,638500
2023-06-15,4.285,5.375,4.165,5.145,36870200
2023-06-16,5.18,5.49,4.6,4.745,10772200
2023-06-19,4.785,4.785,4.4,4.625,4574300
2023-06-20,4.625,4.95,4.455,4.9,4241200
2023-06-21,4.91,4.91,4.64,4.765,3087400
2023-06-22,4.815,4.83,4.565,4.705,1619600
2023-06-23,4.63,4.705,4.3,4.59,1288100
2023-06-26,4.58,4.7,4.395,4.47,1092500
2023-06-27,4.495,4.625,4.435,4.61,576100
2023-06-28,4.695,4.72,4.505,4.56,1476300
2023-06-29,4.695,4.71,4.515,4.59,679800
