TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,21.7,22.11,21.66,21.905,7490200
2023-01-04,21.965,21.97,21.705,21.8,5391700
2023-01-05,21.75,21.87,21.65,21.725,4750300
2023-01-06,21.65,21.885,21.605,21.685,7262600
2023-01-09,21.82,21.85,21.35,21.62,14765600
2023-01-10,21.635,21.635,21.13,21.47,15436600
2023-01-11,21.45,21.845,21.33,21.805,17885500
2023-01-12,21.85,21.87,21.6,21.675,8781900
2023-01-13,21.75,21.775,21.605,21.73,8730000
2023-01-16,21.8,22.5,21.76,22.355,28753700
2023-01-17,22.335,22.745,21.93,22.04,32732100
2023-01-18,22.095,22.35,21.92,22.065,14169900
2023-01-19,22.095,22.145,21.625,21.775,11489000
2023-01-20,21.785,21.89,21.645,21.73,5715500
2023-01-23,21.76,21.95,21.75,21.945,10491300
2023-01-24,21.945,22.09,21.68,21.695,11245000
2023-01-25,21.695,21.825,21.59,21.685,7469900
2023-01-26,21.735,21.85,21.645,21.71,5912800
2023-01-27,21.7,23.3,21.67,23.285,113113600
2023-01-30,23.495,23.725,22.9,23.16,53296300
2023-01-31,23.16,23.44,23.0,23.17,23590900
2023-02-01,23.205,23.25,22.72,22.91,22715300
2023-02-02,23.0,23.68,22.9,23.18,39560600
2023-02-03,23.295,23.34,23.005,23.125,14124800
2023-02-06,23.205,23.55,23.125,23.41,23553100
2023-02-07,23.525,23.985,23.405,23.615,28750900
2023-02-08,23.65,23.81,22.97,23.115,24637600
2023-02-09,23.12,23.36,22.895,23.095,19230900
2023-02-10,23.06,23.295,22.905,23.105,13378900
2023-02-13,23.17,23.29,23.09,23.135,7803100
2023-02-14,23.065,23.16,22.47,22.64,19259900
2023-02-15,22.55,22.57,21.2,21.665,28805000
2023-02-16,21.88,22.065,21.21,21.55,21450100
2023-02-17,21.475,21.89,21.4,21.6,18648000
2023-02-20,21.65,22.45,21.38,22.19,24871300
2023-02-21,22.165,22.545,22.1,22.38,22249600
2023-02-22,22.38,22.7,22.12,22.27,16726100
2023-02-24,22.27,22.425,22.08,22.095,8865200
2023-02-27,22.08,22.54,21.98,22.48,12350500
2023-02-28,22.49,22.93,22.49,22.73,23677300
2023-03-01,22.82,22.965,22.77,22.9,12349800
2023-03-02,22.885,22.935,22.2,22.33,26813500
2023-03-03,22.275,22.69,22.275,22.525,12615500
2023-03-06,22.64,22.815,22.53,22.73,17265100
2023-03-07,22.83,22.885,22.585,22.62,12982000
2023-03-09,22.625,22.695,22.43,22.5,9071000
2023-03-10,22.345,22.4,22.22,22.3,11703400
2023-03-13,22.31,22.47,22.04,22.22,19188600
2023-03-14,22.1,22.43,22.1,22.28,9869300
2023-03-15,22.375,22.425,21.91,22.075,16705300
2023-03-16,22.105,22.475,22.0,22.215,24944700
2023-03-17,22.45,22.6,22.225,22.5,23176900
