TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.764,0.785,0.745,0.781,161000
2023-01-04,0.782,0.782,0.761,0.776,106000
2023-01-05,0.771,0.78,0.765,0.765,38000
2023-01-06,0.773,0.795,0.772,0.795,32000
2023-01-09,0.795,0.795,0.776,0.794,144000
2023-01-10,0.8,0.8,0.776,0.796,62000
2023-01-11,0.799,0.87,0.79,0.829,448000
2023-01-12,0.839,0.865,0.826,0.864,144000
2023-01-13,0.854,0.87,0.795,0.849,809000
2023-01-16,0.855,0.855,0.84,0.853,69000
2023-01-17,0.853,0.865,0.841,0.86,54000
2023-01-18,0.865,0.87,0.851,0.862,92000
2023-01-19,0.87,0.874,0.795,0.829,400000
2023-01-20,0.83,0.835,0.826,0.835,22000
2023-01-23,0.837,0.837,0.802,0.832,223000
2023-01-24,0.83,0.85,0.795,0.83,698000
2023-01-25,0.83,0.835,0.824,0.825,43000
2023-01-26,0.827,0.83,0.811,0.811,125000
2023-01-27,0.812,0.812,0.77,0.8,357000
2023-01-30,0.8,0.81,0.792,0.798,96000
2023-01-31,0.809,0.809,0.799,0.808,62000
2023-02-01,0.807,0.82,0.807,0.819,166000
2023-02-02,0.82,0.825,0.814,0.82,48000
2023-02-03,0.819,0.82,0.817,0.82,17000
2023-02-06,0.82,0.848,0.81,0.829,150000
2023-02-07,0.827,0.87,0.811,0.84,429000
2023-02-08,0.846,0.889,0.84,0.844,201000
2023-02-09,0.889,0.898,0.855,0.874,326000
2023-02-10,0.874,0.899,0.83,0.898,546000
2023-02-13,0.882,0.896,0.84,0.887,677000
2023-02-14,0.889,0.89,0.85,0.887,498000
2023-02-15,0.876,0.894,0.865,0.887,280000
2023-02-16,0.889,0.892,0.859,0.89,272000
2023-02-17,0.875,0.897,0.865,0.897,368000
2023-02-20,0.876,1.23,0.876,0.912,14894000
2023-02-21,0.935,0.975,0.868,0.92,2826000
2023-02-22,0.901,0.947,0.885,0.92,493000
2023-02-24,0.917,0.925,0.896,0.925,222000
2023-02-27,0.925,0.945,0.905,0.935,407000
2023-02-28,0.923,1.009,0.908,0.973,859000
2023-03-01,0.986,1.194,0.97,1.014,11815000
2023-03-02,1.023,1.023,0.952,0.994,2278000
2023-03-03,0.995,1.005,0.96,0.974,1738000
2023-03-06,0.974,0.995,0.972,0.98,883000
2023-03-07,0.976,0.995,0.97,0.978,327000
2023-03-09,0.989,0.993,0.97,0.981,417000
2023-03-10,0.975,1.0,0.968,0.985,210000
2023-03-13,0.982,1.026,0.978,0.994,1036000
2023-03-14,0.995,1.029,0.994,1.002,417000
2023-03-15,1.001,1.011,0.992,1.001,173000
2023-03-16,1.006,1.076,0.982,0.982,1958000
2023-03-17,0.983,1.008,0.971,1.0,550000
2023-03-20,0.99,1.006,0.97,0.997,372000
2023-03-21,1.0,1.005,0.98,0.998,136000
2023-03-22,1.007,1.007,0.974,0.99,285000
2023-03-23,0.999,1.01,0.961,1.001,729000
2023-03-24,1.0,1.036,0.997,1.014,593000
2023-03-27,1.014,1.031,1.005,1.019,741000
2023-03-28,1.025,1.027,1.0,1.013,172000
2023-03-29,1.016,1.033,1.016,1.028,161000
2023-03-30,1.028,1.06,0.981,1.0,3154000
2023-03-31,1.0,1.01,0.986,1.001,474000
2023-04-03,1.002,1.009,0.989,1.004,471000
2023-04-04,1.004,1.008,0.997,0.997,246000
2023-04-05,0.995,1.01,0.995,1.0,491000
2023-04-06,1.006,1.006,0.995,0.999,558000
2023-04-07,1.0,1.019,0.963,1.006,4892000
2023-04-10,0.993,1.09,0.993,1.065,3122000
2023-04-11,1.056,1.142,1.056,1.1,2134000
2023-04-12,1.1,1.12,1.086,1.11,379000
2023-04-13,1.106,1.116,1.086,1.116,991000
2023-04-14,1.104,1.174,1.095,1.17,776000
2023-04-17,1.18,1.242,1.165,1.234,1257000
2023-04-18,1.25,1.3,1.189,1.267,907000
2023-04-19,1.253,1.301,1.21,1.259,596000
2023-04-20,1.259,1.262,1.179,1.231,1802000
2023-04-21,1.232,1.242,1.2,1.219,344000
2023-04-24,1.22,1.505,1.206,1.388,8719000
2023-04-25,1.389,1.488,1.353,1.397,1834000
2023-04-26,1.434,1.435,1.356,1.367,703000
2023-04-27,1.388,1.749,1.367,1.585,12889000
2023-04-28,1.588,1.623,1.412,1.479,2910000
2023-05-02,1.444,1.497,1.302,1.375,1663000
2023-05-03,1.371,1.398,1.25,1.347,710000
2023-05-04,1.363,1.375,1.294,1.345,1933000
2023-05-05,1.34,1.372,1.282,1.311,718000
2023-05-08,1.307,1.358,1.294,1.309,639000
2023-05-10,1.313,1.34,1.283,1.317,626000
2023-05-11,1.325,1.41,1.325,1.385,1816000
2023-05-12,1.392,1.41,1.357,1.383,272000
2023-05-15,1.408,1.45,1.358,1.376,718000
2023-05-16,1.418,1.418,1.371,1.398,553000
2023-05-17,1.425,1.6,1.412,1.499,2685000
2023-05-18,1.547,1.992,1.502,1.845,6485000
2023-05-19,1.86,1.91,1.538,1.601,5098000
2023-05-22,1.569,1.698,1.569,1.655,1002000
2023-05-23,1.7,1.847,1.569,1.847,1421000
2023-05-24,1.742,1.8,1.624,1.773,1520000
2023-05-25,1.798,1.816,1.747,1.814,710000
2023-05-26,1.81,1.812,1.746,1.792,513000
