TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,214.0,219.0,210.0,217.5,22550
2023-01-04,219.0,221.0,215.0,216.0,15270
2023-01-05,217.0,220.0,217.0,218.5,9480
2023-01-06,219.0,247.5,217.5,225.0,280820
2023-01-09,230.0,237.5,224.0,227.0,67540
2023-01-10,227.0,233.5,224.0,227.0,20990
2023-01-11,227.0,230.0,220.0,223.5,42330
2023-01-12,222.5,247.0,222.5,235.0,318070
2023-01-13,237.0,242.0,232.0,234.5,51440
2023-01-16,242.0,253.0,237.5,249.0,197400
2023-01-17,249.0,252.0,240.5,243.0,67050
2023-01-18,242.0,249.0,237.5,243.0,56200
2023-01-19,244.5,246.0,231.5,234.0,76190
2023-01-20,233.5,237.5,228.5,232.0,40390
2023-01-23,230.0,244.0,230.0,238.5,118470
2023-01-24,240.5,241.5,237.0,238.0,39040
2023-01-25,239.5,239.5,234.0,236.0,31170
2023-01-26,238.5,238.5,232.5,233.0,28640
2023-01-27,235.5,244.5,232.0,238.0,95940
2023-01-30,240.0,240.5,235.0,238.0,66510
2023-01-31,237.0,247.5,235.0,237.0,214230
2023-02-01,237.5,247.0,237.0,238.0,124800
2023-02-02,239.0,241.0,236.0,238.0,64720
2023-02-03,238.5,239.0,235.0,236.0,44570
2023-02-06,236.0,237.5,234.0,236.5,47210
2023-02-07,238.5,239.5,234.5,235.5,41940
2023-02-08,237.0,239.0,234.5,236.0,90300
2023-02-09,235.0,237.0,230.0,233.5,49750
2023-02-10,236.0,236.0,232.0,232.0,26840
2023-02-13,232.0,239.0,232.0,236.0,99830
2023-02-14,237.0,237.0,225.5,228.5,67140
2023-02-15,228.5,229.5,215.0,219.5,80320
2023-02-16,220.0,230.5,219.5,225.0,70720
2023-02-17,225.0,235.0,221.0,228.0,83400
2023-02-20,228.5,229.0,219.5,221.0,113770
2023-02-21,223.0,226.0,220.0,222.5,63920
2023-02-22,225.0,225.5,221.5,222.5,29530
2023-02-24,222.5,224.0,221.5,223.5,7740
2023-02-27,223.0,226.5,222.0,226.0,31700
2023-02-28,226.5,235.0,226.0,232.5,107240
2023-03-01,234.0,235.0,231.0,233.0,35430
2023-03-02,233.0,233.5,223.0,226.0,56810
2023-03-03,230.5,230.5,226.5,229.0,15060
2023-03-06,229.0,232.5,224.5,229.5,34730
2023-03-07,229.5,230.5,227.5,230.0,18220
2023-03-09,229.5,230.0,227.0,228.0,21300
2023-03-10,228.5,228.5,225.5,227.5,8970
2023-03-13,227.0,232.0,227.0,230.0,40050
2023-03-14,230.0,240.0,227.5,237.0,230460
2023-03-15,237.5,244.0,230.0,233.5,161540
2023-03-16,234.5,241.5,234.5,237.0,80270
2023-03-17,237.5,240.0,231.0,234.5,49080
2023-03-20,235.5,238.5,231.0,238.5,65040
2023-03-21,238.5,239.5,234.5,236.5,31120
2023-03-22,236.0,237.0,234.0,236.0,14690
2023-03-23,236.0,236.5,232.5,233.0,62430
2023-03-24,233.0,240.0,233.0,238.5,108840
2023-03-27,241.5,242.0,239.0,240.5,63430
2023-03-28,241.0,242.0,237.0,239.0,47580
2023-03-29,239.0,240.5,234.5,238.0,33210
2023-03-30,238.0,238.0,235.5,237.0,31480
2023-03-31,238.0,238.0,234.5,235.0,39120
2023-04-03,236.5,381.5,235.5,340.0,4681370
2023-04-04,350.0,380.0,318.0,343.0,2463980
2023-04-05,344.5,439.5,331.0,406.5,3881390
2023-04-06,406.5,475.0,406.5,442.0,2340010
2023-04-07,458.5,460.0,412.0,422.5,446470
2023-04-10,424.0,447.0,415.0,424.0,281900
2023-04-11,426.0,428.0,388.5,402.0,269330
2023-04-12,405.5,406.0,390.5,401.5,94340
2023-04-13,395.0,405.5,392.5,393.0,75200
2023-04-14,395.0,395.0,377.0,386.5,120210
2023-04-17,374.5,456.0,374.5,434.5,1193220
2023-04-18,433.0,436.0,420.5,425.5,164270
2023-04-19,428.5,431.0,415.0,418.0,119060
2023-04-20,419.5,449.0,417.0,425.0,587420
2023-04-21,427.5,428.0,415.0,417.5,89380
2023-04-24,420.0,429.5,409.5,419.5,108830
2023-04-25,419.5,440.0,406.5,421.0,186900
2023-04-26,418.0,437.0,417.0,420.5,195560
2023-04-27,424.5,436.5,422.5,427.0,167500
2023-04-28,430.0,430.0,408.0,421.0,74540
2023-05-02,417.0,465.0,393.0,448.0,1118190
2023-05-03,447.0,465.0,425.0,439.0,336960
2023-05-04,447.0,447.0,425.0,426.0,74250
2023-05-05,434.5,436.5,425.0,427.0,103160
2023-05-08,431.0,434.5,428.0,431.0,27040
2023-05-10,435.0,454.5,429.0,446.0,164970
2023-05-11,459.5,503.0,449.5,502.5,513180
2023-05-12,505.0,673.5,502.5,619.0,2706440
2023-05-15,631.0,1014.5,630.0,867.0,7600490
2023-05-16,866.0,950.0,708.5,758.0,2468650
2023-05-17,758.0,809.0,691.5,714.5,836160
2023-05-18,729.5,729.5,655.0,687.5,569320
2023-05-19,687.0,755.5,666.5,725.0,1160390
2023-05-22,738.0,780.0,716.0,730.0,451600
2023-05-23,735.5,740.0,690.5,705.0,211940
2023-05-24,703.0,705.0,681.5,687.5,172100
2023-05-25,688.5,702.0,671.0,673.5,173830
2023-05-26,676.0,695.0,655.0,675.0,221160
2023-05-29,663.0,701.0,663.0,692.0,287410
2023-05-30,680.0,748.0,660.0,680.0,1330040
2023-05-31,748.0,748.0,685.0,700.0,887130
2023-06-01,700.0,718.0,641.0,695.0,582900
2023-06-02,695.0,705.0,680.0,684.0,203020
2023-06-05,684.0,694.0,662.0,665.0,220020
2023-06-06,666.0,687.0,645.0,680.5,278640
2023-06-07,685.5,715.0,680.5,704.0,512200
2023-06-08,720.0,724.0,689.0,697.0,235590
2023-06-09,696.0,699.5,681.0,681.5,127670
2023-06-13,692.0,704.0,685.5,699.0,181390
2023-06-14,705.0,721.0,692.0,700.0,393440
2023-06-15,700.0,709.0,695.0,703.0,164550
2023-06-16,703.0,708.5,696.5,705.0,133940
2023-06-19,709.0,790.0,705.0,775.0,1784230
2023-06-20,785.0,866.5,777.0,829.0,2566980
2023-06-21,835.0,854.0,790.0,807.0,573500
2023-06-22,808.0,836.0,789.0,812.0,453000
2023-06-23,811.5,811.5,775.0,791.0,325020
2023-06-26,770.0,798.0,746.0,773.5,211830
2023-06-27,773.5,800.0,750.0,778.0,218910
2023-06-28,778.5,827.5,778.0,826.0,832130
2023-06-29,828.5,850.0,807.0,809.0,658140
2023-06-30,811.5,831.5,801.0,813.0,358580
2023-07-03,817.5,828.0,806.0,815.0,198750
2023-07-04,818.0,819.0,780.0,791.0,279610
2023-07-05,794.5,794.5,755.0,765.0,334480
2023-07-06,766.5,780.0,730.5,734.5,355180
2023-07-07,695.0,819.0,690.0,803.5,1168870
2023-07-10,803.5,825.0,790.0,817.5,739700
2023-07-11,825.0,865.0,817.0,818.5,2043800
2023-07-12,825.0,835.0,810.5,818.0,306710
2023-07-13,814.0,825.0,801.5,809.5,219700
2023-07-14,826.0,845.0,818.0,829.0,691120
2023-07-17,825.0,839.5,812.0,828.0,330570
2023-07-18,828.0,837.0,816.5,820.0,208700
2023-07-19,826.0,827.5,819.0,823.5,196810
2023-07-20,823.5,826.5,801.0,812.0,147590
2023-07-21,823.0,823.0,806.0,815.5,88060
2023-07-24,822.0,827.0,817.0,822.5,115890
2023-07-25,826.0,829.0,822.0,822.0,128460
2023-07-26,823.5,935.0,815.5,895.0,3049190
2023-07-27,903.0,940.0,880.0,886.0,1008870
2023-07-28,898.0,928.0,894.0,908.0,556020
2023-07-31,918.0,923.0,885.0,897.0,465930
2023-08-01,897.0,927.5,897.0,910.5,490630
2023-08-02,918.0,925.0,885.5,899.5,324820
2023-08-03,909.0,924.0,893.0,919.0,406290
2023-08-04,927.0,982.0,800.0,898.0,1530270
2023-08-07,902.0,928.0,899.0,909.0,296920
2023-08-08,912.5,912.5,866.0,897.5,217220
2023-08-09,905.5,905.5,884.0,892.0,228970
2023-08-10,896.0,910.0,890.5,900.5,122830
2023-08-11,904.5,945.0,900.5,917.0,498070
2023-08-14,920.5,927.0,870.0,890.5,239170
2023-08-15,880.0,904.5,865.0,892.5,139220
2023-08-16,892.5,909.0,824.5,864.0,272070
2023-08-17,873.0,883.0,850.0,870.0,87050
2023-08-18,877.0,908.5,871.0,903.0,255780
2023-08-21,905.5,959.0,896.0,945.0,892900
2023-08-22,947.0,962.0,914.0,922.5,301000
2023-08-23,925.5,936.0,890.0,916.5,352130
2023-08-24,905.0,933.5,894.0,921.0,217630
2023-08-25,928.0,938.0,916.0,927.0,187820
2023-08-28,932.0,945.0,920.0,936.5,185590
2023-08-29,941.5,944.0,926.5,939.5,138250
2023-08-30,942.0,986.0,924.5,945.5,790230
2023-08-31,947.5,977.5,946.5,971.0,305240
2023-09-01,980.0,1000.0,950.0,969.5,314940
2023-09-04,975.0,1058.0,967.0,1044.0,1313620
2023-09-05,1053.0,1337.0,1035.0,1252.0,5065520
2023-09-06,1252.0,1275.0,1123.5,1156.5,805500
2023-09-07,1170.0,1300.0,1111.0,1191.0,2218550
2023-09-08,1206.0,1284.5,1160.5,1244.5,940050
2023-09-11,1280.0,1409.0,1270.0,1346.0,3088540
2023-09-12,1355.0,1382.0,1294.5,1317.0,625110
2023-09-13,1335.0,1340.0,1232.0,1251.0,481850
2023-09-14,1258.0,1258.0,1075.5,1126.5,1187280
2023-09-15,1075.0,1155.5,1051.0,1116.5,720720
2023-09-18,1138.0,1154.0,1056.5,1069.5,592800
2023-09-19,1070.0,1087.5,980.5,992.0,817130
2023-09-20,982.0,1150.0,920.0,1107.5,2067710
2023-09-21,1107.5,1165.0,1042.0,1060.0,1137930
2023-09-22,1026.0,1112.0,1019.5,1066.0,486710
2023-09-25,1074.5,1135.0,1061.5,1089.0,522260
2023-09-26,1102.0,1109.5,1046.5,1059.0,299550
2023-09-27,1072.0,1078.0,1025.0,1038.0,584600
2023-09-28,1041.0,1053.0,1005.0,1010.5,470290
2023-09-29,1026.0,1045.0,972.5,993.0,726000
2023-10-02,1010.0,1047.0,998.0,1003.5,636110
2023-10-03,1002.0,1025.0,985.0,1000.0,301230
2023-10-04,1010.0,1035.5,995.5,1018.0,621400
2023-10-05,1026.0,1026.5,999.5,1008.5,181610
2023-10-06,1010.0,1018.0,1000.0,1005.5,117710
2023-10-09,1006.5,1021.0,1002.0,1006.0,205940
2023-10-10,1006.0,1006.5,975.0,1000.0,163520
2023-10-11,1000.0,1008.0,990.5,996.0,150360
2023-10-12,980.0,1007.0,975.0,982.0,160990
2023-10-13,986.0,1003.0,983.0,992.5,107560
2023-10-16,999.0,1005.0,985.5,992.5,109450
2023-10-17,994.0,1007.0,986.5,991.0,161170
2023-10-18,993.0,994.0,983.0,984.5,85160
2023-10-19,984.5,1042.0,982.0,1039.0,710110
2023-10-20,1039.0,1041.0,994.5,1009.5,229210
2023-10-23,1020.0,1024.0,993.0,997.0,108630
2023-10-24,1000.0,1015.0,995.0,995.5,111480
2023-10-25,996.0,1003.5,989.0,997.0,91300
2023-10-26,998.0,1001.0,982.5,983.0,85940
2023-10-27,983.0,993.5,965.0,975.0,131060
2023-10-30,986.0,989.0,975.0,979.5,46530
2023-10-31,978.5,981.0,938.5,943.5,184940
2023-11-01,943.5,963.0,928.0,952.5,104290
2023-11-02,953.0,988.0,952.0,953.5,133700
2023-11-03,955.0,977.0,950.0,950.0,55690
2023-11-06,953.5,958.5,938.0,948.0,48560
2023-11-07,948.0,949.0,941.5,946.5,41310
2023-11-08,940.5,947.5,928.5,931.0,113450
2023-11-09,931.5,938.0,925.5,925.5,67520
2023-11-10,925.5,927.0,847.0,847.0,321910
2023-11-13,853.0,898.5,763.5,785.0,511340
2023-11-14,780.0,780.0,680.0,691.5,490710
2023-11-15,690.0,847.0,660.0,809.5,1107660
2023-11-16,815.0,912.0,812.0,878.0,1186360
2023-11-17,887.5,923.0,822.0,855.0,717860
2023-11-20,884.0,890.0,854.5,867.0,205770
2023-11-21,862.5,862.5,830.0,836.0,196750
2023-11-22,839.0,842.5,819.0,826.0,158310
2023-11-23,829.5,830.5,765.0,794.0,269070
2023-11-24,794.0,794.0,768.0,778.5,77420
2023-11-27,778.5,780.0,730.0,741.5,166990
2023-11-28,736.0,798.5,730.5,790.0,297550
2023-11-29,792.5,810.0,767.0,778.0,103070
2023-11-30,778.0,799.0,737.0,754.0,158480
2023-12-01,754.0,763.0,730.0,737.5,85760
2023-12-04,730.5,736.5,671.0,671.0,172820
2023-12-05,671.0,732.5,671.0,707.0,314650
2023-12-06,710.0,710.0,675.0,686.0,90240
2023-12-07,686.0,687.0,661.0,679.0,109530
2023-12-08,683.0,704.5,676.5,682.5,108700
2023-12-11,687.5,712.0,671.0,673.5,108550
2023-12-12,677.0,690.0,665.5,672.0,52050
2023-12-13,677.5,696.0,667.5,687.0,94120
2023-12-14,691.0,697.5,672.0,678.0,56140
2023-12-15,681.0,713.0,656.0,694.5,116990
2023-12-18,724.0,889.5,706.0,855.5,2015160
2023-12-19,861.0,920.0,808.5,818.0,1712530
2023-12-20,816.0,870.0,793.5,827.0,505390
2023-12-21,835.5,854.0,803.0,816.5,222170
2023-12-22,820.5,845.0,804.5,825.0,299660
2023-12-25,829.0,848.5,810.0,820.0,169330
2023-12-26,831.0,831.0,800.0,805.5,146170
2023-12-27,805.0,812.0,780.0,788.0,170120
2023-12-28,788.5,845.0,788.5,800.0,434010
2023-12-29,805.0,837.0,780.0,793.5,368110
2024-01-03,800.0,814.5,793.0,812.5,122890
2024-01-04,814.0,845.0,806.0,843.0,257950
2024-01-05,848.5,848.5,805.5,820.0,194470
2024-01-08,822.5,844.5,822.5,824.5,141710
2024-01-09,831.0,870.0,828.0,844.5,490390
2024-01-10,845.0,894.0,841.0,881.5,731400
2024-01-11,885.0,888.5,851.5,866.0,338330
2024-01-12,870.0,878.5,862.0,866.0,139670
2024-01-15,866.0,915.0,866.0,883.5,631160
2024-01-16,893.0,922.0,878.5,908.0,565570
2024-01-17,912.0,970.0,912.0,945.0,1056090
2024-01-18,950.0,961.5,912.5,931.0,291500
2024-01-19,932.0,937.5,890.0,910.5,225860
2024-01-22,915.5,936.5,900.0,926.5,196430
2024-01-23,933.0,938.0,916.0,926.5,101680
2024-01-24,933.0,933.0,910.0,915.5,103970
2024-01-25,913.0,915.5,890.5,900.0,119780
2024-01-26,903.0,911.0,899.0,900.5,56950
2024-01-29,902.0,917.0,902.0,907.5,74360
2024-01-30,912.0,915.0,902.0,905.0,60070
2024-01-31,906.0,915.0,905.0,910.5,59250
2024-02-01,911.5,936.0,901.0,903.5,227860
2024-02-02,908.5,915.0,890.0,908.5,85120
2024-02-05,909.0,925.0,904.0,906.0,59830
2024-02-06,907.0,924.5,905.0,912.0,108360
2024-02-07,912.0,919.5,900.0,905.5,68960
2024-02-08,907.0,914.5,897.5,901.0,73490
2024-02-09,901.0,903.0,877.5,891.5,138640
2024-02-12,890.5,894.5,856.0,867.0,138780
2024-02-13,869.0,910.0,869.0,891.0,208310
2024-02-14,893.5,898.5,878.0,888.0,105360
2024-02-15,888.0,894.0,877.0,883.5,71430
2024-02-16,883.5,895.0,873.0,877.5,69910
2024-02-19,877.5,881.5,863.0,865.5,61230
2024-02-20,870.0,895.0,838.5,841.0,191980
2024-02-21,840.5,840.5,800.0,806.0,144290
2024-02-22,810.0,860.0,803.5,827.5,153250
2024-02-26,848.0,870.5,848.0,859.0,84950
2024-02-27,866.0,866.0,848.5,850.5,51330
2024-02-28,851.0,859.5,842.0,846.0,53590
2024-02-29,846.0,866.5,843.5,853.5,63900
2024-03-01,860.0,860.0,850.0,854.5,26024
2024-03-04,858.5,903.0,858.5,877.0,441598
2024-03-05,885.0,892.0,848.5,875.0,103554
2024-03-06,877.0,880.0,864.5,872.5,40130
2024-03-07,879.0,886.5,865.0,867.5,71076
2024-03-11,867.5,876.5,865.0,867.5,38825
2024-03-12,867.5,870.0,850.0,857.5,49053
2024-03-13,860.0,860.0,850.5,853.0,39602
2024-03-14,853.0,853.0,820.0,830.0,70733
2024-03-15,832.0,866.0,832.0,845.5,137519
2024-03-18,847.0,869.5,833.0,859.5,91061
2024-03-19,862.0,890.0,837.0,859.5,246031
2024-03-20,864.0,864.0,840.0,850.0,60348
2024-03-21,850.0,853.5,841.5,850.0,33536
2024-03-22,851.5,860.0,823.0,841.0,75757
2024-03-25,843.0,850.0,830.0,849.0,40150
2024-03-26,849.5,852.0,830.5,841.5,66400
2024-03-27,844.0,844.0,833.0,835.0,41659
2024-03-28,838.0,839.5,832.5,836.0,26832
2024-03-29,839.0,851.0,834.0,843.0,66643
2024-04-01,845.0,883.5,841.0,880.0,251504
2024-04-02,891.0,894.0,864.0,875.0,167662
2024-04-03,876.0,894.5,865.0,888.5,209076
2024-04-04,893.0,917.5,874.0,883.0,307600
2024-04-05,885.5,886.5,869.0,878.5,70865
