TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,344.7,345.7,342.6,344.9,165850
2023-01-04,345.5,346.4,344.2,345.5,149273
2023-01-05,345.6,345.8,341.3,344.3,187731
2023-01-06,344.4,345.0,341.8,344.3,231702
2023-01-09,338.0,340.0,338.0,339.3,320575
2023-01-10,339.4,339.4,335.3,336.7,282174
2023-01-11,335.7,338.0,334.4,337.1,469928
2023-01-12,337.1,338.4,336.2,337.5,107312
2023-01-13,337.5,339.4,337.0,338.7,137646
2023-01-16,339.2,340.5,339.0,339.4,160104
2023-01-17,340.0,340.0,336.2,337.1,140759
2023-01-18,337.1,338.8,335.4,336.5,148376
2023-01-19,337.6,337.6,332.5,333.7,320865
2023-01-20,334.1,334.1,331.1,332.2,190203
2023-01-23,331.3,334.2,331.3,333.4,225544
2023-01-24,333.9,334.1,331.6,332.4,155976
2023-01-25,331.5,332.3,328.8,330.5,316428
2023-01-26,330.6,331.2,326.1,327.2,382977
2023-01-27,326.4,327.6,323.8,327.0,379527
2023-01-30,327.7,328.7,325.6,327.3,296233
2023-01-31,327.0,328.9,325.1,326.8,364374
2023-02-01,326.9,327.7,323.9,324.7,609939
2023-02-02,324.9,324.9,321.5,322.0,596056
2023-02-03,321.9,322.2,319.3,321.7,505265
2023-02-06,321.7,323.7,321.0,323.2,473219
2023-02-07,323.2,324.6,321.8,322.6,431657
2023-02-08,322.7,324.9,322.0,324.8,429889
2023-02-09,325.8,327.9,324.0,324.6,392053
2023-02-10,325.0,325.8,322.0,323.4,249735
2023-02-13,323.4,329.0,323.4,326.3,665995
2023-02-14,326.3,328.5,321.0,325.6,429499
2023-02-15,325.0,325.0,312.1,314.5,798363
2023-02-16,315.8,319.9,314.0,317.3,243286
2023-02-17,317.9,319.8,315.1,319.0,271723
2023-02-20,319.0,319.5,315.5,317.1,283575
2023-02-21,318.0,323.8,318.0,320.6,426791
2023-02-22,320.6,321.7,319.2,319.7,114463
2023-02-24,320.6,320.6,317.6,319.6,119575
2023-02-27,319.0,323.5,316.3,322.9,249450
2023-02-28,323.9,334.2,321.8,332.2,732746
2023-03-01,333.3,339.6,329.3,337.9,771247
2023-03-02,336.6,341.8,330.3,332.2,951899
2023-03-03,332.9,337.8,331.1,337.4,238602
2023-03-06,338.6,340.7,336.9,339.0,323878
2023-03-07,342.0,342.0,335.8,336.4,351029
2023-03-09,337.0,337.0,334.1,335.4,161573
2023-03-10,335.2,335.9,332.6,333.9,293305
2023-03-13,334.5,335.0,329.0,333.0,489853
2023-03-14,332.8,338.7,331.1,336.6,355276
2023-03-15,337.6,339.9,330.5,334.6,378160
2023-03-16,334.0,336.3,330.5,335.6,366084
2023-03-17,335.0,346.1,335.0,345.1,886760
2023-03-20,347.5,355.0,345.0,354.5,756640
2023-03-21,355.0,357.0,346.3,351.1,457340
2023-03-22,351.1,353.1,350.0,350.7,215940
2023-03-23,350.7,352.7,348.0,350.0,333419
2023-03-24,350.0,352.8,348.3,351.4,237936
2023-03-27,353.0,365.0,352.7,363.3,591793
2023-03-28,363.3,366.0,359.7,364.7,617057
2023-03-29,366.1,367.1,361.6,365.3,554284
2023-03-30,366.4,374.8,363.1,371.2,602044
2023-03-31,372.3,372.3,363.8,369.5,532354
2023-04-03,380.0,381.2,375.2,379.5,637406
2023-04-04,380.0,380.8,375.1,375.5,418869
2023-04-05,375.1,382.1,370.0,380.4,540383
2023-04-06,381.0,386.2,380.5,385.4,570943
2023-04-07,386.6,397.5,385.4,394.2,592470
2023-04-10,396.1,401.7,395.1,397.6,513009
2023-04-11,399.9,399.9,388.9,391.5,456521
2023-04-12,390.5,395.2,386.0,394.0,277130
2023-04-13,395.7,396.5,391.1,393.6,234140
2023-04-14,395.0,395.0,390.2,393.3,203312
2023-04-17,394.9,399.2,393.3,398.3,497622
2023-04-18,399.7,401.3,395.0,400.5,349943
2023-04-19,399.5,401.2,392.0,394.7,631898
2023-04-20,395.0,409.0,392.0,407.9,1131621
2023-04-21,409.0,409.6,404.1,406.7,409053
2023-04-24,405.7,416.6,405.0,412.5,568245
2023-04-25,414.0,414.0,408.3,410.3,411008
2023-04-26,411.4,412.0,408.4,409.0,294595
2023-04-27,411.5,420.6,409.0,413.9,864557
2023-04-28,414.1,415.4,405.0,406.5,453252
2023-05-02,409.0,410.0,396.0,399.4,487929
2023-05-03,398.0,398.4,381.0,384.3,782164
2023-05-04,384.0,393.0,383.2,390.1,388887
2023-05-05,390.1,390.8,383.2,385.5,314361
2023-05-08,387.0,396.8,385.0,392.4,254167
2023-05-10,393.6,405.3,392.5,404.5,351191
2023-05-11,404.6,410.7,395.0,401.3,517190
2023-05-12,402.0,405.4,399.3,403.1,232700
2023-05-15,404.8,408.1,404.7,408.0,353649
2023-05-16,408.9,411.3,407.6,410.2,221680
2023-05-17,411.0,411.5,407.0,408.3,131736
2023-05-18,409.5,416.7,406.5,415.1,449897
2023-05-19,415.6,415.6,410.4,413.0,218950
2023-05-22,414.7,420.3,413.3,418.2,411857
2023-05-23,418.5,428.9,416.1,427.4,374242
2023-05-24,428.0,431.7,426.1,429.3,338913
2023-05-25,430.0,431.0,423.4,427.7,284872
2023-05-26,428.8,432.8,426.0,431.0,217170
2023-05-29,435.0,443.8,433.5,443.1,427625
2023-05-30,443.5,448.3,434.0,440.1,768553
2023-05-31,440.0,445.7,436.0,444.3,336028
2023-06-01,445.7,452.8,444.5,450.0,505135
2023-06-02,451.5,461.6,450.3,461.5,471601
