TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,350.5,351.9,349.3,351.6,679364
2023-01-04,352.4,352.4,348.9,350.8,593894
2023-01-05,350.6,350.6,349.0,349.4,418339
2023-01-06,349.2,350.6,348.6,350.6,711502
2023-01-09,345.7,347.3,345.3,346.7,863485
2023-01-10,346.5,346.6,343.9,345.7,598314
2023-01-11,345.4,346.5,343.0,346.0,852057
2023-01-12,345.8,347.0,344.1,345.5,504552
2023-01-13,346.4,346.4,344.7,345.4,542076
2023-01-16,345.5,347.0,344.5,345.7,1044239
2023-01-17,345.5,346.8,340.1,341.8,869751
2023-01-18,341.6,343.0,338.3,339.0,942144
2023-01-19,338.2,339.4,333.3,335.2,1399724
2023-01-20,335.0,335.8,333.0,333.7,668512
2023-01-23,335.9,335.9,332.2,334.7,689269
2023-01-24,334.7,335.7,333.2,333.7,650178
2023-01-25,333.1,334.7,331.5,334.4,669752
2023-01-26,334.4,335.4,332.2,333.3,600671
2023-01-27,333.6,333.6,330.3,333.0,874361
2023-01-30,334.2,335.0,330.8,332.7,1634507
2023-01-31,332.4,332.8,326.7,328.8,2677243
2023-02-01,328.6,330.2,327.2,328.5,1193472
2023-02-02,328.2,329.1,326.1,326.6,1291824
2023-02-03,326.4,326.5,321.7,323.9,2234970
2023-02-06,324.0,325.9,323.1,325.5,1780677
2023-02-07,325.5,326.6,321.9,323.8,2863932
2023-02-08,323.7,324.2,322.1,324.2,2590055
2023-02-09,325.5,328.7,323.5,324.4,2511631
2023-02-10,324.2,324.8,322.5,323.5,1583638
2023-02-13,324.4,327.9,323.0,325.3,3693043
2023-02-14,325.4,327.5,323.2,326.4,1792657
2023-02-15,325.0,325.1,310.0,313.8,4348822
2023-02-16,315.6,320.0,312.1,315.6,2027486
2023-02-17,314.8,319.3,314.3,316.6,1597149
2023-02-20,317.0,317.2,311.0,314.1,2184816
2023-02-21,314.1,318.8,313.4,315.8,3207803
2023-02-22,315.8,315.9,312.2,313.4,1804296
2023-02-24,313.5,314.6,312.0,312.6,1360611
2023-02-27,311.8,318.0,310.0,316.1,1970316
2023-02-28,315.0,330.7,314.9,328.3,7328480
2023-03-01,328.0,335.5,325.1,334.8,8143643
2023-03-02,334.8,337.8,328.0,330.2,5772978
2023-03-03,331.0,335.2,330.0,334.9,2876291
2023-03-06,336.0,340.0,335.5,337.6,4095437
2023-03-07,338.0,338.4,334.9,336.0,2518189
2023-03-09,336.8,337.3,333.5,335.2,2073051
2023-03-10,333.9,335.2,331.3,333.3,1742767
2023-03-13,334.2,335.7,328.2,334.7,2866504
2023-03-14,332.8,341.3,332.6,339.0,3060551
2023-03-15,339.9,343.0,335.5,337.6,2471408
2023-03-16,337.0,339.8,333.7,336.3,2389585
2023-03-17,335.2,348.9,334.5,347.8,6040440
2023-03-20,349.0,357.5,345.3,355.0,6099777
2023-03-21,355.0,356.5,350.2,350.8,3468341
2023-03-22,350.8,351.8,348.2,350.4,2192913
2023-03-23,349.9,350.5,343.1,344.6,3852270
2023-03-24,344.0,349.5,343.6,349.3,1548258
2023-03-27,351.0,363.9,350.5,363.4,5055080
2023-03-28,364.4,368.5,357.5,367.1,3491680
2023-03-29,368.6,369.5,365.0,367.8,2494538
2023-03-30,366.8,379.4,365.3,375.2,3430112
2023-03-31,375.0,377.9,366.8,373.7,3254177
2023-04-03,383.0,389.0,378.5,386.8,4024047
2023-04-04,387.0,389.0,381.6,382.7,2560969
2023-04-05,381.4,388.0,376.2,387.3,2253400
2023-04-06,388.0,391.5,386.1,389.5,2183172
2023-04-07,390.5,396.9,389.5,396.2,2659856
2023-04-10,400.0,405.0,398.1,402.8,2382431
2023-04-11,402.8,403.4,391.6,393.8,2842739
2023-04-12,395.1,397.9,387.1,395.4,2162932
2023-04-13,395.5,397.5,392.3,394.5,972054
2023-04-14,394.5,396.0,391.0,394.4,1217671
2023-04-17,396.1,400.0,394.2,399.3,2375768
2023-04-18,400.0,402.3,396.0,400.2,1835048
2023-04-19,399.5,400.3,393.1,396.4,2082020
2023-04-20,396.0,413.0,388.1,407.3,5080691
2023-04-21,407.4,409.7,404.8,406.3,1323000
2023-04-24,406.3,415.7,405.8,411.7,2972708
2023-04-25,413.3,413.3,406.8,408.8,1449465
2023-04-26,409.3,410.8,406.3,407.4,1747333
2023-04-27,408.1,418.6,407.9,411.8,5894715
2023-04-28,412.8,413.7,401.0,404.0,2885028
2023-05-02,405.5,406.8,394.5,397.1,2666735
2023-05-03,395.3,396.3,380.0,381.8,3563036
