TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.2415,0.243,0.23,0.236,5220000
2023-01-04,0.236,0.237,0.229,0.235,3020000
2023-01-05,0.236,0.2375,0.2325,0.2365,460000
2023-01-06,0.2365,0.24,0.2335,0.2365,510000
2023-01-09,0.2365,0.2675,0.236,0.256,8000000
2023-01-10,0.251,0.252,0.244,0.2515,2980000
2023-01-11,0.252,0.26,0.247,0.255,1280000
2023-01-12,0.26,0.271,0.2575,0.2675,3560000
2023-01-13,0.269,0.2775,0.262,0.266,2250000
2023-01-16,0.265,0.2685,0.26,0.26,1660000
2023-01-17,0.263,0.263,0.258,0.259,290000
2023-01-18,0.258,0.262,0.257,0.2605,940000
2023-01-19,0.26,0.26,0.2515,0.253,990000
2023-01-20,0.2525,0.255,0.252,0.253,110000
2023-01-23,0.2515,0.256,0.2515,0.256,160000
2023-01-24,0.255,0.257,0.255,0.255,260000
2023-01-25,0.256,0.257,0.2545,0.255,720000
2023-01-26,0.255,0.268,0.254,0.257,3210000
2023-01-27,0.258,0.258,0.2545,0.2545,530000
2023-01-30,0.2575,0.2585,0.255,0.257,90000
2023-01-31,0.2555,0.26,0.254,0.254,580000
2023-02-01,0.259,0.262,0.2505,0.2555,2690000
2023-02-02,0.2555,0.257,0.252,0.257,550000
2023-02-03,0.257,0.26,0.25,0.255,2670000
2023-02-06,0.2565,0.26,0.249,0.2565,3420000
2023-02-07,0.252,0.256,0.2515,0.2535,800000
2023-02-08,0.2535,0.2575,0.2535,0.257,2330000
2023-02-09,0.258,0.2585,0.2515,0.257,870000
2023-02-10,0.2555,0.262,0.2555,0.258,1830000
2023-02-13,0.262,0.272,0.2605,0.266,2420000
2023-02-14,0.2675,0.2695,0.2615,0.2615,810000
2023-02-15,0.262,0.296,0.2615,0.268,12640000
2023-02-16,0.267,0.271,0.2595,0.265,1160000
2023-02-17,0.262,0.268,0.2605,0.2635,480000
2023-02-20,0.2665,0.267,0.2625,0.263,700000
2023-02-21,0.265,0.3,0.2605,0.2655,22400000
2023-02-22,0.2685,0.2685,0.252,0.2635,3580000
2023-02-24,0.2605,0.2635,0.259,0.262,470000
2023-02-27,0.263,0.264,0.2575,0.263,1490000
2023-02-28,0.2605,0.2695,0.2595,0.2605,3350000
2023-03-01,0.261,0.264,0.26,0.261,2050000
2023-03-02,0.264,0.2665,0.2605,0.265,2190000
2023-03-03,0.266,0.2675,0.2605,0.2665,1630000
2023-03-06,0.265,0.2715,0.265,0.2655,2380000
2023-03-07,0.2685,0.27,0.2655,0.27,1320000
2023-03-09,0.2705,0.275,0.266,0.27,560000
2023-03-10,0.271,0.277,0.269,0.273,880000
2023-03-13,0.272,0.274,0.272,0.2725,340000
2023-03-14,0.2725,0.299,0.268,0.2795,34240000
2023-03-15,0.2795,0.2795,0.268,0.273,7850000
2023-03-16,0.2735,0.3175,0.273,0.279,88500000
2023-03-17,0.282,0.289,0.275,0.2775,5660000
2023-03-20,0.278,0.2825,0.272,0.2775,4040000
2023-03-21,0.2775,0.2785,0.273,0.274,2090000
2023-03-22,0.2985,0.3225,0.2805,0.285,46740000
2023-03-23,0.285,0.293,0.281,0.286,5390000
2023-03-24,0.29,0.315,0.29,0.3015,15390000
2023-03-27,0.304,0.305,0.295,0.3015,4060000
2023-03-28,0.3015,0.307,0.299,0.307,1120000
2023-03-29,0.3075,0.312,0.306,0.307,1690000
2023-03-30,0.3065,0.312,0.305,0.305,790000
2023-03-31,0.306,0.313,0.306,0.308,1150000
2023-04-03,0.309,0.314,0.301,0.3065,2730000
2023-04-04,0.307,0.31,0.3065,0.31,2000000
2023-04-05,0.31,0.31,0.3045,0.3065,420000
2023-04-06,0.3095,0.317,0.3095,0.317,2150000
2023-04-07,0.3165,0.3375,0.309,0.309,7220000
2023-04-10,0.3125,0.324,0.3105,0.319,3280000
2023-04-11,0.323,0.3335,0.315,0.3155,2550000
2023-04-12,0.315,0.3195,0.313,0.317,900000
2023-04-13,0.3185,0.319,0.313,0.3155,1270000
2023-04-14,0.3175,0.318,0.3135,0.3165,370000
2023-04-17,0.3175,0.32,0.3115,0.3155,1250000
2023-04-18,0.316,0.3275,0.316,0.3225,1850000
2023-04-19,0.3215,0.327,0.319,0.3215,640000
2023-04-20,0.321,0.3385,0.321,0.3225,2410000
2023-04-21,0.3225,0.355,0.321,0.341,11440000
2023-04-24,0.3445,0.37,0.331,0.361,9860000
2023-04-25,0.363,0.39,0.357,0.3695,34590000
2023-04-26,0.382,0.383,0.349,0.358,14890000
2023-04-27,0.3625,0.3625,0.347,0.351,2920000
2023-04-28,0.354,0.36,0.349,0.351,2800000
2023-05-02,0.3515,0.37,0.349,0.349,10980000
2023-05-03,0.3545,0.3575,0.343,0.3495,2540000
2023-05-04,0.3485,0.3505,0.34,0.344,450000
2023-05-05,0.3405,0.344,0.34,0.3435,110000
2023-05-08,0.3435,0.3435,0.331,0.3435,370000
2023-05-10,0.3275,0.357,0.3275,0.357,1440000
2023-05-11,0.3575,0.37,0.3445,0.361,2790000
2023-05-12,0.3645,0.37,0.3515,0.352,4620000
2023-05-15,0.3565,0.362,0.352,0.355,2840000
2023-05-16,0.359,0.394,0.354,0.363,18680000
2023-05-17,0.363,0.374,0.352,0.3585,8860000
2023-05-18,0.359,0.36,0.348,0.3575,6210000
2023-05-19,0.3545,0.3545,0.3445,0.349,3480000
2023-05-22,0.348,0.3505,0.3455,0.35,880000
2023-05-23,0.346,0.35,0.3455,0.35,240000
2023-05-24,0.349,0.358,0.349,0.3505,2170000
2023-05-25,0.354,0.374,0.354,0.361,5690000
2023-05-26,0.3615,0.381,0.357,0.3715,4800000
2023-05-29,0.3725,0.3825,0.37,0.3795,3020000
2023-05-30,0.38,0.3845,0.3645,0.372,3730000
2023-05-31,0.3675,0.3715,0.363,0.3685,470000
2023-06-01,0.3635,0.368,0.363,0.3675,280000
2023-06-02,0.369,0.371,0.359,0.3645,1070000
2023-06-05,0.366,0.3785,0.366,0.37,4680000
2023-06-06,0.3675,0.3795,0.3665,0.372,2330000
2023-06-07,0.3735,0.378,0.368,0.369,1210000
2023-06-08,0.3725,0.38,0.369,0.3745,2990000
2023-06-09,0.376,0.38,0.373,0.3795,1110000
2023-06-13,0.377,0.3875,0.3735,0.3815,4480000
2023-06-14,0.383,0.443,0.383,0.393,35890000
2023-06-15,0.395,0.3955,0.386,0.392,2420000
2023-06-16,0.394,0.422,0.394,0.412,14060000
2023-06-19,0.414,0.42,0.4,0.411,3720000
2023-06-20,0.412,0.423,0.405,0.412,8360000
2023-06-21,0.412,0.42,0.41,0.415,2340000
2023-06-22,0.417,0.418,0.41,0.41,920000
2023-06-23,0.41,0.415,0.409,0.4145,1930000
2023-06-26,0.4125,0.415,0.4005,0.406,1050000
2023-06-27,0.407,0.4095,0.4005,0.4035,2180000
2023-06-28,0.406,0.5395,0.406,0.43,122470000
2023-06-29,0.43,0.43,0.403,0.414,16800000
2023-06-30,0.4145,0.417,0.407,0.409,1740000
2023-07-03,0.415,0.415,0.4045,0.4085,1470000
2023-07-04,0.408,0.4085,0.4035,0.408,1390000
2023-07-05,0.408,0.425,0.403,0.4035,10970000
2023-07-06,0.407,0.455,0.407,0.4255,52630000
2023-07-07,0.428,0.438,0.4075,0.4175,7880000
2023-07-10,0.4145,0.423,0.408,0.422,3090000
2023-07-11,0.4175,0.4215,0.406,0.4165,3090000
2023-07-12,0.4135,0.4175,0.4125,0.417,350000
2023-07-13,0.418,0.428,0.415,0.423,2490000
2023-07-14,0.428,0.436,0.4245,0.4265,3750000
2023-07-17,0.4285,0.4315,0.427,0.4305,640000
2023-07-18,0.43,0.438,0.4265,0.438,2880000
2023-07-19,0.438,0.4495,0.4335,0.447,2890000
2023-07-20,0.45,0.4675,0.4345,0.449,5740000
2023-07-21,0.4455,0.453,0.44,0.448,2220000
2023-07-24,0.448,0.4625,0.448,0.456,3260000
2023-07-25,0.4585,0.466,0.451,0.458,2160000
2023-07-26,0.4545,0.4625,0.452,0.458,2310000
2023-07-27,0.465,0.4825,0.4555,0.465,5640000
2023-07-28,0.496,0.56,0.485,0.488,27710000
2023-07-31,0.4935,0.52,0.49,0.505,2940000
2023-08-01,0.505,0.5185,0.4975,0.5145,2890000
2023-08-02,0.515,0.536,0.4915,0.5055,7050000
2023-08-03,0.5075,0.52,0.503,0.5155,3820000
2023-08-04,0.5195,0.5345,0.5,0.5035,9360000
2023-08-07,0.504,0.525,0.504,0.525,4970000
2023-08-08,0.5275,0.545,0.5075,0.54,7260000
2023-08-09,0.539,0.7325,0.5215,0.7075,63080000
2023-08-10,0.735,0.897,0.53,0.659,48740000
2023-08-11,0.686,0.686,0.62,0.661,5370000
2023-08-14,0.6575,0.7,0.64,0.6435,4700000
2023-08-15,0.643,0.8335,0.6005,0.683,49340000
2023-08-16,0.6985,0.71,0.63,0.66,10840000
2023-08-17,0.66,0.695,0.658,0.6605,2840000
2023-08-18,0.683,0.683,0.658,0.6795,1480000
2023-08-21,0.685,0.7455,0.6615,0.707,11720000
2023-08-22,0.707,0.7495,0.6915,0.7105,7110000
2023-08-23,0.7,0.7225,0.685,0.698,3060000
2023-08-24,0.6985,0.722,0.6935,0.695,2060000
2023-08-25,0.706,0.7235,0.691,0.719,4910000
2023-08-28,0.7235,0.7395,0.7095,0.7255,6630000
2023-08-29,0.728,0.7635,0.708,0.7195,7940000
2023-08-30,0.719,0.73,0.701,0.724,4070000
2023-08-31,0.7265,0.798,0.7245,0.75,30130000
2023-09-01,0.7545,0.795,0.72,0.746,17360000
2023-09-04,0.7515,0.777,0.7255,0.777,4210000
2023-09-05,0.78,0.79,0.7495,0.76,5630000
2023-09-06,0.785,0.785,0.7315,0.7445,2660000
2023-09-07,0.745,0.7505,0.6715,0.7055,4810000
2023-09-08,0.713,0.715,0.67,0.7045,2220000
2023-09-11,0.719,0.7485,0.6955,0.709,3820000
2023-09-12,0.7205,0.7255,0.709,0.725,930000
2023-09-13,0.7365,0.76,0.7025,0.717,4180000
2023-09-14,0.707,0.711,0.65,0.6895,4810000
2023-09-15,0.689,0.73,0.673,0.708,2610000
2023-09-18,0.7035,0.747,0.6915,0.715,2560000
2023-09-19,0.736,0.7365,0.67,0.6915,4030000
2023-09-20,0.6845,0.6845,0.6425,0.661,2410000
2023-09-21,0.666,0.68,0.6405,0.6475,1260000
2023-09-22,0.6475,0.6565,0.6345,0.6505,1210000
2023-09-25,0.6365,0.6745,0.6365,0.6615,620000
2023-09-26,0.6635,0.67,0.645,0.6585,640000
2023-09-27,0.6545,0.6695,0.654,0.6625,620000
2023-09-28,0.6565,0.677,0.648,0.6545,2600000
2023-09-29,0.6615,0.6615,0.646,0.6475,870000
2023-10-02,0.6465,0.653,0.6465,0.6465,950000
2023-10-03,0.6465,0.6465,0.63,0.644,780000
2023-10-04,0.6495,0.7195,0.649,0.6525,3510000
2023-10-05,0.6525,0.676,0.6495,0.654,380000
2023-10-06,0.66,0.661,0.617,0.64,2220000
2023-10-09,0.644,0.6545,0.632,0.6505,650000
2023-10-10,0.6485,0.653,0.627,0.64,1060000
