TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.287,0.292,0.286,0.289,380000
2023-01-04,0.291,0.291,0.286,0.286,200000
2023-01-05,0.286,0.286,0.286,0.286,30000
2023-01-06,0.286,0.29,0.286,0.29,80000
2023-01-09,0.29,0.312,0.29,0.303,4620000
2023-01-10,0.303,0.303,0.294,0.3,510000
2023-01-11,0.299,0.302,0.296,0.298,640000
2023-01-12,0.298,0.314,0.298,0.3,1290000
2023-01-13,0.301,0.326,0.298,0.307,2450000
2023-01-16,0.31,0.31,0.3,0.306,600000
2023-01-17,0.31,0.311,0.3,0.3,990000
2023-01-18,0.3,0.315,0.299,0.306,630000
2023-01-19,0.306,0.309,0.302,0.306,450000
2023-01-20,0.301,0.306,0.301,0.305,140000
2023-01-23,0.305,0.307,0.3,0.303,230000
2023-01-24,0.307,0.31,0.306,0.306,280000
2023-01-25,0.307,0.308,0.3,0.303,320000
2023-01-26,0.31,0.326,0.306,0.311,3260000
2023-01-27,0.311,0.311,0.3,0.301,870000
2023-01-30,0.304,0.304,0.298,0.301,320000
2023-01-31,0.304,0.322,0.304,0.315,1180000
2023-02-01,0.319,0.319,0.306,0.312,620000
2023-02-02,0.312,0.312,0.3,0.308,1200000
2023-02-03,0.31,0.316,0.304,0.311,470000
2023-02-06,0.314,0.314,0.307,0.314,240000
2023-02-07,0.314,0.316,0.308,0.312,440000
2023-02-08,0.318,0.318,0.309,0.314,420000
2023-02-09,0.314,0.316,0.309,0.313,310000
2023-02-10,0.316,0.327,0.315,0.316,700000
2023-02-13,0.323,0.33,0.315,0.324,920000
2023-02-14,0.323,0.334,0.322,0.332,1200000
2023-02-15,0.33,0.37,0.305,0.309,9430000
2023-02-16,0.312,0.33,0.305,0.312,1620000
2023-02-17,0.303,0.317,0.3,0.308,620000
2023-02-20,0.308,0.308,0.301,0.301,190000
2023-02-21,0.307,0.393,0.307,0.324,22900000
2023-02-22,0.324,0.333,0.303,0.321,3670000
2023-02-24,0.315,0.329,0.311,0.317,1530000
2023-02-27,0.322,0.322,0.312,0.319,1320000
2023-02-28,0.318,0.345,0.318,0.322,1780000
2023-03-01,0.323,0.33,0.32,0.325,690000
2023-03-02,0.326,0.329,0.32,0.321,820000
2023-03-03,0.322,0.335,0.32,0.327,1110000
2023-03-06,0.327,0.33,0.321,0.33,830000
2023-03-07,0.333,0.333,0.325,0.33,390000
2023-03-09,0.33,0.333,0.326,0.329,430000
2023-03-10,0.324,0.333,0.324,0.33,300000
2023-03-13,0.327,0.33,0.324,0.327,190000
2023-03-14,0.326,0.397,0.317,0.347,24960000
2023-03-15,0.353,0.388,0.328,0.38,10220000
2023-03-16,0.38,0.502,0.368,0.398,106230000
2023-03-17,0.398,0.423,0.381,0.389,15520000
2023-03-20,0.392,0.403,0.382,0.385,4920000
2023-03-21,0.385,0.387,0.359,0.38,11520000
2023-03-22,0.39,0.51,0.39,0.404,41360000
2023-03-23,0.407,0.412,0.39,0.402,3970000
2023-03-24,0.402,0.423,0.396,0.406,4120000
2023-03-27,0.429,0.429,0.408,0.418,1400000
2023-03-28,0.42,0.42,0.399,0.415,3980000
2023-03-29,0.415,0.417,0.403,0.415,1770000
2023-03-30,0.416,0.418,0.411,0.411,1970000
2023-03-31,0.415,0.421,0.412,0.418,1780000
2023-04-03,0.418,0.42,0.413,0.419,490000
2023-04-04,0.419,0.42,0.415,0.419,180000
2023-04-05,0.421,0.425,0.417,0.417,1010000
2023-04-06,0.419,0.445,0.419,0.432,3580000
2023-04-07,0.444,0.474,0.432,0.436,5340000
2023-04-10,0.437,0.46,0.43,0.453,1390000
2023-04-11,0.452,0.46,0.43,0.446,1990000
2023-04-12,0.448,0.452,0.438,0.444,500000
2023-04-13,0.455,0.465,0.429,0.447,1560000
2023-04-14,0.45,0.45,0.435,0.439,410000
2023-04-17,0.439,0.457,0.437,0.454,670000
2023-04-18,0.452,0.465,0.436,0.45,1040000
2023-04-19,0.457,0.469,0.441,0.441,1100000
2023-04-20,0.442,0.459,0.442,0.448,750000
2023-04-21,0.444,0.5,0.444,0.458,6720000
2023-04-24,0.451,0.512,0.441,0.459,6820000
2023-04-25,0.468,0.64,0.465,0.615,24330000
2023-04-26,0.615,0.615,0.54,0.55,18510000
2023-04-27,0.562,0.571,0.54,0.553,5150000
2023-04-28,0.553,0.553,0.541,0.549,1020000
2023-05-02,0.553,0.565,0.522,0.525,2060000
2023-05-03,0.532,0.533,0.483,0.494,2600000
2023-05-04,0.497,0.523,0.496,0.52,1660000
2023-05-05,0.51,0.511,0.507,0.51,150000
2023-05-08,0.509,0.513,0.47,0.473,1390000
2023-05-10,0.473,0.483,0.471,0.481,640000
2023-05-11,0.482,0.503,0.482,0.497,1070000
2023-05-12,0.501,0.549,0.485,0.515,3260000
2023-05-15,0.516,0.521,0.497,0.516,780000
2023-05-16,0.512,0.612,0.51,0.58,13740000
2023-05-17,0.58,0.588,0.541,0.578,3030000
2023-05-18,0.589,0.594,0.556,0.565,2590000
2023-05-19,0.567,0.568,0.52,0.549,2210000
2023-05-22,0.554,0.554,0.52,0.53,3630000
2023-05-23,0.526,0.548,0.522,0.548,1150000
2023-05-24,0.546,0.588,0.546,0.564,2200000
2023-05-25,0.564,0.59,0.553,0.59,4930000
2023-05-26,0.582,0.597,0.573,0.588,1260000
2023-05-29,0.576,0.587,0.573,0.581,490000
2023-05-30,0.583,0.583,0.574,0.583,660000
