TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,83.42,85.4,82.8,85.4,1387930
2023-01-04,85.4,89.0,85.0,88.74,1393390
2023-01-05,89.0,91.3,88.8,90.0,1812980
2023-01-06,90.0,90.44,88.34,89.44,743030
2023-01-09,89.5,91.0,89.5,90.46,776070
2023-01-10,91.0,91.0,89.5,89.9,544700
2023-01-11,90.1,90.98,89.9,90.66,798590
2023-01-12,90.98,92.24,90.5,91.74,1176270
2023-01-13,91.98,94.86,91.66,93.86,2058780
2023-01-16,94.48,96.32,94.16,95.86,1741450
2023-01-17,96.2,97.94,93.3,94.6,1948020
2023-01-18,92.6,95.0,91.06,94.38,1049840
2023-01-19,94.9,94.9,93.0,93.56,844140
2023-01-20,93.88,96.3,93.42,95.62,2721560
2023-01-23,97.04,97.84,95.0,95.96,1689860
2023-01-24,96.36,96.36,93.72,93.9,1596590
2023-01-25,93.5,93.56,91.1,91.88,2019450
2023-01-26,91.88,92.96,91.6,91.9,1033570
2023-01-27,91.9,92.22,90.62,92.2,2250000
2023-01-30,85.4,86.28,84.56,84.6,4310060
2023-01-31,84.4,84.56,83.38,83.58,1521830
2023-02-01,83.5,86.2,83.48,85.4,2485070
2023-02-02,85.6,87.66,85.6,87.44,1751750
2023-02-03,87.8,87.8,86.1,86.98,789930
2023-02-06,86.98,87.94,85.0,87.2,925080
2023-02-07,87.1,89.5,87.04,88.4,1365990
2023-02-08,88.4,89.2,87.2,88.06,725540
2023-02-09,87.6,88.48,87.1,87.14,488960
2023-02-10,87.0,87.3,85.0,87.02,635220
2023-02-13,87.86,87.86,86.86,87.16,334810
2023-02-14,87.16,87.32,85.5,86.0,542910
2023-02-15,85.9,85.96,83.42,83.48,875510
2023-02-16,83.62,85.78,83.62,84.6,593400
2023-02-17,85.18,85.34,84.5,84.94,263990
2023-02-20,84.9,84.9,83.5,84.28,506200
2023-02-21,84.86,86.74,84.3,85.72,816710
2023-02-22,85.7,85.76,84.6,85.74,341200
2023-02-24,85.88,86.36,85.46,85.74,224160
2023-02-27,86.12,87.5,85.52,87.14,769030
2023-02-28,87.42,88.88,87.16,88.08,629420
2023-03-01,88.42,88.58,87.84,88.18,450850
2023-03-02,88.46,88.46,86.2,86.92,552560
2023-03-03,87.12,88.04,86.92,87.78,241310
2023-03-06,88.16,89.98,88.08,89.86,1048840
2023-03-07,90.0,90.72,89.04,90.6,863090
2023-03-09,90.74,92.0,90.5,91.6,991710
2023-03-10,91.6,91.6,90.06,90.64,584030
2023-03-13,90.64,91.32,88.1,89.42,1017510
2023-03-14,89.5,90.74,88.82,90.52,567170
2023-03-15,90.78,94.58,89.82,90.92,3518970
