TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2550.5,2600.0,2545.5,2590.0,92567
2023-01-04,2592.0,2615.0,2571.0,2587.0,104468
2023-01-05,2589.0,2593.0,2562.0,2574.0,48766
2023-01-06,2577.0,2583.0,2550.0,2555.0,59804
2023-01-09,2559.5,2625.0,2559.5,2612.0,185997
2023-01-10,2601.5,2674.0,2587.0,2657.0,254102
2023-01-11,2658.0,2700.0,2658.0,2692.5,168189
2023-01-12,2699.0,2700.0,2659.0,2685.5,166088
2023-01-13,2688.0,2745.0,2675.0,2720.0,221021
2023-01-16,2749.0,2760.0,2719.5,2737.5,156277
2023-01-17,2738.0,2738.0,2671.5,2679.0,150215
2023-01-18,2682.5,2704.5,2661.0,2677.5,98969
2023-01-19,2666.0,2686.5,2635.0,2640.5,91628
2023-01-20,2641.5,2697.5,2628.0,2677.0,100480
2023-01-23,2684.0,2720.0,2683.5,2701.0,124842
2023-01-24,2715.0,2734.0,2696.5,2698.5,146672
2023-01-25,2698.5,2698.5,2653.0,2683.5,105215
2023-01-26,2688.0,2688.0,2651.5,2664.5,111804
2023-01-27,2656.5,2678.0,2650.0,2675.5,82147
2023-01-30,2684.5,2695.0,2668.0,2693.5,111684
2023-01-31,2698.0,2777.0,2688.0,2772.0,301105
2023-02-01,2774.0,2798.0,2727.0,2752.5,265875
2023-02-02,2755.0,2769.5,2715.0,2745.5,145201
2023-02-03,2746.0,2759.0,2725.0,2751.5,119386
2023-02-06,2755.0,2798.0,2752.0,2791.0,174502
2023-02-07,2793.0,2809.5,2732.5,2742.0,224043
2023-02-08,2749.5,2761.0,2705.5,2744.0,223738
2023-02-09,2748.0,2769.0,2731.5,2746.0,119526
2023-02-10,2740.0,2767.0,2736.0,2746.5,127336
2023-02-13,2740.0,2761.0,2740.0,2746.5,95820
2023-02-14,2747.0,2748.0,2637.0,2705.5,192360
2023-02-15,2599.0,2629.5,2422.0,2456.0,648493
2023-02-16,2500.0,2549.0,2471.5,2497.5,248936
2023-02-17,2513.0,2513.5,2464.5,2483.0,129511
2023-02-20,2483.0,2496.5,2410.0,2476.5,184212
2023-02-21,2494.0,2549.5,2459.5,2517.0,270519
2023-02-22,2527.0,2527.0,2451.5,2478.5,150513
2023-02-24,2477.0,2655.0,2465.0,2642.5,565977
2023-02-27,2384.5,2550.5,2305.0,2545.5,798001
2023-02-28,2555.0,2589.5,2551.0,2567.5,183649
2023-03-01,2570.0,2575.0,2534.0,2559.5,129991
2023-03-02,2542.5,2552.0,2493.0,2511.0,245453
2023-03-03,2510.0,2554.0,2507.5,2534.0,125440
2023-03-06,2548.5,2569.5,2530.0,2538.5,135717
2023-03-07,2538.5,2546.5,2528.0,2542.5,68960
2023-03-09,2550.0,2555.0,2526.0,2532.0,73868
2023-03-10,2528.0,2530.0,2502.0,2523.0,109391
2023-03-13,2530.0,2550.0,2510.0,2524.5,148240
2023-03-14,2535.5,2593.5,2514.0,2539.5,464149
2023-03-15,2543.0,2567.0,2466.0,2492.0,363198
2023-03-16,2497.0,2497.0,2390.5,2445.5,330267
2023-03-17,2457.0,2535.0,2444.0,2505.0,308896
2023-03-20,2510.0,2550.0,2479.5,2536.5,376130
2023-03-21,2545.5,2553.0,2483.5,2493.0,265679
2023-03-22,2493.0,2505.5,2475.0,2486.0,100251
2023-03-23,2487.0,2496.0,2480.0,2482.0,65843
2023-03-24,2484.5,2485.0,2452.5,2462.0,94402
2023-03-27,2470.0,2506.0,2462.5,2500.0,170983
2023-03-28,2510.0,2510.5,2470.0,2487.5,117160
2023-03-29,2489.5,2533.5,2480.0,2509.5,199724
2023-03-30,2501.0,2517.0,2492.5,2514.5,111553
2023-03-31,2515.0,2521.0,2470.0,2486.5,162113
2023-04-03,2499.5,2510.0,2483.0,2500.0,148977
2023-04-04,2504.0,2543.5,2477.0,2504.5,314842
2023-04-05,2505.5,2505.5,2481.5,2502.5,120030
2023-04-06,2504.0,2514.5,2486.0,2499.0,144132
2023-04-07,2499.0,2628.0,2491.0,2617.0,622102
2023-04-10,2640.0,2750.0,2628.0,2744.0,665100
2023-04-11,2769.0,2769.0,2603.0,2640.0,606006
2023-04-12,2652.0,2697.0,2641.0,2658.5,238426
2023-04-13,2658.0,2684.5,2615.0,2653.5,135957
2023-04-14,2660.0,2690.0,2626.0,2675.0,166453
2023-04-17,2700.0,2764.5,2685.0,2744.5,307107
2023-04-18,2753.0,2760.0,2707.0,2734.5,203017
2023-04-19,2740.0,2740.0,2670.5,2684.5,248319
2023-04-20,2694.0,2714.5,2626.0,2690.0,240456
