TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1230,1274,1222,1250,705
2023-01-04,1242,1258,1236,1254,236
2023-01-05,1246,1296,1242,1278,1378
2023-01-06,1292,1666,1292,1370,31237
2023-01-09,1370,1452,1316,1350,2744
2023-01-10,1426,1450,1322,1342,2139
2023-01-11,1364,1420,1314,1330,1592
2023-01-12,1358,1380,1312,1360,1089
2023-01-13,1364,1376,1332,1342,321
2023-01-16,1354,1438,1354,1396,669
2023-01-17,1416,1416,1326,1370,1300
2023-01-18,1356,1400,1344,1386,750
2023-01-19,1396,1396,1340,1364,601
2023-01-20,1360,1368,1322,1350,281
2023-01-23,1350,1372,1322,1372,767
2023-01-24,1360,1372,1354,1360,164
2023-01-25,1360,1364,1280,1346,1945
2023-01-26,1336,1500,1316,1480,5511
2023-01-27,1480,1530,1412,1440,1357
2023-01-30,1444,1520,1400,1434,2527
2023-01-31,1470,1470,1358,1408,1727
2023-02-01,1428,1438,1400,1424,774
2023-02-02,1424,1444,1412,1442,266
2023-02-03,1428,1442,1398,1416,615
2023-02-06,1440,1440,1412,1436,285
2023-02-07,1436,1436,1394,1406,2016
2023-02-08,1406,1700,1406,1530,20574
2023-02-09,1550,1550,1446,1478,1991
2023-02-10,1508,1530,1450,1468,1502
2023-02-13,1450,1520,1440,1454,1464
2023-02-14,1462,1956,1424,1474,72712
2023-02-15,1486,1488,1320,1418,7991
2023-02-16,1380,1414,1352,1406,2219
2023-02-17,1418,1418,1360,1384,1884
2023-02-20,1384,1494,1360,1366,3121
2023-02-21,1384,1422,1370,1398,1273
2023-02-22,1400,1454,1384,1398,2287
2023-02-24,1388,1490,1310,1386,2747
2023-02-27,1380,1440,1366,1390,2222
2023-02-28,1414,1418,1390,1406,709
2023-03-01,1420,1452,1400,1408,1287
2023-03-02,1420,1430,1398,1412,767
2023-03-03,1442,1544,1420,1448,5751
2023-03-06,1530,1532,1448,1482,1623
2023-03-07,1482,1496,1454,1482,1095
2023-03-09,1484,1486,1450,1470,600
2023-03-10,1462,1498,1444,1468,1675
2023-03-13,1446,1492,1440,1452,1329
2023-03-14,1446,1462,1438,1446,277
2023-03-15,1442,1462,1438,1450,372
2023-03-16,1452,1460,1430,1440,755
2023-03-17,1444,1450,1430,1430,445
2023-03-20,1440,1510,1430,1456,1730
2023-03-21,1440,1472,1440,1446,951
2023-03-22,1460,1470,1440,1448,1309
2023-03-23,1456,1462,1440,1450,948
2023-03-24,1450,1470,1442,1460,655
2023-03-27,1468,1480,1442,1460,1025
2023-03-28,1460,1630,1448,1500,7103
2023-03-29,1488,1584,1472,1490,3533
2023-03-30,1492,1600,1492,1522,3675
2023-03-31,1528,1530,1498,1510,725
2023-04-03,1520,1552,1502,1528,797
2023-04-04,1508,1580,1508,1550,1482
2023-04-05,1554,1554,1516,1530,689
2023-04-06,1526,1560,1522,1552,794
2023-04-07,1566,1584,1550,1584,1324
2023-04-10,1590,1600,1560,1584,922
2023-04-11,1598,1610,1490,1556,2037
2023-04-12,1554,1558,1518,1558,307
2023-04-13,1544,1558,1520,1526,585
2023-04-14,1526,1540,1500,1524,617
2023-04-17,1524,1566,1522,1560,552
2023-04-18,1550,1570,1522,1562,500
2023-04-19,1562,1630,1502,1542,3147
2023-04-20,1542,1548,1520,1538,270
2023-04-21,1542,1546,1490,1528,377
2023-04-24,1514,1544,1512,1536,319
2023-04-25,1542,1544,1522,1524,323
2023-04-26,1510,1540,1504,1512,615
2023-04-27,1512,1518,1500,1506,307
2023-04-28,1506,1506,1480,1490,582
2023-05-02,1504,1504,1420,1436,1102
2023-05-03,1436,1440,1370,1410,1112
2023-05-04,1408,1436,1384,1408,512
2023-05-05,1400,1464,1400,1464,338
2023-05-08,1460,1474,1434,1434,81
2023-05-10,1454,1494,1438,1490,621
2023-05-11,1494,1538,1472,1538,544
2023-05-12,1538,1538,1460,1472,824
2023-05-15,1492,1502,1468,1472,321
2023-05-16,1484,1500,1460,1474,317
2023-05-17,1478,1490,1408,1466,1073
2023-05-18,1462,1476,1460,1460,104
2023-05-19,1464,1498,1464,1482,336
2023-05-22,1492,1510,1480,1492,269
2023-05-23,1496,1508,1484,1484,109
2023-05-24,1488,1490,1476,1484,58
2023-05-25,1488,1488,1420,1462,1039
2023-05-26,1456,1462,1450,1456,173
2023-05-29,1448,1468,1442,1460,122
2023-05-30,1468,1480,1438,1450,513
2023-05-31,1448,1450,1442,1444,94
2023-06-01,1456,1470,1446,1454,199
2023-06-02,1450,1472,1450,1462,403
2023-06-05,1474,1486,1468,1486,379
2023-06-06,1480,1492,1468,1492,265
2023-06-07,1478,1490,1470,1482,283
