TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2.1,2.14,2.095,2.12,60000
2023-01-04,2.115,2.13,2.095,2.1,32000
2023-01-05,2.08,2.105,2.06,2.08,29000
2023-01-06,2.07,2.14,2.045,2.11,159000
2023-01-09,2.09,2.11,2.06,2.08,67000
2023-01-10,2.11,2.605,2.095,2.21,2215000
2023-01-11,2.21,2.3,2.16,2.205,346000
2023-01-12,2.26,3.075,2.17,2.805,5471000
2023-01-13,2.89,3.5,2.56,2.64,4305000
2023-01-16,2.59,2.65,2.44,2.65,829000
2023-01-17,2.575,2.635,2.51,2.55,150000
2023-01-18,2.58,2.63,2.52,2.57,215000
2023-01-19,2.575,2.575,2.52,2.55,40000
2023-01-20,2.58,2.95,2.485,2.585,1794000
2023-01-23,2.57,2.66,2.53,2.58,175000
2023-01-24,2.615,2.67,2.56,2.59,113000
2023-01-25,2.57,2.585,2.49,2.555,256000
2023-01-26,2.52,2.6,2.5,2.565,114000
2023-01-27,2.525,2.595,2.5,2.55,158000
2023-01-30,2.565,2.57,2.535,2.535,42000
2023-01-31,2.525,2.535,2.505,2.51,65000
2023-02-01,2.525,2.6,2.52,2.545,34000
2023-02-02,2.555,2.56,2.49,2.545,128000
2023-02-03,2.545,2.64,2.505,2.525,194000
2023-02-06,2.53,2.645,2.53,2.64,257000
2023-02-07,2.645,2.74,2.565,2.685,381000
2023-02-08,2.72,2.76,2.615,2.645,166000
2023-02-09,2.645,2.645,2.555,2.62,132000
2023-02-10,2.615,2.765,2.565,2.615,273000
2023-02-13,2.63,2.7,2.525,2.595,179000
2023-02-14,2.595,2.68,2.565,2.66,114000
2023-02-15,2.7,2.9,2.5,2.575,970000
2023-02-16,2.51,2.73,2.51,2.65,200000
2023-02-17,2.58,2.67,2.515,2.665,184000
2023-02-20,2.57,2.655,2.55,2.61,143000
2023-02-21,2.575,2.625,2.565,2.625,57000
2023-02-22,2.635,2.715,2.61,2.715,55000
2023-02-24,2.68,2.715,2.665,2.665,33000
2023-02-27,2.69,2.735,2.66,2.715,55000
2023-02-28,2.675,2.725,2.65,2.675,82000
2023-03-01,2.68,2.73,2.68,2.69,96000
2023-03-02,2.695,2.8,2.64,2.665,228000
2023-03-03,2.67,2.73,2.6,2.645,137000
2023-03-06,2.62,2.715,2.615,2.71,97000
2023-03-07,2.725,2.725,2.65,2.7,50000
2023-03-09,2.705,2.72,2.67,2.7,78000
2023-03-10,2.7,2.7,2.625,2.68,61000
2023-03-13,2.69,3.095,2.685,2.7,5148000
2023-03-14,2.675,2.715,2.65,2.675,195000
2023-03-15,2.7,2.7,2.65,2.675,75000
2023-03-16,2.66,2.72,2.65,2.665,79000
2023-03-17,2.66,2.71,2.655,2.655,68000
2023-03-20,2.655,2.69,2.65,2.65,60000
2023-03-21,2.65,2.68,2.65,2.68,52000
2023-03-22,2.69,2.69,2.65,2.65,33000
2023-03-23,2.67,2.695,2.66,2.69,39000
2023-03-24,2.68,2.72,2.655,2.705,124000
2023-03-27,2.715,2.72,2.69,2.71,42000
2023-03-28,2.71,2.715,2.66,2.715,98000
2023-03-29,2.72,2.74,2.66,2.715,131000
2023-03-30,2.705,2.75,2.695,2.72,174000
2023-03-31,2.745,2.745,2.675,2.72,90000
2023-04-03,2.715,2.725,2.7,2.715,41000
2023-04-04,2.715,2.725,2.705,2.715,25000
2023-04-05,2.72,2.75,2.68,2.745,157000
2023-04-06,2.72,2.9,2.72,2.895,884000
2023-04-07,2.895,3.45,2.875,3.01,5490000
2023-04-10,3.01,3.2,2.93,3.155,485000
2023-04-11,3.165,3.235,3.005,3.065,203000
2023-04-12,3.125,3.125,3.05,3.085,26000
2023-04-13,3.055,3.055,2.92,3.01,203000
2023-04-14,3.03,3.035,2.955,2.99,30000
2023-04-17,3.04,3.095,2.98,3.085,96000
2023-04-18,3.025,3.345,3.0,3.11,1189000
2023-04-19,3.14,3.295,3.125,3.18,448000
2023-04-20,3.26,3.26,3.11,3.205,276000
2023-04-21,3.22,4.48,3.22,4.48,8205000
2023-04-24,4.505,6.2,4.505,6.15,5199000
2023-04-25,6.04,6.15,4.925,5.185,2854000
2023-04-26,5.35,5.39,4.595,5.03,1503000
2023-04-27,4.935,4.99,4.645,4.85,757000
2023-04-28,4.74,5.325,4.74,4.865,3660000
2023-05-02,4.9,4.92,4.005,4.205,545000
2023-05-03,4.23,4.37,4.01,4.08,458000
2023-05-04,4.02,4.175,4.005,4.095,134000
2023-05-05,4.155,4.155,4.035,4.07,61000
2023-05-08,4.165,4.25,4.04,4.09,157000
2023-05-10,4.095,4.32,4.095,4.305,250000
2023-05-11,4.305,4.555,4.27,4.48,373000
2023-05-12,4.48,5.18,4.48,4.73,1889000
2023-05-15,4.78,4.785,4.545,4.545,336000
2023-05-16,4.58,4.58,4.44,4.52,227000
2023-05-17,4.54,5.44,4.485,4.935,1878000
2023-05-18,4.945,5.6,4.94,5.25,2773000
2023-05-19,5.44,5.85,4.505,4.71,1105000
2023-05-22,4.68,4.68,4.305,4.585,372000
2023-05-23,4.59,4.715,4.07,4.475,603000
2023-05-24,4.495,5.28,4.315,4.99,1403000
2023-05-25,4.98,4.985,4.73,4.985,209000
2023-05-26,4.88,4.925,4.77,4.895,103000
