TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,6.4,6.52,6.3,6.46,12600
2023-01-04,6.46,6.58,6.46,6.56,18900
2023-01-05,6.54,7.18,6.46,6.74,330300
2023-01-06,6.7,6.88,6.44,6.64,223100
2023-01-09,6.88,6.88,6.62,6.66,13800
2023-01-10,6.52,6.76,6.52,6.66,27000
2023-01-11,6.64,6.76,6.62,6.68,22900
2023-01-12,6.68,6.76,6.64,6.64,21500
2023-01-13,6.66,6.74,6.64,6.7,24000
2023-01-16,6.76,6.78,6.68,6.72,28100
2023-01-17,6.74,6.74,6.54,6.68,16400
2023-01-18,6.64,6.7,6.64,6.68,9400
2023-01-19,6.66,6.68,6.52,6.6,11600
2023-01-20,6.62,6.64,6.58,6.6,14100
2023-01-23,6.6,6.9,6.58,6.64,28200
2023-01-24,6.68,7.72,6.68,6.94,793000
2023-01-25,6.94,6.94,6.68,6.8,82400
2023-01-26,6.86,7.22,6.72,7.02,170400
2023-01-27,7.1,7.1,6.88,7.08,44000
2023-01-30,7.1,7.5,7.06,7.22,103800
2023-01-31,7.32,7.42,7.04,7.22,54400
2023-02-01,7.26,7.5,7.18,7.3,102400
2023-02-02,7.3,7.72,7.3,7.46,220900
2023-02-03,7.52,7.68,7.44,7.58,62700
2023-02-06,7.68,7.9,7.56,7.6,48100
2023-02-07,7.66,7.72,7.44,7.58,59100
2023-02-08,7.56,7.7,7.48,7.54,119800
2023-02-09,7.5,7.6,7.4,7.54,48700
2023-02-10,7.56,8.18,7.46,7.58,168800
2023-02-13,7.58,8.04,7.52,7.78,81200
2023-02-14,7.92,7.92,7.4,7.66,126300
2023-02-15,7.6,7.7,7.4,7.4,89500
2023-02-16,7.42,7.58,7.22,7.46,96100
2023-02-17,7.42,7.52,7.24,7.44,61600
2023-02-20,7.4,8.0,7.24,7.48,329800
2023-02-21,7.38,7.56,7.38,7.54,36000
2023-02-22,7.5,7.64,7.44,7.48,85000
2023-02-24,7.46,7.6,7.36,7.5,121600
2023-02-27,7.5,7.58,7.4,7.54,79500
2023-02-28,7.56,7.64,7.52,7.64,44700
2023-03-01,7.64,7.9,7.64,7.86,94100
2023-03-02,7.92,7.96,7.6,7.74,144600
2023-03-03,7.7,8.0,7.62,7.72,111600
2023-03-06,7.8,8.0,7.62,7.86,166800
2023-03-07,7.86,8.0,7.46,7.94,207200
2023-03-09,7.94,8.62,7.9,8.14,719600
2023-03-10,8.14,8.2,7.98,8.16,90700
2023-03-13,8.14,8.44,8.1,8.16,254900
2023-03-14,8.14,8.34,8.14,8.24,29100
2023-03-15,8.32,8.8,8.28,8.5,521500
2023-03-16,8.54,8.74,8.4,8.48,108700
2023-03-17,8.5,8.62,8.1,8.5,182300
2023-03-20,8.58,8.68,8.22,8.58,209500
2023-03-21,8.74,8.82,8.58,8.64,185100
2023-03-22,8.76,8.76,8.4,8.58,251700
2023-03-23,8.58,8.72,8.48,8.62,105900
2023-03-24,8.6,8.6,8.2,8.44,502400
2023-03-27,8.46,8.58,8.44,8.52,133600
2023-03-28,8.52,8.56,8.26,8.5,129400
2023-03-29,8.5,8.76,8.44,8.58,406800
2023-03-30,8.56,8.6,8.48,8.54,87300
2023-03-31,8.54,8.56,8.44,8.52,51000
2023-04-03,8.5,8.66,8.46,8.56,84100
2023-04-04,8.56,8.58,8.46,8.54,89800
2023-04-05,8.54,8.56,8.3,8.54,167400
2023-04-06,8.52,8.72,8.5,8.52,198600
