TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,174.95,174.95,162.51,166.0,118869
2023-01-04,164.57,166.99,164.0,165.09,49568
2023-01-05,165.1,166.46,163.65,164.89,24883
2023-01-06,163.9,165.98,163.33,164.0,21539
2023-01-09,164.0,165.19,163.05,163.9,38663
2023-01-10,161.04,171.7,161.04,163.97,148854
2023-01-11,162.3,164.91,158.47,162.87,121047
2023-01-12,162.69,164.58,161.5,162.59,49430
2023-01-13,161.96,169.2,159.0,162.75,70949
2023-01-16,162.0,164.82,161.9,163.28,44475
2023-01-17,164.0,166.9,162.1,162.38,85639
2023-01-18,162.38,164.86,162.11,162.53,51663
2023-01-19,163.02,163.9,161.51,163.6,59467
2023-01-20,163.79,164.0,162.27,163.16,19087
2023-01-23,163.65,163.89,161.64,162.81,36101
2023-01-24,163.3,163.69,162.36,162.36,36134
2023-01-25,162.94,162.94,159.02,160.6,88539
2023-01-26,160.6,161.12,159.32,159.49,40990
2023-01-27,160.0,160.97,159.02,159.21,43912
2023-01-30,160.97,165.39,159.21,161.7,230538
2023-01-31,163.94,163.94,161.71,162.43,68084
2023-02-01,162.43,163.49,161.7,161.98,45371
2023-02-02,161.98,162.69,161.0,161.91,72221
2023-02-03,161.91,162.3,160.1,162.0,66342
2023-02-06,163.2,186.4,162.01,176.2,1294679
2023-02-07,183.4,183.4,168.36,171.47,347621
2023-02-08,172.98,175.74,166.11,171.13,233327
2023-02-09,171.13,173.76,167.07,168.35,80309
2023-02-10,168.35,175.0,167.9,169.93,184749
2023-02-13,172.5,174.99,170.02,172.9,132706
2023-02-14,174.05,174.34,168.4,170.97,95601
2023-02-15,171.0,171.98,162.55,164.1,89654
2023-02-16,162.05,168.66,162.05,164.95,94107
2023-02-17,171.92,174.2,165.2,166.13,293136
2023-02-20,166.82,169.49,165.6,166.39,66086
2023-02-21,166.39,171.85,165.01,168.68,225068
2023-02-22,168.19,185.0,167.51,171.27,2118285
2023-02-24,173.5,179.0,172.5,174.45,383177
2023-02-27,175.65,180.0,174.51,177.7,204727
2023-02-28,180.0,182.3,177.97,179.46,229342
2023-03-01,181.34,186.2,179.11,182.4,712166
2023-03-02,185.0,185.97,177.34,182.71,397213
2023-03-03,182.7,184.0,180.5,181.0,140382
2023-03-06,184.14,187.7,181.5,183.29,311773
2023-03-07,185.0,190.77,182.3,189.03,837432
2023-03-09,186.41,203.94,186.41,196.69,2444503
2023-03-10,190.0,203.0,190.0,197.5,947160
2023-03-13,204.0,204.0,191.0,196.09,408618
2023-03-14,197.0,199.0,196.0,196.99,226519
2023-03-15,197.5,198.47,192.5,193.49,181445
2023-03-16,193.49,197.0,190.0,192.61,281518
2023-03-17,192.0,196.0,185.0,189.87,347279
2023-03-20,190.9,198.0,188.7,194.0,374765
2023-03-21,194.8,195.6,191.5,194.22,237894
2023-03-22,196.15,196.15,191.0,192.52,193658
2023-03-23,193.5,199.0,191.98,197.57,422048
2023-03-24,198.16,199.5,195.6,196.23,263606
2023-03-27,197.5,206.98,197.04,203.3,1052065
2023-03-28,203.5,206.0,201.7,202.6,283326
2023-03-29,204.48,205.0,202.0,202.81,314722
2023-03-30,204.96,204.96,202.0,202.95,160972
2023-03-31,203.98,203.98,196.2,201.59,303637
2023-04-03,202.0,204.5,201.4,202.72,177047
2023-04-04,200.0,202.71,200.0,201.34,169072
2023-04-05,199.9,202.1,198.0,201.0,194152
2023-04-06,200.44,212.79,200.44,211.94,1615601
2023-04-07,214.0,220.0,207.11,216.51,1445364
2023-04-10,218.05,238.6,218.05,236.77,2584524
2023-04-11,238.86,265.32,238.2,260.2,5666330
2023-04-12,265.01,275.0,251.5,257.7,2560883
2023-04-13,258.4,260.79,240.3,243.0,1161921
2023-04-14,247.5,258.0,247.01,253.55,1445234
2023-04-17,259.0,262.0,251.0,254.79,994319
2023-04-18,256.49,256.49,248.16,252.0,476920
2023-04-19,252.0,253.0,243.0,246.85,673007
2023-04-20,247.01,247.99,238.43,242.95,543111
2023-04-21,242.5,246.94,237.0,242.0,509448
2023-04-24,240.5,245.24,238.51,244.6,329740
2023-04-25,246.42,246.42,243.0,244.25,183681
2023-04-26,246.8,253.0,243.14,245.03,977235
2023-04-27,244.0,245.87,240.0,240.86,399299
2023-04-28,240.91,241.59,231.77,234.09,543465
2023-05-02,234.15,235.64,210.01,224.5,857411
2023-05-03,225.0,226.0,214.6,218.08,718625
