TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,122.05,127.2,122.0,124.1,4300
2023-01-04,124.7,125.9,122.05,123.3,5570
2023-01-05,125.0,125.85,122.5,123.1,6210
2023-01-06,123.8,124.9,123.1,123.35,6100
2023-01-09,134.85,148.95,122.6,130.6,471610
2023-01-10,133.4,138.85,125.45,130.05,133740
2023-01-11,131.15,133.2,129.0,130.8,33690
2023-01-12,132.3,132.3,123.2,130.1,30490
2023-01-13,130.1,138.0,127.05,129.9,90140
2023-01-16,128.2,131.55,128.0,128.8,49700
2023-01-17,128.3,131.8,125.95,127.5,72520
2023-01-18,127.65,128.9,127.05,128.0,17280
2023-01-19,128.0,128.65,121.0,126.1,39820
2023-01-20,126.1,127.85,126.1,126.8,24010
2023-01-23,128.6,128.6,125.4,125.95,32870
2023-01-24,126.55,127.0,125.0,126.0,18690
2023-01-25,125.1,125.9,120.25,123.45,41600
2023-01-26,123.5,126.0,123.35,125.7,33510
2023-01-27,125.7,130.0,125.5,126.6,75540
2023-01-30,126.95,128.75,125.1,127.65,15700
2023-01-31,127.05,129.0,123.75,126.8,59330
2023-02-01,126.85,127.3,125.6,126.5,13100
2023-02-02,127.7,128.5,125.85,126.7,20000
2023-02-03,126.9,126.9,125.2,125.7,13070
2023-02-06,126.05,129.0,123.55,125.8,54020
2023-02-07,125.0,127.1,125.0,126.3,28370
2023-02-08,125.4,128.2,125.4,126.0,27520
2023-02-09,126.05,127.35,123.55,125.75,62500
2023-02-10,125.95,125.95,123.2,124.15,46500
2023-02-13,125.05,126.1,121.35,123.35,67470
2023-02-14,124.35,124.35,118.05,119.55,83190
2023-02-15,119.65,121.2,114.4,115.0,39830
2023-02-16,116.0,128.75,115.0,119.0,371700
2023-02-17,122.75,122.75,114.4,115.1,103470
2023-02-20,115.2,120.95,114.45,115.9,214960
2023-02-21,115.85,117.0,107.15,114.95,106220
2023-02-22,115.85,115.85,113.7,114.0,31370
2023-02-24,114.95,114.95,112.2,114.5,34270
2023-02-27,112.5,115.95,112.5,114.85,29440
2023-02-28,115.4,117.6,115.0,115.95,40720
2023-03-01,116.0,116.4,112.5,115.35,85200
2023-03-02,115.0,115.8,113.5,114.2,45570
2023-03-03,115.05,115.7,114.15,115.15,18060
2023-03-06,115.3,118.35,115.3,116.5,47290
2023-03-07,116.4,118.4,114.2,115.1,59110
2023-03-09,115.6,132.5,115.1,122.95,1430160
2023-03-10,120.5,122.2,119.7,120.0,60790
2023-03-13,120.6,120.6,116.5,117.85,57350
2023-03-14,117.3,118.95,115.2,118.95,40720
2023-03-15,118.05,118.95,114.5,115.8,53060
2023-03-16,116.95,118.0,114.65,115.7,32440
2023-03-17,117.0,117.1,115.0,115.65,37440
2023-03-20,115.6,118.2,115.6,117.25,26790
2023-03-21,117.15,118.95,116.85,117.35,46620
2023-03-22,118.0,118.0,116.6,117.8,22500
2023-03-23,118.5,118.7,116.85,117.45,22220
2023-03-24,117.55,117.55,117.25,117.45,10990
2023-03-27,117.5,121.0,117.5,118.95,90260
2023-03-28,119.85,120.7,117.55,119.3,34350
2023-03-29,120.4,120.4,118.7,119.2,25800
2023-03-30,119.25,120.4,118.7,119.9,33000
2023-03-31,120.4,124.9,120.1,120.3,188520
2023-04-03,122.75,127.95,120.45,125.5,240040
2023-04-04,125.85,128.0,123.9,124.25,120180
2023-04-05,124.25,124.3,120.05,122.5,45650
2023-04-06,125.45,127.7,122.95,124.15,57510
2023-04-07,124.15,126.7,123.55,124.55,25400
2023-04-10,124.75,125.2,124.1,124.6,34960
2023-04-11,124.75,131.8,120.0,122.4,255670
2023-04-12,123.05,123.35,119.15,122.45,48380
2023-04-13,123.3,129.0,120.6,126.35,199390
2023-04-14,126.4,130.0,125.0,126.75,112250
2023-04-17,126.75,129.75,126.0,127.0,63610
2023-04-18,126.0,127.05,123.45,125.05,43060
2023-04-19,125.9,126.55,121.45,124.25,32750
2023-04-20,124.4,125.95,122.05,125.0,38080
2023-04-21,125.0,125.7,122.9,125.4,23440
2023-04-24,124.95,128.95,124.85,127.65,43060
2023-04-25,127.65,128.0,123.15,125.9,33760
2023-04-26,125.95,126.8,123.75,124.7,70360
2023-04-27,124.8,125.75,123.5,124.25,28210
2023-04-28,124.7,124.95,119.7,121.7,64840
2023-05-02,120.3,122.35,115.3,118.3,67960
2023-05-03,119.0,119.2,115.3,117.15,27820
2023-05-04,117.2,118.75,116.35,116.8,12720
2023-05-05,116.65,117.5,115.95,116.7,11550
2023-05-08,116.8,117.85,116.1,116.5,8110
2023-05-10,117.4,118.95,116.1,117.65,34430
2023-05-11,119.0,119.95,117.75,119.6,30790
2023-05-12,119.6,119.6,117.05,118.0,14740
2023-05-15,118.0,119.75,116.95,119.15,33510
2023-05-16,119.55,121.6,117.0,119.7,54580
2023-05-17,120.7,120.75,117.7,117.9,25960
2023-05-18,118.45,118.75,117.05,117.65,37750
2023-05-19,118.0,120.5,117.0,119.3,38590
2023-05-22,119.4,119.45,117.4,117.95,16750
2023-05-23,117.95,118.85,117.7,118.25,10430
2023-05-24,118.25,119.0,117.95,118.15,9630
2023-05-25,118.3,118.85,117.5,118.7,11890
2023-05-26,118.7,119.0,117.0,119.0,27290
