TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,174,178,174,178,60
2023-01-04,174,178,174,178,210
2023-01-05,174,176,174,176,70
2023-01-06,176,180,176,180,450
2023-01-09,180,184,178,180,930
2023-01-10,182,182,180,180,190
2023-01-11,184,188,180,188,1200
2023-01-12,188,192,182,188,1440
2023-01-13,184,186,182,186,230
2023-01-16,184,188,184,188,170
2023-01-17,184,188,182,184,410
2023-01-18,182,184,182,184,190
2023-01-19,182,182,182,182,80
2023-01-20,184,200,180,182,5190
2023-01-23,184,188,182,182,810
2023-01-24,182,184,182,184,280
2023-01-25,186,190,182,182,290
2023-01-26,186,188,182,184,470
2023-01-27,188,188,182,184,510
2023-01-30,182,188,182,182,510
2023-01-31,186,188,182,186,200
2023-02-01,186,186,184,184,80
2023-02-02,184,186,182,182,490
2023-02-03,184,186,184,186,220
2023-02-06,188,188,184,188,360
2023-02-07,186,188,186,188,50
2023-02-08,186,190,184,186,500
2023-02-09,188,196,184,186,1880
2023-02-10,188,190,186,190,540
2023-02-13,188,194,186,190,890
2023-02-14,188,256,188,198,27670
2023-02-15,200,210,190,196,4630
2023-02-16,198,198,186,192,2860
2023-02-17,188,190,186,190,540
2023-02-20,190,190,186,186,420
2023-02-21,186,238,186,206,38450
2023-02-22,214,226,192,216,4610
2023-02-24,210,220,204,216,940
2023-02-27,216,218,204,214,590
2023-02-28,210,216,208,214,470
2023-03-01,212,216,206,212,910
2023-03-02,214,220,206,218,2070
2023-03-03,216,220,212,220,1210
2023-03-06,220,234,216,220,2200
2023-03-07,220,222,208,218,3030
2023-03-09,218,220,212,214,900
2023-03-10,214,214,214,214,40
2023-03-13,212,214,212,212,440
2023-03-14,212,216,210,210,670
2023-03-15,230,230,212,216,1340
2023-03-16,212,214,210,212,370
2023-03-17,214,218,210,210,540
2023-03-20,212,214,210,212,190
2023-03-21,214,218,210,212,1350
2023-03-22,214,216,210,210,660
2023-03-23,212,218,212,214,1520
2023-03-24,212,212,210,212,1080
2023-03-27,214,216,210,212,1990
2023-03-28,212,214,210,212,420
2023-03-29,210,214,210,212,870
2023-03-30,210,218,208,210,2750
2023-03-31,212,212,208,210,570
2023-04-03,210,212,208,210,230
2023-04-04,210,212,210,210,850
2023-04-05,210,214,208,214,1030
2023-04-06,214,252,210,228,34070
2023-04-07,232,256,216,224,24380
2023-04-10,226,238,214,226,9760
2023-04-11,226,250,224,228,8690
2023-04-12,234,244,226,230,5970
2023-04-13,230,230,224,226,1230
2023-04-14,230,284,230,244,42280
2023-04-17,246,248,230,244,7130
2023-04-18,248,248,238,244,1800
2023-04-19,244,246,226,238,8210
2023-04-20,240,246,236,242,1480
2023-04-21,238,242,238,238,780
2023-04-24,240,252,236,246,7310
2023-04-25,250,284,244,258,19960
2023-04-26,260,340,252,302,46470
2023-04-27,310,312,274,286,25340
2023-04-28,284,400,284,400,82360
2023-05-02,410,420,330,346,22320
2023-05-03,346,346,320,340,1460
2023-05-04,338,370,324,332,8690
2023-05-05,332,338,320,324,1680
2023-05-08,320,334,320,330,840
2023-05-10,324,334,312,332,2610
2023-05-11,334,360,332,338,3400
2023-05-12,344,368,332,338,4200
2023-05-15,340,342,324,332,2450
2023-05-16,332,332,316,322,4720
2023-05-17,322,328,314,320,1770
2023-05-18,320,420,314,354,55310
2023-05-19,362,368,324,342,9380
2023-05-22,342,354,330,336,2500
2023-05-23,336,346,332,340,1430
2023-05-24,342,342,330,334,830
2023-05-25,336,388,336,348,8810
2023-05-26,350,352,338,350,790
2023-05-29,332,350,332,348,1080
2023-05-30,342,348,342,342,410
2023-05-31,340,398,340,358,15940
2023-06-01,354,360,350,356,810
2023-06-02,356,362,354,360,1000
2023-06-05,362,370,358,364,1550
2023-06-06,366,366,346,360,1610
2023-06-07,356,360,354,360,390
2023-06-08,358,362,352,362,330
2023-06-09,362,370,352,358,1730
2023-06-13,360,360,354,356,920
2023-06-14,360,370,352,366,1010
2023-06-15,368,402,364,366,16570
2023-06-16,366,374,358,360,4540
2023-06-19,356,378,356,366,3040
2023-06-20,370,390,366,380,5620
2023-06-21,386,472,386,406,25300
2023-06-22,410,420,406,412,3500
2023-06-23,412,418,404,408,2370
2023-06-26,416,418,394,418,2910
2023-06-27,424,424,406,420,1490
2023-06-28,422,422,406,412,1350
2023-06-29,414,424,408,416,1990
2023-06-30,422,540,420,468,57860
2023-07-03,462,494,432,464,6580
2023-07-04,452,468,448,468,1200
2023-07-05,452,470,444,450,4060
2023-07-06,452,498,430,444,16270
2023-07-07,438,488,436,456,18900
2023-07-10,470,478,448,460,2670
2023-07-11,456,460,440,456,1610
2023-07-12,456,460,454,456,560
2023-07-13,456,470,456,464,1230
2023-07-14,464,468,452,462,1010
2023-07-17,456,464,452,462,2040
2023-07-18,464,472,462,470,1760
2023-07-19,474,520,470,486,14780
2023-07-20,486,520,486,516,7570
2023-07-21,506,516,492,516,5920
2023-07-24,526,532,506,532,4560
2023-07-25,536,634,526,600,17310
2023-07-26,624,838,614,762,63380
2023-07-27,766,782,708,734,12370
2023-07-28,740,742,710,740,2310
2023-07-31,732,794,728,760,7450
2023-08-01,746,890,746,840,16370
2023-08-02,886,1024,884,1014,25150
2023-08-03,1052,1416,1000,1416,42320
2023-08-04,1430,1556,1426,1516,17080
2023-08-07,1640,1666,1544,1666,7670
2023-08-08,1678,1830,1678,1830,4630
2023-08-09,1976,2012,1908,2012,3960
2023-08-10,2212,2212,1272,1590,31190
2023-08-11,1472,1678,1258,1590,6060
2023-08-14,1496,1634,1496,1568,2570
2023-08-15,1568,1568,1300,1472,5280
2023-08-16,1478,1550,1276,1352,3640
2023-08-17,1378,1378,1150,1232,5270
