TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2125,2250,2095,2155,274
2023-01-04,2160,2315,2140,2220,655
2023-01-05,2260,2300,2165,2205,447
2023-01-06,2250,2260,2160,2200,327
2023-01-09,2200,2230,2175,2195,317
2023-01-10,2180,2200,2130,2200,555
2023-01-11,2155,2180,2150,2175,274
2023-01-12,2255,2300,2150,2170,393
2023-01-13,2205,2215,2170,2190,242
2023-01-16,2205,2250,2170,2225,303
2023-01-17,2280,2410,2175,2210,1450
2023-01-18,2205,2310,2150,2180,949
2023-01-19,2200,2200,2120,2145,343
2023-01-20,2145,2150,2120,2150,251
2023-01-23,2150,2200,2150,2200,179
2023-01-24,2190,2245,2170,2210,238
2023-01-25,2195,2205,2170,2180,120
2023-01-26,2190,2215,2165,2200,1442
2023-01-27,2200,2245,2160,2205,238
2023-01-30,2205,2250,2175,2210,569
2023-01-31,2250,2655,2245,2350,15612
2023-02-01,2360,2445,2265,2350,1511
2023-02-02,2340,2410,2310,2390,1233
2023-02-03,2390,2390,2325,2350,301
2023-02-06,2370,2455,2320,2365,794
2023-02-07,2370,2445,2325,2385,741
2023-02-08,2390,2450,2370,2435,876
2023-02-09,2450,2985,2420,2580,11919
2023-02-10,2590,2720,2505,2575,2183
2023-02-13,2585,2640,2545,2585,697
2023-02-14,2590,2600,2550,2555,453
2023-02-15,2525,2525,2400,2430,709
2023-02-16,2415,2520,2355,2455,537
2023-02-17,2480,2550,2405,2430,583
2023-02-20,2425,2485,2300,2390,655
2023-02-21,2370,2560,2350,2525,1494
2023-02-22,2545,2585,2485,2520,651
2023-02-24,2530,2590,2515,2515,254
2023-02-27,2545,2630,2545,2605,438
2023-02-28,2615,2910,2600,2830,3597
2023-03-01,2820,2970,2760,2790,1626
2023-03-02,2790,2790,2610,2680,1835
2023-03-03,2680,2765,2680,2745,394
2023-03-06,2750,2865,2705,2775,648
2023-03-07,2800,2850,2745,2765,328
2023-03-09,2785,2800,2710,2760,177
2023-03-10,2745,2800,2745,2790,228
2023-03-13,2730,2845,2655,2800,331
2023-03-14,2800,2820,2765,2820,291
2023-03-15,2820,2845,2750,2790,1919
2023-03-16,2760,2785,2715,2780,138
2023-03-17,2780,2820,2750,2795,724
2023-03-20,2805,2860,2790,2845,574
2023-03-21,2860,3180,2845,2930,4672
2023-03-22,2940,2990,2880,2935,425
2023-03-23,2940,3100,2935,3020,1167
2023-03-24,3095,3275,2995,3205,3994
2023-03-27,3270,3345,3140,3250,1776
2023-03-28,3200,3265,3190,3205,436
2023-03-29,3245,4265,3200,3455,29654
2023-03-30,3455,3585,3270,3420,6870
2023-03-31,3395,3450,3270,3410,1586
2023-04-03,3375,3640,3305,3490,3127
2023-04-04,3490,3675,3400,3610,4081
2023-04-05,3695,3975,3445,3800,5728
2023-04-06,3880,3995,3720,3865,3822
2023-04-07,3940,3975,3780,3825,1197
2023-04-10,3825,3900,3820,3855,804
2023-04-11,3980,3980,3620,3750,1569
2023-04-12,3760,3850,3650,3735,726
2023-04-13,3710,3830,3680,3830,527
2023-04-14,3750,3820,3750,3795,263
2023-04-17,3825,3830,3700,3770,826
2023-04-18,3780,3860,3730,3785,468
2023-04-19,3800,3830,3305,3780,1033
2023-04-20,3775,3800,3735,3765,498
2023-04-21,3750,4155,3725,3950,6192
2023-04-24,3990,4350,3990,4110,9825
