TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,11.937,12.19,11.937,12.169,6285900
2023-01-04,12.21,12.263,12.034,12.263,5922900
2023-01-05,12.266,12.286,12.09,12.105,5246500
2023-01-06,12.095,12.178,11.985,12.039,6263800
2023-01-09,12.076,12.182,11.803,11.879,43848600
2023-01-10,11.863,11.897,11.75,11.876,9855800
2023-01-11,11.832,12.21,11.832,12.137,19873300
2023-01-12,12.106,12.198,11.968,12.086,16944400
2023-01-13,12.09,12.598,12.071,12.569,41236800
2023-01-16,12.666,12.857,12.574,12.821,31029600
2023-01-17,12.848,12.848,12.424,12.515,25590900
2023-01-18,12.515,12.68,12.38,12.411,20939500
2023-01-19,12.38,12.42,12.082,12.14,23880100
2023-01-20,12.101,12.299,12.056,12.228,16934500
2023-01-23,12.299,12.49,12.25,12.33,29373800
2023-01-24,12.34,12.475,12.28,12.3,26992600
2023-01-25,12.32,12.32,11.8,12.209,25049500
2023-01-26,12.237,12.26,12.155,12.195,8962200
2023-01-27,12.195,12.371,12.17,12.355,12370300
2023-01-30,12.415,12.484,12.353,12.425,13341400
2023-01-31,12.434,12.757,12.383,12.711,28798300
2023-02-01,12.747,12.936,12.458,12.736,35244500
2023-02-02,12.752,13.13,12.675,12.95,31792800
2023-02-03,12.949,13.113,12.817,13.068,21637000
2023-02-06,13.273,13.65,13.204,13.592,61826800
2023-02-07,13.64,13.975,13.542,13.625,35028200
2023-02-08,13.695,13.704,13.22,13.322,36830000
2023-02-09,13.42,13.499,13.103,13.364,24907600
2023-02-10,13.392,13.613,13.274,13.412,22825700
2023-02-13,13.459,13.62,13.377,13.4,16003000
2023-02-14,13.476,13.476,13.11,13.155,29006200
2023-02-15,13.122,13.122,12.374,12.587,48571200
2023-02-16,12.65,12.868,12.348,12.509,33469900
2023-02-17,12.46,12.64,12.25,12.501,20496300
2023-02-20,12.51,12.863,12.284,12.702,23109500
2023-02-21,12.77,13.04,12.688,12.946,30057000
2023-02-22,12.967,12.999,12.727,12.792,12035900
2023-02-24,12.763,12.93,12.763,12.809,8581000
2023-02-27,12.699,13.014,12.66,12.978,19029400
