TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-09,31.7,31.7,28.005,28.005,100
2023-01-11,34.995,34.995,34.995,34.995,10
2023-01-16,28.005,28.005,28.005,28.005,11
2023-01-17,43.305,43.305,43.305,43.305,4
2023-01-19,42.665,42.665,42.665,42.665,2
2023-01-20,42.475,42.475,42.475,42.475,3
2023-01-24,42.79,42.79,42.79,42.79,5
2023-01-26,43.245,43.245,43.245,43.245,6
2023-01-27,43.36,43.36,43.36,43.36,1
2023-01-30,42.565,42.565,42.565,42.565,3
2023-02-03,43.215,43.215,43.215,43.215,2
2023-02-08,40.02,44.35,40.02,44.35,38
2023-02-09,47.0,49.685,47.0,49.685,92
2023-02-10,40.005,45.965,40.005,43.595,73
2023-02-13,46.445,48.005,46.445,48.005,62
2023-02-14,44.185,44.185,44.185,44.185,1
2023-02-15,27.885,27.885,27.885,27.885,40
2023-02-21,63.94,63.94,63.94,63.94,95
2023-02-22,42.005,42.005,42.005,42.005,10
2023-03-10,67.45,67.45,45.005,45.005,98
2023-03-13,47.015,47.015,47.015,47.015,75
2023-03-21,86.09,86.09,80.995,80.995,142
2023-03-22,95.005,118.105,95.005,105.0,54
2023-03-23,105.0,105.0,95.0,95.0,12
2023-03-24,94.0,94.0,94.0,94.0,2
2023-03-27,94.0,94.0,94.0,94.0,3
2023-04-03,98.0,98.0,98.0,98.0,1
2023-04-05,90.005,90.005,90.005,90.005,19
2023-04-06,137.755,137.755,137.755,137.755,19
2023-04-07,91.005,91.005,91.005,91.005,25
2023-04-11,98.0,99.5,98.0,99.5,5
2023-04-14,98.0,98.0,91.005,91.005,10
2023-04-17,100.0,100.0,100.0,100.0,5
2023-04-19,97.015,97.015,91.005,91.005,75
2023-04-20,95.0,95.0,94.51,94.965,4
2023-04-25,89.005,89.005,89.005,89.005,3
2023-04-26,87.005,87.005,84.995,84.995,26
2023-04-28,85.0,85.0,85.0,85.0,13
2023-05-02,79.16,79.16,79.145,79.145,8
2023-05-04,90.0,90.0,90.0,90.0,1
2023-05-05,84.995,85.0,84.995,85.0,7
2023-05-11,71.015,71.015,71.015,71.015,83
2023-05-17,84.5,84.5,79.8,79.8,7
2023-05-22,72.89,72.89,72.0,72.0,9
2023-05-23,70.015,70.015,64.005,65.0,12
2023-05-24,78.115,78.115,62.005,64.005,52
2023-05-26,72.0,72.0,69.0,69.0,17
2023-05-30,89.14,98.18,89.14,98.18,6
2023-06-01,68.0,68.0,68.0,68.0,7
2023-06-02,61.005,95.38,61.005,61.005,9
2023-06-06,50.015,89.14,50.015,89.14,4
