TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,11.648,11.648,11.536,11.62,122520
2023-01-04,11.602,12.164,11.588,11.598,593890
2023-01-05,11.59,11.828,11.59,11.65,246400
2023-01-06,11.656,12.56,11.636,11.808,2640520
2023-01-09,11.75,12.2,11.7,11.87,1458640
2023-01-10,12.098,12.99,11.938,12.23,6779350
2023-01-11,12.584,12.7,12.102,12.22,1346380
2023-01-12,12.23,12.28,12.06,12.14,412750
2023-01-13,12.096,12.48,12.076,12.27,961470
2023-01-16,12.37,12.37,12.2,12.222,374050
2023-01-17,12.344,12.372,12.098,12.13,327810
2023-01-18,12.11,12.146,12.0,12.096,199390
2023-01-19,12.082,12.128,11.89,11.96,232500
2023-01-20,12.06,12.364,11.932,12.122,1443320
2023-01-23,12.28,12.344,12.004,12.106,345340
2023-01-24,12.204,12.204,12.0,12.06,320390
2023-01-25,12.02,12.18,12.012,12.112,435450
2023-01-26,12.112,12.27,12.1,12.122,274040
2023-01-27,12.09,13.1,12.052,12.252,4803320
2023-01-30,12.23,12.498,12.198,12.336,601130
2023-01-31,12.32,12.564,12.32,12.4,659960
2023-02-01,12.46,13.1,12.356,12.5,3070330
2023-02-02,12.584,12.848,12.482,12.682,1211060
2023-02-03,12.756,12.76,12.684,12.716,399960
2023-02-06,12.7,12.98,12.574,12.862,1053280
2023-02-07,12.95,13.154,12.708,12.818,1012960
2023-02-08,12.858,12.874,12.56,12.696,765560
2023-02-09,12.68,12.834,12.55,12.644,711940
2023-02-10,12.644,12.706,12.55,12.576,250520
2023-02-13,12.55,13.15,12.55,12.8,3761590
2023-02-14,12.986,13.1,12.616,12.904,2187100
2023-02-15,12.898,13.322,12.2,12.638,2518040
2023-02-16,12.6,12.85,12.272,12.426,562400
2023-02-17,12.408,13.1,12.352,12.75,4634530
2023-02-20,12.752,13.9,12.604,12.762,9023350
2023-02-21,12.966,12.966,12.6,12.73,1072640
2023-02-22,12.71,13.1,12.71,12.88,2334890
2023-02-24,12.894,13.1,12.706,12.876,3988470
2023-02-27,13.224,14.292,12.882,12.968,20449650
