TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.765,0.765,0.764,0.765,30000
2023-01-04,0.765,0.765,0.755,0.765,33000
2023-01-05,0.761,0.764,0.76,0.764,4000
2023-01-06,0.76,0.761,0.757,0.759,8000
2023-01-09,0.764,0.795,0.75,0.771,449000
2023-01-10,0.775,0.9,0.775,0.795,6276000
2023-01-11,0.789,0.821,0.773,0.805,1037000
2023-01-12,0.804,0.804,0.784,0.801,243000
2023-01-13,0.801,0.813,0.786,0.796,333000
2023-01-16,0.787,0.798,0.784,0.792,371000
2023-01-17,0.789,0.88,0.786,0.849,5104000
2023-01-18,0.85,0.864,0.809,0.829,928000
2023-01-19,0.831,0.831,0.82,0.82,77000
2023-01-20,0.83,0.841,0.823,0.827,149000
2023-01-23,0.825,0.832,0.805,0.825,314000
2023-01-24,0.827,0.827,0.815,0.82,57000
2023-01-25,0.816,0.825,0.811,0.823,111000
2023-01-26,0.823,0.827,0.815,0.827,89000
2023-01-27,0.821,0.88,0.82,0.867,1145000
2023-01-30,0.867,0.867,0.82,0.839,1291000
2023-01-31,0.841,0.85,0.832,0.847,124000
2023-02-01,0.834,0.851,0.832,0.849,128000
2023-02-02,0.849,0.853,0.837,0.837,130000
2023-02-03,0.847,0.85,0.837,0.84,128000
2023-02-06,0.839,0.88,0.839,0.855,395000
2023-02-07,0.856,0.9,0.843,0.86,1269000
2023-02-08,0.869,0.869,0.841,0.853,295000
2023-02-09,0.855,0.9,0.855,0.859,1678000
2023-02-10,0.869,0.877,0.855,0.877,368000
2023-02-13,0.879,0.887,0.869,0.885,420000
2023-02-14,0.887,1.037,0.872,0.901,9172000
2023-02-15,0.965,1.21,0.917,0.93,31533000
2023-02-16,0.94,0.965,0.872,0.893,3769000
2023-02-17,0.897,0.897,0.85,0.862,2166000
2023-02-20,0.871,0.898,0.854,0.855,1540000
2023-02-21,0.854,0.872,0.832,0.871,661000
2023-02-22,0.87,0.874,0.852,0.855,207000
2023-02-24,0.869,0.873,0.851,0.86,430000
2023-02-27,0.854,0.885,0.854,0.871,488000
2023-02-28,0.871,0.9,0.862,0.9,346000
2023-03-01,0.899,0.899,0.879,0.889,789000
2023-03-02,0.886,0.94,0.88,0.9,2131000
2023-03-03,0.912,0.919,0.881,0.888,466000
2023-03-06,0.888,0.905,0.888,0.898,355000
2023-03-07,0.902,0.93,0.886,0.897,600000
2023-03-09,0.898,0.914,0.897,0.914,226000
2023-03-10,0.914,0.914,0.9,0.909,102000
2023-03-13,0.912,1.017,0.874,0.889,6909000
2023-03-14,0.894,0.903,0.87,0.876,987000
2023-03-15,0.887,0.891,0.868,0.873,353000
2023-03-16,0.874,0.928,0.874,0.895,1599000
2023-03-17,0.909,0.92,0.89,0.902,313000
2023-03-20,0.9,0.915,0.895,0.909,210000
2023-03-21,0.915,0.949,0.9,0.912,910000
2023-03-22,0.902,0.915,0.887,0.905,421000
2023-03-23,0.908,0.944,0.893,0.915,720000
2023-03-24,0.922,0.988,0.896,0.913,2989000
2023-03-27,0.929,0.95,0.906,0.939,1614000
2023-03-28,0.929,0.981,0.929,0.945,463000
2023-03-29,0.94,0.965,0.935,0.954,418000
2023-03-30,0.941,1.03,0.94,0.978,2030000
