TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,681.0,704.0,681.0,701.0,35633
2023-01-04,701.0,711.5,696.5,701.0,17230
2023-01-05,705.0,705.0,694.0,700.0,21264
2023-01-06,700.0,706.5,692.5,700.0,18503
2023-01-09,703.5,721.0,700.5,714.5,48553
2023-01-10,715.0,718.0,705.0,712.5,26322
2023-01-11,713.0,725.0,705.5,722.0,23641
2023-01-12,724.5,732.0,719.0,729.5,59514
2023-01-13,727.0,736.0,724.5,731.5,47779
2023-01-16,732.5,737.0,730.0,735.5,48565
2023-01-17,736.5,739.5,720.5,730.5,47359
2023-01-18,733.0,736.0,725.0,734.5,44321
2023-01-19,730.0,750.0,730.0,740.0,59148
2023-01-20,737.0,739.5,706.0,732.5,78346
2023-01-23,733.5,735.0,727.5,731.5,21515
2023-01-24,733.5,738.0,730.0,734.0,32323
2023-01-25,730.5,735.0,728.0,735.0,22217
2023-01-26,735.0,738.5,731.5,733.0,31155
2023-01-27,730.5,738.0,730.5,737.0,20893
2023-01-30,745.0,767.0,736.5,763.0,55121
2023-01-31,753.0,778.5,753.0,776.5,59028
2023-02-01,779.0,793.0,777.0,786.0,54533
2023-02-02,786.0,811.5,786.0,797.0,123290
2023-02-03,797.0,814.5,787.0,804.0,69809
2023-02-06,801.5,819.5,800.0,808.0,46881
2023-02-07,814.0,820.0,810.0,814.5,45012
2023-02-08,815.5,816.5,791.5,794.0,54479
2023-02-09,793.5,800.5,790.5,796.5,26611
2023-02-10,796.5,798.0,790.0,794.0,15832
2023-02-13,795.0,806.5,790.5,801.5,40212
2023-02-14,800.5,807.5,775.5,785.5,94636
2023-02-15,782.0,782.0,751.0,755.5,56372
2023-02-16,757.0,775.0,757.0,765.0,40337
2023-02-17,765.0,773.5,758.0,771.5,33513
2023-02-20,771.5,773.0,764.0,770.0,34780
2023-02-21,770.0,786.0,768.0,778.0,36189
2023-02-22,779.0,790.0,776.0,788.5,23619
2023-02-24,789.0,815.0,786.0,791.0,45708
2023-02-27,795.0,806.5,785.5,797.5,16377
2023-02-28,800.0,811.5,797.5,807.0,27592
2023-03-01,803.5,811.5,803.5,806.5,23420
2023-03-02,806.5,811.0,777.5,789.5,52752
2023-03-03,791.0,801.0,789.5,799.0,29334
2023-03-06,800.0,814.0,800.0,813.0,36892
2023-03-07,814.0,828.0,812.5,828.0,79926
2023-03-09,828.0,845.0,822.0,836.0,94488
2023-03-10,834.0,867.0,827.5,855.0,190375
2023-03-13,861.0,895.0,852.0,863.5,280261
2023-03-14,863.5,886.0,851.0,869.5,129704
2023-03-15,867.0,878.5,856.0,868.0,76257
2023-03-16,868.0,875.0,864.5,868.0,57113
2023-03-17,871.5,889.5,853.0,879.0,136706
2023-03-20,879.0,944.0,875.5,927.5,555236
2023-03-21,930.0,949.0,915.5,920.0,176679
2023-03-22,920.0,926.5,906.5,924.5,66977
2023-03-23,923.5,952.0,913.5,934.0,84222
2023-03-24,934.0,950.0,934.0,943.0,90329
2023-03-27,948.0,965.0,943.0,953.5,98655
2023-03-28,954.0,958.0,946.0,952.0,58358
2023-03-29,951.5,957.5,951.5,953.5,43980
2023-03-30,953.5,958.0,948.0,954.0,45342
