TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,943.0,975.0,932.0,966.5,18072
2023-01-04,973.0,984.0,948.5,962.0,12301
2023-01-05,962.0,974.5,951.5,957.0,6301
2023-01-06,950.0,962.0,941.5,953.5,4854
2023-01-09,960.0,981.0,953.0,963.0,9887
2023-01-10,961.0,962.5,946.0,950.5,5144
2023-01-11,947.0,957.0,935.5,952.5,7601
2023-01-12,946.0,979.5,946.0,958.0,22573
2023-01-13,960.5,965.0,952.5,962.0,8495
2023-01-16,966.0,970.0,952.5,958.0,10715
2023-01-17,961.0,970.5,952.5,952.5,9428
2023-01-18,960.5,965.0,950.5,960.5,8208
2023-01-19,961.0,969.0,942.0,949.5,8574
2023-01-20,949.5,952.5,940.0,944.5,4048
2023-01-23,944.5,955.0,941.0,954.5,4997
2023-01-24,955.0,959.5,951.5,952.5,2832
2023-01-25,951.5,956.5,924.5,934.0,16349
2023-01-26,938.0,939.0,932.5,935.5,4118
2023-01-27,941.0,951.0,933.0,939.5,3513
2023-01-30,939.5,953.5,934.5,945.5,7266
2023-01-31,952.5,972.0,925.0,968.0,21033
2023-02-01,979.0,980.0,951.0,951.0,15473
2023-02-02,958.5,1034.5,955.0,1012.0,119505
2023-02-03,1012.0,1020.5,985.5,1001.5,22811
2023-02-06,997.0,1014.5,985.0,997.5,14522
2023-02-07,999.5,1040.0,999.5,1015.0,44172
2023-02-08,1017.0,1020.5,991.0,1003.5,19108
2023-02-09,1003.5,1009.5,992.5,1001.0,8031
2023-02-10,1001.0,1011.5,981.5,985.5,11296
2023-02-13,985.5,1020.0,985.5,1012.0,23080
2023-02-14,1018.5,1038.0,987.0,993.0,37732
2023-02-15,995.0,1007.0,926.0,932.0,29109
2023-02-16,935.0,954.5,935.0,947.5,7869
2023-02-17,957.5,967.0,940.5,954.0,10783
2023-02-20,954.0,966.0,940.5,948.0,6976
2023-02-21,950.0,979.0,945.0,966.0,31628
2023-02-22,964.0,988.0,954.5,971.0,12388
2023-02-24,976.0,990.0,969.0,974.0,8106
2023-02-27,966.0,979.0,964.0,975.0,6807
2023-02-28,980.0,990.0,969.5,986.5,11996
2023-03-01,992.0,1001.0,988.0,994.0,13808
2023-03-02,999.5,1000.5,962.0,976.5,17721
2023-03-03,976.0,986.5,976.0,981.0,6291
2023-03-06,984.5,996.0,983.5,991.0,10172
2023-03-07,995.0,1001.5,988.0,993.0,9890
2023-03-09,998.0,1035.5,996.0,1031.5,115526
2023-03-10,1028.0,1040.0,1021.5,1031.0,31037
2023-03-13,1032.5,1075.0,1031.5,1055.0,108184
2023-03-14,1063.5,1067.0,1046.0,1061.0,22406
2023-03-15,1065.0,1065.0,1042.0,1054.0,15646
2023-03-16,1061.0,1061.0,1041.5,1046.5,10952
2023-03-17,1053.5,1062.0,1043.5,1058.0,17879
2023-03-20,1060.0,1094.5,1053.0,1093.5,93790
2023-03-21,1093.5,1108.0,1064.0,1072.0,44537
2023-03-22,1072.0,1083.0,1061.5,1076.0,13141
2023-03-23,1077.5,1097.0,1076.0,1082.5,14312
2023-03-24,1082.5,1124.5,1077.0,1104.5,21084
2023-03-27,1102.0,1124.5,1097.0,1120.0,23328
2023-03-28,1121.0,1137.0,1110.0,1128.5,25156
2023-03-29,1129.0,1157.0,1129.0,1142.0,33769
2023-03-30,1143.0,1177.5,1136.0,1157.5,27382
2023-03-31,1164.5,1179.5,1125.5,1163.0,37356
2023-04-03,1210.0,1218.0,1179.5,1194.5,44136
2023-04-04,1200.0,1225.0,1196.5,1200.5,23065
2023-04-05,1199.5,1200.5,1168.5,1198.0,16089
2023-04-06,1190.5,1216.5,1190.5,1200.5,12648
2023-04-07,1200.5,1206.0,1193.5,1201.5,8478
2023-04-10,1204.0,1213.5,1201.5,1202.5,9585
2023-04-11,1208.5,1212.0,1172.0,1188.0,17926
2023-04-12,1188.0,1195.5,1175.0,1182.5,7014
2023-04-13,1190.0,1193.0,1182.5,1184.5,5651
2023-04-14,1188.5,1196.5,1181.5,1191.5,4578
2023-04-17,1191.5,1221.0,1191.0,1207.5,23679
2023-04-18,1208.0,1220.0,1205.0,1214.5,15511
