TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,901.4,909.6,892.8,897.6,358177
2023-01-04,896.8,900.8,883.0,888.6,369931
2023-01-05,885.8,891.4,874.4,882.8,297184
2023-01-06,882.0,894.0,878.4,884.4,328169
2023-01-09,887.2,892.8,862.0,872.6,835930
2023-01-10,872.0,872.0,860.0,863.6,403565
2023-01-11,865.6,879.8,862.0,879.8,422407
2023-01-12,880.0,885.0,869.8,880.4,415677
2023-01-13,880.8,893.6,875.2,890.4,330223
2023-01-16,890.8,927.8,890.8,922.0,784445
2023-01-17,922.6,927.8,902.0,903.8,663912
2023-01-18,905.8,923.4,898.0,910.8,506542
2023-01-19,905.6,910.6,891.4,894.2,382658
2023-01-20,894.0,904.0,881.0,887.8,574341
2023-01-23,887.0,893.8,882.2,892.0,333783
2023-01-24,894.0,898.0,872.0,875.2,442753
2023-01-25,871.2,879.2,868.2,875.2,444426
2023-01-26,876.0,883.8,871.4,881.4,306486
2023-01-27,882.0,896.0,878.6,895.4,488944
2023-01-30,896.6,917.6,894.0,912.8,688125
2023-01-31,913.0,932.0,911.8,929.0,998959
2023-02-01,931.0,977.0,925.8,976.6,1661089
2023-02-02,981.6,1014.4,960.6,997.2,1857875
2023-02-03,992.2,1025.0,981.4,1016.2,1432342
2023-02-06,1016.2,1048.0,1006.0,1035.0,1511333
2023-02-07,1040.6,1045.0,992.2,1000.0,1744941
2023-02-08,999.0,1009.4,981.0,982.2,1356665
2023-02-09,980.6,1019.0,971.0,1008.6,1626745
2023-02-10,1008.0,1027.0,1000.0,1020.6,894151
2023-02-13,1020.0,1038.4,1015.0,1016.0,724124
2023-02-14,1017.0,1019.6,991.4,996.0,926912
2023-02-15,991.6,998.4,948.4,964.6,1477248
2023-02-16,968.0,989.0,956.4,973.8,985563
2023-02-17,971.0,988.2,957.4,975.6,622285
2023-02-20,980.0,988.6,958.0,985.0,714831
2023-02-21,985.8,1018.4,981.0,1012.8,1378621
2023-02-22,1012.8,1032.0,1004.0,1025.8,1295145
2023-02-24,1025.8,1043.0,1021.6,1041.6,993878
2023-02-27,1039.0,1062.0,1030.6,1061.0,1118812
2023-02-28,1064.0,1074.8,1050.0,1055.0,1028689
2023-03-01,1057.0,1066.2,1047.2,1060.4,647377
2023-03-02,1061.0,1072.0,1032.0,1049.0,1094333
2023-03-03,1050.0,1065.0,1046.2,1063.4,400018
2023-03-06,1067.0,1070.2,1049.2,1053.0,683464
2023-03-07,1053.0,1060.0,1045.2,1055.8,519462
2023-03-09,1060.0,1064.0,1048.2,1052.6,437911
2023-03-10,1048.0,1061.8,1044.6,1052.2,637772
2023-03-13,1053.0,1059.6,1033.8,1042.0,723195
2023-03-14,1041.4,1044.8,1035.0,1036.0,554677
2023-03-15,1036.0,1040.0,1010.8,1019.4,844078
2023-03-16,1015.4,1031.8,1002.0,1028.4,856837
2023-03-17,1033.0,1039.8,1023.0,1033.6,671769
2023-03-20,1036.2,1062.0,1030.0,1060.0,897833
2023-03-21,1065.0,1065.0,1034.2,1038.6,618426
2023-03-22,1036.2,1053.8,1033.2,1046.8,415699
2023-03-23,1046.0,1049.6,1038.0,1039.2,289627
2023-03-24,1041.6,1043.0,1028.0,1034.6,360852
2023-03-27,1036.2,1042.6,1032.2,1039.8,410739
2023-03-28,1041.4,1044.0,1033.0,1038.0,269094
2023-03-29,1040.6,1078.4,1035.4,1074.6,1793991
2023-03-30,1074.6,1084.8,1058.0,1061.0,1303132
2023-03-31,1061.0,1061.0,1041.6,1050.6,755115
2023-04-03,1053.2,1058.2,1041.6,1053.0,598548
2023-04-04,1055.0,1057.0,1040.0,1044.2,676914
2023-04-05,1046.2,1050.0,1036.2,1048.8,788696
2023-04-06,1048.8,1054.2,1039.0,1039.4,898002
2023-04-07,1038.8,1043.8,1021.0,1033.8,1347972
2023-04-10,1033.6,1049.0,1028.2,1038.6,1122079
2023-04-11,1038.6,1042.0,1018.0,1023.4,1221733
2023-04-12,1021.0,1035.6,1012.6,1026.2,1039785
2023-04-13,1026.6,1032.0,1014.8,1021.6,724462
2023-04-14,1022.0,1023.8,1015.4,1021.4,448476
2023-04-17,1026.0,1039.0,1022.0,1038.0,992916
2023-04-18,1041.0,1056.0,1030.0,1052.2,1370344
2023-04-19,1053.0,1067.0,1020.0,1026.8,2677709
2023-04-20,1025.0,1027.2,1002.2,1013.6,1635921
2023-04-21,1015.0,1021.0,1005.2,1018.8,501469
2023-04-24,1020.0,1024.2,1014.2,1016.6,636757
2023-04-25,1016.0,1018.0,1006.2,1010.2,500815
2023-04-26,1010.2,1014.2,995.0,998.0,680451
2023-04-27,999.4,1006.0,986.4,1004.6,917318
2023-04-28,1005.8,1007.0,990.2,1002.0,510253
2023-05-02,1002.0,1004.0,969.2,972.6,868759
2023-05-03,976.8,990.8,950.2,957.4,1554406
2023-05-04,960.0,972.6,951.6,963.2,620335
2023-05-05,963.2,970.4,953.8,954.6,385942
2023-05-08,952.6,964.8,942.6,962.0,364795
2023-05-10,968.4,988.8,962.0,987.2,685575
2023-05-11,989.0,1004.0,971.8,985.8,1002637
2023-05-12,987.8,994.0,976.2,988.0,418192
2023-05-15,990.0,1000.0,986.0,995.6,647084
2023-05-16,998.2,1009.6,992.4,1008.4,716122
2023-05-17,1010.0,1014.6,1002.0,1009.8,532508
2023-05-18,1007.8,1013.6,996.0,1003.8,438851
2023-05-19,996.6,999.8,982.2,997.0,632556
2023-05-22,1000.0,1003.8,984.6,988.6,343562
2023-05-23,988.0,1000.6,983.0,996.0,377288
2023-05-24,992.8,1000.4,987.0,993.6,335725
2023-05-25,994.0,1020.8,990.8,1006.6,1736910
2023-05-26,1010.0,1017.8,1000.2,1005.8,521758
2023-05-29,1011.4,1027.0,1007.4,1027.0,884302
2023-05-30,1021.0,1042.4,1011.6,1025.8,1591036
2023-05-31,1022.2,1032.0,1013.0,1024.0,518902
2023-06-01,1024.0,1037.0,1020.4,1032.0,554727
2023-06-02,1025.6,1040.0,1025.6,1037.8,566935
2023-06-05,1041.0,1054.0,1027.2,1031.4,745179
2023-06-06,1029.0,1029.0,1008.0,1021.0,799647
2023-06-07,1023.0,1033.0,1013.6,1020.6,619231
2023-06-08,1020.4,1044.0,1015.0,1040.6,683087
2023-06-09,1042.6,1044.4,1030.2,1030.4,276475
2023-06-13,1030.6,1053.8,1028.0,1052.4,806808
2023-06-14,1055.6,1056.8,1046.4,1049.0,469597
2023-06-15,1052.2,1079.6,1047.2,1077.6,1149603
2023-06-16,1080.0,1080.0,1064.2,1073.6,446525
2023-06-19,1073.4,1158.0,1056.0,1155.0,4722877
2023-06-20,1154.8,1160.0,1127.0,1145.0,2364223
2023-06-21,1144.4,1188.0,1133.0,1182.0,2273159
2023-06-22,1183.0,1199.0,1153.0,1164.8,1877783
2023-06-23,1155.2,1205.0,1153.0,1164.6,2916455
2023-06-26,1178.2,1197.8,1127.0,1158.2,2653526
2023-06-27,1160.6,1196.0,1146.6,1187.8,1967429
2023-06-28,1191.0,1199.8,1165.8,1169.0,1040357
2023-06-29,1171.4,1176.8,1160.6,1166.8,688374
2023-06-30,1162.8,1184.0,1156.2,1174.0,627926
2023-07-03,1177.2,1227.4,1174.0,1219.0,2008185
2023-07-04,1221.8,1229.0,1197.0,1201.4,1570567
2023-07-05,1211.0,1220.0,1203.2,1213.0,801477
2023-07-06,1215.0,1219.0,1198.2,1203.8,749859
2023-07-07,1208.0,1208.0,1187.8,1199.4,786165
2023-07-10,1209.0,1223.4,1200.0,1218.4,666452
2023-07-11,1222.0,1227.8,1208.6,1222.8,582957
2023-07-12,1225.0,1249.4,1218.0,1244.0,1117178
2023-07-13,1244.0,1250.0,1231.8,1238.8,591508
2023-07-14,1241.0,1255.0,1233.2,1253.0,662859
2023-07-17,1248.4,1280.0,1244.4,1275.0,913616
2023-07-18,1276.2,1300.0,1265.2,1287.8,1588286
2023-07-19,1292.0,1292.0,1271.2,1277.4,628318
2023-07-20,1278.4,1286.0,1258.8,1260.8,782572
2023-07-21,1257.0,1275.0,1233.8,1274.2,760092
2023-07-24,1275.4,1292.0,1272.0,1286.0,665088
2023-07-25,1285.8,1317.4,1284.4,1313.6,935492
2023-07-26,1317.0,1319.6,1292.6,1301.4,782493
2023-07-27,1303.0,1337.0,1294.0,1328.0,1240652
2023-07-28,1327.4,1336.0,1318.2,1334.8,628913
2023-07-31,1340.0,1375.0,1333.0,1367.6,970666
2023-08-01,1368.0,1383.8,1351.8,1364.6,849549
2023-08-02,1364.6,1372.8,1353.2,1364.0,739116
2023-08-03,1364.0,1401.0,1354.4,1399.0,1052522
2023-08-04,1402.6,1406.6,1323.8,1348.4,1837365
2023-08-07,1356.0,1381.8,1316.0,1327.4,1295592
2023-08-08,1327.4,1329.8,1291.0,1326.2,1377102
2023-08-09,1330.0,1354.4,1322.0,1339.4,1596308
2023-08-10,1343.4,1359.0,1330.2,1356.4,1074129
2023-08-11,1359.0,1369.8,1340.0,1345.4,972088
2023-08-14,1353.0,1358.8,1303.8,1307.8,1462561
2023-08-15,1302.0,1334.0,1297.0,1305.6,1027505
2023-08-16,1305.6,1314.6,1251.6,1278.0,1439221
2023-08-17,1291.0,1298.4,1266.0,1291.0,905201
2023-08-18,1286.6,1304.0,1270.6,1302.2,697201
2023-08-21,1313.0,1320.0,1294.8,1299.8,1161675
2023-08-22,1303.6,1333.0,1287.4,1329.6,1599611
2023-08-23,1333.2,1353.0,1290.6,1302.6,2460840
2023-08-24,1309.0,1348.8,1306.0,1346.8,1209064
2023-08-25,1346.8,1360.0,1330.2,1360.0,991291
2023-08-28,1361.8,1395.0,1350.4,1385.4,1347815
2023-08-29,1390.0,1404.8,1347.8,1358.6,2373190
2023-08-30,1359.8,1399.0,1352.4,1385.0,1371022
2023-08-31,1387.0,1429.2,1383.2,1427.4,1684986
2023-09-01,1427.4,1439.6,1412.0,1431.6,825805
2023-09-04,1438.0,1445.0,1422.8,1432.2,751173
2023-09-05,1429.2,1433.4,1400.4,1411.0,881822
2023-09-06,1407.4,1407.4,1357.4,1370.0,1976579
2023-09-07,1374.0,1385.8,1332.6,1342.0,1578323
2023-09-08,1339.2,1349.0,1312.0,1316.6,1084726
2023-09-11,1316.6,1322.4,1271.0,1289.0,2187543
2023-09-12,1299.6,1328.0,1285.6,1326.6,992121
2023-09-13,1323.0,1338.0,1290.2,1295.8,1019463
2023-09-14,1300.0,1305.0,1262.2,1293.6,1317652
2023-09-15,1295.0,1314.4,1281.0,1311.4,717245
2023-09-18,1313.0,1325.8,1286.6,1292.8,821362
2023-09-19,1292.0,1299.6,1263.6,1286.8,1234589
2023-09-20,1285.6,1314.6,1265.0,1285.2,1163403
2023-09-21,1278.4,1293.4,1258.0,1268.8,1440543
2023-09-22,1268.2,1344.0,1259.0,1342.0,2428421
2023-09-25,1341.4,1350.0,1325.4,1331.8,974106
2023-09-26,1329.0,1383.6,1317.0,1370.8,1597143
2023-09-27,1374.8,1386.2,1364.0,1378.4,944000
2023-09-28,1380.0,1387.8,1354.0,1375.2,919550
2023-09-29,1378.4,1381.4,1360.0,1368.4,527810
2023-10-02,1371.0,1393.8,1362.0,1390.0,1067388
2023-10-03,1392.0,1393.8,1351.0,1358.4,1137993
2023-10-04,1355.6,1388.4,1345.0,1370.6,1096454
2023-10-05,1370.0,1384.0,1360.0,1372.2,529632
2023-10-06,1369.4,1376.2,1353.4,1367.0,678993
2023-10-09,1367.0,1380.0,1361.0,1368.4,537110
2023-10-10,1366.0,1375.0,1361.8,1374.4,374159
2023-10-11,1375.0,1415.6,1355.0,1358.0,1756692
2023-10-12,1358.0,1373.4,1352.0,1368.8,934798
2023-10-13,1370.0,1380.8,1367.2,1378.2,547004
2023-10-16,1380.0,1405.0,1378.8,1403.8,801319
2023-10-17,1405.0,1437.8,1398.0,1422.2,990017
2023-10-18,1425.0,1432.8,1393.4,1408.6,835710
2023-10-19,1408.0,1408.0,1387.6,1396.0,582266
2023-10-20,1396.0,1419.0,1368.0,1409.8,1025439
2023-10-23,1410.0,1411.6,1391.2,1399.8,671546
2023-10-24,1400.4,1406.0,1389.8,1395.2,396157
2023-10-25,1395.6,1397.4,1380.0,1387.4,440331
