TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,10.06,10.6,9.9,10.22,1142500
2023-01-04,10.36,11.16,10.2,10.44,2418600
2023-01-05,10.44,10.6,10.24,10.28,190300
2023-01-06,10.28,10.78,10.08,10.22,1064300
2023-01-09,10.4,10.56,10.22,10.42,446700
2023-01-10,10.34,12.84,10.3,11.42,8020700
2023-01-11,11.76,11.98,10.64,11.0,4521000
2023-01-12,11.02,11.2,10.92,11.04,573000
2023-01-13,11.1,11.2,11.0,11.02,439100
2023-01-16,11.1,11.16,10.58,11.04,511900
2023-01-17,11.04,11.5,10.88,10.92,1234100
2023-01-18,10.9,11.38,10.9,10.98,839000
2023-01-19,10.94,11.12,10.9,10.92,315500
2023-01-20,11.02,11.02,10.92,10.98,166500
2023-01-23,11.06,12.5,11.02,11.28,5906400
2023-01-24,11.32,11.68,11.16,11.4,790600
2023-01-25,11.5,12.5,11.32,11.72,3036900
2023-01-26,11.96,11.96,11.4,11.66,639200
2023-01-27,11.68,11.76,11.4,11.46,471600
2023-01-30,11.44,11.58,11.38,11.54,269100
2023-01-31,11.66,12.0,11.3,11.5,646900
2023-02-01,11.52,12.7,11.5,11.82,6015900
2023-02-02,11.82,12.32,11.66,11.96,907900
2023-02-03,11.8,14.14,11.8,12.92,14068200
2023-02-06,13.44,15.2,13.3,13.78,13443100
2023-02-07,13.8,13.94,13.22,13.48,1491800
2023-02-08,13.7,13.78,13.26,13.4,691300
2023-02-09,13.4,13.5,12.58,13.06,985700
2023-02-10,12.76,13.14,12.4,12.66,588100
2023-02-13,12.62,13.22,12.26,12.72,978800
2023-02-14,12.78,12.86,12.34,12.44,390200
2023-02-15,12.34,14.0,12.02,12.2,4205300
2023-02-16,12.36,12.78,11.52,11.8,1342500
2023-02-17,11.88,12.48,11.6,11.96,1723500
2023-02-20,12.16,16.46,11.74,14.56,88952500
2023-02-21,14.48,16.12,13.6,14.38,35016400
2023-02-22,14.6,14.6,13.64,13.84,2652000
2023-02-24,13.84,15.2,13.72,13.98,13868000
2023-02-27,14.22,15.38,14.02,14.7,10651000
2023-02-28,15.22,15.44,14.66,15.14,8090700
2023-03-01,15.3,15.94,14.7,14.86,3878400
2023-03-02,14.86,15.04,14.12,14.34,2182100
2023-03-03,14.34,14.84,14.0,14.16,2033400
2023-03-06,14.3,14.5,13.8,14.24,1134000
2023-03-07,14.64,16.84,14.26,15.72,47367900
2023-03-09,15.38,15.84,14.9,15.24,7186000
2023-03-10,15.5,16.72,15.24,15.64,14645700
2023-03-13,15.96,16.32,15.5,15.7,3847100
2023-03-14,15.6,15.68,15.32,15.6,891000
2023-03-15,15.64,15.82,15.36,15.46,1003500
2023-03-16,15.46,15.54,15.08,15.2,519800
2023-03-17,15.18,16.1,15.1,15.26,4470000
2023-03-20,15.28,15.58,14.58,15.06,1998300
2023-03-21,15.18,15.2,14.96,15.02,722100
2023-03-22,15.02,15.58,14.98,15.22,2252800
2023-03-23,15.34,16.18,15.1,15.82,8587400
2023-03-24,16.0,16.0,15.16,15.36,2241500
2023-03-27,15.78,16.1,15.4,15.88,2849900
2023-03-28,15.92,16.02,15.46,15.72,804000
2023-03-29,15.8,15.84,15.54,15.68,570300
2023-03-30,15.7,15.8,15.38,15.62,1073500
2023-03-31,15.8,15.84,15.3,15.38,894200
2023-04-03,15.54,15.84,15.42,15.78,746500
2023-04-04,15.84,15.92,15.48,15.62,1216200
2023-04-05,15.72,18.78,15.64,17.2,53385500
2023-04-06,16.92,17.3,16.38,16.8,3691800
2023-04-07,16.86,17.6,16.36,16.78,5859000
2023-04-10,17.18,17.9,16.78,17.7,8715200
2023-04-11,17.7,17.96,16.4,17.04,3412900
2023-04-12,17.04,17.36,16.9,16.94,839300
2023-04-13,17.06,17.42,16.48,16.84,2109200
2023-04-14,16.9,17.06,16.66,16.8,801200
2023-04-17,17.1,17.12,16.84,17.06,730200
2023-04-18,17.08,17.8,17.06,17.48,4460000
2023-04-19,17.5,17.68,16.56,16.98,2673800
2023-04-20,17.0,17.0,16.62,16.78,589500
2023-04-21,16.82,17.4,16.7,16.82,1905200
2023-04-24,16.82,17.14,16.7,16.96,693100
2023-04-25,17.14,17.14,16.8,16.96,320400
2023-04-26,16.96,17.04,16.8,16.82,561700
2023-04-27,17.02,17.02,16.64,16.7,352400
2023-04-28,16.8,17.1,16.22,16.26,1329200
2023-05-02,16.26,16.3,14.28,14.84,2888800
2023-05-03,15.08,15.24,14.1,14.42,1112100
2023-05-04,14.44,16.04,14.44,15.12,3490000
2023-05-05,15.2,16.0,14.64,14.76,4667100
2023-05-08,14.82,14.96,14.32,14.4,534400
2023-05-10,15.24,15.7,14.44,15.28,2890300
2023-05-11,15.38,15.58,15.02,15.3,878300
2023-05-12,15.2,15.4,15.12,15.18,351600
2023-05-15,15.04,15.96,15.04,15.32,1430600
2023-05-16,15.26,16.64,15.24,15.6,3707700
2023-05-17,15.8,16.76,15.52,16.32,4828800
2023-05-18,16.32,16.34,15.6,15.78,1319200
2023-05-19,15.78,16.18,15.52,15.64,686100
2023-05-22,15.98,15.98,15.42,15.62,393700
2023-05-23,15.68,15.82,15.02,15.2,353100
2023-05-24,15.24,15.7,15.2,15.66,437500
2023-05-25,15.68,15.78,15.24,15.4,427300
2023-05-26,15.5,16.2,15.2,15.48,585700
2023-05-29,15.68,15.84,15.46,15.56,604300
2023-05-30,15.24,15.66,14.88,15.12,638000
2023-05-31,15.4,15.4,14.88,15.0,256700
2023-06-01,15.22,15.34,14.78,14.86,591500
2023-06-02,14.9,14.9,14.5,14.66,495200
2023-06-05,14.8,15.14,14.66,14.86,513800
2023-06-06,14.98,15.32,14.56,14.72,888600
2023-06-07,14.78,14.9,14.64,14.7,341800
2023-06-08,14.78,15.1,14.66,14.82,380500
2023-06-09,14.94,15.08,14.76,14.82,371700
2023-06-13,15.16,15.16,14.8,15.02,346600
2023-06-14,15.16,15.16,14.92,15.06,334000
2023-06-15,15.06,16.28,15.04,15.2,5578700
2023-06-16,15.24,15.56,14.84,15.08,1232700
2023-06-19,15.22,15.52,15.0,15.5,996900
2023-06-20,15.64,15.64,15.0,15.22,727500
2023-06-21,15.22,15.76,15.22,15.36,988900
2023-06-22,15.62,15.86,15.24,15.38,1170300
2023-06-23,15.26,15.36,15.02,15.26,492200
2023-06-26,14.8,15.2,14.76,14.94,669700
2023-06-27,15.0,15.9,14.96,15.8,1446300
2023-06-28,15.8,15.9,15.24,15.46,2005200
2023-06-29,15.6,15.64,15.24,15.5,433200
2023-06-30,15.38,15.54,15.0,15.18,426700
2023-07-03,15.24,15.3,15.06,15.08,191900
2023-07-04,15.24,15.4,15.02,15.04,394700
2023-07-05,15.02,15.38,15.02,15.34,379800
2023-07-06,15.38,15.4,15.08,15.12,294500
