TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-02-07,275.0,317.0,270.0,282.9,5698090
2024-02-08,285.2,289.0,277.5,277.6,1235135
2024-02-09,280.0,280.0,270.5,272.8,593006
2024-02-12,272.85,275.0,265.0,269.45,777206
2024-02-13,270.3,271.4,265.0,266.8,727633
2024-02-14,266.95,284.25,266.95,282.8,1439873
2024-02-15,282.0,286.0,275.85,282.0,530396
2024-02-16,281.0,284.15,279.25,280.15,369127
2024-02-19,280.15,287.0,273.3,283.95,480809
2024-02-20,287.75,292.4,280.25,282.15,1044280
2024-02-21,282.0,283.55,270.0,272.05,537722
2024-02-22,274.05,279.3,272.0,273.5,197314
2024-02-26,275.0,279.65,273.55,275.0,242413
2024-02-27,275.85,279.2,274.5,275.0,223754
2024-02-28,278.4,285.85,274.25,283.75,403474
2024-02-29,285.35,288.0,278.8,280.0,210331
2024-03-01,281.6,287.3,280.0,282.7,404433
2024-03-04,282.7,289.0,275.05,285.1,569588
2024-03-05,285.1,298.75,280.15,296.9,1002592
2024-03-06,296.0,304.9,288.0,292.0,725528
2024-03-07,295.7,299.6,286.0,286.7,700164
2024-03-11,288.4,291.0,284.0,284.9,555412
2024-03-12,284.9,292.1,282.0,286.15,656989
2024-03-13,286.15,291.35,284.2,288.7,422506
2024-03-14,290.2,290.35,282.35,282.75,395311
2024-03-15,283.0,287.15,280.2,282.3,266674
2024-03-18,283.05,290.0,280.0,290.0,430810
2024-03-19,290.4,290.7,285.0,285.0,842101
2024-03-20,286.55,292.1,282.55,291.1,639762
2024-03-21,291.1,311.0,289.6,302.0,1697317
2024-03-22,302.2,311.4,295.75,296.05,1003353
2024-03-25,296.55,309.45,296.2,299.9,817654
2024-03-26,300.0,305.4,299.05,301.25,340095
2024-03-27,304.6,363.35,301.6,330.95,5020787
2024-03-28,331.0,332.6,317.25,321.0,1470419
2024-03-29,322.0,335.0,314.25,315.4,1877081
2024-04-01,320.8,324.85,315.05,320.0,622769
2024-04-02,320.0,335.0,319.5,335.0,1226620
2024-04-03,337.0,354.0,335.0,339.8,2061024
2024-04-04,345.2,356.0,343.05,349.0,1905895
2024-04-05,349.0,350.65,340.0,342.2,585150
2024-04-08,344.95,355.0,344.95,352.0,734379
2024-04-09,354.0,359.5,345.55,351.1,860200
2024-04-10,355.0,358.5,349.05,352.5,403441
2024-04-11,353.45,354.85,347.25,348.45,314312
2024-04-12,349.3,349.3,339.8,340.45,388796
2024-04-15,345.0,345.0,339.1,340.8,255536
2024-04-16,341.35,343.05,334.4,335.9,275757
2024-04-17,337.45,345.0,336.55,340.35,397531
2024-04-18,342.0,343.4,336.5,337.25,206291
2024-04-19,337.5,342.5,332.05,340.95,328527
2024-04-22,341.5,344.55,335.2,337.55,171612
2024-04-23,337.6,344.0,336.1,336.7,168023
2024-04-24,336.7,337.4,325.7,329.1,261132
2024-04-25,329.5,332.5,317.35,319.2,475038
2024-04-26,322.1,334.75,320.3,329.65,1193712
2024-04-27,330.85,335.95,330.05,332.5,336926
2024-04-29,336.25,337.25,326.1,327.5,238151
2024-04-30,327.4,329.5,324.55,325.5,129818
2024-05-02,326.5,328.8,322.95,328.3,321074
2024-05-03,328.4,335.9,327.05,330.9,397982
2024-05-06,330.9,332.2,323.2,327.05,328398
2024-05-07,327.05,327.85,319.2,321.15,506332
2024-05-08,321.15,324.1,315.5,317.0,571723
2024-05-10,320.0,323.65,319.0,322.3,176834
2024-05-13,322.5,326.75,320.0,325.9,241215
2024-05-14,325.9,330.0,322.5,323.9,235494
2024-05-15,324.9,329.85,323.45,328.2,304307
2024-05-16,329.0,341.75,327.0,329.45,583591
2024-05-17,330.0,335.3,329.45,333.55,265633
2024-05-20,339.8,339.8,325.4,326.75,243591
2024-05-21,326.75,332.25,326.1,329.7,214133
2024-05-22,329.0,333.35,328.15,331.0,134670
2024-05-23,328.5,329.0,318.25,322.05,305624
2024-05-24,323.2,326.15,319.0,319.75,153508
2024-05-27,319.75,320.1,304.0,309.9,398708
2024-05-28,312.9,321.0,305.45,310.0,284052
2024-05-29,310.5,313.85,305.65,308.4,167509
2024-05-30,309.15,312.3,307.05,307.4,103480
2024-05-31,308.35,308.35,289.0,300.4,394750
2024-06-03,300.4,304.0,281.1,294.85,405705
2024-06-04,296.7,310.0,295.35,308.2,194773
2024-06-05,309.3,319.5,301.0,314.5,301244
2024-06-06,314.6,316.1,305.0,311.4,149651
2024-06-07,312.0,319.8,310.9,315.55,120607
2024-06-10,315.75,329.0,315.75,318.55,431115
2024-06-11,318.0,326.5,311.25,314.5,231580
2024-06-13,299.9,320.45,291.85,318.5,162250
2024-06-14,318.0,326.45,316.0,325.0,127835
2024-06-17,324.7,327.5,323.05,325.25,93669
2024-06-18,325.25,325.25,307.0,309.25,260414
2024-06-19,309.3,310.35,300.6,301.55,271040
2024-06-20,302.1,318.15,288.0,300.7,345637
2024-06-21,303.75,305.9,293.3,296.05,177249
2024-06-24,298.65,302.7,289.05,290.0,160757
2024-06-25,292.45,296.65,290.05,296.0,134254
2024-06-26,296.2,309.9,296.2,308.7,194884
2024-06-27,307.9,308.95,301.75,303.45,107358
2024-06-28,303.5,319.75,303.45,310.1,344801
2024-07-01,311.0,314.45,303.0,308.6,126739
2024-07-02,310.0,312.7,305.05,305.25,102726
2024-07-03,306.0,306.8,291.2,293.1,358827
2024-07-04,293.5,295.55,285.5,286.5,221885
2024-07-05,289.0,289.5,283.95,284.6,224881
2024-07-08,288.9,296.2,280.65,282.05,215153
2024-07-09,284.2,287.0,270.0,271.8,300476
2024-07-10,271.3,274.7,262.0,265.8,227005
2024-07-11,260.1,283.0,260.0,281.05,337359
2024-07-12,279.0,284.0,278.4,282.4,192470
2024-07-15,281.2,288.9,269.05,274.85,175171
2024-07-16,274.85,280.95,265.0,278.35,121300
2024-07-17,281.15,283.95,273.3,283.0,122785
2024-07-18,277.5,297.0,277.5,295.0,265558
2024-07-19,294.5,297.3,291.05,292.0,113375
2024-07-22,292.35,299.65,287.2,295.0,243665
2024-07-23,294.5,294.95,285.35,291.5,87277
2024-07-24,291.6,297.5,285.3,295.0,98497
2024-07-25,297.5,298.45,289.1,292.45,162639
2024-07-26,292.45,296.0,278.25,287.8,147331
2024-07-29,286.0,286.0,268.7,270.25,443534
2024-07-30,270.4,276.1,267.4,272.4,178010
