TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1860,1950,1850,1880,54
2023-01-04,1880,1880,1870,1880,5
2023-01-05,1900,1900,1870,1870,9
2023-01-06,1890,1900,1870,1900,6
2023-01-09,1870,1890,1850,1870,32
2023-01-10,1880,1890,1850,1860,15
2023-01-11,1890,1890,1860,1870,27
2023-01-12,1870,1890,1840,1890,19
2023-01-13,1900,1910,1870,1910,38
2023-01-16,1910,2270,1910,2020,2737
2023-01-17,2110,2120,1910,1950,460
2023-01-18,1950,1960,1900,1940,182
2023-01-19,1920,2590,1920,2070,14985
2023-01-20,2090,2090,1990,2060,627
2023-01-23,2020,2200,2020,2080,867
2023-01-24,2090,2100,2030,2050,67
2023-01-25,2080,2260,2010,2150,914
2023-01-26,2200,2200,2020,2160,420
2023-01-27,2170,2500,2100,2200,3598
2023-01-30,2240,2290,2100,2170,304
2023-01-31,2150,2260,2130,2260,461
2023-02-01,2270,2300,2200,2230,110
2023-02-02,2270,2390,2210,2350,849
2023-02-03,2350,2480,2230,2370,1213
2023-02-06,2380,2390,2280,2360,410
2023-02-07,2350,2360,2270,2350,253
2023-02-08,2350,2360,2230,2260,859
2023-02-09,2270,2360,2230,2340,563
2023-02-10,2330,2370,2280,2310,130
2023-02-13,2340,2350,2310,2340,29
2023-02-14,2320,2330,2130,2220,221
2023-02-15,2220,2240,2130,2140,130
2023-02-16,2140,2170,2130,2150,77
2023-02-17,2120,2190,2120,2160,60
2023-02-20,2170,2170,2100,2120,57
2023-02-21,2120,2330,2120,2180,906
2023-02-22,2220,2240,2210,2230,33
2023-02-24,2200,2270,2200,2260,77
2023-02-27,2240,2350,2240,2280,177
2023-02-28,2290,2290,2270,2280,6
2023-03-01,2270,2310,2250,2280,143
2023-03-02,2290,2310,2210,2300,284
2023-03-03,2310,2380,2250,2370,199
2023-03-06,2340,2390,2300,2340,122
2023-03-07,2350,2350,2260,2290,133
2023-03-09,2290,2330,2270,2310,88
2023-03-10,2310,2330,2270,2310,152
2023-03-13,2310,2310,2270,2280,22
2023-03-14,2300,2330,2270,2280,71
2023-03-15,2280,2300,2270,2270,21
2023-03-16,2260,2270,2240,2240,121
2023-03-17,2270,2270,2200,2240,149
2023-03-20,2220,2250,2220,2250,39
2023-03-21,2260,2290,2220,2250,107
2023-03-22,2280,2280,2240,2240,17
2023-03-23,2270,2330,2250,2250,70
2023-03-24,2250,2370,2250,2360,886
2023-03-27,2330,2400,2330,2360,198
2023-03-28,2410,2490,2360,2440,806
2023-03-29,2420,2450,2400,2410,143
2023-03-30,2440,2480,2410,2480,233
2023-03-31,2480,2490,2340,2390,436
2023-04-03,2340,2410,2340,2380,127
2023-04-04,2360,2470,2360,2470,375
2023-04-05,2430,2510,2430,2480,531
2023-04-06,2480,2490,2450,2450,44
2023-04-07,2460,2480,2410,2440,46
2023-04-10,2470,2570,2450,2510,203
2023-04-11,2520,2600,2430,2450,228
2023-04-12,2470,2480,2370,2440,216
2023-04-13,2450,2650,2400,2500,1921
2023-04-14,2520,2650,2510,2650,361
2023-04-17,2610,2680,2550,2670,629
2023-04-18,2680,2690,2600,2650,164
2023-04-19,2630,2650,2510,2570,770
2023-04-20,2600,2690,2530,2550,1070
2023-04-21,2570,2610,2500,2610,461
2023-04-24,2620,2630,2550,2610,322
2023-04-25,2610,2630,2550,2600,464
2023-04-26,2620,2620,2530,2600,200
2023-04-27,2580,2590,2550,2590,111
2023-04-28,2580,2680,2570,2610,396
2023-05-02,2620,2620,2500,2500,171
2023-05-03,2550,2550,2220,2360,469
2023-05-04,2380,2380,2270,2330,160
2023-05-05,2330,2350,2260,2320,78
2023-05-08,2300,2350,2290,2310,105
2023-05-10,2300,2380,2290,2380,388
2023-05-11,2390,2580,2360,2560,1213
2023-05-12,2550,2560,2420,2450,463
2023-05-15,2480,2480,2440,2470,109
2023-05-16,2480,2520,2470,2470,218
2023-05-17,2500,2510,2470,2490,141
2023-05-18,2490,2580,2460,2520,204
2023-05-19,2510,2550,2490,2520,191
2023-05-22,2530,2540,2450,2500,182
2023-05-23,2510,2510,2450,2460,137
2023-05-24,2480,2510,2450,2480,141
2023-05-25,2480,2490,2450,2490,193
2023-05-26,2490,2490,2450,2480,137
2023-05-29,2480,2530,2460,2500,279
2023-05-30,2520,2550,2440,2500,558
2023-05-31,2520,2520,2350,2400,776
2023-06-01,2400,2400,2330,2340,346
2023-06-02,2320,2440,2320,2390,507
2023-06-05,2410,2960,2380,2770,4311
2023-06-06,2740,2820,2620,2780,740
2023-06-07,2790,2920,2690,2890,1880
2023-06-08,2890,3200,2890,3050,2244
2023-06-09,3070,3120,2870,2950,2618
2023-06-13,2990,3020,2890,3000,357
2023-06-14,2910,2990,2800,2930,1049
2023-06-15,2920,2950,2850,2900,302
2023-06-16,2900,2930,2830,2900,149
2023-06-19,2870,2890,2850,2890,200
2023-06-20,2890,2890,2850,2850,71
2023-06-21,2870,2960,2860,2910,199
2023-06-22,3200,3980,3140,3300,6236
2023-06-23,3330,3330,3130,3230,673
2023-06-26,3260,3500,3170,3430,1128
2023-06-27,3440,3440,3240,3330,767
2023-06-28,3290,3540,3260,3350,538
2023-06-29,3350,3390,3310,3350,100
2023-06-30,3350,3470,3310,3370,373
2023-07-03,3330,3410,3170,3250,470
2023-07-04,3250,3270,3170,3170,355
2023-07-05,3180,3230,3130,3210,155
2023-07-06,3200,3200,3130,3180,166
2023-07-07,3180,3230,3150,3180,195
2023-07-10,3180,3450,3180,3420,986
2023-07-11,3430,3990,3350,3470,5017
2023-07-12,3470,3540,3380,3430,355
2023-07-13,3420,3560,3360,3490,1039
2023-07-14,3490,3550,3450,3470,323
2023-07-17,3490,3490,3410,3450,138
2023-07-18,3450,3470,3400,3420,174
2023-07-19,3420,3480,3400,3440,177
2023-07-20,3450,3470,3400,3410,100
2023-07-21,3420,3440,3390,3430,47
2023-07-24,3430,3460,3430,3440,141
2023-07-25,3470,3530,3410,3490,228
2023-07-26,3490,3500,3440,3500,78
2023-07-27,3500,3760,3470,3670,1232
2023-07-28,3690,3730,3550,3690,354
2023-07-31,3640,3800,3630,3750,323
2023-08-01,3720,3750,3670,3700,501
2023-08-02,3700,3700,3620,3680,196
2023-08-03,3680,3760,3660,3670,270
2023-08-04,3700,3720,3520,3570,464
2023-08-07,3600,3640,3510,3530,267
2023-08-08,3530,3570,3430,3430,271
2023-08-09,3460,3570,3450,3500,208
2023-08-10,3540,3750,3480,3630,824
2023-08-11,3680,3680,3610,3660,238
2023-08-14,3660,4720,3660,4000,11181
2023-08-15,4010,5540,4010,5300,21052
2023-08-16,5480,7280,4500,6800,32902
2023-08-17,6800,7000,5440,5860,9048
2023-08-18,5880,5980,5100,5250,3340
2023-08-21,5250,5580,5190,5300,2644
2023-08-22,5360,5360,5050,5220,1577
2023-08-23,5280,5350,5050,5110,882
2023-08-24,5230,6220,5230,5780,7985
2023-08-25,5840,5880,5520,5720,1216
2023-08-28,5720,5750,5560,5710,734
2023-08-29,5710,6130,5560,6000,3084
2023-08-30,6020,6100,5680,5930,1375
2023-08-31,5930,6170,5740,5990,1170
2023-09-01,6090,6600,5970,6590,5166
2023-09-04,6640,6760,6300,6660,2403
2023-09-05,6660,6660,6500,6530,1521
2023-09-06,6550,6550,6250,6310,1178
2023-09-07,6290,6290,5680,6060,1498
2023-09-08,6140,6300,5900,5990,1542
2023-09-11,6080,6290,5830,6010,751
2023-09-12,6020,6180,5980,6030,440
2023-09-13,6110,6160,5820,6020,640
2023-09-14,6050,6060,5100,5730,1397
2023-09-15,5710,6040,5700,6020,605
2023-09-18,6040,6140,5790,5900,674
2023-09-19,5930,5940,5300,5510,982
2023-09-20,5540,5580,4720,5450,1228
2023-09-21,5520,5640,5100,5100,352
2023-09-22,5090,5340,4860,5260,688
2023-09-25,5290,5620,5150,5390,687
2023-09-26,5520,5800,5330,5390,3085
2023-09-27,5430,5550,5320,5320,1398
2023-09-28,5410,5480,5250,5250,1361
2023-09-29,5290,5450,5290,5400,1221
2023-10-02,5410,5940,5410,5660,5792
2023-10-03,5740,5780,5500,5580,1547
2023-10-04,5610,6040,5350,5720,4556
2023-10-05,5740,5990,5660,5800,2466
2023-10-06,5860,5920,5570,5690,1521
2023-10-09,5750,5840,5720,5750,1136
2023-10-10,5790,6000,5740,5920,3806
2023-10-11,5980,6110,5860,6070,4069
2023-10-12,6030,6060,5900,5910,1706
2023-10-13,6000,6040,5800,5980,2409
2023-10-16,6030,6040,5900,5990,2633
2023-10-17,6000,6000,5880,5980,2162
2023-10-18,5990,6100,5970,6040,4035
2023-10-19,5980,6100,5870,6100,6689
2023-10-20,5500,5710,4580,5500,7984
2023-10-23,5470,5600,5210,5240,2725
2023-10-24,5280,5280,5020,5060,2433
2023-10-25,5100,5110,5000,5020,1070
2023-10-26,5070,5070,4860,4960,775
2023-10-27,4990,5010,4820,4920,689
2023-10-30,4900,4970,4810,4900,799
2023-10-31,4910,5430,4870,5070,10391
2023-11-01,5070,5070,4800,4830,2382
2023-11-02,4830,4970,4830,4890,983
2023-11-03,4880,4930,4850,4870,286
2023-11-06,4830,4960,4830,4880,248
2023-11-07,4900,4910,4830,4840,319
2023-11-08,4840,5000,4830,4870,551
2023-11-09,4900,4900,4840,4900,386
2023-11-10,4900,4940,4800,4830,406
2023-11-13,4830,4980,4800,4820,757
2023-11-14,4820,4820,4010,4160,2333
2023-11-15,4160,4360,4100,4310,599
2023-11-16,4380,4380,4250,4250,280
2023-11-17,4300,4300,3990,4070,1030
2023-11-20,3990,4140,3990,4040,655
2023-11-21,4010,4100,4010,4020,221
2023-11-22,4070,4110,3910,4060,818
2023-11-23,4030,4160,3960,4110,1658
2023-11-24,4110,4180,4080,4130,682
2023-11-27,4140,4150,3960,4040,912
2023-11-28,4070,4090,4030,4070,322
2023-11-29,4080,4080,4020,4060,213
2023-11-30,4040,4070,4010,4020,352
2023-12-01,4040,4050,3800,3830,871
2023-12-04,3840,3840,3600,3620,629
2023-12-05,3620,3660,3570,3580,309
2023-12-06,3600,3650,3590,3650,149
2023-12-07,3650,3650,3480,3580,348
2023-12-08,3630,3640,3580,3620,145
2023-12-11,3590,3990,3590,3860,1930
2023-12-12,3860,3860,3380,3620,1553
2023-12-13,3640,3680,3460,3600,661
2023-12-14,3600,3700,3520,3550,455
2023-12-15,3380,3600,3380,3570,810
2023-12-18,3570,3820,3550,3680,1640
2023-12-19,3690,3910,3690,3790,1587
2023-12-20,3900,4000,3850,3920,899
2023-12-21,4000,4000,3840,3900,484
2023-12-22,3900,3960,3860,3950,432
2023-12-25,3950,3970,3750,3870,356
2023-12-26,3890,3900,3810,3810,388
2023-12-27,3820,3930,3740,3850,1068
2023-12-28,3830,4040,3720,3770,924
2023-12-29,3820,3820,3580,3580,1035
2024-01-03,3740,4090,3730,3930,5565
2024-01-04,4040,4110,3870,3990,7492
2024-01-05,4040,4850,3870,4600,22826
2024-01-08,4650,5000,4260,4670,12625
2024-01-09,4710,4790,4590,4630,5193
2024-01-10,4630,4710,4530,4550,4201
2024-01-11,4560,4650,4540,4580,3384
2024-01-12,4580,4910,4320,4490,8342
2024-01-15,4380,4480,4310,4350,2949
2024-01-16,4350,4380,3840,4210,9301
2024-01-17,4210,4280,4040,4190,2069
2024-01-18,4240,4250,4080,4140,811
2024-01-19,4140,4160,3990,4100,1676
2024-01-22,4120,4150,3990,4080,1613
2024-01-23,4090,4120,4050,4060,536
2024-01-24,4100,4110,4010,4060,733
2024-01-25,4060,4080,3990,4080,426
2024-01-26,4120,4280,4120,4180,4631
2024-01-29,4240,4290,4090,4240,1615
2024-01-30,4210,4280,4140,4190,1779
2024-01-31,4210,4240,4160,4230,870
2024-02-01,4240,4270,4170,4220,1160
2024-02-02,4240,4250,4100,4160,1457
2024-02-05,4180,4210,4110,4150,525
2024-02-06,4160,4200,4140,4150,252
