TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,46.4,47.82,46.12,47.1,261801
2023-01-04,47.44,47.56,46.66,47.34,93404
2023-01-05,47.34,49.32,47.34,47.74,737235
2023-01-06,48.0,48.0,47.08,47.5,117729
2023-01-09,47.5,48.46,47.22,48.18,225605
2023-01-10,48.34,50.0,47.9,49.6,590573
2023-01-11,49.92,50.24,49.22,50.18,313193
2023-01-12,50.16,51.52,49.52,51.2,748941
2023-01-13,51.42,53.4,51.2,52.5,1068569
2023-01-16,52.5,57.44,52.5,56.54,2622243
2023-01-17,57.0,57.2,53.02,55.14,1173862
2023-01-18,55.14,56.24,54.48,55.72,444698
2023-01-19,55.26,55.7,52.72,53.82,674342
2023-01-20,53.8,55.7,52.64,53.84,408729
2023-01-23,55.7,55.7,53.8,54.42,143216
2023-01-24,54.5,55.96,54.5,54.84,203962
2023-01-25,54.84,55.0,53.72,53.86,295468
2023-01-26,53.86,54.14,52.56,52.96,297653
2023-01-27,53.86,53.94,52.0,53.26,354150
2023-01-30,53.26,53.78,52.9,53.4,150739
2023-01-31,53.44,54.96,53.44,54.18,362103
2023-02-01,54.0,55.68,54.0,55.06,376656
2023-02-02,55.54,55.66,55.0,55.3,172227
2023-02-03,55.48,55.5,53.2,54.24,551089
2023-02-06,54.58,55.0,53.5,54.86,247793
2023-02-07,54.7,55.26,54.0,54.46,188544
2023-02-08,54.46,55.18,54.08,54.54,329060
2023-02-09,54.54,55.6,54.24,55.24,372798
2023-02-10,55.7,57.34,55.7,56.7,669268
2023-02-13,57.2,57.82,56.34,56.94,327368
2023-02-14,56.76,57.26,54.14,54.88,505427
2023-02-15,54.8,54.8,50.14,51.04,976711
2023-02-16,51.04,54.38,50.5,52.9,656476
2023-02-17,53.68,53.68,52.08,52.48,166647
2023-02-20,52.46,52.58,50.54,51.44,546665
2023-02-21,51.4,53.98,50.1,52.92,687249
2023-02-22,53.76,53.76,52.1,52.92,203431
2023-02-24,52.66,53.94,52.64,53.6,174285
2023-02-27,53.36,53.56,52.06,53.38,285785
2023-02-28,53.66,54.44,53.4,53.68,145846
2023-03-01,53.68,55.98,53.64,55.0,581262
2023-03-02,55.12,55.22,51.04,53.38,592396
2023-03-03,53.98,54.5,53.42,53.6,207574
2023-03-06,53.76,54.46,53.6,53.74,177946
2023-03-07,53.98,53.98,52.8,53.22,219954
2023-03-09,53.22,53.7,53.1,53.36,177140
2023-03-10,53.36,53.46,52.0,52.96,133431
2023-03-13,53.0,53.5,52.5,52.76,168923
2023-03-14,52.76,53.04,52.16,52.58,115972
2023-03-15,52.96,52.96,52.06,52.26,125393
2023-03-16,52.4,53.74,52.26,52.6,739229
2023-03-17,53.3,53.66,52.76,52.84,408407
2023-03-20,53.02,53.6,52.8,52.88,414905
2023-03-21,52.94,53.96,52.44,53.02,949679
2023-03-22,53.26,54.54,53.08,54.14,421177
2023-03-23,54.2,59.42,53.74,57.68,4324900
2023-03-24,57.68,62.0,56.7,60.2,2916405
2023-03-27,61.0,62.16,60.0,60.92,1221972
2023-03-28,61.6,61.6,58.82,59.98,792386
2023-03-29,61.0,65.1,60.22,62.4,4695266
2023-03-30,62.4,63.78,61.32,62.12,772971
2023-03-31,62.6,62.68,60.0,61.0,735968
2023-04-03,61.74,62.16,60.9,61.86,402346
2023-04-04,62.0,62.0,60.04,60.38,421648
2023-04-05,60.46,61.14,59.04,60.7,390054
2023-04-06,61.3,61.64,60.0,60.42,462391
2023-04-07,60.5,61.22,60.3,60.86,217840
2023-04-10,61.5,62.6,60.32,62.06,919410
2023-04-11,62.4,63.4,55.52,60.62,1155411
2023-04-12,60.62,61.48,58.98,60.8,285200
2023-04-13,61.4,61.4,60.06,60.74,156165
2023-04-14,60.74,61.4,60.74,61.2,195065
2023-04-17,61.3,64.22,61.0,63.88,1621353
2023-04-18,63.94,64.38,62.44,63.42,539380
2023-04-19,63.5,64.0,61.5,62.14,579378
2023-04-20,62.3,63.16,61.04,62.76,255169
2023-04-21,63.0,63.12,62.0,62.28,201846
2023-04-24,62.54,69.16,62.0,67.5,4693239
2023-04-25,67.64,70.9,67.6,68.22,2432758
2023-04-26,69.0,69.0,66.0,67.26,901026
2023-04-27,67.82,67.82,66.04,66.6,760219
2023-04-28,67.62,68.44,64.52,65.4,987725
2023-05-02,65.52,66.96,61.12,62.88,846522
2023-05-03,62.92,66.0,60.0,61.12,637114
2023-05-04,61.14,64.98,61.14,62.38,767884
2023-05-05,62.92,63.16,61.8,62.22,215456
2023-05-08,62.22,62.84,60.7,61.04,178032
2023-05-10,61.04,63.0,60.78,62.34,297306
2023-05-11,62.82,66.3,62.54,66.0,1200685
2023-05-12,65.5,65.5,63.74,65.02,425416
2023-05-15,65.02,71.0,64.2,69.3,5744089
2023-05-16,69.92,71.68,68.56,70.76,1498643
2023-05-17,70.9,76.98,70.9,75.7,5523068
2023-05-18,75.7,76.24,73.02,73.9,1204714
2023-05-19,74.32,76.84,73.58,74.48,1418172
2023-05-22,74.04,76.5,72.1,72.5,810843
2023-05-23,73.7,73.86,71.56,72.64,453728
2023-05-24,72.96,82.14,72.36,80.4,7193729
2023-05-25,81.0,83.58,77.56,80.52,2665823
2023-05-26,80.54,82.76,79.0,80.62,1133273
2023-05-29,82.3,85.6,81.34,84.82,2548205
2023-05-30,85.7,91.42,82.6,86.26,7947280
2023-05-31,86.26,88.7,82.6,84.64,2470047
2023-06-01,84.66,87.0,83.0,83.94,1202652
2023-06-02,85.0,86.04,83.3,84.24,1110087
2023-06-05,84.98,85.3,78.4,81.02,1710927
2023-06-06,81.0,82.48,76.46,82.2,1421418
2023-06-07,83.02,84.26,81.0,82.36,987186
2023-06-08,82.88,83.78,81.14,82.22,475258
2023-06-09,82.16,83.16,81.36,81.7,409779
2023-06-13,81.72,83.48,81.72,82.58,324792
2023-06-14,83.4,83.78,82.5,83.22,471381
2023-06-15,83.44,83.7,82.52,83.48,463606
2023-06-16,83.5,83.5,82.0,82.96,394437
2023-06-19,83.0,83.3,82.12,82.9,372427
2023-06-20,83.22,87.8,82.18,86.38,3120689
2023-06-21,86.38,86.7,84.9,85.02,630398
2023-06-22,86.44,86.44,83.7,84.2,587510
2023-06-23,84.2,85.0,82.6,84.6,622970
2023-06-26,83.74,84.9,80.22,82.38,1043666
2023-06-27,82.42,84.0,82.1,83.14,435423
2023-06-28,83.48,84.7,82.9,83.5,586694
2023-06-29,83.5,85.98,83.44,84.44,849080
2023-06-30,84.98,85.16,83.7,84.38,382542
2023-07-03,83.02,84.88,83.02,84.68,536570
2023-07-04,84.68,84.74,80.54,83.8,700957
2023-07-05,84.0,84.5,83.32,84.04,322667
2023-07-06,84.1,84.72,83.1,83.86,367136
2023-07-07,84.16,90.2,83.7,89.88,3785511
2023-07-10,90.2,96.7,90.02,92.72,6343597
2023-07-11,93.48,94.88,90.82,91.3,1434138
