TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-11,0.09376,0.09388,0.08654,0.0879,3814620000
2023-01-12,0.088,0.088,0.08634,0.08736,791180000
2023-01-13,0.0875,0.0875,0.08652,0.0873,1000690000
2023-01-16,0.0875,0.08794,0.08664,0.0873,1108040000
2023-01-17,0.0873,0.08734,0.0855,0.08564,709560000
2023-01-18,0.08526,0.08674,0.085,0.08548,728680000
2023-01-19,0.08552,0.0859,0.0845,0.08566,647690000
2023-01-20,0.08514,0.08638,0.08472,0.08502,557920000
2023-01-23,0.08506,0.08578,0.08492,0.08546,338900000
2023-01-24,0.08558,0.08558,0.08482,0.08504,374620000
2023-01-25,0.08504,0.08504,0.0845,0.08482,365080000
2023-01-26,0.08464,0.0852,0.08446,0.08498,629620000
2023-01-27,0.08498,0.08652,0.0847,0.0864,622120000
2023-01-30,0.0865,0.0871,0.0857,0.08692,616340000
2023-01-31,0.087,0.0876,0.0841,0.0865,591280000
2023-02-01,0.08674,0.08748,0.086,0.08658,439390000
2023-02-02,0.08658,0.08702,0.08606,0.0862,323940000
2023-02-03,0.08664,0.08676,0.08576,0.08628,386650000
2023-02-06,0.08654,0.0874,0.08628,0.08708,453990000
2023-02-07,0.08704,0.0874,0.08644,0.08714,420990000
2023-02-08,0.08716,0.09164,0.08682,0.09006,3713000000
2023-02-09,0.09006,0.09178,0.08942,0.09052,1087380000
2023-02-10,0.0909,0.09104,0.08942,0.09024,528490000
2023-02-13,0.09098,0.0924,0.0906,0.0907,1214320000
2023-02-14,0.0915,0.0915,0.08804,0.08906,938690000
2023-02-15,0.08898,0.08898,0.08498,0.0854,1488470000
2023-02-16,0.08614,0.0869,0.0857,0.08634,540260000
2023-02-17,0.0864,0.08728,0.08562,0.0868,381010000
2023-02-20,0.08668,0.08698,0.08548,0.0864,317590000
2023-02-21,0.0864,0.0883,0.0863,0.08712,546470000
2023-02-22,0.08712,0.08742,0.08658,0.08682,266640000
2023-02-24,0.08682,0.08786,0.0868,0.0878,175200000
2023-02-27,0.08744,0.0888,0.08706,0.08834,612680000
2023-02-28,0.08888,0.08944,0.08816,0.0893,775310000
2023-03-01,0.08952,0.08968,0.0888,0.0895,627190000
2023-03-02,0.0891,0.08948,0.0871,0.08788,1159340000
2023-03-03,0.08776,0.08872,0.08714,0.0887,414680000
2023-03-06,0.0887,0.08982,0.08866,0.08982,723490000
2023-03-07,0.08988,0.09,0.0886,0.08974,777840000
2023-03-09,0.0898,0.09298,0.089,0.09174,2653980000
2023-03-10,0.09198,0.0928,0.09036,0.0918,1051680000
2023-03-13,0.09284,0.095,0.09194,0.0926,2468190000
2023-03-14,0.09264,0.09298,0.09168,0.0923,1791860000
2023-03-15,0.0918,0.09268,0.08904,0.0909,1139840000
2023-03-16,0.0909,0.09118,0.0883,0.09044,1009460000
2023-03-17,0.09056,0.09084,0.0892,0.09034,1274140000
2023-03-20,0.0903,0.09298,0.09002,0.0928,1465480000
2023-03-21,0.0934,0.0935,0.09112,0.09212,1339310000
2023-03-22,0.09172,0.09346,0.0912,0.09246,726480000
2023-03-23,0.09286,0.09286,0.09134,0.09258,563000000
2023-03-24,0.09258,0.09438,0.09236,0.09422,1180740000
2023-03-27,0.09462,0.09642,0.09436,0.09616,1601690000
2023-03-28,0.09642,0.09642,0.09432,0.0958,993920000
2023-03-29,0.09598,0.09628,0.0946,0.0948,863960000
2023-03-30,0.09506,0.102,0.09482,0.10078,5259540000
2023-03-31,0.1013,0.1013,0.09768,0.09916,2732890000
2023-04-03,0.09946,0.10198,0.09864,0.1019,2694030000
2023-04-04,0.10246,0.10636,0.1002,0.10216,4081950000
2023-04-05,0.1018,0.1043,0.09996,0.10246,2329550000
2023-04-06,0.10316,0.1034,0.10002,0.10142,1443750000
2023-04-07,0.1014,0.10244,0.10052,0.10228,731100000
2023-04-10,0.10228,0.1045,0.10188,0.10438,1774180000
2023-04-11,0.10458,0.11052,0.10212,0.1049,8069910000
2023-04-12,0.10594,0.10622,0.1028,0.10394,1883370000
2023-04-13,0.104,0.10588,0.10238,0.10544,1209740000
2023-04-14,0.1055,0.1055,0.10378,0.105,641340000
2023-04-17,0.1053,0.108,0.1051,0.10706,1168750000
2023-04-18,0.1072,0.10776,0.10564,0.1069,948670000
2023-04-19,0.10708,0.10734,0.1031,0.1044,2230430000
2023-04-20,0.1041,0.1044,0.1011,0.10382,1178580000
2023-04-21,0.10302,0.10598,0.10302,0.10452,1012860000
2023-04-24,0.1046,0.10688,0.10356,0.10542,1402670000
2023-04-25,0.1055,0.10596,0.1037,0.10484,1136220000
2023-04-26,0.1048,0.1086,0.10426,0.10682,2413620000
2023-04-27,0.10642,0.10814,0.10516,0.10718,1903570000
2023-04-28,0.10748,0.10798,0.10574,0.10764,1843170000
2023-05-02,0.10872,0.1149,0.1055,0.1105,12466690000
2023-05-03,0.10956,0.10984,0.10242,0.10412,5715640000
2023-05-04,0.10412,0.10788,0.10328,0.1064,2336530000
2023-05-05,0.10598,0.10606,0.10256,0.1028,1779620000
2023-05-08,0.10314,0.10368,0.101,0.10172,741380000
2023-05-10,0.10178,0.10884,0.10118,0.10702,5148640000
2023-05-11,0.10742,0.1083,0.103,0.10532,3015460000
2023-05-12,0.1053,0.10658,0.10342,0.10502,1255030000
2023-05-15,0.10548,0.10626,0.1044,0.1059,1406200000
2023-05-16,0.10698,0.1074,0.10502,0.10628,1998920000
2023-05-17,0.10628,0.11246,0.10628,0.11214,10034960000
2023-05-18,0.11244,0.11244,0.1086,0.11008,3233020000
2023-05-19,0.1097,0.11362,0.1088,0.11152,3820690000
2023-05-22,0.1123,0.1139,0.1095,0.11054,2060080000
2023-05-23,0.111,0.11168,0.1082,0.11022,1836010000
