TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,37.6,38.0,37.5,37.96,248270
2023-01-04,37.96,38.5,37.2,38.19,1134410
2023-01-05,38.39,38.63,38.02,38.4,294460
2023-01-06,38.54,38.54,38.1,38.35,182420
2023-01-09,38.3,39.98,38.3,39.08,2009430
2023-01-10,39.08,39.74,37.9,38.63,1090870
2023-01-11,38.64,39.4,38.44,39.23,918230
2023-01-12,39.6,39.75,39.23,39.34,600090
2023-01-13,39.51,39.98,39.3,39.7,901440
2023-01-16,40.0,40.89,39.76,40.54,1564800
2023-01-17,41.0,45.44,40.54,42.85,16794240
2023-01-18,42.38,43.55,41.72,42.6,3463070
2023-01-19,42.76,43.5,40.54,41.09,2343880
2023-01-20,41.46,42.4,40.54,41.51,1150050
2023-01-23,42.4,43.39,41.61,42.83,2052060
2023-01-24,42.9,43.75,42.12,42.45,2072320
2023-01-25,42.46,42.99,41.84,42.1,580720
2023-01-26,42.49,42.49,41.8,41.83,505290
2023-01-27,42.18,44.17,41.86,42.38,2302280
2023-01-30,42.85,43.34,42.5,43.09,1055250
2023-01-31,43.25,47.44,42.97,45.5,15725750
2023-02-01,46.04,52.47,46.03,47.3,41065750
2023-02-02,47.27,49.42,47.27,48.23,12256170
2023-02-03,48.8,49.1,46.87,47.85,7619880
2023-02-06,48.0,49.76,47.81,48.4,5645900
2023-02-07,48.95,49.77,47.85,48.48,5730840
2023-02-08,48.3,48.75,47.66,47.75,4212460
2023-02-09,47.8,48.0,47.0,47.35,2427130
2023-02-10,48.46,48.46,46.2,47.0,2144700
2023-02-13,47.15,47.94,46.64,47.04,2112700
2023-02-14,47.05,47.22,45.66,45.99,2947800
2023-02-15,45.89,45.89,43.7,43.71,4253250
2023-02-16,44.1,46.92,43.72,45.0,4451010
2023-02-17,45.1,45.76,44.5,45.16,1623430
2023-02-20,45.16,46.2,44.51,45.83,1533060
2023-02-21,46.43,47.69,44.8,46.31,3985360
2023-02-22,46.6,48.08,46.11,47.19,4661880
2023-02-24,47.37,47.83,46.7,47.47,1089290
2023-02-27,47.32,48.35,46.81,48.2,2466650
2023-02-28,48.63,49.62,48.29,49.21,3883810
2023-03-01,49.33,49.76,48.94,49.45,2618340
2023-03-02,49.43,49.65,47.82,48.79,3412510
2023-03-03,48.96,50.49,48.51,49.55,2288260
2023-03-06,49.99,53.58,49.91,53.0,15247420
2023-03-07,54.16,55.25,51.51,54.03,13002820
2023-03-09,54.43,58.0,54.17,57.99,23503070
2023-03-10,57.51,58.65,56.9,57.86,11491840
2023-03-13,58.19,61.8,57.9,61.2,19751510
2023-03-14,60.97,61.0,58.53,59.41,13457180
2023-03-15,59.45,60.15,57.1,59.31,11209560
2023-03-16,59.51,59.63,57.02,57.91,9113850
2023-03-17,57.91,58.61,55.4,57.69,10686120
2023-03-20,58.27,61.4,57.89,60.92,24879830
2023-03-21,61.22,62.2,59.1,60.03,21155590
2023-03-22,60.0,60.0,55.15,58.66,11499370
2023-03-23,58.67,58.95,57.92,58.42,2599710
2023-03-24,58.44,60.27,58.2,59.23,9305090
2023-03-27,59.79,59.87,59.0,59.42,5422520
2023-03-28,59.42,59.75,58.6,59.12,3327980
2023-03-29,59.3,59.3,58.81,59.06,1890780
2023-03-30,59.17,59.18,58.62,58.99,1902750
2023-03-31,59.1,59.1,57.51,58.26,2983070
2023-04-03,58.26,59.62,58.26,59.59,3822520
2023-04-04,59.85,59.85,57.64,59.61,3310790
