TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2729.5,2750.0,2703.5,2744.0,3432
2023-01-04,2754.5,2825.0,2735.0,2799.5,9133
2023-01-05,2799.5,2822.5,2762.0,2774.5,3387
2023-01-06,2794.5,2794.5,2760.0,2760.0,2039
2023-01-09,2767.0,2789.5,2762.0,2768.0,2875
2023-01-10,2776.0,2785.5,2725.0,2763.5,4067
2023-01-11,2761.0,2787.0,2751.5,2782.0,3092
2023-01-12,2777.5,2825.0,2777.5,2790.0,7060
2023-01-13,2817.0,2817.0,2723.0,2764.0,8299
2023-01-16,2770.0,2788.0,2762.0,2771.0,5358
2023-01-17,2790.0,2884.0,2775.0,2796.5,24171
2023-01-18,2798.5,2813.5,2779.0,2793.0,3625
2023-01-19,2790.5,2799.5,2744.0,2761.0,5788
2023-01-20,2761.0,2799.5,2761.0,2794.0,3631
2023-01-23,2799.5,2864.5,2780.5,2833.5,9252
2023-01-24,2845.0,2885.0,2824.0,2824.0,9911
2023-01-25,2840.0,2924.5,2812.5,2868.5,18462
2023-01-26,2876.5,2896.0,2860.0,2872.0,5139
2023-01-27,2872.0,2879.5,2855.0,2866.0,3698
2023-01-30,2865.5,2875.0,2826.0,2860.5,4796
2023-01-31,2876.0,2889.0,2861.5,2874.5,3576
2023-02-01,2888.0,2899.5,2876.0,2895.0,4820
2023-02-02,2895.0,3048.0,2895.0,2981.0,26720
2023-02-03,2993.5,3019.0,2930.0,2958.0,12871
2023-02-06,2948.0,3028.5,2945.0,3012.0,12086
2023-02-07,3024.5,3043.5,2994.5,3020.0,8416
2023-02-08,3012.0,3097.0,2937.5,2980.0,23596
2023-02-09,2999.5,2999.5,2930.0,2952.0,6978
2023-02-10,2961.0,3015.0,2949.0,2986.0,4497
2023-02-13,3000.0,3019.5,2975.0,2996.5,5049
2023-02-14,3005.0,3005.0,2955.0,2961.5,5238
2023-02-15,2961.5,2962.0,2816.0,2836.5,10893
2023-02-16,2837.0,2880.0,2801.5,2828.0,7974
2023-02-17,2828.0,2847.5,2775.0,2820.0,4326
2023-02-20,2832.0,2887.0,2780.0,2855.5,9157
2023-02-21,2859.0,2960.0,2856.0,2915.5,12511
2023-02-22,2940.0,2949.5,2872.5,2924.0,5352
2023-02-24,2926.0,2970.5,2924.5,2947.5,2587
2023-02-27,2941.0,3038.5,2930.5,2968.5,11542
2023-02-28,2980.0,3000.0,2942.5,2964.0,7484
2023-03-01,2981.0,2990.5,2960.0,2965.0,4183
2023-03-02,2960.5,2976.0,2901.0,2925.5,5497
2023-03-03,2925.5,2970.0,2925.5,2969.5,2150
2023-03-06,2969.5,3008.0,2968.5,2977.0,10406
2023-03-07,2970.5,2989.5,2968.0,2973.5,3170
2023-03-09,2967.0,2985.0,2955.5,2964.0,2705
2023-03-10,2955.5,2962.0,2929.0,2942.5,3967
2023-03-13,2949.0,2968.0,2912.5,2945.0,4369
2023-03-14,2945.0,3045.0,2940.0,2985.5,14949
2023-03-15,2995.5,3009.5,2915.0,2945.0,8146
2023-03-16,2953.5,2974.5,2934.0,2950.0,4660
2023-03-17,2950.5,2993.0,2920.0,2945.5,4185
2023-03-20,2994.0,2994.0,2910.0,2945.0,7905
2023-03-21,2950.0,2960.0,2927.5,2951.5,7753
2023-03-22,2952.0,2955.0,2925.5,2937.0,3535
2023-03-23,2937.0,2949.5,2928.5,2940.0,5899
2023-03-24,2955.5,2955.5,2906.0,2909.5,10641
2023-03-27,2918.5,2950.0,2906.0,2928.0,11855
2023-03-28,2935.5,2949.5,2907.0,2925.0,7054
2023-03-29,2931.0,2994.0,2881.0,2977.0,13430
2023-03-30,2977.0,3038.0,2942.0,2999.0,16189
2023-03-31,3000.0,3010.0,2932.0,2976.5,8096
2023-04-03,2982.0,3105.5,2965.5,3027.0,24105
2023-04-04,3045.0,3099.0,3024.5,3035.0,18545
2023-04-05,3030.0,3048.5,2980.0,3033.5,6500
2023-04-06,3023.5,3066.0,3020.0,3029.0,5064
2023-04-07,3057.0,3057.0,3022.5,3034.0,3312
2023-04-10,3035.5,3080.0,3035.5,3077.0,10972
2023-04-11,3078.0,3185.0,3030.0,3089.0,39143
2023-04-12,3072.0,3150.0,3063.0,3111.5,8496
2023-04-13,3110.0,3148.0,3006.0,3095.5,17788
2023-04-14,3118.0,3118.0,3080.0,3109.5,3995
2023-04-17,3110.5,3155.5,3110.5,3142.0,7092
2023-04-18,3150.0,3285.0,3116.0,3242.5,34859
2023-04-19,3235.0,3288.0,3131.0,3201.5,13127
2023-04-20,3206.0,3220.0,3105.5,3174.0,15853
2023-04-21,3201.5,3218.5,3124.0,3180.0,5020
2023-04-24,3177.0,3194.0,3150.0,3151.0,7207
2023-04-25,3160.0,3173.5,3140.5,3154.5,2749
2023-04-26,3155.0,3187.0,3140.0,3154.5,5914
2023-04-27,3168.0,3177.5,3144.0,3147.5,3328
2023-04-28,3160.0,3173.0,3090.0,3121.5,6676
2023-05-02,3148.5,3148.5,3016.5,3045.0,7036
2023-05-03,3016.5,3045.0,2950.0,2993.0,8683
2023-05-04,2993.0,3015.0,2963.5,2995.0,3747
2023-05-05,3001.0,3100.0,2996.5,3041.0,7598
2023-05-08,3033.5,3037.0,3000.0,3007.5,2125
2023-05-10,3004.5,3107.0,3004.0,3081.5,4116
