TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-04-26,25.032,25.032,25.032,25.032,1906960
2023-04-27,27.534,35.03,27.534,35.03,10393210
2023-04-28,38.496,38.496,37.0,38.496,3914310
2023-05-02,38.496,42.0,31.596,37.494,47535060
2023-05-03,37.0,40.2,35.02,35.4,8223900
2023-05-04,35.51,36.5,32.256,32.824,5739120
2023-05-05,32.922,34.94,31.55,32.2,8024030
2023-05-08,33.3,33.5,31.25,32.2,1711470
2023-05-10,31.702,34.198,31.702,33.372,5585940
2023-05-11,33.528,34.8,32.734,33.3,3506000
2023-05-12,33.298,33.404,32.0,32.29,1447060
2023-05-15,32.56,33.05,32.0,32.17,1338370
2023-05-16,32.198,32.35,31.704,31.892,1552390
2023-05-17,31.75,32.75,31.73,32.0,2040090
2023-05-18,32.14,33.2,31.824,31.86,2051210
2023-05-19,31.81,32.56,31.31,31.53,1490990
2023-05-22,32.512,32.6,31.4,31.63,1780200
2023-05-23,31.8,31.9,30.1,30.446,1374190
2023-05-24,30.604,30.82,28.764,29.548,1499310
2023-05-25,30.25,30.25,28.126,28.402,1235970
2023-05-26,28.438,31.6,28.414,30.0,4076220
2023-05-29,30.0,30.95,29.406,30.39,1137410
2023-05-30,30.176,30.5,29.4,29.486,523630
2023-05-31,29.22,31.196,29.042,30.6,1201120
2023-06-01,31.0,33.616,30.232,32.746,5758060
2023-06-02,32.7,33.18,31.74,31.994,1886060
2023-06-05,31.992,34.494,31.51,32.558,3812220
2023-06-06,32.198,32.28,30.536,31.9,1384690
2023-06-07,32.59,33.0,31.9,32.218,999170
2023-06-08,32.778,32.97,31.96,32.196,852430
2023-06-09,31.912,33.39,31.912,32.2,1547180
2023-06-13,32.82,34.0,32.202,33.68,2321300
2023-06-14,34.4,34.6,32.35,33.482,1797130
2023-06-15,33.5,33.922,32.818,33.3,674560
2023-06-16,33.568,33.568,32.502,32.8,558330
2023-06-19,33.138,33.356,32.5,33.084,520830
2023-06-20,33.1,34.09,33.084,33.19,1783010
2023-06-21,33.628,33.982,33.19,33.736,861370
2023-06-22,33.91,35.25,33.464,34.86,3787980
2023-06-23,34.86,34.86,32.28,34.11,1552500
2023-06-26,33.8,34.334,32.54,33.012,922330
2023-06-27,33.02,33.79,32.6,33.092,467770
2023-06-28,33.032,33.69,32.88,32.994,343320
2023-06-29,32.994,34.0,32.994,33.9,1097830
2023-06-30,33.988,34.5,33.256,33.432,671180
2023-07-03,33.4,33.7,33.0,33.102,455080
2023-07-04,33.1,33.56,33.0,33.04,402630
2023-07-05,33.044,33.4,33.0,33.01,226050
2023-07-06,33.034,33.166,32.5,32.5,454620
2023-07-07,32.606,32.7,31.98,32.092,551430
2023-07-10,32.102,32.496,32.028,32.3,294210
2023-07-11,32.492,32.594,32.13,32.5,246630
2023-07-12,32.574,32.954,32.3,32.71,431020
2023-07-13,32.684,32.83,32.302,32.42,199940
2023-07-14,32.502,32.502,32.202,32.31,251210
2023-07-17,32.31,32.48,32.31,32.412,203630
2023-07-18,32.354,32.684,32.33,32.494,340130
2023-07-19,32.67,32.7,32.332,32.54,342940
2023-07-20,32.78,35.0,32.7,33.088,4731820
2023-07-21,33.4,34.24,32.702,33.35,1285100
2023-07-24,33.9,33.9,32.952,33.41,434020
2023-07-25,33.6,33.994,33.312,33.656,779240
2023-07-26,33.702,33.998,33.35,33.452,500220
2023-07-27,33.46,34.788,33.304,33.908,4194760
2023-07-28,34.484,34.64,33.712,34.054,904880
2023-07-31,34.398,34.72,34.1,34.182,616550
2023-08-01,34.195,34.89,33.5,34.345,1650950
2023-08-02,34.35,35.43,34.305,34.45,1981980
2023-08-03,35.0,35.345,34.26,34.63,912210
2023-08-04,35.0,35.37,32.57,33.8,1841370
2023-08-07,34.2,34.6,33.8,33.8,575280
2023-08-08,33.8,34.085,32.65,33.5,508370
2023-08-09,33.65,34.0,33.35,33.66,322020
2023-08-10,33.67,33.885,33.305,33.615,268950
2023-08-11,33.62,34.555,33.5,34.195,800510
2023-08-14,34.6,34.68,33.5,33.53,1041030
2023-08-15,33.53,34.25,32.57,33.405,579270
2023-08-16,33.405,33.695,31.64,33.11,791900
2023-08-17,33.155,33.17,31.315,32.45,673020
2023-08-18,32.6,32.92,32.3,32.8,362010
2023-08-21,33.05,33.99,32.87,33.74,479530
2023-08-22,33.73,33.89,33.26,33.69,227430
2023-08-23,33.98,35.33,33.505,33.795,2301110
2023-08-24,33.455,33.75,32.735,33.54,395500
