TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,52.5,52.5,50.3,51.75,252590
2023-01-04,52.9,68.65,52.0,62.05,5940870
2023-01-05,62.95,67.0,58.05,60.8,1587100
2023-01-06,61.65,61.65,54.2,58.75,784200
2023-01-09,58.1,61.65,55.35,57.8,267490
2023-01-10,59.0,60.75,56.4,57.3,491800
2023-01-11,57.4,57.9,55.4,56.0,214020
2023-01-12,56.4,58.65,55.1,55.75,252930
2023-01-13,55.95,63.0,55.3,58.55,1920060
2023-01-16,59.0,61.3,58.7,59.3,243910
2023-01-17,60.15,60.35,56.15,59.3,286950
2023-01-18,59.0,59.8,57.9,59.15,114470
2023-01-19,59.45,62.9,59.0,60.95,733730
2023-01-20,61.05,62.0,59.6,59.75,191870
2023-01-23,60.2,62.8,58.6,61.0,492330
2023-01-24,62.05,68.4,61.3,63.75,3353540
2023-01-25,63.5,63.5,60.2,62.05,290690
2023-01-26,62.05,63.05,61.0,61.2,194600
2023-01-27,61.8,62.25,60.45,61.05,67010
2023-01-30,61.65,62.7,59.5,61.7,225300
2023-01-31,62.1,62.6,61.25,62.6,139360
2023-02-01,63.0,64.3,61.25,61.8,289450
2023-02-02,61.8,62.9,61.5,62.15,90600
2023-02-03,62.3,67.65,62.05,63.05,1153810
2023-02-06,63.4,65.3,62.5,63.65,277490
2023-02-07,63.55,65.45,63.55,64.4,220810
2023-02-08,64.65,66.65,63.8,65.0,614180
2023-02-09,65.4,65.8,62.05,64.25,188870
2023-02-10,64.9,64.9,62.0,62.8,115610
2023-02-13,63.0,64.95,61.75,62.85,220300
2023-02-14,63.3,63.45,59.1,60.15,269480
2023-02-15,60.95,60.95,55.4,57.5,291400
2023-02-16,58.9,62.6,57.55,58.5,216510
2023-02-17,59.05,62.95,58.35,58.85,534760
2023-02-20,59.35,61.55,58.5,59.55,249170
2023-02-21,59.15,62.95,59.1,60.9,392110
2023-02-22,61.4,63.3,61.1,61.7,235300
2023-02-24,61.75,63.25,59.9,60.75,85560
2023-02-27,60.75,61.7,59.85,61.05,62780
2023-02-28,61.45,63.15,61.0,62.2,135760
2023-03-01,61.2,63.05,61.0,61.2,164210
2023-03-02,61.85,63.65,60.4,60.4,323930
2023-03-03,61.05,71.9,60.65,69.05,9872800
2023-03-06,69.05,69.15,65.5,67.6,946280
2023-03-07,67.5,68.3,66.5,67.1,401480
2023-03-09,67.65,67.7,64.1,66.05,288230
2023-03-10,66.35,70.45,65.65,66.1,1103650
2023-03-13,66.05,67.3,65.7,65.95,165530
2023-03-14,66.0,67.8,66.0,67.3,230360
2023-03-15,67.3,71.4,67.3,68.1,1055700
2023-03-16,68.8,75.75,68.35,71.15,1569820
2023-03-17,70.4,73.95,69.7,69.8,363480
2023-03-20,69.9,73.0,69.75,71.8,332710
2023-03-21,73.0,73.0,70.0,71.05,124720
2023-03-22,71.4,75.0,70.2,74.0,657010
2023-03-23,74.8,80.65,74.25,78.1,1444650
2023-03-24,77.75,78.1,75.2,76.05,270170
2023-03-27,76.35,77.0,73.15,75.3,274440
2023-03-28,74.95,75.7,73.4,74.55,214110
2023-03-29,74.35,76.0,73.9,74.65,279530
2023-03-30,75.3,75.3,74.0,74.4,125140
2023-03-31,74.0,74.45,72.0,72.45,183480
2023-04-03,72.85,73.95,72.05,72.6,257730
2023-04-04,74.55,75.3,72.6,73.0,704400
2023-04-05,72.6,81.3,72.6,77.0,4433930
2023-04-06,78.2,79.0,75.55,75.8,605770
2023-04-07,82.0,82.0,78.2,79.5,2410630
2023-04-10,79.35,79.95,78.5,78.8,732580
2023-04-11,78.9,79.3,77.05,77.15,425540
2023-04-12,77.4,78.5,75.85,77.95,168950
2023-04-13,78.6,79.0,78.0,78.6,219470
2023-04-14,79.0,81.5,78.5,79.65,1219900
2023-04-17,80.2,80.55,78.95,80.0,299040
2023-04-18,80.65,81.0,79.0,79.35,153800
2023-04-19,79.2,80.45,76.5,78.25,156870
2023-04-20,79.85,81.95,77.0,77.35,751650
2023-04-21,77.6,78.2,74.2,75.5,274910
2023-04-24,75.55,76.8,74.35,76.15,116580
2023-04-25,76.4,76.55,75.3,75.95,52690
2023-04-26,75.4,76.05,73.9,75.3,226630
2023-04-27,75.65,78.25,75.1,75.7,283860
2023-04-28,76.4,79.2,74.95,75.15,179770
2023-05-02,75.4,75.4,71.0,72.2,156620
2023-05-03,71.9,72.15,69.3,70.55,81360
2023-05-04,70.25,71.8,69.85,70.2,55890
2023-05-05,71.0,80.5,70.05,74.1,1159680
2023-05-08,74.0,77.55,74.0,75.7,128330
2023-05-10,77.15,77.3,74.75,75.95,60340
2023-05-11,75.95,78.05,75.95,76.7,59640
2023-05-12,76.25,79.95,76.2,78.0,404610
2023-05-15,79.9,79.9,77.35,77.9,99450
2023-05-16,78.0,78.7,76.7,77.45,145310
2023-05-17,77.8,77.8,76.9,76.9,48390
2023-05-18,76.95,77.05,75.8,75.95,89710
2023-05-19,76.15,78.2,75.1,77.5,126030
2023-05-22,78.0,78.9,77.55,78.3,99450
2023-05-23,78.3,78.9,77.6,78.05,31740
2023-05-24,78.1,78.8,77.95,78.25,48610
2023-05-25,78.55,78.55,77.8,78.05,63810
2023-05-26,77.9,79.75,77.8,78.3,99900
2023-05-29,78.7,79.3,78.3,78.65,46690
2023-05-30,78.25,79.0,78.1,78.3,44090
2023-05-31,78.3,78.9,78.2,78.45,45990
2023-06-01,78.9,79.45,78.15,78.2,86350
2023-06-02,78.75,78.85,78.05,78.45,39640
2023-06-05,78.7,79.35,78.15,78.2,55780
2023-06-06,78.6,79.15,78.15,78.4,111040
2023-06-07,78.65,79.3,78.3,79.0,78010
2023-06-08,79.45,81.4,79.0,81.25,389940
2023-06-09,81.45,81.9,78.7,79.8,303050
2023-06-13,80.3,81.0,79.2,80.0,117690
2023-06-14,80.55,81.0,79.4,79.7,87510
2023-06-15,80.05,85.45,80.05,81.65,966070
2023-06-16,81.7,85.45,81.65,82.2,588840
2023-06-19,83.0,88.7,82.35,85.7,984230
2023-06-20,86.0,86.85,82.15,83.2,300230
2023-06-21,83.35,83.4,80.5,82.6,158410
2023-06-22,82.25,83.0,81.8,82.2,58770
2023-06-23,81.85,82.3,80.7,81.25,55220
2023-06-26,80.15,83.2,78.5,80.1,136110
2023-06-27,80.05,84.55,80.05,80.8,347260
2023-06-28,81.35,82.0,80.25,81.5,64270
2023-06-29,80.95,82.25,80.6,80.95,114910
2023-06-30,80.6,81.5,80.6,81.1,35900
2023-07-03,81.1,81.3,80.25,80.85,40290
2023-07-04,80.5,80.95,80.35,80.8,38700
2023-07-05,80.9,80.9,80.3,80.85,33300
2023-07-06,81.0,81.0,80.4,80.7,31000
2023-07-07,80.3,80.8,80.0,80.15,30810
2023-07-10,80.3,80.8,80.05,80.35,39790
2023-07-11,80.7,80.7,80.0,80.2,29060
2023-07-12,80.4,81.0,80.1,80.9,52490
2023-07-13,81.5,81.5,80.2,80.75,43300
2023-07-14,80.9,81.0,80.3,80.65,21300
2023-07-17,81.0,82.5,80.05,80.25,125300
2023-07-18,80.4,81.8,80.2,80.8,82440
2023-07-19,81.5,81.5,80.6,81.2,84980
2023-07-20,82.1,82.1,80.5,80.55,53730
2023-07-21,80.4,81.0,80.4,80.7,32030
2023-07-24,81.45,81.55,80.4,81.2,81000
2023-07-25,82.0,82.0,80.65,81.45,55860
2023-07-26,81.5,82.8,81.05,82.35,84290
2023-07-27,82.9,164.6,82.85,164.6,24764190
2023-07-28,158.0,180.0,131.25,131.25,9833500
2023-07-31,133.3,144.8,123.2,134.05,3181990
2023-08-01,133.7,147.3,133.1,141.85,2327890
2023-08-02,141.85,146.0,137.2,140.3,730260
2023-08-03,140.75,141.55,137.2,138.7,226520
2023-08-04,137.75,140.0,126.2,131.2,416310
2023-08-07,133.0,138.8,131.25,133.85,292720
2023-08-08,133.65,133.65,123.0,129.35,224050
2023-08-09,131.9,142.3,128.25,134.15,796630
2023-08-10,134.5,141.0,134.45,138.2,541700
2023-08-11,151.45,249.0,144.05,203.0,20911130
2023-08-14,209.0,223.05,205.45,213.5,2883820
2023-08-15,213.5,223.75,206.15,213.5,662020
2023-08-16,214.0,234.85,208.15,222.4,3228200
2023-08-17,224.5,244.45,222.8,244.45,1858340
2023-08-18,252.0,268.0,235.0,246.95,2707110
2023-08-21,249.9,250.0,230.0,239.75,822460
2023-08-22,240.5,259.0,239.7,248.9,1360420
2023-08-23,251.0,272.8,249.0,272.8,3719180
2023-08-24,272.8,299.85,262.0,299.85,3770850
2023-08-25,322.8,329.4,312.5,329.4,3141520
2023-08-28,345.0,361.85,329.4,361.85,2094170
2023-08-29,388.0,397.75,339.0,368.8,5264620
2023-08-30,370.9,386.6,343.05,349.55,895470
2023-08-31,340.4,351.95,322.0,332.0,1211900
2023-09-01,365.2,644.75,365.2,570.0,21189780
2023-09-04,592.0,628.25,568.85,611.05,2400380
2023-09-05,625.5,625.5,580.0,597.65,746700
2023-09-06,607.95,657.15,570.85,657.15,1269490
2023-09-07,673.4,722.25,635.7,703.0,3523340
2023-09-08,711.0,729.6,637.2,671.55,1581890
2023-09-11,662.0,711.3,632.15,690.0,1420560
2023-09-12,692.0,704.9,667.45,685.15,415110
2023-09-13,688.65,692.0,593.25,643.0,1150230
2023-09-14,643.0,643.0,483.05,550.65,2551460
2023-09-15,539.0,608.2,500.55,608.2,1048620
2023-09-18,639.0,668.1,622.5,668.1,1473530
2023-09-19,655.0,712.6,644.45,683.55,2052540
2023-09-20,683.0,683.0,579.9,635.0,1315620
2023-09-21,636.0,642.25,587.0,589.0,640390
2023-09-22,578.7,635.0,541.0,608.0,1133250
2023-09-25,610.0,671.65,605.0,662.2,1413050
2023-09-26,667.5,674.75,640.0,645.5,475130
2023-09-27,644.0,664.95,630.9,642.95,410680
2023-09-28,648.55,648.55,619.0,629.85,413840
