TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2906,2938,2874,2930,148
2023-01-04,2920,2928,2906,2910,42
2023-01-05,2920,3186,2920,3066,724
2023-01-06,3098,3290,3000,3056,1777
2023-01-09,3044,3044,2916,2982,348
2023-01-10,2940,2996,2920,2976,132
2023-01-11,2976,3048,2952,3048,361
2023-01-12,3052,3052,2980,3014,264
2023-01-13,3000,3024,2982,3004,95
2023-01-16,2998,3106,2998,3024,124
2023-01-17,3042,3042,3004,3038,99
2023-01-18,3006,3024,2966,2990,309
2023-01-19,2992,3010,2970,2976,53
2023-01-20,2996,2996,2942,2974,70
2023-01-23,2984,3020,2980,3010,136
2023-01-24,3012,3018,2992,2992,145
2023-01-25,3004,3060,3002,3060,193
2023-01-26,3092,4272,3068,4272,30355
2023-01-27,4670,4970,3708,4000,18222
2023-01-30,4020,4200,3712,3950,1577
2023-01-31,3774,4058,3764,3840,785
2023-02-01,3900,4960,3840,4300,15292
2023-02-02,4352,4390,4010,4222,2266
2023-02-03,4270,4788,4214,4432,2475
2023-02-06,4460,4466,4226,4326,1213
2023-02-07,4384,4384,4100,4250,1659
2023-02-08,4296,4382,4192,4250,957
2023-02-09,4296,4296,4158,4194,424
2023-02-10,4268,4290,4100,4160,267
2023-02-13,4180,4180,4080,4138,146
2023-02-14,4136,4546,4080,4130,2026
2023-02-15,4130,4130,3780,3916,624
2023-02-16,3930,4164,3804,3862,273
2023-02-17,3894,3944,3782,3804,119
2023-02-20,3794,3936,3794,3888,137
2023-02-21,3920,4364,3920,4036,1364
2023-02-22,4050,4108,3934,4014,136
2023-02-24,4034,4050,3960,3970,115
2023-02-27,4050,4050,3960,4010,104
2023-02-28,3936,4124,3936,4028,105
2023-03-01,4080,4122,4022,4034,192
2023-03-02,4100,4248,4028,4050,862
2023-03-03,4058,4128,4058,4064,123
2023-03-06,4180,4180,4102,4104,102
2023-03-07,4100,4148,4044,4044,85
2023-03-09,4112,4118,4064,4080,60
2023-03-10,4044,4096,4044,4064,51
2023-03-13,4092,4194,4070,4102,305
2023-03-14,4108,4108,4080,4104,54
2023-03-15,4084,4172,4044,4098,206
2023-03-16,4150,4150,4054,4130,63
2023-03-17,4240,4266,4082,4190,429
2023-03-20,4500,5028,4274,4780,8982
2023-03-21,4780,4864,4598,4612,1506
2023-03-22,4612,4700,4588,4624,258
2023-03-23,4622,4776,4586,4646,259
2023-03-24,4700,5250,4634,4710,3425
2023-03-27,4760,4988,4676,4712,890
2023-03-28,4968,6120,4878,5360,20438
