TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-06-04,304.45,309.95,295.55,297.6,2174069
2024-06-05,298.85,301.0,288.0,288.0,596642
2024-06-06,294.1,299.0,294.1,297.65,561742
2024-06-07,298.5,303.0,297.7,302.25,763660
2024-06-10,303.0,305.0,297.65,299.0,341983
2024-06-11,299.95,301.25,291.95,293.5,257467
2024-06-13,291.0,299.5,288.0,293.8,385133
2024-06-14,296.0,299.0,295.5,299.0,182178
2024-06-17,300.3,301.25,297.0,298.0,190054
2024-06-18,298.0,299.35,294.0,294.8,71777
2024-06-19,297.0,297.8,291.8,293.1,131947
2024-06-20,294.8,297.65,291.95,292.0,198251
2024-06-21,294.0,295.5,291.0,292.2,73457
2024-06-24,294.0,295.0,292.5,292.5,68189
2024-06-25,294.0,296.8,292.5,294.2,45219
2024-06-26,294.2,297.75,294.0,294.85,55208
2024-06-27,297.0,297.6,293.0,294.95,73337
2024-06-28,295.5,296.95,289.5,289.9,171404
2024-07-01,291.0,291.95,289.5,290.0,57990
2024-07-02,291.0,293.95,283.0,293.3,148441
2024-07-03,294.0,297.45,289.5,291.0,253134
2024-07-04,290.95,291.5,283.7,283.7,52494
2024-07-05,284.8,284.8,274.55,277.0,56824
2024-07-08,280.0,280.0,258.0,268.0,76743
2024-07-09,267.9,269.8,252.25,259.25,90011
2024-07-10,259.25,263.05,241.55,249.45,257803
2024-07-11,248.8,262.0,246.8,262.0,96039
2024-07-12,262.0,262.0,259.45,260.8,38221
2024-07-15,260.8,261.95,257.4,257.4,58724
2024-07-16,257.3,259.4,255.15,257.1,48203
2024-07-17,257.1,259.4,252.45,253.9,117819
2024-07-18,254.0,254.0,246.6,248.45,129373
2024-07-19,248.5,253.95,247.7,249.9,234951
2024-07-22,250.0,252.95,246.6,248.0,173354
2024-07-23,248.65,248.65,245.55,247.85,41824
2024-07-24,247.85,257.2,247.85,251.85,208079
2024-07-25,251.9,252.95,248.75,249.65,78426
2024-07-26,249.7,254.05,240.0,246.55,258459
2024-07-29,247.55,247.55,232.05,235.6,197008
2024-07-30,235.6,237.9,235.05,236.9,33332
2024-07-31,236.9,238.95,235.95,238.0,39340
2024-08-01,238.2,245.4,238.0,242.75,265316
2024-08-02,243.1,245.4,240.0,242.2,67015
2024-08-05,240.0,242.2,232.5,236.8,140384
