TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-05-10,60.0,60.0,60.0,60.0,1
2023-06-28,54.0,54.0,53.0,53.0,2
2023-07-27,55.4,55.4,55.4,55.4,7
2023-08-09,67.2,76.0,67.2,76.0,7
2023-09-13,83.8,83.8,83.8,83.8,1
2024-02-06,58.8,58.8,58.8,58.8,6
2024-04-22,56.0,56.0,55.2,55.2,2
2024-05-15,55.4,55.4,55.2,55.2,8
2024-06-28,54.0,54.0,54.0,54.0,2
2024-08-21,46.2,46.2,45.8,45.8,2
2024-10-08,46.0,46.0,46.0,46.0,1
2024-10-15,45.8,45.8,45.8,45.8,2
2024-10-28,46.0,46.0,46.0,46.0,1
2024-12-24,44.4,44.4,44.4,44.4,1
2025-01-20,46.0,46.0,44.6,44.6,8
2025-04-16,42.8,42.8,41.2,41.2,2
2025-08-01,39.4,39.4,39.2,39.2,2
