TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,83.8,86.4,83.4,84.9,257220
2023-01-04,84.6,85.9,84.6,85.2,112810
2023-01-05,85.2,86.0,84.0,84.7,143180
2023-01-06,84.8,85.3,84.3,84.7,85350
2023-01-09,84.8,86.1,84.6,85.2,144770
2023-01-10,85.2,87.3,85.2,85.6,355660
2023-01-11,84.9,86.8,84.7,86.0,212040
2023-01-12,86.6,86.9,85.9,86.1,150340
2023-01-13,86.6,87.1,85.7,86.2,192030
2023-01-16,86.6,88.7,86.2,88.4,491050
2023-01-17,88.4,88.6,86.1,87.6,368220
2023-01-18,87.5,88.3,86.5,87.4,251050
2023-01-19,87.7,89.9,85.4,88.6,1066870
2023-01-20,89.0,89.7,87.4,87.8,241040
2023-01-23,88.4,89.6,87.3,87.6,178610
2023-01-24,87.9,89.7,87.4,88.5,566030
2023-01-25,89.0,89.8,88.1,88.6,251270
2023-01-26,88.9,91.4,88.3,90.1,812110
2023-01-27,90.5,90.8,89.1,89.3,248540
2023-01-30,89.6,90.1,88.6,89.5,186420
2023-01-31,89.6,111.0,89.3,106.7,15589210
2023-02-01,107.4,119.4,102.2,103.2,9753710
2023-02-02,105.0,114.0,104.3,110.1,3071580
2023-02-03,111.8,114.0,104.2,105.0,1538680
2023-02-06,106.2,109.6,103.7,107.3,2071010
2023-02-07,108.5,108.9,105.0,106.1,957210
2023-02-08,107.5,107.5,104.1,104.9,1095180
2023-02-09,105.0,105.8,101.1,102.2,892340
2023-02-10,102.4,113.6,102.0,105.4,10088130
2023-02-13,108.0,109.2,104.5,105.5,1480010
2023-02-14,105.8,106.9,102.2,103.2,643380
2023-02-15,102.6,102.6,93.0,95.7,2020860
2023-02-16,98.9,105.0,96.1,100.0,2263130
2023-02-17,100.3,102.3,98.2,99.5,629910
2023-02-20,99.5,100.3,97.6,98.9,310640
2023-02-21,98.9,107.2,98.6,102.1,3989360
2023-02-22,102.1,105.5,102.1,103.1,1105100
2023-02-24,104.6,104.9,102.2,103.2,452650
2023-02-27,103.4,109.7,102.1,108.6,4657000
2023-02-28,109.7,113.0,109.0,112.3,4097120
2023-03-01,114.0,114.6,108.6,111.0,2535820
2023-03-02,111.5,111.8,104.8,108.2,1320870
2023-03-03,108.2,111.5,108.2,109.2,940500
2023-03-06,110.7,111.0,109.6,110.2,526670
2023-03-07,110.5,110.5,108.5,109.8,302490
2023-03-09,109.9,110.9,109.2,109.8,473910
2023-03-10,109.4,109.9,108.8,109.0,339790
2023-03-13,109.5,110.2,107.5,108.5,466110
2023-03-14,109.4,109.6,108.7,109.3,293230
