TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,941,967,924,959,112
2023-01-04,959,961,944,956,24
2023-01-05,977,977,919,946,1084
2023-01-06,940,995,938,953,1135
2023-01-09,947,1010,940,985,1292
2023-01-10,994,997,961,968,280
2023-01-11,968,990,961,980,2011
2023-01-12,999,1000,983,990,435
2023-01-13,1039,1039,983,988,393
2023-01-16,991,1007,961,980,635
2023-01-17,983,1116,963,980,6185
2023-01-18,980,1189,980,1049,16761
2023-01-19,1052,1063,1005,1030,2121
2023-01-20,1025,1087,1016,1025,1567
2023-01-23,1022,1256,1022,1078,20253
2023-01-24,1120,1137,1068,1082,3995
2023-01-25,1084,1103,1051,1074,3033
2023-01-26,1085,1167,1051,1088,5758
2023-01-27,1077,1100,1062,1085,1176
2023-01-30,1087,1135,1087,1101,1562
2023-01-31,1110,1150,1091,1107,1556
2023-02-01,1110,1110,1091,1098,634
2023-02-02,1104,1160,1090,1103,2314
2023-02-03,1117,1125,1070,1094,1305
2023-02-06,1111,1131,1100,1108,1149
2023-02-07,1107,1171,1001,1112,4968
2023-02-08,1117,1230,1103,1207,3915
2023-02-09,1240,1665,1125,1368,49049
2023-02-10,1369,1374,1200,1249,7941
2023-02-13,1204,1257,1204,1231,1544
2023-02-14,1236,1473,1217,1259,14334
2023-02-15,1284,1399,1162,1162,4536
2023-02-16,1178,1237,1161,1161,1603
2023-02-17,1178,1214,1137,1187,1007
2023-02-20,1188,1199,1150,1199,773
2023-02-21,1199,1315,1199,1235,2319
2023-02-22,1244,1274,1175,1185,5793
2023-02-24,1200,1201,1166,1175,1116
2023-02-27,1175,1218,1175,1214,1321
2023-02-28,1210,1221,1202,1211,544
2023-03-01,1215,1234,1188,1210,1037
2023-03-02,1210,1223,1183,1199,1042
2023-03-03,1188,1216,1188,1213,541
2023-03-06,1218,1223,1206,1221,392
2023-03-07,1224,1337,1224,1250,4871
2023-03-09,1264,1264,1227,1240,639
2023-03-10,1242,1248,1227,1231,402
2023-03-13,1232,1390,1220,1234,7538
2023-03-14,1239,1240,1153,1216,1441
2023-03-15,1224,1224,1180,1189,880
2023-03-16,1198,1205,1190,1193,366
2023-03-17,1185,1207,1180,1196,493
2023-03-20,1195,1260,1182,1222,2024
2023-03-21,1212,1239,1212,1221,459
2023-03-22,1220,1234,1210,1229,323
2023-03-23,1218,1266,1217,1256,905
2023-03-24,1246,1370,1239,1290,4768
2023-03-27,1290,1343,1269,1315,2922
2023-03-28,1318,1319,1238,1274,12448
2023-03-29,1285,1301,1270,1281,2073
2023-03-30,1301,1301,1260,1280,1300
2023-03-31,1289,1296,1255,1265,1072
2023-04-03,1274,1431,1255,1351,13404
2023-04-04,1382,1490,1355,1418,6421
2023-04-05,1418,1418,1321,1365,4584
2023-04-06,1368,1398,1331,1361,2811
2023-04-07,1373,1373,1345,1351,1257
2023-04-10,1364,1384,1340,1360,1883
2023-04-11,1374,1374,1286,1323,2697
2023-04-12,1328,1332,1290,1318,1448
2023-04-13,1318,1374,1305,1351,1097
2023-04-14,1350,1450,1333,1345,3128
2023-04-17,1356,1367,1334,1352,1205
2023-04-18,1357,1357,1343,1350,486
2023-04-19,1367,1367,1340,1341,842
2023-04-20,1341,1349,1270,1307,2015
2023-04-21,1322,1409,1311,1377,3929
2023-04-24,1377,1400,1326,1354,2844
2023-04-25,1365,1374,1326,1341,1854
2023-04-26,1348,1398,1330,1358,2412
2023-04-27,1360,1377,1342,1355,515
2023-04-28,1356,1360,1312,1327,1227
2023-05-02,1330,1354,1228,1264,2571
2023-05-03,1268,1273,1163,1214,2172
2023-05-04,1214,1240,1193,1220,689
2023-05-05,1220,1224,1210,1210,228
2023-05-08,1223,1223,1185,1215,212
2023-05-10,1202,1264,1186,1237,635
2023-05-11,1239,1292,1239,1268,940
2023-05-12,1268,1280,1242,1265,245
2023-05-15,1265,1342,1251,1313,1182
2023-05-16,1323,1344,1290,1292,769
2023-05-17,1297,1312,1288,1303,1239
2023-05-18,1305,1330,1296,1307,710
2023-05-19,1303,1313,1296,1303,492
2023-05-22,1313,1315,1286,1296,566
2023-05-23,1299,1299,1274,1289,385
2023-05-24,1278,1287,1231,1251,1101
2023-05-25,1251,1258,1241,1250,292
2023-05-26,1235,1271,1235,1255,309
2023-05-29,1256,1278,1249,1262,729
2023-05-30,1262,1301,1258,1267,554
2023-05-31,1280,1283,1245,1258,637
2023-06-01,1255,1263,1247,1254,538
2023-06-02,1256,1258,1235,1248,1254
2023-06-05,1248,1261,1248,1255,301
2023-06-06,1254,1254,1250,1250,235
2023-06-07,1254,1256,1249,1255,130
2023-06-08,1250,1283,1249,1281,466
2023-06-09,1288,1309,1264,1271,1029
2023-06-13,1278,1285,1240,1251,2273
2023-06-14,1250,1262,1242,1256,2089
2023-06-15,1257,1267,1255,1267,612
2023-06-16,1267,1272,1251,1270,415
2023-06-19,1266,1291,1265,1275,1629
2023-06-20,1281,1284,1231,1267,1376
2023-06-21,1262,1331,1252,1319,5108
2023-06-22,1318,1360,1287,1359,2259
2023-06-23,1359,1590,1340,1420,26577
2023-06-26,1400,1405,1328,1384,3599
2023-06-27,1385,1500,1368,1428,4115
2023-06-28,1438,1444,1386,1396,2683
2023-06-29,1407,1409,1374,1390,917
2023-06-30,1390,1395,1346,1366,1143
2023-07-03,1330,1338,1251,1335,3152
2023-07-04,1336,1361,1312,1351,2191
2023-07-05,1359,1633,1317,1500,21122
2023-07-06,1514,1538,1402,1485,7179
2023-07-07,1500,1557,1481,1506,3220
2023-07-10,1527,1534,1481,1492,1181
2023-07-11,1504,1548,1404,1484,3821
2023-07-12,1483,1507,1475,1480,1053
2023-07-13,1477,1670,1475,1568,13592
2023-07-14,1597,1665,1510,1605,4435
2023-07-17,1651,1656,1556,1600,2165
2023-07-18,1609,1630,1539,1581,4806
2023-07-19,1606,1607,1538,1588,1769
2023-07-20,1571,1605,1565,1589,1154
2023-07-21,1588,1599,1570,1599,939
2023-07-24,1607,1607,1578,1589,1217
2023-07-25,1598,1684,1548,1582,5572
2023-07-26,1597,1630,1572,1589,1635
2023-07-27,1594,1613,1594,1603,912
2023-07-28,1586,1615,1586,1600,959
2023-07-31,1610,1700,1545,1602,2387
2023-08-01,1605,1637,1580,1606,1833
2023-08-02,1606,1700,1587,1667,3938
2023-08-03,1678,1718,1620,1713,1652
2023-08-04,1704,1760,1625,1640,3159
2023-08-07,1664,1678,1620,1640,2437
2023-08-08,1654,1659,1615,1634,955
2023-08-09,1639,1700,1636,1696,1877
2023-08-10,1716,2132,1716,1930,27063
2023-08-11,1930,2035,1755,1893,4296
2023-08-14,1822,1963,1805,1849,4152
2023-08-15,1849,1894,1758,1885,2673
2023-08-16,1884,2349,1825,2309,30189
2023-08-17,2320,2499,2118,2342,11926
2023-08-18,2300,2434,2060,2241,5367
2023-08-21,2237,2284,2073,2232,5521
2023-08-22,2232,2450,2185,2232,4330
2023-08-23,2235,2309,2122,2211,3815
2023-08-24,2254,3045,2103,2674,76408
2023-08-25,2669,3030,2499,2824,20041
2023-08-28,2881,3000,2728,2888,6313
2023-08-29,2830,2927,2752,2870,3866
2023-08-30,2875,3279,2819,3160,14136
2023-08-31,3178,3178,2904,2998,7931
2023-09-01,2855,2995,2855,2950,2928
2023-09-04,2954,3044,2881,3021,3633
2023-09-05,3045,3157,2918,2977,4137
2023-09-06,2984,2995,2812,2909,2239
2023-09-07,2909,2909,2600,2700,4147
2023-09-08,2701,3270,2700,2761,18262
2023-09-11,2804,2899,2712,2736,2896
2023-09-12,2705,2794,2529,2712,2424
2023-09-13,2758,2967,2525,2640,5748
2023-09-14,2664,3042,2150,2330,18216
2023-09-15,2330,2544,2247,2502,3128
2023-09-18,2417,2709,2347,2589,3947
2023-09-19,2595,2643,2402,2448,2494
2023-09-20,2400,2495,2200,2440,3045
2023-09-21,2400,2486,2249,2265,4398
2023-09-22,2264,2369,2175,2272,1487
2023-09-25,2346,2390,2221,2324,1290
2023-09-26,2358,2400,2266,2400,1028
2023-09-27,2625,2798,2414,2521,6193
2023-09-28,2536,2644,2420,2480,1828
2023-09-29,2490,2509,2414,2423,1471
2023-10-02,2447,2467,2380,2435,1086
2023-10-03,2467,2467,2312,2383,1223
2023-10-04,2407,2439,2350,2419,1034
2023-10-05,2424,2475,2410,2448,811
2023-10-06,2448,2459,2340,2413,765
2023-10-09,2413,2413,2366,2397,442
