TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,10420,10700,10400,10520,719
2023-01-04,10560,11200,10500,10880,3024
2023-01-05,10940,11040,10660,10740,741
2023-01-06,10760,10960,10620,10820,614
2023-01-09,10820,11980,10800,11320,2975
2023-01-10,11400,11400,10900,11100,1093
2023-01-11,11160,11800,11020,11420,2804
2023-01-12,11440,11620,11220,11280,1680
2023-01-13,11280,11340,11100,11200,809
2023-01-16,11260,11380,11160,11160,830
2023-01-17,11240,11800,11080,11200,3078
2023-01-18,11220,11500,11220,11320,1229
2023-01-19,11320,11540,11240,11260,975
2023-01-20,11280,11320,11160,11260,481
2023-01-23,11300,11480,11220,11300,925
2023-01-24,11320,11820,11280,11460,2969
2023-01-25,11500,11560,11320,11320,1081
2023-01-26,11440,14860,11360,14640,79391
2023-01-27,14700,14760,12320,12480,24987
2023-01-30,12500,12940,12140,12260,4685
2023-01-31,12280,12340,12020,12200,2584
2023-02-01,12200,13200,12020,12180,8502
2023-02-02,12200,12560,12120,12280,2419
2023-02-03,12380,12420,12100,12200,1602
2023-02-06,12220,12880,12200,12360,2472
2023-02-07,12400,13560,12320,12600,16336
2023-02-08,12900,13200,12560,12940,5971
2023-02-09,12980,13180,12680,12720,2302
2023-02-10,12680,12880,12600,12800,1309
2023-02-13,12720,12880,12700,12700,955
2023-02-14,12800,12800,12440,12520,1349
2023-02-15,12520,14300,11820,12460,28126
2023-02-16,12520,13900,12500,13780,21099
2023-02-17,13440,13500,12740,12900,7721
2023-02-20,12900,13080,12340,12560,3979
2023-02-21,12500,12820,12400,12600,2101
2023-02-22,12720,12720,12500,12520,1085
2023-02-24,12480,12660,12400,12560,588
2023-02-27,12520,13240,12520,12720,4119
2023-02-28,12720,12920,12700,12800,1675
2023-03-01,12760,13100,12760,13060,1987
2023-03-02,13200,13260,12620,12720,2651
2023-03-03,12720,12860,12700,12800,1245
2023-03-06,12840,13100,12800,12860,1854
2023-03-07,12880,12960,12760,12820,760
2023-03-09,12900,13060,12760,12940,1711
2023-03-10,12900,13160,12840,12880,1947
2023-03-13,13000,13040,12840,12880,841
2023-03-14,12880,12880,12500,12800,767
2023-03-15,12740,12900,12640,12700,730
2023-03-16,12720,12800,12500,12580,906
2023-03-17,12600,12900,12600,12800,1712
2023-03-20,12820,12960,12760,12820,1299
2023-03-21,12840,12960,12820,12860,1235
2023-03-22,12860,12880,12800,12860,484
2023-03-23,12880,13080,12840,12900,1367
2023-03-24,12880,13000,12860,13000,738
2023-03-27,13040,13660,13020,13320,5158
2023-03-28,13400,13440,13100,13120,931
2023-03-29,13120,13820,13040,13500,4407
2023-03-30,13580,13580,13340,13380,1087
2023-03-31,13500,13500,13080,13240,1245
2023-04-03,13440,13780,13200,13540,2348
2023-04-04,13540,14500,13540,13820,8224
2023-04-05,13900,14000,13460,13640,2197
2023-04-06,13660,13860,13640,13720,884
2023-04-07,13700,13760,13440,13760,750
2023-04-10,13760,14020,13740,13920,1179
2023-04-11,13980,14080,13780,13800,1388
2023-04-12,13760,14040,13720,13980,747
2023-04-13,14180,16560,14140,14860,40459
2023-04-14,14880,15020,14440,14600,2156
2023-04-17,14640,15320,14540,14940,2880
2023-04-18,15040,15100,14640,14800,1868
2023-04-19,14800,14880,14580,14680,1455
2023-04-20,14680,15100,14560,14740,2938
2023-04-21,14780,14780,14580,14600,659
2023-04-24,14620,14740,14580,14660,825
2023-04-25,14680,14920,14600,14740,1184
2023-04-26,14840,14840,14620,14640,475
2023-04-27,14640,14720,14620,14700,315
2023-04-28,14680,14860,14520,14560,707
2023-05-02,14620,14680,13740,14000,1351
2023-05-03,14040,14180,13740,14020,697
2023-05-04,14020,14260,14020,14040,272
2023-05-05,14040,14120,14000,14020,301
2023-05-08,14040,14100,13880,13960,246
2023-05-10,13960,14400,13960,14280,417
2023-05-11,14300,14440,14200,14340,461
2023-05-12,14320,14340,14100,14340,507
2023-05-15,14300,14500,14200,14420,624
2023-05-16,14440,15060,14380,14420,1747
2023-05-17,14400,14600,14200,14260,1010
2023-05-18,14340,14700,14260,14620,1499
2023-05-19,14660,16240,14580,15640,14039
2023-05-22,15640,16120,15200,15480,3032
2023-05-23,15500,15620,15100,15480,1948
2023-05-24,15480,16180,15080,15720,5426
2023-05-25,15700,16200,12900,12900,28803
2023-05-26,13040,13280,12860,13040,3138
2023-05-29,13100,13140,12900,13000,1682
2023-05-30,12920,13040,12760,12840,1544
2023-05-31,12860,12920,12520,12780,1198
2023-06-01,12780,12900,12740,12800,757
2023-06-02,12860,12940,12820,12900,580
2023-06-05,12940,13500,12860,13040,3572
2023-06-06,12980,13000,12640,12860,948
2023-06-07,12860,13100,12780,12980,679
2023-06-08,13080,13240,12800,12980,830
2023-06-09,12920,13100,12880,12900,636
2023-06-13,12940,13460,12860,13040,3329
2023-06-14,13200,13400,13060,13300,1973
2023-06-15,13280,13400,13200,13340,799
2023-06-16,13220,13380,13220,13340,557
2023-06-19,13360,13640,13220,13380,1740
2023-06-20,13400,13400,13040,13220,1111
2023-06-21,13260,13340,13160,13340,553
2023-06-22,13360,13360,13200,13300,575
2023-06-23,13280,13300,13180,13220,436
2023-06-26,13080,13340,12880,13060,1091
2023-06-27,13160,13200,13000,13140,742
2023-06-28,13160,13540,13100,13400,2945
2023-06-29,13460,13480,13300,13320,617
2023-06-30,13360,13540,13240,13340,1238
2023-07-03,13400,13600,13080,13300,1049
2023-07-04,13300,13300,13020,13100,896
2023-07-05,13140,13300,13100,13120,440
2023-07-06,13120,13300,13060,13100,491
2023-07-07,13120,13220,13060,13100,434
2023-07-10,13120,13240,13100,13220,1352
2023-07-11,12840,13120,12820,13040,1328
2023-07-12,13100,13160,13000,13100,803
2023-07-13,13080,13160,12720,13080,538
2023-07-14,13120,13120,13000,13020,419
2023-07-17,13000,13160,13000,13060,437
2023-07-18,13100,13220,13020,13140,940
2023-07-19,13160,13300,13100,13300,1039
2023-07-20,13260,13360,13040,13040,1351
2023-07-21,13080,13280,13020,13240,700
2023-07-24,13280,13700,13240,13420,3182
2023-07-25,13600,13600,13340,13480,938
2023-07-26,13480,13480,13340,13400,571
2023-07-27,13420,14260,13380,13640,6087
2023-07-28,13740,13760,13400,13600,1203
2023-07-31,13700,14000,13600,13640,1451
2023-08-01,13800,13800,13500,13620,924
2023-08-02,13640,15800,13620,14480,32945
2023-08-03,14500,14560,13960,14360,3901
2023-08-04,14500,14500,13820,13980,2867
2023-08-07,14080,14240,13880,13940,1332
2023-08-08,14000,14020,13720,13840,1006
2023-08-09,13940,14160,13940,14100,805
2023-08-10,14180,14200,13820,14040,2317
2023-08-11,14060,14700,14040,14200,4341
2023-08-14,14500,14720,14040,14060,5864
2023-08-15,13800,14360,13520,14140,1759
2023-08-16,14140,14260,13580,13760,1569
2023-08-17,13780,14180,13780,14180,1182
2023-08-18,14220,15160,14220,14360,6754
2023-08-21,14440,14460,14200,14280,1034
2023-08-22,14280,14480,14100,14480,1558
2023-08-23,14500,14520,14020,14240,1185
2023-08-24,14220,14220,13820,14100,965
2023-08-25,14100,15100,14100,14420,10046
2023-08-28,14520,14720,14440,14620,2204
2023-08-29,14720,15480,14480,14760,12335
2023-08-30,14800,15080,14580,14640,2239
2023-08-31,14620,14800,14600,14700,965
2023-09-01,14820,14820,14600,14620,990
2023-09-04,14620,15300,14620,15240,5723
2023-09-05,15240,15880,15020,15360,9353
2023-09-06,15600,16000,15200,15240,5430
2023-09-07,15500,15740,14500,14700,6718
2023-09-08,14760,14780,14120,14460,1915
2023-09-11,14560,14680,14300,14440,1105
2023-09-12,14540,14600,14120,14460,1171
2023-09-13,14520,15320,14460,14800,8039
2023-09-14,14980,15000,13540,14080,4478
2023-09-15,14100,14320,14060,14260,877
2023-09-18,14300,14580,14100,14180,995
2023-09-19,14200,14200,13640,13820,1162
2023-09-20,13820,13880,13540,13740,944
2023-09-21,13660,13760,13500,13580,591
2023-09-22,13560,13680,13400,13680,517
2023-09-25,13680,13980,13640,13880,813
2023-09-26,13940,13940,13660,13760,363
2023-09-27,13820,13940,13760,13860,451
2023-09-28,13920,14100,13880,14020,644
2023-09-29,14040,14100,13960,14000,334
2023-10-02,14000,14060,13900,13960,281
2023-10-03,13960,13960,13700,13760,273
2023-10-04,13840,13880,13760,13840,166
2023-10-05,13700,13740,13600,13640,289
2023-10-06,13740,13820,13580,13620,303
2023-10-09,13700,13940,13700,13800,450
2023-10-10,13860,14140,13700,13820,1167
2023-10-11,13800,13940,13740,13840,449
2023-10-12,13760,13780,13620,13720,312
2023-10-13,13720,13960,13720,13780,402
2023-10-16,13760,13840,13740,13820,291
2023-10-17,13820,13900,13760,13780,438
2023-10-18,13820,13900,13500,13760,822
2023-10-19,13720,13800,13620,13780,237
2023-10-20,13760,13800,13680,13700,266
2023-10-23,13700,13740,13600,13660,175
2023-10-24,13660,13680,13620,13620,170
2023-10-25,13620,13720,13600,13620,284
2023-10-26,13600,13760,13460,13500,799
2023-10-27,13580,13660,13220,13340,663
2023-10-30,13300,13500,13240,13380,323
2023-10-31,13300,13460,13220,13260,263
2023-11-01,13300,13360,13140,13220,456
2023-11-02,13200,13360,13180,13280,215
2023-11-03,13240,13320,13100,13300,473
2023-11-06,13200,13520,13180,13300,350
2023-11-07,13320,13400,13160,13300,201
2023-11-08,13300,13480,13260,13480,218
2023-11-09,13480,13500,13280,13320,247
2023-11-10,13300,13300,13020,13160,712
2023-11-13,13180,13200,12960,13160,954
2023-11-14,13140,13140,12760,12920,1054
2023-11-15,12940,13240,12860,13160,549
2023-11-16,13140,13220,13000,13000,299
2023-11-17,13000,13180,12860,13020,405
2023-11-20,13100,13140,12900,13040,282
2023-11-21,13000,13680,12920,13620,2167
2023-11-22,13640,13720,13260,13680,1473
2023-11-23,13700,13720,13380,13480,704
2023-11-24,13540,13680,13020,13260,541
2023-11-27,13200,13500,13000,13060,667
2023-11-28,13040,13040,12580,12760,1667
2023-11-29,12760,13200,12240,12300,2284
2023-11-30,12300,12300,11840,11940,1347
2023-12-01,11920,12120,11900,12040,647
2023-12-04,12040,12040,11600,11720,726
2023-12-05,11740,11860,11420,11580,1144
2023-12-06,11640,11700,11120,11180,1008
2023-12-07,11200,11520,11040,11500,724
2023-12-08,11660,11720,11300,11380,216
2023-12-11,11480,11480,11200,11300,346
2023-12-12,11280,11500,11180,11400,375
2023-12-13,11400,11500,11320,11440,271
2023-12-14,11560,11580,11260,11340,594
2023-12-15,11280,11560,11280,11520,664
2023-12-18,11480,11940,11420,11860,624
2023-12-19,11860,12220,11400,11900,831
2023-12-20,12000,12140,11820,11980,677
2023-12-21,12000,12000,11680,11740,521
2023-12-22,11760,11760,11560,11680,433
2023-12-25,11740,11980,11700,11860,1122
2023-12-26,11820,12080,11700,11880,791
2023-12-27,11880,12380,11760,11920,1618
2023-12-28,11920,11940,11700,11760,655
2023-12-29,11760,11780,11580,11620,507
2024-01-03,11620,12000,11620,11900,422
2024-01-04,12000,12200,11880,12160,664
2024-01-05,12000,12420,11900,12200,3354
2024-01-08,12200,12380,12200,12200,773
2024-01-09,12280,12900,12240,12420,3764
2024-01-10,12480,12640,12400,12520,626
2024-01-11,12440,12760,12440,12620,736
2024-01-12,12580,12820,12520,12620,583
