TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,9.21,9.28,9.02,9.22,16300
2023-01-04,9.2,9.4,9.2,9.34,14600
2023-01-05,9.38,9.38,9.26,9.33,7600
2023-01-06,9.33,9.37,9.27,9.3,10600
2023-01-09,9.31,9.38,9.28,9.35,6500
2023-01-10,9.3,9.37,9.3,9.33,8200
2023-01-11,9.36,9.76,9.33,9.63,38300
2023-01-12,9.63,9.74,9.3,9.72,32800
2023-01-13,9.56,9.76,9.5,9.66,10000
2023-01-16,9.72,9.88,9.37,9.52,48900
2023-01-17,9.51,9.8,9.41,9.62,78200
2023-01-18,9.77,9.77,9.57,9.57,19600
2023-01-19,9.66,12.05,9.6,10.26,4695400
2023-01-20,10.59,11.47,9.94,10.08,710100
2023-01-23,10.29,10.29,9.6,10.08,191900
2023-01-24,10.08,11.02,9.73,10.08,525700
2023-01-25,10.1,10.39,10.03,10.08,60000
2023-01-26,10.35,10.9,10.12,10.3,353200
2023-01-27,10.25,10.5,9.8,10.2,86700
2023-01-30,10.4,10.54,10.06,10.29,66100
2023-01-31,10.4,10.55,10.22,10.38,53900
2023-02-01,10.28,10.37,10.23,10.27,36600
2023-02-02,10.31,10.45,10.26,10.27,85900
2023-02-03,10.4,10.4,10.27,10.3,62300
2023-02-06,10.39,10.4,10.25,10.27,49300
2023-02-07,10.08,10.3,10.08,10.24,43100
2023-02-08,10.27,11.77,9.96,11.05,957100
2023-02-09,11.1,11.4,10.11,10.84,317700
2023-02-10,10.84,14.44,10.84,11.06,3713400
2023-02-13,11.3,15.5,11.3,15.5,6733200
2023-02-14,14.01,14.01,12.31,12.62,1869800
2023-02-15,12.87,12.92,11.39,11.88,294700
2023-02-16,11.88,12.65,11.73,12.02,203200
2023-02-17,12.3,12.42,11.8,12.09,94400
2023-02-20,12.29,12.3,11.57,11.86,61400
2023-02-21,11.95,12.19,11.72,12.13,104400
2023-02-22,12.13,12.64,11.8,12.16,204200
2023-02-24,12.02,12.71,11.71,12.07,296700
2023-02-27,11.98,12.26,11.7,12.12,76600
2023-02-28,12.01,12.27,11.85,12.2,145700
2023-03-01,12.2,14.81,12.15,13.64,2577300
2023-03-02,14.05,16.56,12.87,13.68,2357800
2023-03-03,13.71,14.19,13.4,13.59,256000
2023-03-06,13.41,13.9,13.3,13.6,102600
2023-03-07,14.04,14.04,13.26,13.51,93200
2023-03-09,13.74,13.74,13.42,13.51,89800
2023-03-10,13.5,13.62,13.5,13.62,50000
2023-03-13,13.51,13.84,13.49,13.61,44000
2023-03-14,13.51,13.83,12.9,13.56,112100
2023-03-15,13.68,13.68,13.32,13.48,33600
2023-03-16,13.5,13.6,13.33,13.52,40400
2023-03-17,13.63,13.63,13.35,13.36,50300
2023-03-20,13.39,13.39,13.05,13.21,179600
2023-03-21,13.21,13.21,13.01,13.21,60200
2023-03-22,13.27,13.42,13.08,13.42,80400
2023-03-23,13.24,13.45,13.24,13.43,33600
2023-03-24,13.45,13.85,13.37,13.5,179500
2023-03-27,13.83,14.0,13.5,13.69,141900
2023-03-28,13.8,17.2,13.7,15.28,2229400
2023-03-29,15.32,18.83,15.32,16.99,3202200
2023-03-30,17.68,17.68,16.5,17.21,296100
2023-03-31,16.91,17.3,16.81,16.91,128300
2023-04-03,16.71,17.23,15.75,16.79,228900
2023-04-04,16.89,16.9,16.45,16.53,92600
2023-04-05,16.59,16.92,16.5,16.67,66500
2023-04-06,16.67,16.7,16.3,16.45,66400
2023-04-07,16.48,16.69,16.3,16.62,31200
2023-04-10,16.63,16.9,16.02,16.55,135700
2023-04-11,16.43,16.67,16.21,16.23,57400
2023-04-12,16.22,16.65,16.22,16.52,33300
2023-04-13,16.49,16.49,15.88,15.95,107700
2023-04-14,16.23,16.23,15.9,16.12,22800
2023-04-17,16.24,16.47,15.82,16.21,89700
2023-04-18,16.9,16.9,15.32,16.2,54700
2023-04-19,16.32,16.32,15.84,16.19,22000
2023-04-20,16.01,16.25,15.12,16.09,61400
2023-04-21,15.95,16.24,15.62,16.2,63600
2023-04-24,16.2,16.5,16.05,16.5,152300
2023-04-25,16.5,16.89,16.12,16.41,78700
2023-04-26,16.69,16.69,16.0,16.3,39400
