TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,8.86,8.86,8.58,8.86,19800
2023-01-04,8.98,8.98,8.8,8.8,8400
2023-01-05,8.96,9.1,8.86,9.02,25700
2023-01-06,8.96,9.0,8.88,8.96,5900
2023-01-09,8.82,9.14,8.82,9.12,18800
2023-01-10,9.14,9.28,8.96,9.1,14400
2023-01-11,9.04,9.22,9.0,9.16,25300
2023-01-12,9.24,9.28,9.0,9.12,13400
2023-01-13,9.16,9.28,9.16,9.24,6900
2023-01-16,9.2,9.36,9.16,9.36,10800
2023-01-17,9.32,9.32,9.2,9.24,9600
2023-01-18,9.16,9.3,9.14,9.28,14500
2023-01-19,9.18,9.34,9.14,9.24,8800
2023-01-20,9.22,9.24,9.12,9.18,11000
2023-01-23,9.26,9.26,9.08,9.18,15200
2023-01-24,9.26,9.26,9.14,9.24,4800
2023-01-25,9.2,9.3,9.16,9.2,9600
2023-01-26,9.22,9.28,9.14,9.14,12500
2023-01-27,9.16,9.24,8.98,9.18,21200
2023-01-30,9.2,10.0,9.1,9.32,93300
2023-01-31,9.64,9.8,9.44,9.48,34300
2023-02-01,9.6,9.64,9.22,9.48,19300
2023-02-02,9.52,9.54,9.46,9.54,6700
2023-02-03,9.54,9.54,9.44,9.54,2600
2023-02-06,9.64,9.7,9.5,9.7,14800
2023-02-07,9.68,9.68,9.54,9.66,7600
2023-02-08,9.66,9.68,9.46,9.56,32400
2023-02-09,9.6,9.7,9.56,9.6,14600
2023-02-10,9.6,9.7,9.5,9.68,33700
2023-02-13,9.58,9.88,9.52,9.66,58900
2023-02-14,9.82,9.98,9.48,9.54,74600
2023-02-15,9.52,9.82,9.48,9.56,51600
2023-02-16,9.6,9.84,9.2,9.38,58000
2023-02-17,9.44,9.44,8.98,9.2,67100
2023-02-20,9.04,9.36,9.04,9.06,92000
2023-02-21,9.14,9.42,9.14,9.36,24700
2023-02-22,9.42,9.54,9.24,9.38,19000
2023-02-24,9.36,9.58,9.12,9.32,32800
2023-02-27,9.3,9.6,9.26,9.32,22100
2023-02-28,9.38,9.42,9.26,9.34,20600
2023-03-01,9.4,9.6,9.36,9.56,56800
2023-03-02,9.62,9.68,9.24,9.42,22200
2023-03-03,9.48,9.66,9.38,9.66,28300
2023-03-06,9.7,9.86,9.66,9.76,19000
2023-03-07,9.78,9.8,9.64,9.74,24500
2023-03-09,9.82,9.98,9.76,9.8,35500
2023-03-10,9.74,9.86,9.74,9.84,25200
2023-03-13,9.84,10.18,9.7,9.86,136000
2023-03-14,9.84,9.84,9.72,9.74,7800
2023-03-15,9.8,9.8,9.72,9.74,7300
2023-03-16,9.96,9.96,9.64,9.64,16500
2023-03-17,9.64,10.76,9.6,9.78,910500
2023-03-20,9.7,9.98,9.58,9.8,253500
2023-03-21,9.8,9.96,9.6,9.78,222000
2023-03-22,9.76,9.88,9.7,9.84,34500
2023-03-23,9.76,10.36,9.68,10.08,77200
2023-03-24,10.42,10.86,9.88,10.06,166400
2023-03-27,9.94,10.38,9.9,10.0,47300
2023-03-28,10.26,10.5,10.0,10.18,100500
2023-03-29,10.42,10.86,10.1,10.36,196300
2023-03-30,10.52,10.9,10.12,10.42,222000
2023-03-31,10.38,10.74,10.28,10.38,51700
2023-04-03,10.44,10.96,10.34,10.56,198100
2023-04-04,10.6,11.36,10.6,10.9,105000
2023-04-05,11.04,11.16,10.9,11.0,50000
2023-04-06,11.16,11.34,11.02,11.34,95200
2023-04-07,11.36,11.96,11.1,11.86,342100
2023-04-10,11.72,14.14,11.7,13.38,932200
2023-04-11,13.56,15.08,12.72,13.76,406000
2023-04-12,13.62,13.9,12.66,13.16,244200
2023-04-13,11.86,13.28,10.5,12.88,207700
2023-04-14,12.98,12.98,11.52,12.36,449200
2023-04-17,12.6,14.18,12.5,13.0,1167500
2023-04-18,13.16,13.36,12.92,13.24,178500
2023-04-19,13.26,13.3,12.84,13.1,248700
2023-04-20,13.26,13.58,12.8,13.1,142200
2023-04-21,13.08,13.18,12.9,13.06,50100
2023-04-24,12.98,13.24,12.96,13.14,74000
2023-04-25,13.14,13.42,13.12,13.38,151800
2023-04-26,13.48,13.5,12.96,13.38,136300
2023-04-27,13.4,15.56,13.06,14.54,1165000
2023-04-28,14.56,14.98,13.92,14.18,424600
2023-05-02,14.28,17.38,13.6,14.44,1734800
2023-05-03,14.4,14.58,13.36,13.8,156400
2023-05-04,13.8,14.38,13.8,14.26,87100
2023-05-05,14.3,14.78,13.96,14.08,41800
2023-05-08,14.36,14.44,14.0,14.26,73200
2023-05-10,14.02,14.64,14.02,14.58,118900
2023-05-11,14.68,14.98,14.68,14.82,97100
2023-05-12,14.88,15.14,14.68,14.82,119600
2023-05-15,14.84,15.08,14.76,14.9,101900
2023-05-16,15.0,15.04,14.74,14.92,178600
2023-05-17,14.92,14.98,14.58,14.88,190600
2023-05-18,14.9,15.46,14.76,15.04,272500
2023-05-19,15.5,15.5,15.0,15.3,172600
2023-05-22,15.38,15.58,14.7,14.9,325200
2023-05-23,14.72,15.04,14.52,14.88,124000
2023-05-24,14.44,15.0,14.44,14.98,121700
2023-05-25,15.1,15.1,14.52,14.74,180500
2023-05-26,14.82,14.88,14.2,14.82,193900
2023-05-29,14.88,15.24,14.32,14.94,331800
2023-05-30,15.0,15.0,14.5,14.9,352600
2023-05-31,14.9,15.4,14.0,14.0,653900
2023-06-01,13.0,13.5,12.56,13.18,580200
2023-06-02,13.28,13.38,13.06,13.28,75000
2023-06-05,13.38,13.62,13.16,13.44,63700
2023-06-06,13.4,13.7,13.26,13.36,32900
2023-06-07,13.32,13.8,13.3,13.62,69600
2023-06-08,13.62,13.82,13.22,13.6,35900
2023-06-09,13.7,13.82,13.18,13.4,93500
2023-06-13,13.44,13.76,13.38,13.64,41200
2023-06-14,13.64,14.1,13.64,13.88,148000
2023-06-15,14.0,14.18,13.96,14.18,52400
2023-06-16,14.2,14.28,14.12,14.24,50700
2023-06-19,14.26,14.5,14.06,14.3,44800
2023-06-20,14.38,14.9,14.2,14.56,218900
2023-06-21,14.56,14.74,14.24,14.34,59900
2023-06-22,14.34,14.78,14.26,14.32,72500
2023-06-23,14.54,14.54,13.7,14.32,159200
2023-06-26,14.02,14.22,13.84,14.08,34800
2023-06-27,14.08,14.5,13.58,14.5,208400
2023-06-28,15.92,19.92,14.32,14.6,2337400
2023-06-29,14.98,14.98,14.38,14.58,154100
2023-06-30,14.76,14.82,14.48,14.58,64100
2023-07-03,14.68,15.62,14.42,14.68,393200
2023-07-04,14.92,15.02,14.52,14.82,101200
2023-07-05,14.7,15.14,14.7,14.92,50800
2023-07-06,14.96,15.18,14.8,14.8,68100
2023-07-07,15.16,15.18,14.7,14.76,43100
2023-07-10,14.76,14.98,14.6,14.72,35900
2023-07-11,14.8,14.88,14.62,14.82,48100
2023-07-12,14.82,14.86,14.56,14.82,56100
2023-07-13,14.82,14.96,14.62,14.84,42500
2023-07-14,14.92,15.2,14.62,15.0,478900
2023-07-17,15.1,15.38,14.9,15.22,115000
2023-07-18,15.24,15.56,14.92,15.3,138900
2023-07-19,15.24,16.44,15.24,16.44,318500
2023-07-20,15.72,16.42,15.72,16.06,117000
2023-07-21,16.1,17.18,16.1,16.52,153200
2023-07-24,16.68,17.1,16.32,16.68,107800
2023-07-25,16.68,16.7,16.46,16.58,66500
2023-07-26,16.6,17.14,16.54,17.04,123800
2023-07-27,17.08,17.74,17.06,17.42,179500
2023-07-28,17.46,17.98,17.12,17.4,139400
2023-07-31,17.7,17.7,17.2,17.52,125700
2023-08-01,17.52,18.5,17.3,18.5,224800
2023-08-02,18.5,19.2,18.4,18.44,227400
2023-08-03,18.46,18.78,18.4,18.64,138500
2023-08-04,18.76,19.52,18.18,18.6,299800
2023-08-07,18.6,21.32,18.6,20.88,612200
2023-08-08,21.4,24.48,21.08,24.48,1148000
2023-08-09,24.1,27.5,24.02,26.92,746600
2023-08-10,29.6,29.6,20.1,21.5,907300
2023-08-11,22.04,25.44,22.04,23.68,467800
2023-08-14,24.0,24.28,22.42,23.78,240300
2023-08-15,23.5,23.5,21.14,22.32,148800
2023-08-16,22.34,22.86,19.34,20.46,289100
2023-08-17,20.46,21.08,19.5,19.72,100600
2023-08-18,19.72,20.4,19.64,20.4,69000
2023-08-21,21.3,24.3,20.28,23.78,454200
2023-08-22,24.38,24.88,22.18,23.22,293200
2023-08-23,23.52,24.14,22.26,23.0,147600
2023-08-24,23.0,23.0,22.42,22.78,47900
2023-08-25,22.78,23.02,22.28,22.5,129200
2023-08-28,22.84,24.18,22.52,23.14,292200
2023-08-29,23.96,24.08,22.7,22.84,212200
2023-08-30,23.12,23.96,22.82,22.88,93100
2023-08-31,23.4,23.62,22.32,22.8,87200
2023-09-01,22.92,23.2,22.62,22.9,106700
2023-09-04,22.86,24.28,22.78,22.88,336100
2023-09-05,23.34,23.34,22.48,22.8,307700
2023-09-06,22.8,22.82,22.12,22.58,149500
2023-09-07,22.96,23.28,21.0,21.46,285400
2023-09-08,21.76,21.76,20.78,21.5,78700
2023-09-11,21.5,21.98,20.82,21.22,124000
2023-09-12,20.94,21.82,20.92,21.78,46200
2023-09-13,21.88,21.96,20.74,21.32,121200
2023-09-14,21.08,21.26,16.0,20.08,259600
2023-09-15,20.08,20.78,18.76,20.38,78900
2023-09-18,20.32,20.78,20.22,20.22,45200
2023-09-19,20.34,20.74,18.94,19.82,88500
2023-09-20,19.74,20.48,17.16,18.82,325800
2023-09-21,18.44,18.96,18.0,18.0,70000
2023-09-22,18.4,18.5,17.5,18.48,50600
2023-09-25,18.42,19.16,18.36,19.12,38400
