TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,8.46,8.88,8.38,8.8,36000
2023-01-04,8.81,8.86,8.63,8.65,27100
2023-01-05,8.66,8.89,8.66,8.7,54600
2023-01-06,8.73,8.97,8.6,8.75,36700
2023-01-09,8.64,9.0,8.64,8.84,37900
2023-01-10,8.99,8.99,8.83,8.88,11200
2023-01-11,8.88,9.16,8.8,9.15,132100
2023-01-12,9.19,9.19,9.0,9.07,34900
2023-01-13,9.18,9.2,9.1,9.18,14300
2023-01-16,9.17,9.24,8.97,9.16,28400
2023-01-17,9.22,9.22,9.01,9.13,12600
2023-01-18,9.19,9.19,9.05,9.06,10800
2023-01-19,9.09,9.15,8.8,9.0,30000
2023-01-20,9.02,9.2,9.01,9.2,8100
2023-01-23,9.2,9.2,9.08,9.2,13700
2023-01-24,9.21,9.27,9.1,9.14,29000
2023-01-25,9.26,9.28,9.11,9.14,13600
2023-01-26,9.22,9.22,9.05,9.14,10800
2023-01-27,9.2,9.2,9.11,9.2,7700
2023-01-30,9.08,9.5,9.05,9.17,118200
2023-01-31,9.2,9.36,9.1,9.12,46000
2023-02-01,9.11,9.28,9.08,9.2,19200
2023-02-02,9.27,9.27,9.12,9.15,19300
2023-02-03,9.2,9.35,9.18,9.27,14300
2023-02-06,9.14,9.49,9.13,9.43,49500
2023-02-07,9.45,9.45,9.23,9.38,24100
2023-02-08,9.36,9.5,9.24,9.3,25500
2023-02-09,9.28,9.5,9.28,9.5,15400
2023-02-10,9.39,9.43,9.24,9.38,29800
2023-02-13,9.41,10.1,9.2,9.7,124300
2023-02-14,9.7,10.02,9.4,9.64,54600
2023-02-15,9.7,9.73,9.0,9.3,163900
2023-02-16,9.31,9.36,9.2,9.23,16200
2023-02-17,9.25,9.3,9.01,9.14,45500
2023-02-20,9.14,9.5,9.09,9.13,72100
2023-02-21,9.13,9.28,9.1,9.24,21000
2023-02-22,9.26,9.27,9.2,9.2,12300
2023-02-24,9.2,9.29,9.1,9.22,11300
2023-02-27,9.27,9.3,9.24,9.29,20300
2023-02-28,9.27,9.35,9.25,9.28,19300
2023-03-01,9.36,9.62,9.36,9.5,69200
2023-03-02,9.59,9.8,9.4,9.4,48700
2023-03-03,9.62,9.79,9.53,9.7,53200
2023-03-06,9.8,9.95,9.59,9.7,51100
2023-03-07,9.69,9.94,9.63,9.89,34200
2023-03-09,9.94,10.2,9.8,9.92,89800
2023-03-10,10.08,10.4,9.6,9.98,123400
2023-03-13,10.08,10.11,9.79,9.87,101100
2023-03-14,9.87,9.96,9.6,9.81,64100
2023-03-15,9.81,9.86,9.66,9.72,21600
2023-03-16,9.84,10.0,9.39,9.62,74400
