TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.0192,0.0206,0.0192,0.02016,104310000
2023-01-04,0.02016,0.02149,0.01985,0.02101,266390000
2023-01-05,0.02149,0.02334,0.02055,0.0215,655450000
2023-01-06,0.02194,0.02211,0.02062,0.02129,93120000
2023-01-09,0.0212,0.022,0.0195,0.02169,295590000
2023-01-10,0.02169,0.02211,0.02047,0.02178,118670000
2023-01-11,0.02183,0.02197,0.021,0.02176,65530000
2023-01-12,0.02165,0.0229,0.02161,0.02224,156960000
2023-01-13,0.02224,0.02235,0.02171,0.02213,37350000
2023-01-16,0.0221,0.0229,0.02172,0.02288,211980000
2023-01-17,0.0229,0.02348,0.02181,0.02266,270680000
2023-01-18,0.0224,0.02309,0.02198,0.0224,185380000
2023-01-19,0.02289,0.023,0.02101,0.02145,144150000
2023-01-20,0.0217,0.02216,0.02141,0.02176,24680000
2023-01-23,0.0219,0.02215,0.02157,0.02195,68710000
2023-01-24,0.02161,0.02233,0.02142,0.02175,40550000
2023-01-25,0.02197,0.02197,0.02106,0.02167,24700000
2023-01-26,0.02194,0.02196,0.0215,0.02182,16750000
2023-01-27,0.02141,0.02209,0.02141,0.0215,34850000
2023-01-30,0.02202,0.02342,0.02172,0.022,248450000
2023-01-31,0.022,0.02249,0.02181,0.02212,88310000
2023-02-01,0.02197,0.02242,0.02195,0.0221,31770000
2023-02-02,0.02205,0.0225,0.02203,0.0225,19520000
2023-02-03,0.0225,0.023,0.02238,0.02273,55670000
2023-02-06,0.02267,0.02598,0.02255,0.02442,711930000
2023-02-07,0.02443,0.02588,0.02323,0.02428,266670000
2023-02-08,0.02443,0.02444,0.02299,0.02431,123020000
2023-02-09,0.02429,0.02598,0.02402,0.02538,177460000
2023-02-10,0.02481,0.03549,0.02481,0.03549,5317080000
2023-02-13,0.03799,0.0388,0.02784,0.02898,1718640000
2023-02-14,0.0289,0.0294,0.02765,0.02906,240590000
2023-02-15,0.02907,0.03099,0.02701,0.02745,523800000
2023-02-16,0.0275,0.0283,0.02698,0.02739,170860000
2023-02-17,0.02784,0.02784,0.02701,0.02763,42980000
2023-02-20,0.02771,0.03153,0.02706,0.02818,390380000
2023-02-21,0.0288,0.0302,0.02824,0.02906,117330000
2023-02-22,0.02945,0.02948,0.02883,0.02906,45140000
2023-02-24,0.02944,0.02945,0.02864,0.029,36700000
2023-02-27,0.02939,0.02979,0.02859,0.02951,54350000
2023-02-28,0.0296,0.0316,0.02939,0.03018,308530000
2023-03-01,0.0304,0.03123,0.02951,0.03064,195740000
2023-03-02,0.03074,0.03114,0.02926,0.03063,337370000
2023-03-03,0.03073,0.03079,0.03001,0.03013,50730000
2023-03-06,0.0301,0.03099,0.0301,0.0308,48310000
2023-03-07,0.03063,0.0311,0.029,0.03008,448880000
2023-03-09,0.03032,0.03032,0.02953,0.03002,75480000
2023-03-10,0.0306,0.03093,0.02978,0.03024,120540000
2023-03-13,0.03085,0.0333,0.02986,0.03264,549080000
2023-03-14,0.03186,0.03299,0.03155,0.0326,179930000
2023-03-15,0.0321,0.033,0.0317,0.03187,72780000
2023-03-16,0.03201,0.03249,0.03062,0.03119,83400000
2023-03-17,0.03163,0.0327,0.0311,0.03129,154450000
2023-03-20,0.0321,0.03515,0.03166,0.03316,439220000
2023-03-21,0.03414,0.03452,0.03275,0.03361,106140000
2023-03-22,0.03361,0.03679,0.03297,0.03622,177910000
2023-03-23,0.03679,0.03789,0.03512,0.0368,223600000
