TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,691.0,702.0,689.5,693.5,7169
2023-01-04,693.0,700.0,691.5,699.0,6199
2023-01-05,699.0,702.0,690.0,691.5,7119
2023-01-06,691.5,692.0,687.0,689.0,3812
2023-01-09,690.0,693.0,688.0,691.0,6362
2023-01-10,691.0,694.0,689.0,693.5,4937
2023-01-11,693.5,699.0,693.5,698.5,10327
2023-01-12,698.5,730.5,698.5,711.0,67835
2023-01-13,712.0,717.5,701.0,710.5,21720
2023-01-16,716.5,745.0,703.5,731.0,64164
2023-01-17,734.0,738.0,715.0,717.0,18420
2023-01-18,723.0,729.5,712.5,722.5,14185
2023-01-19,723.5,723.5,705.5,711.5,16770
2023-01-20,715.0,715.0,686.0,706.5,18110
2023-01-23,706.5,716.5,704.0,714.0,7380
2023-01-24,714.5,730.0,714.5,718.0,19768
2023-01-25,717.5,721.5,710.5,719.0,8904
2023-01-26,719.0,721.5,707.0,715.0,15021
2023-01-27,718.5,720.5,706.0,715.5,7346
2023-01-30,713.0,727.0,707.0,719.5,26672
2023-01-31,719.5,728.0,719.0,720.5,19052
2023-02-01,720.0,723.0,718.0,719.0,13011
2023-02-02,723.5,724.0,719.0,720.0,7144
2023-02-03,721.0,722.5,708.5,717.0,11639
2023-02-06,715.5,723.0,714.0,718.0,8556
2023-02-07,720.0,722.5,712.5,716.5,10702
2023-02-08,714.5,722.5,714.0,716.0,9764
2023-02-09,724.0,724.0,710.0,716.0,9520
2023-02-10,716.0,719.5,714.0,717.5,5132
2023-02-13,717.0,741.5,712.5,733.0,44285
2023-02-14,742.0,742.0,713.0,719.0,25992
2023-02-15,720.0,720.0,690.0,694.0,29710
2023-02-16,694.5,702.0,691.5,698.0,9990
2023-02-17,698.0,701.0,692.5,696.0,5005
2023-02-20,693.5,695.0,685.0,691.5,8938
2023-02-21,691.5,711.0,690.0,699.0,18280
2023-02-22,700.0,713.0,700.0,708.0,9429
2023-02-24,709.5,709.5,700.0,701.5,5651
2023-02-27,700.0,710.0,697.0,704.5,8102
2023-02-28,708.5,711.5,705.0,707.0,7263
2023-03-01,711.0,736.0,707.0,719.5,46311
2023-03-02,727.5,727.5,696.0,707.0,17751
2023-03-03,707.0,712.5,707.0,711.0,5262
2023-03-06,715.0,719.0,710.0,712.5,12507
2023-03-07,712.5,719.5,711.0,717.5,12327
2023-03-09,717.5,744.5,716.0,720.5,56548
2023-03-10,725.0,725.0,710.5,716.0,14527
2023-03-13,716.5,724.5,711.0,714.0,12363
2023-03-14,714.0,722.0,714.0,716.0,6438
2023-03-15,719.5,721.0,707.0,711.0,15533
2023-03-16,708.5,711.0,704.0,710.5,5921
2023-03-17,715.0,715.0,707.0,708.0,7784
2023-03-20,710.0,713.0,702.0,707.0,31108
2023-03-21,715.0,720.0,707.0,710.0,17648
2023-03-22,709.5,713.0,705.0,708.5,7287
2023-03-23,711.0,717.5,708.0,710.0,16268
2023-03-24,709.0,727.0,703.0,713.0,38220
2023-03-27,723.0,773.5,715.5,761.0,219530
2023-03-28,761.0,763.0,733.0,747.0,69994
2023-03-29,761.0,785.5,720.0,736.0,209330
2023-03-30,736.0,765.0,736.0,750.0,60494
2023-03-31,752.5,761.0,732.0,745.0,36807
2023-04-03,750.0,768.0,736.0,745.0,46681
2023-04-04,750.0,770.0,746.0,758.5,59175
2023-04-05,761.0,761.5,740.0,755.0,35266
2023-04-06,752.0,756.0,750.5,755.0,21982
2023-04-07,755.5,758.5,743.0,747.0,13397
2023-04-10,751.0,755.0,743.0,748.5,31553
2023-04-11,748.5,750.0,733.0,742.0,30586
2023-04-12,742.0,746.0,736.5,740.0,14497
2023-04-13,732.0,741.0,726.0,735.0,13500
2023-04-14,745.0,761.5,735.0,750.0,86669
2023-04-17,756.0,769.0,751.0,769.0,50082
2023-04-18,769.5,770.5,755.0,761.0,33942
2023-04-19,765.0,790.0,760.0,768.0,87131
2023-04-20,768.0,778.5,749.5,761.0,36862
2023-04-21,761.0,794.0,759.5,778.5,94599
2023-04-24,793.0,807.0,770.5,773.0,64830
2023-04-25,775.0,779.5,763.5,764.5,24080
2023-04-26,763.0,770.5,762.0,763.0,13968
2023-04-27,763.0,768.5,752.5,762.5,21268
2023-04-28,762.5,767.5,740.5,750.0,22450
2023-05-02,755.0,768.5,732.0,740.0,31753
2023-05-03,741.5,749.5,728.0,730.0,22046
2023-05-04,730.0,735.5,710.5,722.0,29477
2023-05-05,722.0,736.0,721.0,722.5,18037
2023-05-08,725.5,725.5,713.0,716.5,5314
2023-05-10,716.5,731.5,713.5,726.0,15659
2023-05-11,719.5,751.5,719.5,736.5,37335
2023-05-12,737.5,739.5,723.5,730.0,6433
2023-05-15,738.5,738.5,725.5,731.5,7008
2023-05-16,737.0,748.5,728.5,735.5,27768
2023-05-17,735.5,739.5,732.5,736.5,10750
2023-05-18,736.5,738.5,732.0,732.0,8988
2023-05-19,730.0,732.0,720.0,729.0,18183
2023-05-22,729.5,738.0,714.5,722.5,25358
2023-05-23,720.0,726.0,715.0,720.5,11201
2023-05-24,727.0,732.0,718.0,720.0,12962
2023-05-25,720.0,728.0,714.0,714.0,19081
2023-05-26,715.0,719.5,704.5,713.0,26867
2023-05-29,713.5,718.0,710.0,716.0,26732
2023-05-30,719.5,749.5,716.0,731.0,135248
2023-05-31,724.0,735.5,723.5,726.5,34084
2023-06-01,736.0,736.0,718.0,726.0,56576
2023-06-02,724.0,733.0,720.5,722.0,22278
2023-06-05,728.0,731.0,720.0,720.0,21721
2023-06-06,720.0,725.5,713.0,714.5,19409
2023-06-07,714.5,727.0,714.5,727.0,27430
2023-06-08,727.0,731.0,719.0,722.0,12579
2023-06-09,722.0,732.5,719.0,730.0,46820
2023-06-13,730.0,748.0,726.0,742.5,66691
2023-06-14,742.5,751.0,731.0,739.0,35863
2023-06-15,750.0,777.0,741.5,770.0,153652
2023-06-16,771.0,778.0,754.5,763.0,47471
2023-06-19,763.0,780.0,760.5,770.0,41653
2023-06-20,777.0,777.0,755.0,758.5,23362
2023-06-21,759.0,765.0,737.0,755.5,38267
2023-06-22,755.5,776.0,754.0,770.0,54840
2023-06-23,760.0,764.5,751.0,753.0,26437
2023-06-26,755.5,755.5,737.5,742.5,24926
2023-06-27,743.0,749.0,718.0,745.0,31948
2023-06-28,745.0,747.5,739.5,740.0,12002
2023-06-29,747.5,774.0,741.5,760.5,79344
2023-06-30,754.5,764.5,745.5,754.0,14163
2023-07-03,754.0,768.0,751.0,758.5,27658
2023-07-04,768.0,768.0,750.0,755.5,18761
2023-07-05,755.5,761.0,751.0,761.0,28608
2023-07-06,762.0,770.0,741.5,749.0,31729
2023-07-07,751.0,754.0,740.5,743.5,21199
2023-07-10,743.5,755.5,743.5,752.0,20214
2023-07-11,756.5,758.0,752.0,754.0,19736
2023-07-12,762.0,786.0,753.0,784.0,133722
2023-07-13,785.0,808.0,776.0,788.5,148533
2023-07-14,788.5,794.0,778.0,782.0,29324
2023-07-17,783.0,801.5,761.5,794.0,142521
2023-07-18,801.5,802.0,786.0,788.0,70059
2023-07-19,793.0,808.0,773.5,801.5,77274
2023-07-20,801.5,815.0,776.5,779.5,97043
2023-07-21,779.5,797.5,761.0,794.5,81140
2023-07-24,799.0,828.0,798.0,820.0,141815
2023-07-25,820.5,836.0,803.0,824.0,121845
2023-07-26,824.0,834.5,810.0,819.5,47094
2023-07-27,845.0,849.0,821.0,829.5,102122
2023-07-28,832.5,834.5,807.0,818.5,110499
2023-07-31,817.0,827.5,816.0,818.0,39573
2023-08-01,820.0,824.5,808.0,812.0,39534
2023-08-02,814.0,820.0,801.5,814.5,66272
2023-08-03,814.5,823.0,803.5,813.0,35629
2023-08-04,813.5,838.0,777.0,788.5,170241
2023-08-07,791.5,811.5,788.0,796.0,63731
2023-08-08,796.0,820.0,769.0,784.0,68353
2023-08-09,793.0,818.0,783.0,785.0,67239
2023-08-10,786.0,800.0,785.0,797.0,29384
2023-08-11,797.0,805.0,792.5,801.5,24214
2023-08-14,800.0,811.5,785.0,791.0,50285
2023-08-15,788.0,798.0,769.0,788.0,36213
2023-08-16,788.5,791.0,747.5,762.5,47105
2023-08-17,766.0,782.5,757.0,780.0,41957
2023-08-18,780.0,794.0,769.0,781.0,32936
2023-08-21,785.0,797.0,782.5,784.0,25546
2023-08-22,796.0,796.0,783.5,786.5,26193
2023-08-23,786.5,793.5,771.0,779.5,21712
2023-08-24,779.0,783.0,773.0,776.5,18955
2023-08-25,777.0,792.5,775.5,787.5,43097
2023-08-28,790.0,805.5,787.5,793.0,83926
2023-08-29,794.0,802.0,785.0,786.0,45063
2023-08-30,787.5,796.5,780.0,785.0,26489
2023-08-31,795.0,798.0,778.5,783.5,33382
2023-09-01,784.0,791.0,776.5,782.5,15377
2023-09-04,777.5,790.0,777.5,788.5,31561
2023-09-05,790.0,796.5,781.0,788.5,39124
2023-09-06,785.0,793.5,779.0,779.5,50824
2023-09-07,781.5,790.0,747.0,764.5,68122
2023-09-08,764.0,771.0,739.0,754.5,57432
2023-09-11,759.0,760.5,744.5,752.5,12969
2023-09-12,758.5,768.5,752.5,766.0,25816
2023-09-13,766.0,790.0,758.0,780.0,105937
2023-09-14,773.5,778.0,723.5,749.0,75892
2023-09-15,738.0,768.5,738.0,757.5,28649
2023-09-18,763.0,765.5,748.5,751.5,18038
2023-09-19,756.0,756.0,726.0,728.5,44606
2023-09-20,728.5,733.5,715.0,723.0,29828
2023-09-21,727.0,727.0,703.0,710.0,21755
2023-09-22,710.0,721.0,699.0,715.0,17049
2023-09-25,718.0,737.5,708.0,728.5,36428
2023-09-26,726.5,728.5,715.0,723.0,10920
2023-09-27,724.0,731.0,724.0,729.5,11004
2023-09-28,730.5,737.0,723.5,731.5,10335
2023-09-29,734.0,736.5,726.0,731.0,10203
2023-10-02,736.5,736.5,716.5,720.0,21667
2023-10-03,720.0,730.0,716.0,728.0,10419
2023-10-04,726.5,729.5,722.0,724.0,11215
2023-10-05,723.0,729.0,718.0,722.0,7437
2023-10-06,722.0,724.5,713.0,720.5,9105
2023-10-09,723.5,727.5,718.5,725.0,10468
2023-10-10,725.0,729.5,724.5,726.0,12104
2023-10-11,725.0,728.0,723.5,727.0,10229
2023-10-12,727.0,727.0,713.0,723.5,16076
2023-10-13,727.5,730.0,724.0,728.0,11871
2023-10-16,728.0,752.0,728.0,750.0,54460
2023-10-17,750.0,777.0,745.5,764.0,129961
2023-10-18,769.5,772.0,738.5,746.5,49852
2023-10-19,746.5,751.5,745.0,749.0,19154
2023-10-20,752.0,767.5,745.5,762.5,35723
2023-10-23,762.5,775.5,751.5,762.0,52442
2023-10-24,760.0,791.5,755.0,762.5,122367
2023-10-25,762.0,768.5,755.0,757.5,23962
2023-10-26,756.0,758.5,732.0,737.5,46989
2023-10-27,750.0,753.0,735.0,745.0,43632
2023-10-30,745.0,749.0,735.5,740.5,21262
2023-10-31,740.5,741.5,727.5,728.0,21829
2023-11-01,731.0,736.0,718.5,727.0,30961
2023-11-02,732.5,733.5,727.0,728.5,12013
2023-11-03,730.5,730.5,722.5,726.5,13954
2023-11-06,728.0,728.0,719.0,724.0,16276
2023-11-07,725.5,739.5,721.0,730.0,19599
2023-11-08,730.0,744.0,727.0,742.0,37396
2023-11-09,742.0,745.5,733.5,737.5,15597
2023-11-10,742.5,742.5,730.5,731.5,14857
2023-11-13,734.0,738.0,722.5,729.0,18145
2023-11-14,726.5,731.0,709.5,716.5,27841
2023-11-15,717.0,722.0,704.5,717.5,17394
2023-11-16,720.0,725.0,715.5,716.5,16239
2023-11-17,716.0,735.0,709.0,718.0,15857
2023-11-20,720.5,728.5,714.0,717.5,14499
2023-11-21,717.5,720.5,715.0,718.0,5716
2023-11-22,719.5,726.0,718.0,723.5,8958
2023-11-23,724.0,724.0,712.5,718.5,10287
2023-11-24,718.5,723.0,711.0,713.0,9272
2023-11-27,715.5,716.5,690.0,695.5,28846
2023-11-28,700.0,708.5,695.0,702.0,25717
2023-11-29,705.0,707.5,692.5,702.0,14188
2023-11-30,706.0,707.0,691.5,692.0,14529
2023-12-01,697.0,697.0,682.0,686.5,15678
2023-12-04,686.5,686.5,668.0,671.0,28449
2023-12-05,671.0,688.0,663.0,671.5,16914
2023-12-06,672.0,676.5,656.0,663.0,20863
2023-12-07,663.0,666.0,650.0,664.0,15105
2023-12-08,670.0,672.0,658.5,666.5,9601
2023-12-11,666.0,683.0,650.0,653.5,17026
2023-12-12,657.0,664.5,646.0,653.0,8229
2023-12-13,654.0,656.5,647.5,655.5,13454
2023-12-14,655.5,663.0,650.0,650.0,7589
2023-12-15,650.0,655.0,638.5,652.5,20600
2023-12-18,658.0,667.0,654.5,665.5,23053
2023-12-19,666.0,666.0,655.5,660.0,16945
2023-12-20,666.5,695.0,660.0,675.0,50757
2023-12-21,678.5,684.0,660.5,663.5,21375
2023-12-22,669.0,688.0,665.5,679.5,70401
2023-12-25,690.0,699.0,682.0,688.0,38876
2023-12-26,688.0,692.0,672.0,677.0,36781
2023-12-27,680.0,690.5,672.0,672.5,35027
2023-12-28,672.5,679.0,663.5,665.5,28569
2023-12-29,671.0,677.5,663.0,669.5,18161
2024-01-03,672.0,683.0,672.0,677.0,10627
2024-01-04,680.0,696.5,676.0,691.5,25881
2024-01-05,692.0,694.5,680.0,688.0,13847
2024-01-08,688.5,712.5,682.0,697.5,94668
2024-01-09,706.0,709.0,693.0,696.0,24669
2024-01-10,693.5,706.0,693.5,699.5,22202
2024-01-11,705.0,705.0,690.0,701.5,29684
2024-01-12,699.0,712.0,695.5,707.0,42775
2024-01-15,707.0,712.0,694.5,700.0,26835
2024-01-16,701.0,709.0,693.0,705.0,25604
2024-01-17,707.0,718.0,702.5,710.0,35880
2024-01-18,716.0,716.0,697.5,704.0,22714
2024-01-19,704.5,709.0,697.5,702.5,12716
2024-01-22,702.0,705.0,700.0,702.0,10388
2024-01-23,703.0,709.5,698.0,701.5,14453
2024-01-24,703.5,706.0,692.0,696.0,15014
2024-01-25,696.0,699.0,692.0,694.5,17066
2024-01-26,698.5,742.0,694.0,732.5,217631
2024-01-29,733.5,745.5,722.5,728.0,91731
2024-01-30,733.5,745.0,729.0,732.0,35071
2024-01-31,734.5,755.0,733.5,748.0,86089
2024-02-01,750.0,753.5,737.5,750.5,47564
2024-02-02,753.5,759.0,742.0,757.5,37049
2024-02-05,763.0,775.0,743.5,760.0,176241
2024-02-06,760.0,764.0,745.0,752.5,34111
2024-02-07,756.5,758.0,741.0,749.5,39120
2024-02-08,749.5,751.5,731.0,734.0,37376
2024-02-09,736.5,752.0,731.0,744.0,56082
2024-02-12,749.5,757.5,744.0,752.0,31330
2024-02-13,752.0,757.5,748.0,755.5,19866
2024-02-14,753.0,767.5,750.5,758.0,38246
2024-02-15,758.0,779.0,756.0,779.0,53118
2024-02-16,780.0,780.0,764.0,771.0,30670
2024-02-19,771.0,775.5,750.5,754.0,21846
2024-02-20,755.0,755.0,738.0,753.5,36962
2024-02-21,752.0,752.0,721.0,742.0,37946
2024-02-22,742.0,750.0,738.0,741.0,13491
2024-02-26,757.0,762.5,745.5,759.5,23338
2024-02-27,757.5,769.0,757.0,759.0,16869
2024-02-28,759.5,763.5,747.5,752.0,21654
2024-02-29,751.0,755.5,747.5,754.5,11026
2024-03-01,753.0,776.5,741.0,768.0,73654
2024-03-04,768.5,773.5,760.0,762.5,30046
2024-03-05,763.0,765.0,753.0,756.5,38851
2024-03-06,756.5,756.5,736.0,751.5,53009
2024-03-07,752.0,753.5,741.5,743.5,20085
2024-03-11,744.0,750.5,739.0,740.0,40227
2024-03-12,741.0,741.0,731.0,736.5,37966
2024-03-13,736.5,750.0,736.0,744.0,49459
