TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-10-30,430.0,473.4,401.0,426.0,23981
2024-10-31,428.2,428.2,415.15,424.9,6024
2024-11-01,425.95,428.0,415.25,427.0,1830
2024-11-02,428.0,440.0,420.0,426.3,1418
2024-11-05,426.25,450.0,422.5,425.2,538
2024-11-06,425.2,432.95,422.05,424.0,5450
2024-11-07,424.0,435.1,416.0,425.55,4590
2024-11-08,425.55,430.0,422.0,422.3,1286
2024-11-11,422.15,425.55,420.0,424.35,737
2024-11-12,421.35,425.8,421.25,425.0,336
2024-11-13,425.05,428.5,421.95,425.0,1846
2024-11-14,422.05,425.95,422.0,422.15,703
2024-11-15,422.05,425.5,421.5,425.5,2087
2024-11-18,426.0,430.05,421.3,426.9,5899
2024-11-19,423.7,427.95,422.3,425.9,4491
2024-11-20,420.55,427.3,420.05,422.05,6561
2024-11-21,420.7,423.9,420.0,423.7,477
2024-11-22,421.25,430.0,421.25,426.7,1740
2024-11-25,426.7,430.1,422.15,428.2,5909
2024-11-26,430.0,438.2,420.0,428.5,4764
2024-11-27,422.25,430.0,420.15,424.55,3067
2024-11-28,424.6,431.65,424.6,427.75,5065
2024-11-29,425.65,435.0,425.55,427.9,5448
2024-12-02,425.65,449.95,425.65,429.7,5146
2024-12-03,429.7,439.95,425.0,425.95,4659
2024-12-04,425.95,432.45,425.95,426.9,6703
2024-12-05,425.5,430.95,425.5,429.65,570
2024-12-06,429.6,431.9,419.0,431.85,160
2024-12-09,422.6,438.0,422.6,428.0,4399
2024-12-10,424.55,430.95,422.65,422.85,2909
2024-12-11,427.55,427.55,423.45,425.9,1060
2024-12-12,423.45,427.55,423.4,423.45,120
2024-12-13,423.45,424.75,417.3,420.45,185
2024-12-16,423.9,423.95,416.05,417.5,2497
2024-12-17,417.75,429.5,417.75,424.5,3250
2024-12-18,424.5,424.8,415.0,421.8,1147
2024-12-19,421.85,424.0,413.15,424.0,347
2024-12-20,413.7,423.95,407.1,410.0,10675
2024-12-23,418.4,420.3,410.0,410.05,854
2024-12-24,409.05,414.25,409.0,412.7,709
2024-12-25,414.4,414.5,405.85,413.85,474
2024-12-26,413.75,426.95,407.05,408.2,2977
2024-12-27,408.2,412.0,399.0,412.0,3746
2024-12-28,412.0,412.0,404.0,404.9,1181
2024-12-30,404.95,407.95,404.0,407.9,1553
2025-01-03,412.0,412.8,402.0,408.9,440
2025-01-06,408.9,409.95,406.25,407.75,527
2025-01-08,407.8,409.95,407.7,408.0,247
2025-01-09,410.0,469.0,407.95,429.9,10950
2025-01-10,429.95,429.95,408.0,426.8,8551
2025-01-13,429.0,429.0,419.85,424.4,4846
2025-01-14,424.0,424.35,416.35,424.3,888
2025-01-15,424.25,424.25,417.95,422.0,1130
2025-01-16,424.1,424.5,414.75,420.6,2444
2025-01-17,414.85,424.95,410.0,423.95,2101
2025-01-20,424.95,424.95,412.7,419.05,3072
2025-01-21,419.05,423.05,416.0,416.7,1184
2025-01-22,416.75,422.85,413.75,422.1,442
2025-01-23,415.75,421.9,415.75,419.9,286
2025-01-24,415.8,421.75,415.5,416.05,717
2025-01-27,420.0,420.3,415.5,415.5,2115
2025-01-28,420.25,449.95,415.1,425.65,11936
2025-01-29,434.5,434.5,420.6,424.8,1451
2025-01-30,424.7,430.0,420.05,423.8,4061
2025-01-31,423.05,426.7,422.95,423.0,707
2025-02-03,426.5,426.5,411.5,418.5,423
2025-02-04,425.5,425.5,420.0,423.5,876
2025-02-05,425.0,425.0,416.5,421.0,645
2025-02-06,425.0,426.0,421.0,425.0,444
2025-02-07,425.0,427.0,421.0,424.0,1956
2025-02-10,428.0,442.0,422.0,425.0,929
2025-02-11,425.0,425.5,418.0,424.5,684
2025-02-12,425.0,426.5,415.0,420.0,1607
2025-02-13,426.0,427.0,420.5,424.0,1430
2025-02-14,424.0,427.0,413.0,423.5,2607
