TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,118.8,123.95,118.65,121.85,155150
2023-01-04,121.2,122.0,120.05,120.5,93060
2023-01-05,120.5,121.6,118.85,121.35,68760
2023-01-06,121.45,121.95,120.1,120.3,53140
2023-01-09,120.95,122.95,120.3,122.8,135670
2023-01-10,122.8,122.95,121.65,122.5,64340
2023-01-11,121.6,129.85,121.6,125.7,1453830
2023-01-12,127.0,127.0,122.1,123.3,196910
2023-01-13,123.55,125.7,122.3,123.5,117180
2023-01-16,124.8,125.15,122.4,124.4,83090
2023-01-17,125.0,125.0,122.5,122.5,70340
2023-01-18,123.0,124.25,122.05,123.35,129950
2023-01-19,123.8,123.8,121.05,122.0,89390
2023-01-20,122.0,122.45,121.4,121.75,69100
2023-01-23,122.05,123.65,121.05,122.15,134970
2023-01-24,122.2,124.0,121.7,121.75,72940
2023-01-25,122.15,122.4,121.05,121.4,62900
2023-01-26,121.5,121.8,120.25,121.0,139690
2023-01-27,120.25,122.4,120.25,121.5,99410
2023-01-30,121.7,121.85,121.05,121.8,102140
2023-01-31,121.85,127.0,121.65,124.0,264340
2023-02-01,125.35,125.35,123.05,123.25,132930
2023-02-02,123.7,125.4,123.25,124.45,188560
2023-02-03,124.7,125.9,124.0,124.3,194280
2023-02-06,124.8,126.2,124.35,125.95,121540
2023-02-07,126.0,127.25,125.75,125.75,171500
2023-02-08,125.95,127.75,124.3,124.8,162480
2023-02-09,124.8,125.7,123.15,124.8,280310
2023-02-10,124.75,125.3,124.3,124.95,61680
2023-02-13,125.1,127.5,124.5,126.15,97310
2023-02-14,126.15,126.25,124.3,125.0,69550
2023-02-15,125.4,125.7,121.95,121.95,153970
2023-02-16,121.25,129.85,121.25,125.3,491870
2023-02-17,122.0,125.5,122.0,124.7,103280
2023-02-20,124.7,125.2,123.95,124.6,62710
2023-02-21,125.0,126.95,123.75,125.9,86680
2023-02-22,125.8,126.45,124.7,125.8,56470
2023-02-24,126.05,127.0,125.9,126.75,41170
2023-02-27,126.75,128.0,124.1,127.45,145400
2023-02-28,127.45,130.0,126.8,129.0,160170
2023-03-01,129.3,133.1,129.05,131.65,187900
2023-03-02,131.3,133.9,128.45,129.8,276450
2023-03-03,131.45,133.7,129.85,133.7,140900
2023-03-06,133.7,137.15,133.0,135.35,193120
2023-03-07,136.6,136.6,135.1,136.15,58610
2023-03-09,137.25,142.5,136.25,136.65,532540
2023-03-10,136.95,137.5,135.85,136.95,113130
2023-03-13,136.3,138.0,135.05,136.2,157850
2023-03-14,136.0,136.65,135.5,136.45,81490
2023-03-15,136.55,136.65,133.6,135.95,147410
2023-03-16,135.05,136.5,134.5,135.6,102790
2023-03-17,136.0,137.7,135.65,137.0,175360
2023-03-20,137.0,138.9,137.0,138.5,128130
2023-03-21,138.65,142.4,138.35,138.6,347190
2023-03-22,140.3,140.3,137.75,139.2,126460
2023-03-23,139.2,142.85,138.6,141.2,203670
2023-03-24,141.4,149.2,141.2,146.3,681570
2023-03-27,146.85,151.5,146.85,150.1,754620
2023-03-28,151.2,154.5,149.0,151.35,633910
2023-03-29,153.4,153.4,143.1,147.85,578150
2023-03-30,148.0,148.3,147.0,147.6,184330
2023-03-31,147.85,148.35,146.1,146.85,151590
2023-04-03,146.85,148.0,146.85,147.8,118300
2023-04-04,147.8,152.9,147.3,150.05,1488760
2023-04-05,150.05,151.0,146.4,148.35,357380
2023-04-06,148.35,148.7,147.65,148.1,157400
2023-04-07,148.1,150.0,147.0,147.95,375430
2023-04-10,148.1,150.9,148.0,149.25,384410
2023-04-11,149.25,149.65,148.0,148.0,241960
2023-04-12,148.0,149.0,148.0,148.7,115550
2023-04-13,148.9,149.85,148.2,149.65,223200
2023-04-14,150.0,150.35,148.35,149.0,207760
2023-04-17,152.1,154.6,147.7,150.3,555770
2023-04-18,150.85,150.85,148.1,149.4,216980
2023-04-19,149.45,149.75,148.15,148.8,139130
2023-04-20,149.05,149.3,147.5,147.95,213820
2023-04-21,148.3,148.65,147.6,148.1,188630
2023-04-24,148.35,152.15,147.95,151.2,656130
2023-04-25,151.65,153.0,151.0,152.5,227660
2023-04-26,152.6,154.65,151.55,153.15,393440
2023-04-27,152.35,154.2,152.1,152.6,139640
2023-04-28,153.2,153.5,151.55,152.6,168390
2023-05-02,153.3,157.0,127.15,151.85,971530
2023-05-03,151.0,152.5,144.25,147.85,313160
2023-05-04,147.0,151.75,147.0,149.2,188250
2023-05-05,151.7,151.7,148.5,149.0,132000
2023-05-08,149.0,152.0,148.25,151.25,235760
2023-05-10,153.0,156.5,151.3,155.35,279760
2023-05-11,155.35,163.75,155.2,163.7,1113100
2023-05-12,161.95,164.1,157.05,163.9,722680
2023-05-15,164.1,169.15,159.1,167.5,1826120
2023-05-16,170.2,175.95,170.1,174.75,2323600
2023-05-17,175.0,177.9,174.5,176.85,1037180
2023-05-18,177.85,177.85,171.5,174.1,597940
2023-05-19,172.5,174.05,172.1,173.25,260830
2023-05-22,174.1,174.1,172.0,173.35,234450
