TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,461.4,477.8,461.4,475.4,42051
2023-01-04,476.2,476.2,472.0,474.0,12100
2023-01-05,474.0,474.2,470.2,470.4,9355
2023-01-06,470.0,475.8,464.0,465.8,15695
2023-01-09,465.8,472.4,465.6,471.2,13706
2023-01-10,469.6,474.0,454.2,472.8,45139
2023-01-11,472.6,475.0,465.0,469.6,96826
2023-01-12,470.0,473.0,462.0,462.8,71435
2023-01-13,466.0,466.4,455.6,459.0,92759
2023-01-16,463.2,463.8,458.6,463.2,145335
2023-01-17,463.6,464.0,456.4,458.0,77768
2023-01-18,459.2,463.0,452.0,458.0,67155
2023-01-19,458.0,459.0,446.8,452.0,66592
2023-01-20,453.8,456.0,449.8,452.8,20162
2023-01-23,453.4,455.4,451.0,453.4,21806
2023-01-24,454.0,459.2,453.0,457.2,31877
2023-01-25,458.4,461.4,454.2,457.4,54392
2023-01-26,459.8,459.8,447.4,453.4,33576
2023-01-27,456.4,458.6,453.0,454.0,40924
2023-01-30,458.0,458.0,451.2,451.8,36651
2023-01-31,452.8,460.2,452.0,457.4,54856
2023-02-01,457.4,474.8,456.6,467.0,170361
2023-02-02,470.6,471.0,461.8,464.6,55397
2023-02-03,461.4,467.2,458.8,464.4,43822
2023-02-06,464.0,469.8,464.0,467.4,47639
2023-02-07,467.4,469.0,463.6,465.6,39240
2023-02-08,465.6,467.8,462.2,465.4,53025
2023-02-09,467.2,469.0,462.6,466.2,57432
2023-02-10,469.6,481.0,466.0,475.0,148321
2023-02-13,476.6,483.8,468.0,479.6,81750
2023-02-14,479.6,485.4,468.2,483.0,89562
2023-02-15,479.0,482.2,457.0,458.0,139281
2023-02-16,464.8,474.6,457.2,468.0,51472
2023-02-17,462.4,470.8,462.0,466.4,24735
2023-02-20,467.8,468.0,457.0,463.0,24700
2023-02-21,464.4,479.0,463.2,474.4,69470
2023-02-22,474.4,478.0,470.8,475.0,28518
2023-02-24,477.2,479.2,471.4,474.8,12853
2023-02-27,473.6,480.0,472.2,478.2,38783
2023-02-28,481.6,483.0,465.6,481.6,109837
2023-03-01,478.2,484.0,477.6,480.6,32819
2023-03-02,480.6,482.8,470.8,474.8,44656
2023-03-03,477.2,479.6,473.8,478.2,18043
2023-03-06,478.2,482.0,478.2,481.2,37530
2023-03-07,481.8,481.8,477.4,480.2,29565
2023-03-09,480.8,499.0,478.2,498.6,284716
2023-03-10,496.0,509.0,491.8,501.4,310764
2023-03-13,506.0,518.0,501.0,509.4,306712
2023-03-14,510.8,510.8,500.0,501.8,89960
2023-03-15,500.4,504.2,492.0,496.0,84308
