TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,13.39,13.99,13.25,13.63,41500
2023-01-04,13.52,13.7,13.4,13.59,25500
2023-01-05,13.62,13.62,13.41,13.48,12000
2023-01-06,13.52,14.66,13.44,13.78,213500
2023-01-09,13.74,14.36,13.66,14.35,140600
2023-01-10,14.36,14.99,13.92,14.42,142800
2023-01-11,14.23,14.44,13.86,14.01,32400
2023-01-12,14.18,14.5,13.6,14.44,65800
2023-01-13,14.55,14.55,13.81,14.12,105200
2023-01-16,14.41,14.41,13.62,13.93,167100
2023-01-17,13.93,13.99,13.71,13.79,37000
2023-01-18,13.85,16.4,13.71,14.67,1927600
2023-01-19,15.0,15.0,14.1,14.27,150600
2023-01-20,14.27,14.39,13.8,14.11,55900
2023-01-23,14.15,14.54,13.85,14.18,63600
2023-01-24,14.29,14.3,14.1,14.2,28500
2023-01-25,14.23,14.9,14.2,14.45,202800
2023-01-26,14.48,14.5,13.9,14.28,79700
2023-01-27,14.28,14.29,13.72,14.12,97800
2023-01-30,14.04,14.77,14.04,14.32,140100
2023-01-31,14.32,14.75,14.26,14.35,76300
2023-02-01,14.46,14.56,14.13,14.29,61900
2023-02-02,14.15,14.75,14.14,14.26,151500
2023-02-03,14.52,16.82,14.39,15.08,2213900
2023-02-06,15.07,15.37,14.6,15.09,112700
2023-02-07,15.09,15.3,14.74,15.08,188900
2023-02-08,15.09,15.54,15.03,15.33,181000
2023-02-09,15.34,15.97,15.12,15.38,266000
2023-02-10,15.63,15.8,14.94,15.29,138600
2023-02-13,15.33,16.29,15.0,16.06,214900
2023-02-14,16.69,16.69,15.24,15.45,211500
2023-02-15,15.53,15.62,14.4,14.4,243900
2023-02-16,14.6,14.99,14.33,14.99,69800
2023-02-17,14.87,14.97,14.61,14.79,55600
2023-02-20,14.81,14.96,14.72,14.83,40400
2023-02-21,15.13,15.22,14.84,14.99,41400
2023-02-22,15.12,15.14,14.87,14.96,75600
2023-02-24,15.39,15.4,14.73,14.97,47500
2023-02-27,15.04,15.5,14.95,15.14,114900
2023-02-28,15.34,15.58,15.06,15.2,46100
2023-03-01,15.3,15.7,15.3,15.3,107500
2023-03-02,15.54,15.54,14.9,15.06,112700
2023-03-03,15.21,15.34,15.07,15.24,44800
2023-03-06,15.25,15.88,15.09,15.47,110700
2023-03-07,15.5,15.64,15.41,15.51,44700
2023-03-09,15.52,15.69,15.31,15.32,49800
2023-03-10,15.67,18.54,15.31,16.85,4236500
2023-03-13,16.71,18.1,16.08,16.22,931300
2023-03-14,16.24,16.48,15.54,15.78,326700
2023-03-15,15.88,15.92,15.5,15.67,105500
2023-03-16,15.79,15.79,15.3,15.45,172500
2023-03-17,15.54,15.73,15.41,15.6,95900
2023-03-20,15.71,15.77,15.15,15.71,103800
2023-03-21,15.76,15.76,15.5,15.66,89600
2023-03-22,15.71,16.0,15.64,15.86,130400
2023-03-23,15.99,16.79,15.71,15.91,240100
2023-03-24,16.5,16.85,15.84,16.13,177900
2023-03-27,16.39,16.48,16.01,16.2,83000
2023-03-28,16.43,16.43,16.05,16.28,41800
2023-03-29,16.29,16.46,16.2,16.33,39400
2023-03-30,16.43,16.45,16.25,16.38,26000
2023-03-31,16.37,16.37,16.04,16.06,68200
2023-04-03,16.19,16.25,16.03,16.25,75900
2023-04-04,16.25,16.8,16.13,16.37,230700
2023-04-05,16.5,16.6,16.2,16.26,61700
2023-04-06,16.5,16.95,16.41,16.85,177100
2023-04-07,16.95,17.67,16.69,17.56,245000
2023-04-10,17.5,17.86,17.0,17.29,142800
2023-04-11,17.81,17.81,16.84,17.09,164900
2023-04-12,17.19,18.84,17.19,17.33,424100
2023-04-13,17.37,17.5,17.0,17.08,102500
2023-04-14,17.1,17.13,16.83,17.12,42700
2023-04-17,17.11,18.19,16.95,17.79,118000
2023-04-18,17.8,17.8,17.22,17.65,92100
2023-04-19,17.8,17.8,17.4,17.4,30600
2023-04-20,17.4,17.58,17.23,17.41,27700
2023-04-21,17.4,17.5,17.06,17.4,35700
2023-04-24,17.99,18.0,17.5,17.79,76500
2023-04-25,17.85,18.0,17.4,18.0,95600
2023-04-26,17.91,19.67,17.91,18.55,553900
2023-04-27,18.51,20.25,18.5,19.06,500700
2023-04-28,19.08,21.66,18.84,19.06,1621700
2023-05-02,19.06,19.06,17.4,17.69,299000
2023-05-03,17.53,18.43,17.1,17.53,124300
2023-05-04,17.41,17.98,17.08,17.53,53200
2023-05-05,17.68,17.98,17.52,17.71,18100
2023-05-08,17.55,17.99,17.35,17.83,25000
2023-05-10,17.75,17.96,17.42,17.95,35900
2023-05-11,17.96,18.66,17.96,18.44,69400
2023-05-12,18.4,18.49,17.89,18.15,47000
2023-05-15,18.2,19.75,18.17,19.03,288000
2023-05-16,19.26,20.3,19.03,19.63,550000
2023-05-17,19.65,20.0,18.62,19.22,191300
2023-05-18,19.69,19.94,19.3,19.56,87200
2023-05-19,19.81,19.81,19.0,19.18,45100
2023-05-22,19.84,19.84,19.0,19.01,98700
2023-05-23,19.05,19.76,19.0,19.11,90800
2023-05-24,19.17,19.59,19.15,19.47,50700
2023-05-25,19.5,20.0,19.41,19.54,90700
2023-05-26,19.55,20.28,19.55,20.15,78900
2023-05-29,20.19,27.62,20.19,25.0,6964800
2023-05-30,24.46,25.0,22.45,22.92,1386100
2023-05-31,23.0,23.9,21.35,21.6,592800
2023-06-01,21.62,25.58,21.62,23.05,1621400
2023-06-02,23.0,23.61,22.28,22.8,221400
2023-06-05,23.45,24.01,22.1,22.35,173000
2023-06-06,22.08,22.25,21.0,21.49,184300
2023-06-07,21.33,23.25,21.33,22.2,251200
2023-06-08,22.3,23.94,21.57,22.0,346500
2023-06-09,22.2,22.73,22.0,22.43,157500
2023-06-13,22.73,24.0,22.51,22.84,373400
2023-06-14,23.0,23.01,22.0,22.28,149900
2023-06-15,22.28,22.82,22.0,22.34,116600
2023-06-16,22.4,22.45,22.28,22.28,41000
2023-06-19,22.36,22.6,22.07,22.23,39800
2023-06-20,22.38,22.46,21.76,22.37,145700
2023-06-21,22.38,23.12,22.09,22.35,64600
2023-06-22,22.5,22.51,21.41,22.25,127800
2023-06-23,22.35,22.35,22.0,22.07,27100
2023-06-26,21.91,22.05,21.2,21.71,40600
2023-06-27,21.72,22.85,21.5,22.23,138000
2023-06-28,22.61,23.0,22.0,22.39,123200
2023-06-29,22.39,22.6,22.09,22.28,37400
2023-06-30,22.37,22.49,22.11,22.34,59100
2023-07-03,22.2,22.32,22.17,22.23,22500
2023-07-04,22.23,22.9,21.9,22.32,64900
2023-07-05,22.55,22.59,22.18,22.31,71900
2023-07-06,22.54,22.61,22.27,22.38,41100
2023-07-07,22.46,22.75,22.3,22.61,51700
2023-07-10,22.7,24.34,22.42,22.72,407300
2023-07-11,22.73,23.8,22.7,23.21,136500
2023-07-12,23.24,24.18,22.89,23.48,175500
2023-07-13,23.42,24.1,23.32,23.87,53300
2023-07-14,23.88,24.24,23.4,24.19,142600
2023-07-17,24.2,24.86,24.01,24.06,127300
2023-07-18,24.39,24.4,23.44,23.84,158700
2023-07-19,23.98,24.18,23.51,23.94,116100
2023-07-20,24.09,24.11,23.4,23.54,98500
2023-07-21,23.64,24.98,23.44,23.99,122000
2023-07-24,24.15,24.3,23.97,24.3,56100
2023-07-25,24.6,24.65,24.0,24.49,82700
2023-07-26,24.5,24.99,24.01,24.46,69700
2023-07-27,24.44,24.72,24.08,24.32,91400
2023-07-28,24.32,24.63,24.18,24.43,55400
2023-07-31,24.59,28.5,24.45,25.62,1268100
2023-08-01,25.79,26.72,25.03,25.8,239000
2023-08-02,26.8,26.85,25.38,26.7,253400
2023-08-03,27.49,27.49,25.89,26.89,156100
2023-08-04,27.1,27.48,25.6,25.63,223200
2023-08-07,25.55,26.47,25.53,26.36,85500
2023-08-08,26.43,31.76,26.35,27.7,1668900
2023-08-09,27.79,30.65,27.51,29.2,435900
2023-08-10,29.72,29.72,27.02,28.6,288700
2023-08-11,28.93,29.51,27.53,28.32,161400
2023-08-14,29.13,39.65,28.34,39.65,3623500
2023-08-15,42.9,47.58,33.75,36.92,2172600
2023-08-16,36.5,36.5,33.0,33.66,446000
2023-08-17,33.96,46.0,33.36,42.51,3212100
2023-08-18,43.0,44.64,39.38,42.0,481800
2023-08-21,42.16,43.04,40.24,40.79,212300
2023-08-22,40.2,41.7,40.14,41.0,94000
2023-08-23,40.52,40.99,40.2,40.64,64400
2023-08-24,40.85,44.08,40.85,41.17,491500
2023-08-25,41.99,42.2,40.8,41.1,87300
2023-08-28,42.09,42.59,38.0,40.95,251200
2023-08-29,41.3,41.98,40.47,41.4,182400
2023-08-30,41.98,54.0,41.98,52.17,2659500
2023-08-31,52.94,52.94,48.2,48.78,341100
2023-09-01,48.86,52.47,48.6,50.5,407600
2023-09-04,52.26,70.6,49.14,67.22,1721900
2023-09-05,67.9,87.1,64.01,68.17,1619300
2023-09-06,69.99,83.32,68.2,70.0,1031100
2023-09-07,70.09,74.0,61.22,64.5,771500
2023-09-08,64.5,68.5,58.01,65.3,503800
2023-09-11,68.0,71.2,63.0,66.4,346400
2023-09-12,67.27,67.63,64.17,64.24,117800
2023-09-13,64.95,66.98,62.12,62.5,139200
2023-09-14,62.14,63.68,47.05,55.95,468500
2023-09-15,53.83,61.1,52.0,61.1,295300
2023-09-18,62.0,65.12,61.0,61.23,245000
2023-09-19,62.96,64.69,55.0,57.29,184100
2023-09-20,57.93,60.17,50.0,54.36,219500
2023-09-21,55.05,63.7,52.45,54.12,336800
2023-09-22,54.12,59.0,52.54,55.38,123700
2023-09-25,57.0,57.99,55.01,57.17,44700
2023-09-26,57.75,61.0,56.83,58.0,140900
2023-09-27,60.49,60.5,58.22,59.91,63100
2023-09-28,60.36,60.69,58.8,59.39,38700
2023-09-29,58.96,59.61,57.8,57.97,37400
2023-10-02,57.91,60.2,57.08,57.77,77600
2023-10-03,58.0,58.59,55.22,56.69,77600
2023-10-04,56.69,59.35,55.35,56.18,116000
2023-10-05,56.21,56.94,52.65,53.3,198400
2023-10-06,54.0,54.0,49.05,49.43,284900
2023-10-09,49.38,50.82,47.25,50.4,205800
2023-10-10,50.54,52.97,48.61,50.14,223200
2023-10-11,50.0,52.0,49.76,50.65,93500
2023-10-12,50.49,50.79,48.31,48.66,82100
2023-10-13,49.22,49.89,48.52,48.8,56900
2023-10-16,49.23,49.87,47.2,47.33,213900
2023-10-17,47.5,47.91,46.1,46.45,223300
2023-10-18,46.61,47.33,46.12,46.75,109600
2023-10-19,46.87,47.31,46.32,47.13,63300
2023-10-20,47.29,48.0,47.1,47.1,107800
2023-10-23,47.99,48.44,47.02,47.79,63400
2023-10-24,47.79,47.79,46.53,47.11,66500
2023-10-25,47.93,48.33,46.04,47.5,72500
2023-10-26,48.2,49.55,45.95,46.19,124500
2023-10-27,46.7,48.34,45.5,45.76,78500
2023-10-30,45.6,46.19,44.73,44.74,47600
2023-10-31,44.53,46.8,42.33,42.81,287100
2023-11-01,42.6,45.45,42.0,44.0,167100
2023-11-02,44.5,52.4,44.3,47.5,2089700
2023-11-03,48.3,48.85,46.0,46.05,368500
2023-11-06,46.05,46.55,45.65,46.25,53700
2023-11-07,46.25,51.7,46.2,50.0,796700
