TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2.73,2.81,2.67,2.79,283400
2023-01-04,2.75,2.8,2.75,2.76,51300
2023-01-05,2.77,2.84,2.74,2.82,174700
2023-01-06,2.78,2.84,2.73,2.8,92200
2023-01-09,2.8,2.88,2.76,2.86,228000
2023-01-10,2.86,2.99,2.82,2.96,452200
2023-01-11,2.95,2.98,2.9,2.98,147700
2023-01-12,2.98,3.08,2.92,3.0,488400
2023-01-13,3.02,3.1,3.0,3.04,161100
2023-01-16,3.01,3.07,2.96,2.99,281700
2023-01-17,3.0,3.01,2.82,2.82,301900
2023-01-18,2.89,2.99,2.88,2.93,409100
2023-01-19,2.94,2.95,2.82,2.88,343700
2023-01-20,2.86,2.91,2.82,2.86,202800
2023-01-23,2.86,2.95,2.83,2.94,396000
2023-01-24,2.91,2.91,2.84,2.9,426600
2023-01-25,2.9,2.95,2.85,2.89,257400
2023-01-26,2.89,2.99,2.89,2.96,492100
2023-01-27,2.94,2.96,2.88,2.9,335400
2023-01-30,2.91,2.94,2.87,2.88,144400
2023-01-31,2.94,3.0,2.85,2.9,800900
2023-02-01,2.89,2.91,2.87,2.9,235400
2023-02-02,2.9,2.92,2.85,2.89,418000
2023-02-03,2.88,2.92,2.82,2.88,253000
2023-02-06,2.89,3.0,2.86,2.88,506700
2023-02-07,2.89,2.92,2.86,2.9,293600
2023-02-08,2.91,2.98,2.88,2.94,687400
2023-02-09,2.97,2.98,2.89,2.94,493800
2023-02-10,2.94,2.98,2.87,2.92,500600
2023-02-13,2.92,3.05,2.89,2.96,1049700
2023-02-14,3.0,3.0,2.87,2.91,570900
2023-02-15,2.9,2.96,2.85,2.89,746100
2023-02-16,2.9,2.92,2.82,2.89,712900
2023-02-17,2.88,2.93,2.86,2.89,412400
2023-02-20,2.89,2.89,2.83,2.86,157700
2023-02-21,2.86,2.89,2.83,2.87,397400
2023-02-22,2.87,2.88,2.84,2.85,269700
2023-02-24,2.84,2.97,2.83,2.85,416800
2023-02-27,2.87,2.87,2.83,2.86,152300
2023-02-28,2.86,2.89,2.76,2.86,433000
2023-03-01,2.85,2.9,2.85,2.89,193400
2023-03-02,2.89,2.94,2.84,2.91,1180200
2023-03-03,2.94,3.39,2.92,3.08,13435200
2023-03-06,3.14,3.2,2.95,3.06,4377300
2023-03-07,3.07,3.08,3.0,3.02,693800
2023-03-09,3.07,3.07,2.9,2.98,4673500
2023-03-10,3.0,3.04,2.95,3.03,575500
2023-03-13,3.02,3.02,2.95,2.99,561200
2023-03-14,2.99,2.99,2.91,2.97,718000
2023-03-15,2.97,3.03,2.94,2.97,272800
2023-03-16,2.98,3.02,2.93,3.0,778000
2023-03-17,3.0,3.02,2.95,2.97,190100
2023-03-20,2.98,3.05,2.97,3.01,697500
2023-03-21,3.04,3.04,2.93,2.97,1128900
2023-03-22,2.98,3.13,2.96,3.03,1540600
2023-03-23,3.03,3.06,2.98,3.05,700200
2023-03-24,3.05,3.22,3.0,3.2,1253000
2023-03-27,3.11,3.69,3.07,3.45,7174500
2023-03-28,3.46,3.49,3.31,3.42,977500
2023-03-29,3.39,3.68,3.35,3.6,996600
2023-03-30,3.65,3.87,3.52,3.71,1230000
2023-03-31,3.61,3.81,3.5,3.63,662500
2023-04-03,3.63,3.65,3.5,3.59,647500
2023-04-04,3.59,3.7,3.54,3.54,615700
2023-04-05,3.55,3.61,3.49,3.56,358100
2023-04-06,3.49,3.7,3.47,3.7,473900
2023-04-07,3.7,3.93,3.69,3.88,1174600
2023-04-10,3.96,4.2,3.84,4.17,1693300
2023-04-11,4.39,5.07,4.1,4.34,7807600
2023-04-12,4.39,4.88,4.36,4.5,3645700
2023-04-13,4.45,4.69,4.41,4.45,781600
2023-04-14,4.54,4.56,4.28,4.41,447400
2023-04-17,4.42,4.56,4.38,4.4,587000
2023-04-18,4.45,4.5,4.4,4.43,251000
2023-04-19,4.43,4.46,4.22,4.33,356100
2023-04-20,4.25,4.38,4.25,4.35,137000
2023-04-21,4.36,4.55,4.31,4.47,501000
2023-04-24,4.48,4.57,4.4,4.45,453000
2023-04-25,4.45,4.57,4.3,4.49,647900
2023-04-26,4.5,4.62,4.33,4.59,625200
2023-04-27,4.63,4.65,4.41,4.5,474600
2023-04-28,4.51,4.51,4.31,4.39,510600
2023-05-02,4.39,4.39,4.25,4.3,418500
2023-05-03,4.3,4.33,4.05,4.13,354000
2023-05-04,4.11,4.2,3.91,4.18,182600
2023-05-05,4.15,4.27,4.06,4.11,111400
2023-05-08,4.05,4.3,3.98,4.15,173000
2023-05-10,4.16,4.27,4.16,4.21,142900
2023-05-11,4.24,4.91,4.19,4.61,673400
2023-05-12,4.59,4.64,4.4,4.48,158000
2023-05-15,4.52,4.53,4.41,4.5,81400
2023-05-16,4.45,4.5,4.43,4.48,31200
2023-05-17,4.48,4.55,4.34,4.44,168200
2023-05-18,4.44,4.56,4.41,4.46,87600
2023-05-19,4.49,4.79,4.41,4.42,1145400
2023-05-22,4.62,4.62,4.42,4.43,177800
2023-05-23,4.46,4.46,4.2,4.3,154800
2023-05-24,4.35,4.45,4.25,4.44,219800
2023-05-25,4.47,4.53,4.32,4.41,91500
2023-05-26,4.38,4.4,4.25,4.39,138900
2023-05-29,4.38,4.46,4.3,4.33,87900
2023-05-30,4.32,4.36,4.26,4.3,93700
2023-05-31,4.29,4.31,4.25,4.3,83000
2023-06-01,4.24,4.4,4.22,4.22,177300
2023-06-02,4.24,4.53,4.22,4.4,466000
2023-06-05,4.4,4.53,4.3,4.53,214100
2023-06-06,4.78,4.78,4.24,4.46,462300
2023-06-07,4.5,4.5,4.32,4.5,141000
2023-06-08,4.46,4.53,4.45,4.45,26200
2023-06-09,4.47,4.56,4.45,4.52,245700
2023-06-13,4.58,4.61,4.46,4.56,163000
2023-06-14,4.6,4.6,4.48,4.52,129300
2023-06-15,4.55,4.6,4.49,4.56,350100
2023-06-16,4.6,4.6,4.54,4.54,38600
2023-06-19,4.62,4.62,4.45,4.55,273800
2023-06-20,4.56,4.66,4.51,4.64,2006600
2023-06-21,4.67,4.88,4.54,4.73,1830500
2023-06-22,4.68,4.82,4.62,4.64,319000
2023-06-23,4.63,4.66,4.46,4.52,487100
2023-06-26,4.52,4.61,4.29,4.44,646300
2023-06-27,4.45,4.53,4.38,4.47,166700
2023-06-28,4.45,4.51,4.4,4.45,547400
2023-06-29,4.45,4.49,4.44,4.47,71800
2023-06-30,4.47,4.49,4.39,4.43,298700
2023-07-03,4.44,4.48,4.37,4.39,124200
2023-07-04,4.43,4.47,4.38,4.43,109500
2023-07-05,4.44,4.46,4.33,4.46,211800
2023-07-06,4.46,4.47,4.42,4.43,106200
2023-07-07,4.48,4.48,4.41,4.45,351800
2023-07-10,4.47,4.58,4.45,4.56,256300
2023-07-11,4.51,4.68,4.48,4.63,380500
2023-07-12,4.68,4.73,4.5,4.64,635400
2023-07-13,4.67,4.68,4.61,4.68,960700
2023-07-14,4.69,4.74,4.62,4.7,845000
2023-07-17,4.68,4.84,4.66,4.71,1484900
2023-07-18,4.74,4.84,4.66,4.73,1387000
2023-07-19,4.73,4.88,4.51,4.77,2701200
2023-07-20,4.93,4.93,4.55,4.66,3427800
2023-07-21,4.7,4.77,4.65,4.7,1545700
2023-07-24,4.75,4.82,4.68,4.76,905600
2023-07-25,4.83,4.84,4.67,4.71,1641900
2023-07-26,4.7,4.74,4.64,4.67,1283500
2023-07-27,4.71,4.75,4.67,4.73,738300
2023-07-28,4.73,4.85,4.67,4.79,1172100
2023-07-31,4.81,4.84,4.68,4.78,1177500
2023-08-01,4.79,4.83,4.73,4.78,736200
2023-08-02,4.82,5.29,4.78,5.07,8119000
2023-08-03,5.08,5.17,4.91,5.08,2171000
2023-08-04,5.16,5.2,4.9,4.91,3304100
2023-08-07,4.99,5.26,4.91,5.21,4465200
2023-08-08,5.29,5.64,5.05,5.53,4989300
2023-08-09,5.68,6.7,5.52,6.49,14873200
2023-08-10,6.57,6.65,5.3,5.59,7798100
2023-08-11,5.59,5.71,5.4,5.54,2020600
2023-08-14,5.56,5.67,5.41,5.53,2178700
2023-08-15,5.45,5.62,5.31,5.4,2626300
2023-08-16,5.37,5.55,4.75,5.15,4069500
2023-08-17,5.26,5.27,5.02,5.08,679900
2023-08-18,5.13,5.3,4.96,5.23,938300
2023-08-21,5.3,5.57,5.17,5.5,1623800
2023-08-22,5.58,5.58,5.39,5.57,1182500
2023-08-23,5.68,5.68,5.41,5.55,1545200
2023-08-24,5.44,5.64,5.33,5.5,1021400
2023-08-25,5.54,5.72,5.47,5.66,1023200
2023-08-28,5.65,6.03,5.64,5.91,4029100
2023-08-29,5.92,6.05,5.73,5.92,1115100
2023-08-30,5.9,6.35,5.74,5.92,1861200
2023-08-31,5.96,6.06,5.79,5.87,1102200
2023-09-01,5.85,6.21,5.84,6.05,1585700
2023-09-04,6.25,6.3,5.96,6.16,1885700
2023-09-05,6.27,6.46,5.99,6.19,2868300
2023-09-06,6.2,6.27,5.91,5.97,1733200
2023-09-07,5.96,6.05,5.33,5.53,2347900
2023-09-08,5.53,5.69,5.16,5.6,1014500
2023-09-11,5.65,5.77,5.34,5.56,933100
2023-09-12,5.57,5.89,5.39,5.61,1234000
2023-09-13,5.7,5.84,5.42,5.53,1055400
2023-09-14,5.5,5.52,4.88,5.14,1163900
2023-09-15,5.27,5.47,5.06,5.25,670700
2023-09-18,5.3,5.4,5.11,5.28,289500
2023-09-19,5.2,5.46,4.92,5.14,1129600
2023-09-20,5.05,5.11,4.7,4.89,851600
2023-09-21,4.97,4.97,4.7,4.82,333300
2023-09-22,4.81,4.95,4.63,4.95,253400
2023-09-25,4.96,5.2,4.85,5.15,339200
2023-09-26,5.15,5.22,4.96,5.02,479800
2023-09-27,5.1,5.13,5.0,5.09,84800
2023-09-28,5.07,5.26,4.99,5.05,951300
2023-09-29,5.07,5.1,4.98,4.98,278100
2023-10-02,5.03,5.11,4.85,5.1,920400
2023-10-03,5.08,5.67,4.71,5.25,11494900
2023-10-04,5.25,5.39,5.08,5.34,967700
2023-10-05,5.33,5.52,5.22,5.36,1124900
2023-10-06,5.3,5.58,5.0,5.24,1165400
2023-10-09,5.3,5.3,5.11,5.17,143200
2023-10-10,5.17,5.26,5.12,5.26,168200
2023-10-11,5.18,5.39,5.14,5.2,594300
2023-10-12,5.12,5.2,4.95,5.05,422800
2023-10-13,5.06,5.13,4.98,5.05,110100
2023-10-16,5.08,5.28,4.96,5.25,946800
2023-10-17,5.2,5.44,5.14,5.3,783300
2023-10-18,5.3,5.39,5.09,5.27,598500
2023-10-19,5.27,5.3,5.15,5.24,281000
2023-10-20,5.24,5.24,5.12,5.23,208500
2023-10-23,5.19,5.24,5.17,5.24,82000
2023-10-24,5.23,5.24,5.16,5.21,55800
2023-10-25,5.2,5.25,5.11,5.17,349900
2023-10-26,5.17,5.18,4.99,5.04,233700
2023-10-27,5.04,5.09,4.94,5.09,290400
2023-10-30,5.09,5.14,4.98,5.05,603100
2023-10-31,5.05,5.14,5.0,5.12,156700
2023-11-01,5.07,5.07,4.99,5.05,500100
2023-11-02,5.07,5.07,4.94,4.99,245200
2023-11-03,5.0,5.07,4.98,4.98,51900
2023-11-06,5.0,5.04,4.94,4.99,140400
2023-11-07,4.97,5.13,4.97,5.0,291700
2023-11-08,4.99,5.06,4.98,5.02,225600
2023-11-09,5.04,5.05,5.02,5.02,202800
2023-11-10,5.04,5.05,4.71,4.88,438100
2023-11-13,4.84,4.88,4.41,4.69,919900
2023-11-14,4.5,4.6,4.17,4.44,874400
2023-11-15,4.46,4.68,4.41,4.58,425400
2023-11-16,4.65,4.75,4.59,4.63,352000
2023-11-17,4.61,4.64,4.34,4.56,410700
2023-11-20,4.59,4.61,4.53,4.57,62000
2023-11-21,4.55,4.66,4.42,4.54,311900
2023-11-22,4.52,5.05,4.46,4.68,4625000
2023-11-23,4.68,4.7,4.5,4.54,876400
2023-11-24,4.5,4.59,4.33,4.56,518000
2023-11-27,4.55,4.58,4.4,4.46,171800
2023-11-28,4.4,4.68,4.32,4.59,429200
2023-11-29,4.61,4.65,4.44,4.53,318800
2023-11-30,4.52,4.52,4.36,4.51,177800
2023-12-01,4.46,4.5,4.35,4.5,240500
2023-12-04,4.41,4.48,4.23,4.28,413000
2023-12-05,4.3,4.3,3.96,4.19,821900
2023-12-06,4.18,4.19,4.0,4.05,118900
2023-12-07,4.06,4.09,3.99,4.08,214800
2023-12-08,4.08,4.27,4.02,4.17,502700
2023-12-11,4.17,4.27,4.07,4.15,142400
2023-12-12,4.13,4.18,4.06,4.18,69700
2023-12-13,4.13,4.24,4.06,4.2,138300
2023-12-14,4.16,4.32,4.11,4.11,869100
2023-12-15,4.19,4.24,4.09,4.24,338100
2023-12-18,4.23,4.52,4.12,4.5,875200
2023-12-19,4.5,4.57,4.37,4.45,468700
2023-12-20,4.39,4.92,4.39,4.86,1026200
2023-12-21,4.72,4.86,4.57,4.79,717300
2023-12-22,4.8,4.8,4.6,4.66,220900
2023-12-25,4.67,4.78,4.62,4.67,212400
2023-12-26,4.66,4.68,4.48,4.56,371600
2023-12-27,4.55,4.56,4.37,4.46,291300
2023-12-28,4.4,4.47,4.04,4.16,1456700
2023-12-29,4.14,4.31,4.1,4.15,405900
2024-01-03,4.21,4.28,4.17,4.26,125900
2024-01-04,4.23,4.35,4.16,4.28,163100
2024-01-05,4.29,4.5,4.22,4.49,312700
2024-01-08,4.5,4.62,4.44,4.54,1339300
2024-01-09,4.55,4.75,4.49,4.74,455900
2024-01-10,4.78,4.8,4.61,4.72,2048100
2024-01-11,4.69,4.75,4.53,4.62,230300
2024-01-12,4.62,4.86,4.45,4.71,4000900
2024-01-15,4.69,4.86,4.44,4.62,1295200
2024-01-16,4.62,4.62,4.49,4.58,1294700
2024-01-17,4.52,4.73,4.52,4.64,1040100
2024-01-18,4.64,4.66,4.55,4.58,450300
2024-01-19,4.61,4.61,4.48,4.51,692700
2024-01-22,4.52,4.57,4.43,4.48,636500
2024-01-23,4.49,4.61,4.46,4.53,1757000
2024-01-24,4.53,4.58,4.39,4.45,1225600
2024-01-25,4.46,4.47,4.29,4.43,1564200
2024-01-26,4.44,4.46,4.25,4.25,2512800
2024-01-29,4.33,4.43,4.15,4.27,6848700
2024-01-30,4.29,4.35,4.13,4.3,1913300
2024-01-31,4.3,4.31,4.09,4.09,6763000
2024-02-01,4.15,4.19,4.11,4.17,1409500
2024-02-02,4.19,4.21,4.08,4.1,1790700
2024-02-05,4.15,4.16,4.06,4.13,1073100
2024-02-06,4.12,4.17,4.08,4.16,1327400
2024-02-07,4.16,4.17,4.1,4.14,604200
2024-02-08,4.14,4.2,4.07,4.13,1138600
2024-02-09,4.1,4.14,4.09,4.12,496700
2024-02-12,4.12,4.12,4.06,4.1,371000
2024-02-13,4.08,4.12,4.07,4.1,400500
2024-02-14,4.11,4.15,4.05,4.08,608900
2024-02-15,4.08,4.14,4.06,4.12,445600
2024-02-16,4.12,4.14,4.07,4.11,422400
2024-02-19,4.12,4.15,4.08,4.09,387700
2024-02-20,4.1,4.1,4.05,4.07,487700
2024-02-21,4.07,4.07,3.77,3.87,1500300
2024-02-22,3.88,3.95,3.78,3.92,429000
2024-02-26,3.92,4.12,3.92,4.07,699500
2024-02-27,4.07,4.1,4.05,4.06,300700
2024-02-28,4.06,4.17,4.06,4.14,1081200
2024-02-29,4.08,4.14,4.07,4.08,335100
2024-03-01,4.09,4.13,4.05,4.08,472300
2024-03-04,4.1,4.13,4.06,4.1,427900
2024-03-05,4.08,4.1,4.07,4.09,99300
