TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,228.0,232.0,228.0,232.0,60
2023-01-04,230.5,230.5,221.0,224.5,230
2023-01-05,225.5,226.5,220.0,224.5,430
2023-01-06,223.5,236.5,223.5,230.0,1270
2023-01-09,224.0,233.0,223.5,225.0,350
2023-01-10,225.0,227.0,225.0,227.0,60
2023-01-11,223.0,236.5,223.0,225.0,1540
2023-01-12,228.0,228.0,228.0,228.0,70
2023-01-13,231.5,231.5,228.0,230.0,240
2023-01-16,232.0,232.0,227.0,232.0,130
2023-01-17,236.0,236.0,227.0,227.5,140
2023-01-18,230.0,230.5,226.5,230.5,130
2023-01-19,227.0,228.5,225.0,228.5,200
2023-01-20,230.0,264.0,230.0,245.0,4240
2023-01-23,244.5,325.0,235.0,264.5,48330
2023-01-24,257.5,280.0,250.5,264.5,12400
2023-01-25,270.0,310.0,256.5,300.0,20870
2023-01-26,300.0,309.5,285.0,299.5,3870
2023-01-27,294.0,296.5,287.0,296.5,580
2023-01-30,293.5,296.5,263.0,267.0,9970
2023-01-31,267.5,272.5,263.5,263.5,3240
2023-02-01,269.5,271.5,255.0,259.0,6390
2023-02-02,259.0,259.5,252.5,257.5,2870
2023-02-03,257.5,259.5,252.5,253.5,1980
2023-02-06,257.5,262.5,254.0,261.0,1580
2023-02-07,261.0,263.0,245.5,258.5,1670
2023-02-08,258.5,261.5,255.5,259.5,1340
2023-02-09,259.5,277.5,258.5,274.0,7800
2023-02-10,275.0,278.5,264.0,274.0,3440
2023-02-13,276.0,276.0,262.5,275.5,4640
2023-02-14,272.5,274.5,264.0,267.5,5740
2023-02-15,265.5,265.5,253.0,254.0,2980
2023-02-16,252.5,258.0,250.0,250.0,4210
2023-02-17,250.5,288.5,250.0,255.0,24560
2023-02-20,255.0,256.5,250.0,252.5,2380
2023-02-21,251.0,253.0,250.0,250.0,4420
2023-02-22,255.0,255.0,245.0,249.0,1980
2023-02-24,251.5,251.5,246.5,249.0,720
2023-02-27,249.0,255.0,245.0,254.0,4560
2023-02-28,254.0,255.0,249.0,252.5,3590
2023-03-01,252.5,258.0,250.0,254.0,4880
2023-03-02,254.5,254.5,248.5,252.0,2440
2023-03-03,251.5,252.0,248.5,252.0,1080
2023-03-06,252.5,255.5,249.0,252.0,2660
2023-03-07,253.0,254.0,250.0,252.5,1200
2023-03-09,252.0,261.0,251.0,255.5,3450
2023-03-10,256.0,260.0,254.5,260.0,1950
2023-03-13,260.0,260.0,253.0,254.5,3890
2023-03-14,254.5,255.5,253.5,255.0,1090
2023-03-15,255.0,255.0,248.0,248.0,2750
2023-03-16,249.0,252.0,249.0,251.0,1300
2023-03-17,249.5,252.5,249.5,250.0,1330
2023-03-20,249.0,251.5,249.0,251.5,850
2023-03-21,251.5,252.0,249.5,251.0,1560
2023-03-22,251.0,252.0,249.0,251.0,2250
2023-03-23,251.0,255.0,250.0,255.0,1690
2023-03-24,255.0,256.0,253.5,254.5,1400
2023-03-27,254.0,255.5,252.5,254.5,590
2023-03-28,255.5,255.5,252.5,252.5,550
2023-03-29,253.5,254.5,253.0,254.5,560
2023-03-30,257.5,261.0,255.0,261.0,2690
2023-03-31,261.0,261.0,256.0,258.0,1020
2023-04-03,258.0,263.5,252.5,261.0,3120
2023-04-04,262.5,290.0,261.5,275.5,6540
2023-04-05,275.5,275.5,259.0,269.5,8500
2023-04-06,266.5,271.5,265.0,269.0,5760
2023-04-07,268.0,274.0,265.0,272.0,5520
2023-04-10,272.5,276.5,268.0,273.0,7540
2023-04-11,273.5,275.5,268.0,269.5,7870
2023-04-12,270.5,276.0,266.5,266.5,10470
2023-04-13,267.0,267.0,256.0,261.0,17880
2023-04-14,264.0,269.0,261.0,268.5,3370
2023-04-17,269.0,273.0,265.5,268.0,9620
2023-04-18,270.5,271.0,264.5,266.5,11150
2023-04-19,268.0,295.0,266.5,274.5,44570
2023-04-20,274.0,278.0,264.0,270.0,15890
2023-04-21,270.5,273.0,266.0,272.0,4890
2023-04-24,275.0,275.0,268.0,270.5,5260
2023-04-25,272.0,275.0,267.5,269.5,4190
2023-04-26,270.0,274.0,268.5,272.5,3760
2023-04-27,273.0,281.5,268.5,279.5,10690
2023-04-28,280.0,280.0,270.0,274.5,6510
2023-05-02,272.5,299.5,260.0,270.0,73620
2023-05-03,271.0,278.5,266.5,269.5,7110
2023-05-04,270.0,277.5,263.5,270.0,9890
2023-05-05,270.0,272.5,263.0,272.0,2360
2023-05-08,267.0,274.0,265.0,266.0,1840
2023-05-10,267.0,281.0,266.0,281.0,6340
2023-05-11,277.5,283.0,270.0,274.5,24520
2023-05-12,275.5,283.0,271.5,280.5,12130
2023-05-15,281.0,289.0,274.5,282.0,19160
2023-05-16,283.0,284.0,274.5,279.5,8970
2023-05-17,279.5,285.5,274.5,284.0,5760
2023-05-18,284.0,287.0,278.0,286.0,11300
2023-05-19,286.5,294.0,280.0,292.0,8170
2023-05-22,294.5,323.5,279.0,289.5,72110
2023-05-23,286.0,290.0,275.0,279.0,14010
2023-05-24,280.5,286.5,273.0,282.0,17280
2023-05-25,279.0,281.5,271.0,272.0,10880
2023-05-26,273.0,281.5,273.0,277.5,3570
2023-05-29,278.0,288.5,277.0,285.0,7670
2023-05-30,285.0,293.5,278.0,279.5,5230
2023-05-31,281.0,281.0,275.5,277.0,4710
2023-06-01,276.5,282.5,275.5,278.0,3610
2023-06-02,279.0,288.5,274.5,277.5,21860
2023-06-05,278.0,279.0,271.0,276.0,13100
2023-06-06,273.0,274.0,267.5,270.0,9290
2023-06-07,270.0,274.0,267.0,269.5,15730
2023-06-08,269.0,276.5,268.0,274.5,15110
2023-06-09,274.5,275.0,268.0,270.0,21520
2023-06-13,270.5,275.5,268.5,275.5,13560
2023-06-14,272.5,275.5,270.5,273.0,10280
2023-06-15,274.0,276.5,270.5,273.0,10400
2023-06-16,273.0,273.5,268.5,270.0,10070
2023-06-19,271.5,272.0,269.5,270.5,2990
2023-06-20,271.0,271.5,268.5,270.5,4840
2023-06-21,271.0,276.0,270.5,273.0,21520
2023-06-22,273.5,276.5,273.0,274.0,6220
2023-06-23,273.0,273.0,269.0,271.0,8040
2023-06-26,270.0,272.0,267.5,270.0,6950
2023-06-27,270.5,273.5,268.5,273.5,11890
2023-06-28,273.5,274.0,269.5,270.5,8750
2023-06-29,271.0,273.0,269.0,270.0,11870
2023-06-30,270.5,279.5,269.5,272.5,16660
2023-07-03,273.5,277.5,271.5,274.0,7290
2023-07-04,273.5,275.0,273.0,275.0,2510
2023-07-05,275.5,281.5,274.0,280.0,5280
2023-07-06,281.0,282.5,277.5,278.0,3000
2023-07-07,279.0,286.5,272.5,277.0,12280
2023-07-10,279.0,281.0,274.5,276.0,5800
2023-07-11,276.0,280.5,272.5,273.5,14710
2023-07-12,275.0,277.5,272.5,275.5,7050
2023-07-13,277.5,280.0,272.5,275.0,10440
2023-07-14,275.0,278.5,273.5,276.0,2930
2023-07-17,275.0,276.5,274.0,276.0,3770
2023-07-18,276.5,282.0,271.0,275.0,21190
2023-07-19,277.0,279.0,270.0,273.0,55620
2023-07-20,274.0,274.0,268.0,273.0,24710
2023-07-21,273.0,274.0,269.0,271.0,13080
2023-07-24,273.0,295.5,272.0,276.5,74800
2023-07-25,278.0,288.5,276.5,285.0,31900
2023-07-26,285.0,288.0,279.5,284.5,15440
2023-07-27,284.0,288.5,283.5,285.0,5320
2023-07-28,287.5,296.5,285.0,289.5,19430
2023-07-31,290.5,298.0,284.0,293.5,19410
2023-08-01,293.0,294.0,284.5,291.5,9470
2023-08-02,292.5,296.0,290.0,292.0,15800
2023-08-03,290.5,304.0,287.0,300.0,29750
2023-08-04,295.5,308.0,289.5,300.0,30190
2023-08-07,296.5,300.5,294.0,298.5,15810
2023-08-08,299.5,306.0,282.5,291.5,25280
2023-08-09,292.0,297.5,289.0,297.5,8100
2023-08-10,295.5,300.0,294.5,297.5,7560
2023-08-11,298.0,308.0,293.0,299.0,16000
2023-08-14,299.0,303.0,284.0,290.0,32580
2023-08-15,292.0,295.0,284.0,292.5,13000
2023-08-16,292.0,293.5,283.5,284.0,11720
2023-08-17,284.5,290.0,280.0,287.0,10140
2023-08-18,287.5,290.0,285.0,286.0,7260
2023-08-21,288.5,309.0,288.5,305.5,35740
2023-08-22,304.5,306.5,297.5,299.0,8350
2023-08-23,310.0,311.0,292.5,301.5,20560
2023-08-24,300.5,307.0,292.0,301.0,12340
2023-08-25,302.0,350.0,301.5,334.5,93630
2023-08-28,336.5,381.0,335.0,381.0,54150
2023-08-29,382.0,390.0,358.0,361.0,33660
2023-08-30,365.0,382.5,350.0,357.0,23230
2023-08-31,361.0,361.0,327.5,342.0,56850
2023-09-01,348.5,350.5,335.5,347.0,14080
2023-09-04,346.5,360.0,342.0,359.5,18040
2023-09-05,369.0,369.0,350.5,365.0,21810
2023-09-06,365.0,370.0,354.0,365.5,19860
2023-09-07,367.5,466.0,365.5,385.5,375260
2023-09-08,388.5,417.5,365.0,401.5,83770
2023-09-11,411.0,414.0,370.0,378.0,28250
